"d_year","lo_partkey","lo_revenue"
1993,474914,2805001
1996,532157,1284260
1997,662562,4779401
1997,767642,3231162
1993,269438,836007
1998,367815,7229952
1992,776278,3778329
1996,740841,6257018
1996,252642,3938736
1998,260143,1522319
1998,459569,421877
1995,31820,1103646
1994,178947,952191
1994,250379,717854
1994,712306,3256126
1997,283343,2172528
1997,535072,4432628
1996,544671,6793974
1997,735896,4868287
1992,638968,8409561
1996,266835,2918948
1995,405381,1111415
1995,434940,2900501
1992,249896,2327654
1992,516729,3653750
1992,651695,6520773
1992,393257,5881645
1994,352888,6288418
1994,89434,5679485
1998,283135,3616000
1993,13249,3793551
1993,722164,4037586
1993,602919,721464
1994,246229,4886523
1993,114957,8992092
1994,342136,4559324
1997,92629,7310262
1997,772805,7931700
1995,463277,5469502
1993,46682,2877877
1993,74466,4991193
1993,254103,209303
1993,293529,5669827
1998,379895,4455329
1992,483215,3565813
1996,199576,7077607
1996,663752,156130
1998,37519,2260503
1996,224654,7657982
1996,265861,6149177
1996,397178,2371797
1998,670434,4092421
1996,35054,890145
1996,347540,2984556
1996,299425,2093882
1994,7672,6236537
1993,195720,2171601
1993,538060,5112474
1993,490560,1823435
1992,212102,1603276
1998,669328,3895761
1992,489762,4904872
1994,509183,1285148
1993,693443,4458616
1997,592047,3936453
1992,435411,3034763
1992,344289,3750488
1998,737040,3376426
1998,217419,5773248
1994,726198,2639288
1998,38275,5459715
1993,52870,2706961
1996,612670,2529058
1996,331545,5334977
1994,74565,991476
1994,624598,3165402
1994,523450,2413478
1994,99411,5839097
1997,663489,5597742
1997,184274,6180128
1993,451232,3876195
1993,104905,3689926
1994,632990,6972652
1994,262142,110413
1994,211255,419846
1996,246096,750297
1996,562218,5653319
1996,657889,7313526
1995,607905,8527740
1994,322346,3361986
1998,157250,4706100
1998,494875,6892267
1992,378042,3124883
1993,495116,2395510
1993,53691,6540932
1992,586853,7852431
1992,354772,6839389
1992,248744,8125104
1993,585651,1000298
1995,74901,3714282
1995,458730,3174774
1998,178923,5709475
1992,790293,6374062
1992,449950,7478124
1995,668923,1702701
1995,185966,9141481
1992,178997,3458599
1992,261105,2478659
1992,97086,2865829
1993,288379,5976730
1993,250363,5253400
1993,176461,2767428
1996,400508,1456368
1996,188425,3167588
1997,727210,1080058
1993,305485,1012029
1992,721756,319989
1992,138661,336532
1995,614658,3255323
1992,210972,1542144
1992,23539,2856321
1996,566087,230612
1994,411556,1103582
1994,765357,1308534
1994,202997,683992
1994,554649,7121131
1994,565242,6470739
1996,116413,3922301
1992,352511,7584538
1992,644709,7454744
1992,407990,6559384
1997,31779,3353109
1998,216470,5163177
1998,598942,8265726
1998,2015,2995871
1992,8070,801039
1998,112055,3105115
1992,681370,1352691
1994,743000,1702127
1994,386705,1612521
1996,39850,2777847
1996,45402,1280030
1993,581196,5639982
1996,297784,2293137
1996,306984,6594092
1992,311634,4031769
1992,20463,6307194
1992,720212,478085
1993,281948,2836997
1993,253209,5810950
1998,85464,2965595
1992,113819,7466867
1994,100510,4969577
1994,796117,4367088
1994,335857,2555334
1994,775917,6277572
1994,187087,3240460
1994,115672,3378715
1998,300824,547443
1998,533499,2928550
1998,116624,1113980
1995,474939,8803986
1997,241810,840864
1993,661839,352956
1993,313374,5548052
1998,389810,3197363
1996,150,4574453
1996,755960,5378501
1995,394987,4109808
1995,42183,3263022
1996,600303,1486038
1996,38953,3235234
1992,764047,1446535
1995,526191,973736
1993,18135,4644303
1996,126638,7667285
1995,25733,4666007
1992,590200,117406
1992,598398,3797787
1995,265081,4818198
1992,65299,4976245
1992,712197,1642039
1995,681523,3777774
1993,395304,1287346
1995,445919,3563804
1995,148033,3920895
1995,587649,479307
1995,611139,2994885
1992,184964,1014235
1992,682538,4287810
1994,502636,786532
1994,592452,1760650
1994,348291,6562472
1994,124160,928381
1995,233469,1786721
1995,510571,6689956
1994,179493,3019180
1997,105299,1012129
1997,172996,744836
1998,440154,1061306
1996,389127,2488161
1993,524565,5193027
1995,325928,879259
1993,267081,2829789
1994,265731,2633309
1995,496554,151951
1997,592728,171145
1994,300215,4666368
1996,471186,4876272
1998,196195,4007853
1998,51834,6825442
1995,787646,5206030
1998,446905,879643
1998,529048,4445938
1998,507416,2371367
1998,600107,91643
1998,397885,729696
1998,112463,1983018
1997,550416,3761290
1997,410827,6075348
1998,692382,2611265
1998,588966,4490043
1995,754655,1555754
1995,775630,1146163
1998,295658,1099670
1998,11731,1577020
1995,322115,2172998
1995,105713,7192801
1997,745132,3029855
1992,259860,8917265
1994,239738,7100111
1993,518643,305738
1993,18955,3999009
1995,672531,1299024
1995,28456,6308938
1992,426890,2136639
1993,59934,3026500
1995,786756,8209317
1994,658779,3357313
1998,41754,2255347
1994,91127,610493
1997,693993,1927351
1996,651708,6343258
1996,64540,2404254
1996,421603,2006347
1997,778159,5213223
1997,426961,4712298
1997,726335,4900680
1995,211749,5208049
1992,504010,2920291
1994,125783,859170
1995,36356,2675164
1995,624271,1721145
1995,126875,368962
1994,378786,4867049
1995,767309,2943841
1998,354155,116077
1997,465595,5599325
1993,132472,3177440
1994,579028,4206600
1994,21952,4403782
1995,389125,5026415
1996,17489,5817201
1993,654690,967060
1993,699765,7376571
1993,141829,4596604
1996,455038,3047547
1997,652982,174145
1996,417392,2333297
1996,220343,4532828
1998,338509,6476245
1997,362160,5081699
1997,406479,5421265
1997,413868,6329095
1992,99485,4849796
1994,133303,1924272
1994,205236,2360042
1997,133248,4946867
1992,666990,7890462
1997,757902,2661503
1998,190501,748005
1996,504696,5115615
1995,382637,337045
1997,148916,2503295
1997,416001,4137413
1997,707487,3362512
1997,322635,5795039
1995,48926,6299731
1996,95580,1715806
1996,132159,2451386
1997,389870,5569922
1992,258396,2627497
1996,94106,1100100
1993,455563,6636019
1993,151960,4587268
1992,672760,4075380
1995,360776,7078873
1992,793214,1580380
1995,287408,888863
1997,240034,944799
1997,542194,2299276
1996,135306,3617486
1996,476404,3143125
1996,420595,6135027
1996,374323,4704742
1995,227559,2140617
1997,200172,3805095
1998,171479,7132162
1992,421884,8671739
1993,137551,1941208
1996,660594,6550915
1996,46442,5938357
1995,11275,2291873
1998,666883,4084468
1998,295330,1590384
1998,517054,4828203
1993,518067,833310
1993,458986,5146364
1997,336816,2215948
1992,144047,205115
1996,566718,174899
1993,166098,4494551
1992,450700,2264732
1992,510727,6641489
1996,11451,1682625
1997,123938,4377065
1996,168349,5224315
1995,596823,564421
1996,25669,5428222
1997,407902,3232445
1995,665982,3701105
1996,728009,4023443
1996,492832,7788289
1997,230462,2067788
1997,773780,2966000
1997,537331,3420775
1996,266591,7632142
1994,660712,5847689
1992,131741,3510025
1992,115105,4843312
1996,703906,3514160
1997,296725,2868368
1995,501693,1006633
1997,707083,4532427
1994,688909,345412
1997,457861,2368129
1994,239128,1079915
1994,616483,5788125
1995,276591,4038086
1995,406907,3618690
1992,280263,4186022
1992,377827,7809721
1998,782388,2139359
1992,554398,2444338
1992,344167,5578556
1994,595124,5084866
1994,487464,2113296
1994,799142,2484702
1996,712560,2566368
1992,197897,4452594
1993,71889,7681712
1993,513247,2064240
1993,537332,6441234
1996,187103,2237388
1997,190449,2941869
1992,213477,278092
1992,136410,6320811
1995,7369,3430855
1997,730424,5235804
1995,394136,4384147
1998,626576,450762
1997,451719,5653614
1997,778472,1339580
1997,392780,7601573
1995,81130,110001
1993,240668,6659811
1993,635538,411106
1998,727441,4409635
1998,756622,7889373
1995,324941,583881
1994,674236,599049
1994,546864,8340816
1994,730279,1865667
1998,777462,5154011
1993,187030,3820242
1993,202290,2897240
1995,713042,4272790
1993,782252,4011999
1997,233308,4716902
1997,405882,328966
1992,23502,5063376
1993,405057,2170339
1997,45197,5372861
1996,361179,1984256
1992,517921,5235030
1994,184891,5145217
1994,238272,445375
1994,625368,3060018
1993,268299,4302415
1993,491140,1788300
1993,408607,6138099
1992,610397,6471432
1993,371295,3313229
1993,347221,230814
1993,535438,2021518
1997,119847,5615454
1997,620743,5869568
1997,70284,2068307
1993,405780,6405888
1995,295152,5065770
1995,610613,6703752
1995,759234,2188094
1994,791355,3826962
1994,459769,8386117
1994,132644,2276877
1995,415565,3015859
1995,244197,5477664
1995,210194,441672
1995,501674,5791046
1993,732478,2197690
1995,324611,4213305
1995,713199,1800057
1993,318438,3521623
1995,647342,4286955
1995,673696,6987527
1992,669601,1771602
1997,778242,4182425
1997,703630,3169184
1997,308270,751616
1996,339930,573246
1995,347033,2041237
1995,137107,4757167
1995,343848,4574444
1994,787976,9209300
1993,467755,2756368
1994,470645,1518682
1994,520734,3463797
1996,492404,2373846
1995,240408,1984830
1994,344824,175668
1994,260562,6096290
1994,304584,3772853
1996,706377,2187060
1994,125638,3403786
1995,205472,991771
1995,44127,1606680
1995,136002,3288384
1992,185782,3229391
1992,487000,284250
1992,197836,7294406
1992,488320,5569433
1998,419373,2279705
1995,641075,487699
1994,21850,3543700
1995,292013,2652195
1993,228459,1109952
1993,776305,124314
1993,134645,6382632
1993,566653,5337731
1998,245641,4509202
1996,176171,1111228
1995,91140,2171788
1995,387749,3175706
1995,732728,4646460
1995,545671,514995
1997,63314,2761544
1997,560021,406456
1995,686701,7111841
1996,707241,4156539
1996,104360,1069658
1996,425305,4441310
1995,426267,1813724
1995,200458,5648393
1995,791121,4690788
1995,368570,6101997
1997,746559,6499144
1997,228808,3391950
1997,29556,3970875
1992,201553,5026890
1994,346132,5485326
1995,466455,689393
1994,89937,6027437
1995,372516,2859300
1998,333918,4208296
1994,2187,4744468
1995,379179,2270978
1993,440222,3490086
1994,215718,1568352
1994,424532,582604
1995,224399,595521
1992,3504,137935
1997,56462,6524916
1998,763033,1503712
1993,539447,5681097
1993,76672,2908253
1996,577822,2650221
1994,265142,4295664
1994,304574,5809100
1994,565649,7571761
1994,457492,4852825
1995,758414,4518734
1993,98606,3735508
1993,769898,4835032
1992,182273,2341906
1994,300222,111221
1997,679846,8413332
1994,670447,6063679
1996,530686,5098480
1993,30349,3093444
1992,287259,5388741
1992,745220,1127284
1996,618649,1020514
1995,468184,576080
1996,210962,2929293
1996,37599,6776361
1997,94131,1212890
1998,231306,3414920
1998,349145,108665
1995,264127,2916537
1995,458293,3378429
1997,210967,7160623
1992,214442,2221832
1995,487152,4343502
1996,371884,8537372
1994,225033,2179495
1994,43710,5718529
1997,604471,5639304
1997,3356,3490918
1994,22523,6938496
1994,140256,1944375
1996,213437,5590738
1995,740999,5048901
1995,657117,4640025
1994,360532,5900286
1998,758076,1210020
1998,175810,4478798
1995,77387,1506275
1993,160535,4154760
1993,508470,3696125
1993,470031,4404444
1994,289226,1786358
1992,588201,2060109
1992,280040,3835312
1998,445873,3974187
1998,176272,1698820
1998,190852,3236788
1996,676195,4633108
1994,43700,5259840
1992,620353,3351378
1992,668692,3866016
1994,207296,3419721
1994,548571,461571
1994,617460,5702560
1994,728938,7682711
1997,122499,1506275
1996,602531,5311117
1995,533719,6134415
1995,130584,4113949
1995,525570,6243387
1995,443321,4047024
1995,721525,7198910
1994,98489,4859597
1998,406526,6738480
1993,205893,1744913
1994,155723,8018469
1996,661262,704580
1996,218168,2828334
1995,115996,3078344
1995,737094,658276
1995,737067,5188941
1996,528359,532734
1996,240751,8458700
1993,382728,351277
1997,790927,4552359
1997,21004,3063600
1997,283672,155632
1995,503131,3797000
1998,771767,7777827
1995,419588,4178956
1995,625472,1194811
1994,45826,8681918
1994,142706,2465667
1996,358383,6033574
1996,351711,7523203
1996,790535,6989650
1998,665062,3378928
1998,92799,7826538
1994,267394,5023492
1996,75593,3450898
1996,89353,3825697
1996,145053,4249453
1994,317458,1841349
1995,183561,7977760
1994,163859,9037395
1998,144937,4011426
1998,481269,5175993
1997,795046,4672435
1997,650707,3237429
1994,349007,3075042
1994,77304,2888050
1993,771843,3190073
1993,352155,4220161
1993,603484,2719402
1996,787771,2230488
1993,191048,2619792
1993,686827,8887571
1993,47239,2733073
1995,187464,5026730
1995,529604,5145777
1995,241820,3171258
1995,791657,166118
1992,156151,2609858
1992,350902,1124864
1997,364267,6001275
1996,603648,7526860
1996,331406,7115080
1995,401206,2081498
1992,637573,3161560
1992,259341,4141551
1992,377401,7318030
1993,325581,629775
1992,438033,4567631
1995,455479,1546337
1992,414966,184332
1992,720785,830645
1998,410628,1492442
1998,134868,9042390
1996,622558,6736366
1996,25629,5699236
1996,607884,3583700
1992,539079,3327316
1995,503453,1722956
1995,721939,3176658
1995,393312,4451990
1997,20039,4652254
1997,784917,7747275
1998,181803,2303225
1998,746072,2417202
1996,735172,1443739
1992,617658,1058816
1992,749156,467586
1992,261798,1108661
1996,87595,3798216
1993,430545,2943662
1992,667431,3901536
1992,562992,2897507
1992,108487,1184420
1992,48352,1673550
1996,108934,8020415
1996,452180,4687142
1996,194541,3385567
1993,783136,1109381
1993,559880,5105711
1993,13720,5469694
1997,138886,8588814
1997,561774,545217
1995,401510,3952172
1995,25514,4600673
1996,237534,2873878
1996,41890,2696542
1995,494623,1672598
1993,21531,133632
1993,262658,1066381
1993,601550,1849236
1994,292431,6764091
1994,473173,3404065
1994,27027,2959370
1997,753812,6558216
1996,351186,1801319
1997,631967,4542240
1993,344180,1939085
1993,274026,2325023
1993,483309,1802730
1993,372799,6064567
1993,722822,9039471
1993,27937,4073007
1992,279182,3041104
1994,512397,6226596
1994,434634,2018801
1994,512993,9026865
1994,724783,2115067
1994,796676,3669364
1994,121008,2864736
1993,455374,4402807
1993,287720,4542508
1994,488572,2787142
1994,316232,454352
1994,500851,4977719
1994,193941,5274564
1994,535122,4738324
1994,644956,7778564
1994,74144,4729732
1995,288624,7503474
1992,570064,3374903
1992,249720,2855204
1992,255092,3275266
1992,120356,1307532
1997,370360,4301062
1997,2018,3251315
1998,490860,4171793
1998,43003,174064
1998,718704,5505653
1993,63236,1295168
1993,634196,2732726
1996,714555,3131192
1992,660908,4255416
1998,691713,1841054
1996,49832,6959827
1993,348641,4752929
1993,352536,6252414
1993,261203,1483178
1997,291994,2889600
1997,428480,6219759
1994,344669,4462344
1994,173102,5287950
1994,523362,5001077
1997,545274,2791533
1994,270905,2267951
1994,254059,3140424
1993,122548,4859250
1993,418007,3113482
1993,389759,5268909
1995,123740,4333509
1996,258674,6204108
1995,770238,2976155
1995,582743,996843
1992,43067,3066542
1996,116417,5534396
1993,637509,3685605
1993,213329,1006271
1993,612379,2702774
1998,795694,2951149
1995,237193,4475512
1997,333947,364491
1994,331195,931896
1994,789607,3511899
1998,349467,5657874
1995,403647,2583332
1995,717530,588050
1996,75122,1938611
1996,405664,2197496
1994,290471,5386941
1995,27590,3604276
1993,567432,3673554
1995,475480,2571797
1995,179396,407207
1995,705389,2635321
1994,363106,2366238
1994,320493,4597952
1994,548628,965721
