"lo_custkey","lo_orderdate","lo_revenue","lo_suppkey"
41210,19930301,1388568,5789
292946,19930925,1868620,578
279224,19930624,2853121,5935
289558,19930527,1942251,11658
81805,19930102,2669108,7782
81805,19930102,3349765,10003
101521,19930302,1631178,14116
101521,19930302,3322990,5473
208936,19930923,2199631,9347
208936,19930923,1387238,13342
208936,19930923,1512986,5181
151193,19930225,1475738,7675
138094,19930329,3099078,16455
138094,19930329,3598295,16751
149140,19930909,2066034,6319
143119,19930227,2526291,18344
143119,19930227,2460672,3633
3520,19930310,3634985,18877
255433,19930402,2568118,15015
269356,19931124,1930272,10497
269356,19931124,3350542,8065
269356,19931124,2481635,3693
97987,19930423,3936081,9127
129958,19930502,2124774,8384
79670,19931230,3755384,7139
79670,19931230,1819759,1906
79670,19931230,3887048,10497
99716,19930720,3396435,14327
99716,19930720,3003398,11525
267103,19931206,3435660,6339
103304,19931118,4145707,10505
47449,19930920,1175564,5781
171013,19930416,2080720,546
287179,19930503,2627700,13069
124973,19931021,2971991,18868
124973,19931021,1738283,9389
124973,19931021,1359379,413
142457,19931002,2581200,9103
142457,19931002,2956806,4377
20743,19930722,2779596,3673
859,19930607,2008057,13861
155338,19931214,2614691,4161
163018,19931021,2640417,10063
163018,19931021,2167154,14526
135332,19931115,2442668,12368
135332,19931115,1884892,12585
214477,19930729,2316504,16484
298070,19930221,1354759,11715
109088,19931003,2812090,3735
272599,19930125,2486950,4331
272599,19930125,1369652,3568
246113,19930729,2415249,305
246113,19930729,3108588,5069
112913,19930407,1679801,8711
244906,19930514,2175090,7439
230188,19930804,3258541,4241
74801,19930915,1857824,11106
126826,19930104,2987321,2476
76954,19930610,2233848,14791
76954,19930610,2034099,669
87745,19930721,3951901,19987
87745,19930721,1126998,16146
286589,19931105,2636022,7503
286589,19931105,1720866,16299
20839,19930518,1945575,100
20839,19930518,2357380,5234
20839,19930518,2399800,7198
214747,19930929,1462845,11977
18253,19930827,2471091,10523
18253,19930827,4340406,14535
25294,19930110,2236798,12513
68999,19930302,3143808,14001
68999,19930302,3353250,2436
98158,19930419,3124018,1923
295228,19930410,2324770,10421
295228,19930410,2888500,18275
190795,19931124,1944387,15349
190795,19931124,3398872,1977
186193,19930328,2227925,8039
186193,19930328,2338807,8979
72688,19931109,1521043,12228
163681,19931005,2200687,4112
247801,19930105,2656231,19168
30085,19930216,2782022,18226
195175,19930202,2294057,13655
269366,19931114,2316903,12653
269366,19931114,2267152,16583
269366,19931114,2066251,2031
219619,19930419,2822582,14111
219619,19930419,1871586,2484
91738,19930617,2903621,4191
46805,19930420,2514304,13002
122432,19930617,1340516,18580
54251,19930810,2504955,7756
54251,19930810,1216551,16250
179740,19930520,2696202,1489
116791,19930428,2381456,4276
116791,19930428,3548601,4837
226466,19931215,2095264,13624
112366,19930716,2738855,8662
169864,19930513,3082598,18212
169864,19930513,2090153,18491
46817,19930607,1894728,19683
140482,19930923,3178611,12593
140482,19930923,3313062,12877
140482,19930923,3420192,4899
166073,19931226,2026001,12706
286486,19930624,2143869,9518
286486,19930624,3010035,17710
170728,19930620,2844509,1989
170728,19930620,2968967,2508
170728,19930620,3098256,15402
263596,19931209,2110470,1541
263596,19931209,2531802,7058
164302,19931126,3254107,18520
284611,19930508,2051904,16522
33253,19930715,2229341,10314
58897,19930327,2062585,13487
253967,19931112,1925418,19010
247637,19930923,1683325,14534
103042,19931219,2267628,16752
281257,19930522,2653617,175
11999,19930525,2356727,8294
186377,19930101,1887604,6373
29215,19930511,2663573,323
214804,19931012,2181688,9274
214804,19931012,2921279,5458
238940,19930624,2172864,3793
5104,19931109,2447976,15652
276085,19930717,1750210,17793
36652,19930124,2166484,7583
167836,19930208,3063169,1150
167836,19930208,3504384,13161
167836,19930208,2736625,19097
167836,19930208,2776688,9207
80333,19930811,1284772,3975
80333,19930811,1672870,2863
242605,19931218,1565554,1192
38153,19930719,2791280,10218
136117,19930903,2443534,8741
136117,19930903,1625168,15753
262288,19930408,2116773,8512
6587,19930204,1930306,13326
6587,19930204,2441484,9478
197548,19931213,1600487,15502
19409,19930430,2512187,6803
19409,19930430,3413790,7731
251389,19930222,1991317,10850
232574,19930728,2100957,12276
232574,19930728,3177573,17584
232574,19930728,1719732,1885
232574,19930728,2887748,5643
232574,19930728,1890820,8267
38240,19930406,2557433,19732
49444,19930128,2087902,13300
283423,19930204,2911082,3493
66580,19931031,2341827,1013
108371,19930702,1718669,18667
108371,19930702,1839443,15673
108371,19930702,1974767,1531
196813,19930327,2145906,19333
77567,19930313,2341397,12238
77567,19930313,2229644,19743
126431,19930316,1650687,6631
75085,19931225,3484081,5570
35728,19931120,2111960,1297
35728,19931120,1913948,13106
254210,19930301,3430212,7030
254210,19930301,1582380,18120
241036,19930915,2519567,13370
191261,19930328,3395548,10730
246196,19931125,2115308,19380
246196,19931125,3412922,12275
110839,19931016,1425087,3500
289328,19930713,3564797,10049
289328,19930713,3257872,6786
289328,19930713,2145395,3700
61543,19931028,2248045,19915
61543,19931028,2820802,5247
115205,19930713,3577081,7623
194285,19930330,2707767,7495
4375,19930608,1558080,16619
99982,19930517,3059049,13572
200054,19930416,3354871,5715
200054,19930416,3761030,441
9955,19930415,3572731,17595
45037,19930728,1975075,4534
16709,19930403,2471728,3049
16709,19930403,1560058,17492
237145,19930912,2328766,14294
217271,19930603,3339200,757
274618,19930616,2059506,11703
280271,19931011,2094950,484
280271,19931011,2424177,19469
255475,19930324,2482461,12245
255475,19930324,2327521,7932
290038,19930501,2888774,16298
209680,19931023,3183729,10474
156325,19930118,2488621,3311
101776,19931109,1690063,14529
178684,19930418,3250985,3599
13147,19930703,2835658,1020
264386,19930722,2308287,5944
53012,19930324,2892936,256
192709,19930429,1648319,3692
192709,19930429,2970326,17444
192709,19930429,3260218,1261
192709,19930429,2346941,2354
287566,19931017,1576300,6281
156478,19931113,3954768,8279
12130,19930317,3056416,3220
12130,19930317,3396864,3246
288313,19930423,2391152,10264
267400,19930726,2324167,9745
169915,19931216,3125231,5080
139912,19930317,3321531,8901
291433,19931224,1857856,11598
291433,19931224,2149738,19984
291433,19931224,3939985,2880
289438,19931006,1694369,14701
289438,19931006,2465013,11422
223591,19930708,2012697,13934
222737,19930210,2274689,15481
199654,19930809,1320582,11951
199654,19930809,1975369,1243
199654,19930809,1725838,14163
48142,19930721,3254671,15493
48142,19930721,2699708,18390
293188,19930206,3324626,10008
293188,19930206,2896753,16492
1774,19930129,3149469,17297
151510,19930803,2240329,12048
222397,19930728,2501283,7595
222397,19930728,2366891,4070
40871,19930713,2175886,9481
288050,19930711,2124651,694
288050,19930711,2968224,1438
182716,19930320,2105395,8060
109213,19930929,3387959,12241
109213,19930929,2258605,14911
109213,19930929,2612110,3635
109213,19930929,1701997,8224
113207,19930510,2339920,9583
113207,19930510,3274009,9001
74218,19930612,3055260,15956
223255,19930129,3374242,16558
223255,19930129,2280280,9910
116012,19930331,3753333,16503
217819,19930712,2075414,15087
9230,19930118,1684152,3213
9230,19930118,3297765,1008
128285,19931130,3684612,13481
225496,19930306,2145018,15230
203908,19930327,1916289,17401
203908,19930327,2053116,12865
203908,19930327,2042686,13122
203908,19930327,1510978,1331
208004,19931228,3210770,12299
203906,19930730,1866860,1818
203906,19930730,2822748,12696
203906,19930730,2564062,8329
203906,19930730,1962058,2433
158543,19930917,4216898,6783
158543,19930917,2123380,5682
158543,19930917,2898117,1585
158543,19930917,2759172,4404
158543,19930917,2435258,4234
24464,19930327,3791735,10503
24464,19930327,1666812,12473
197906,19931023,2570592,8396
197906,19931023,1440419,8742
13231,19930404,2291419,3663
194854,19930412,2850533,4248
194854,19930412,1803474,680
61625,19930211,3838380,4779
229546,19930825,1739766,7891
190868,19930412,3076141,16964
255400,19931127,2180142,11394
255400,19931127,1971936,11404
82102,19931108,1510150,17138
5470,19930515,3167307,6887
218702,19931116,1292338,2953
218702,19931116,1683779,287
218702,19931116,3200987,7257
214072,19930308,2236316,4939
159575,19930907,2544824,15311
8980,19931012,2580404,15728
285217,19930706,2477993,9725
213856,19930715,1739468,10981
213856,19930715,3179139,12683
213856,19930715,3473416,1830
17939,19931029,2301314,10854
223210,19930728,2165037,7653
223210,19930728,2741116,14442
223210,19930728,2822965,15702
223210,19930728,2015458,18313
206542,19930712,3741437,4930
50449,19930201,2955952,13066
139549,19930815,2989296,11366
290147,19930413,1595360,8160
219758,19931021,2388499,17250
219758,19931021,2143909,7752
296860,19930119,1680196,14581
270433,19931223,2164854,11247
7999,19931225,2560289,4188
174785,19930913,2235483,5566
74885,19930329,4040679,18090
232348,19931122,2733363,14680
196564,19930418,1682074,4154
139421,19930917,2450141,3961
139421,19930917,2917860,18861
139421,19930917,4152614,1353
126466,19930923,3216210,6475
126466,19930923,3219507,17269
7195,19930517,3026518,8814
7195,19930517,1655766,10513
