"d_yearmonthnum","lo_custkey","lo_revenue","lo_suppkey"
199303,41210,1388568,5789
199309,292946,1868620,578
199306,279224,2853121,5935
199305,289558,1942251,11658
199301,81805,2669108,7782
199301,81805,3349765,10003
199303,101521,1631178,14116
199303,101521,3322990,5473
199309,208936,2199631,9347
199309,208936,1387238,13342
199309,208936,1512986,5181
199302,151193,1475738,7675
199303,138094,3099078,16455
199303,138094,3598295,16751
199309,149140,2066034,6319
199302,143119,2526291,18344
199302,143119,2460672,3633
199303,3520,3634985,18877
199304,255433,2568118,15015
199311,269356,1930272,10497
199311,269356,3350542,8065
199311,269356,2481635,3693
199304,97987,3936081,9127
199305,129958,2124774,8384
199312,79670,3755384,7139
199312,79670,1819759,1906
199312,79670,3887048,10497
199307,99716,3396435,14327
199307,99716,3003398,11525
199312,267103,3435660,6339
199311,103304,4145707,10505
199309,47449,1175564,5781
199304,171013,2080720,546
199305,287179,2627700,13069
199310,124973,2971991,18868
199310,124973,1738283,9389
199310,124973,1359379,413
199310,142457,2581200,9103
199310,142457,2956806,4377
199307,20743,2779596,3673
199306,859,2008057,13861
199312,155338,2614691,4161
199310,163018,2640417,10063
199310,163018,2167154,14526
199311,135332,2442668,12368
199311,135332,1884892,12585
199307,214477,2316504,16484
199302,298070,1354759,11715
199310,109088,2812090,3735
199301,272599,2486950,4331
199301,272599,1369652,3568
199307,246113,2415249,305
199307,246113,3108588,5069
199304,112913,1679801,8711
199305,244906,2175090,7439
199308,230188,3258541,4241
199309,74801,1857824,11106
199301,126826,2987321,2476
199306,76954,2233848,14791
199306,76954,2034099,669
199307,87745,3951901,19987
199307,87745,1126998,16146
199311,286589,2636022,7503
199311,286589,1720866,16299
199305,20839,1945575,100
199305,20839,2357380,5234
199305,20839,2399800,7198
199309,214747,1462845,11977
199308,18253,2471091,10523
199308,18253,4340406,14535
199301,25294,2236798,12513
199303,68999,3143808,14001
199303,68999,3353250,2436
199304,98158,3124018,1923
199304,295228,2324770,10421
199304,295228,2888500,18275
199311,190795,1944387,15349
199311,190795,3398872,1977
199303,186193,2227925,8039
199303,186193,2338807,8979
199311,72688,1521043,12228
199310,163681,2200687,4112
199301,247801,2656231,19168
199302,30085,2782022,18226
199302,195175,2294057,13655
199311,269366,2316903,12653
199311,269366,2267152,16583
199311,269366,2066251,2031
199304,219619,2822582,14111
199304,219619,1871586,2484
199306,91738,2903621,4191
199304,46805,2514304,13002
199306,122432,1340516,18580
199308,54251,2504955,7756
199308,54251,1216551,16250
199305,179740,2696202,1489
199304,116791,2381456,4276
199304,116791,3548601,4837
199312,226466,2095264,13624
199307,112366,2738855,8662
199305,169864,3082598,18212
199305,169864,2090153,18491
199306,46817,1894728,19683
199309,140482,3178611,12593
199309,140482,3313062,12877
199309,140482,3420192,4899
199312,166073,2026001,12706
199306,286486,2143869,9518
199306,286486,3010035,17710
199306,170728,2844509,1989
199306,170728,2968967,2508
199306,170728,3098256,15402
199312,263596,2110470,1541
199312,263596,2531802,7058
199311,164302,3254107,18520
199305,284611,2051904,16522
199307,33253,2229341,10314
199303,58897,2062585,13487
199311,253967,1925418,19010
199309,247637,1683325,14534
199312,103042,2267628,16752
199305,281257,2653617,175
199305,11999,2356727,8294
199301,186377,1887604,6373
199305,29215,2663573,323
199310,214804,2181688,9274
199310,214804,2921279,5458
199306,238940,2172864,3793
199311,5104,2447976,15652
199307,276085,1750210,17793
199301,36652,2166484,7583
199302,167836,3063169,1150
199302,167836,3504384,13161
199302,167836,2736625,19097
199302,167836,2776688,9207
199308,80333,1284772,3975
199308,80333,1672870,2863
199312,242605,1565554,1192
199307,38153,2791280,10218
199309,136117,2443534,8741
199309,136117,1625168,15753
199304,262288,2116773,8512
