"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST4",1996,233024,4217623
"UNITED ST8",1993,261463,2163847
"UNITED ST5",1992,17119,4782691
"UNITED ST6",1996,59920,5095652
"UNITED ST2",1993,295384,5759460
"UNITED ST9",1993,239170,1585657
"UNITED ST6",1997,12257,4411801
"UNITED ST5",1992,108644,4134178
"UNITED ST4",1992,108644,685116
"UNITED ST8",1997,97954,3020517
"UNITED ST1",1993,259420,6819336
"UNITED ST8",1993,99026,4051067
"UNITED ST5",1996,149242,4677794
"UNITED ST8",1996,149242,2391164
"UNITED ST7",1993,189751,1729105
"UNITED ST6",1995,103444,3205170
"UNITED ST1",1992,240665,4796130
"UNITED ST5",1992,240665,5137930
"UNITED ST4",1992,240665,338245
"UNITED ST7",1997,251312,3470996
"UNITED ST5",1993,179675,3526731
"UNITED ST8",1993,163129,5100259
"UNITED ST5",1997,19879,3545832
"UNITED ST6",1992,107659,5089581
"UNITED ST6",1992,233536,2280648
"UNITED ST1",1996,88987,2125448
"UNITED ST1",1994,77188,3892467
"UNITED ST1",1994,248860,4717176
"UNITED ST9",1994,248860,5649139
"UNITED ST7",1996,193247,1572120
"UNITED ST4",1996,193247,615382
"UNITED ST4",1997,193423,5648379
"UNITED ST6",1994,149366,6422292
"UNITED ST4",1993,55921,1256963
"UNITED ST4",1993,170101,7537302
"UNITED ST9",1995,248332,3108747
"UNITED ST0",1994,104099,6416570
"UNITED ST1",1997,54328,1212352
"UNITED ST4",1997,54328,6856779
"UNITED ST9",1992,157483,2445634
"UNITED ST1",1994,120172,3515688
"UNITED ST0",1996,128941,3229306
"UNITED ST0",1997,269545,2372460
"UNITED ST8",1997,290068,4604803
"UNITED ST4",1995,81265,3770185
"UNITED ST3",1993,265924,535233
"UNITED ST3",1993,271654,4455698
"UNITED ST5",1995,278548,525207
"UNITED ST3",1992,40108,772756
"UNITED ST8",1997,51214,148538
"UNITED ST5",1993,237349,4151190
"UNITED ST4",1992,241259,3721452
"UNITED ST9",1997,113299,2749943
"UNITED ST9",1995,247225,1749001
"UNITED ST7",1995,247225,2910540
"UNITED ST4",1994,109681,6106639
"UNITED ST0",1997,208199,1243397
"UNITED ST9",1993,86810,3131514
"UNITED ST8",1993,73829,6985527
"UNITED ST0",1996,198061,4302666
"UNITED ST5",1995,138392,2969132
"UNITED ST4",1994,119882,3749179
"UNITED ST5",1994,136520,2368566
"UNITED ST9",1997,292855,5037805
"UNITED ST9",1992,267229,5625632
"UNITED ST1",1992,219304,3246707
"UNITED ST1",1993,126739,5133183
"UNITED ST6",1993,153019,5961542
"UNITED ST7",1997,275614,1493776
"UNITED ST3",1992,176599,175981
"UNITED ST6",1995,101686,1839292
"UNITED ST9",1997,80179,3427240
"UNITED ST8",1997,250420,332714
"UNITED ST3",1993,118099,5396601
"UNITED ST9",1995,44747,766405
"UNITED ST8",1995,46453,755709
"UNITED ST9",1997,261079,6248763
"UNITED ST6",1997,261079,3250316
"UNITED ST2",1992,86779,5373100
"UNITED ST5",1996,151094,4331063
"UNITED ST0",1996,221179,4888526
"UNITED ST3",1992,127006,173066
"UNITED ST6",1992,127006,5291175
"UNITED ST2",1993,73388,4524240
"UNITED ST0",1992,256319,6463322
"UNITED ST2",1997,243329,617265
"UNITED ST8",1995,17968,4527357
"UNITED ST7",1994,245815,2656548
"UNITED ST0",1993,143014,2851700
"UNITED ST1",1992,205295,368454
"UNITED ST5",1995,122131,4119732
"UNITED ST8",1995,249079,1486404
"UNITED ST6",1997,111683,1131288
"UNITED ST5",1995,253549,5337461
"UNITED ST0",1992,205474,2006997
"UNITED ST4",1994,285316,5890995
"UNITED ST9",1993,152425,2355862
"UNITED ST9",1996,181513,6323746
"UNITED ST8",1992,115009,782683
"UNITED ST7",1994,170044,5809786
"UNITED ST8",1996,154475,1756888
"UNITED ST3",1992,77078,2535567
"UNITED ST8",1993,88696,4281475
"UNITED ST1",1992,166748,4640781
"UNITED ST7",1995,51362,1485415
"UNITED ST4",1997,83471,4242162
"UNITED ST6",1996,168110,1004530
"UNITED ST9",1993,92830,2464460
"UNITED ST9",1994,33289,1795887
"UNITED ST6",1993,20696,5304326
"UNITED ST1",1994,125989,686507
"UNITED ST5",1996,188375,5648957
"UNITED ST0",1995,112975,7932637
"UNITED ST4",1994,228472,6337879
"UNITED ST8",1993,92290,348943
"UNITED ST5",1993,92290,2827638
"UNITED ST1",1994,59060,639425
"UNITED ST2",1995,572,738106
"UNITED ST0",1994,290137,101614
"UNITED ST6",1993,104348,2082648
"UNITED ST2",1997,298120,4307355
"UNITED ST6",1996,293836,4511655
"UNITED ST4",1997,192893,5197302
"UNITED ST0",1993,285739,1661582
"UNITED ST8",1993,285739,4363405
"UNITED ST9",1992,296263,6398851
"UNITED ST8",1996,209230,182743
"UNITED ST1",1993,168479,618963
"UNITED ST0",1992,226264,452434
"UNITED ST1",1992,168473,4502559
"UNITED ST3",1992,118288,2189232
"UNITED ST6",1992,188318,4122524
"UNITED ST3",1992,188318,4052323
"UNITED ST0",1993,34732,547743
"UNITED ST4",1993,130043,5542530
"UNITED ST6",1993,93458,2185398
"UNITED ST2",1993,274987,2792454
"UNITED ST1",1995,277639,1305630
"UNITED ST5",1994,25792,320480
"UNITED ST4",1996,288049,2197683
"UNITED ST4",1994,59968,5153782
"UNITED ST0",1997,7063,791365
"UNITED ST6",1997,194845,1548581
"UNITED ST0",1994,275492,3434517
"UNITED ST4",1992,265555,3931012
"UNITED ST6",1992,160379,1189955
"UNITED ST0",1996,99494,5765341
"UNITED ST9",1995,208348,4652506
"UNITED ST5",1992,86548,516815
"UNITED ST8",1996,190165,4659066
"UNITED ST7",1994,31447,6494265
"UNITED ST9",1995,136952,4422521
"UNITED ST9",1996,47122,6958148
"UNITED ST0",1996,47122,347414
"UNITED ST0",1997,196319,1579664
"UNITED ST8",1995,8711,6244320
"UNITED ST5",1993,18289,3320224
"UNITED ST0",1995,63656,6888835
"UNITED ST4",1992,65914,3086094
"UNITED ST2",1993,204940,1301569
"UNITED ST3",1993,204940,8743792
"UNITED ST9",1996,171484,2784101
"UNITED ST0",1996,179095,3975958
"UNITED ST9",1995,135817,4915935
"UNITED ST6",1995,260941,4016833
"UNITED ST3",1997,77797,5466417
"UNITED ST2",1996,107956,2274491
"UNITED ST2",1997,189101,1741885
"UNITED ST6",1994,276844,6975013
"UNITED ST7",1997,159466,6494132
"UNITED ST5",1993,164422,4854111
"UNITED ST7",1995,221428,3015652
"UNITED ST9",1997,222254,7466726
"UNITED ST8",1997,125428,4947840
"UNITED ST4",1993,18493,6015153
"UNITED ST9",1994,199045,1429889
"UNITED ST2",1995,11288,2799135
"UNITED ST9",1992,230969,2345977
"UNITED ST5",1997,208298,2862483
"UNITED ST6",1997,208298,3072997
"UNITED ST5",1997,298174,5513195
"UNITED ST3",1996,184214,7939309
"UNITED ST1",1996,72536,7329814
"UNITED ST3",1992,148874,6516755
"UNITED ST9",1996,87874,3915573
"UNITED ST1",1997,285260,4168936
"UNITED ST0",1995,39409,1694797
"UNITED ST9",1992,36199,1355799
"UNITED ST6",1993,221290,194749
"UNITED ST3",1997,172076,6873528
"UNITED ST7",1994,155338,1669924
"UNITED ST2",1995,93013,2009865
"UNITED ST4",1997,263926,4485660
"UNITED ST9",1997,205765,1211582
"UNITED ST0",1997,205765,3532083
"UNITED ST1",1992,224878,3609190
"UNITED ST3",1996,27494,644973
"UNITED ST0",1996,13354,3714420
"UNITED ST7",1996,268543,3526043
"UNITED ST0",1992,13822,1467491
"UNITED ST0",1994,145196,2895402
"UNITED ST1",1992,215257,6126288
"UNITED ST7",1997,44332,3413544
"UNITED ST0",1992,106055,3681019
"UNITED ST4",1997,88081,3216721
"UNITED ST6",1994,294961,1835066
"UNITED ST3",1995,104221,6850935
"UNITED ST6",1996,202933,2299350
"UNITED ST0",1995,276058,5997196
"UNITED ST2",1996,94181,1850935
"UNITED ST4",1992,97312,1371027
"UNITED ST4",1995,203971,585885
"UNITED ST7",1995,270275,3995101
"UNITED ST9",1993,296699,2376770
"UNITED ST0",1992,188491,5152007
"UNITED ST5",1997,205831,4467792
"UNITED ST6",1995,26719,2351704
"UNITED ST0",1994,256969,3353779
"UNITED ST2",1997,297877,5437626
"UNITED ST4",1994,224581,3953192
"UNITED ST6",1992,65566,3354000
"UNITED ST9",1992,65566,5909536
"UNITED ST0",1995,251575,4227690
"UNITED ST1",1997,299408,3060381
"UNITED ST4",1993,219193,1586805
"UNITED ST7",1994,252193,8041145
"UNITED ST4",1995,63299,5370498
"UNITED ST8",1995,63299,369267
"UNITED ST8",1995,61555,6729014
"UNITED ST7",1997,144076,5332205
"UNITED ST5",1996,8182,3027758
"UNITED ST6",1992,53396,888376
"UNITED ST5",1993,259759,2345623
"UNITED ST9",1995,253448,1594684
"UNITED ST3",1996,288208,3422264
"UNITED ST9",1995,88544,2955361
"UNITED ST6",1994,233425,4120726
"UNITED ST5",1992,45130,2839756
"UNITED ST7",1994,214012,9236616
"UNITED ST0",1996,188690,4119474
"UNITED ST0",1996,228925,4164810
"UNITED ST9",1996,279976,3369276
"UNITED ST7",1992,39250,5320962
"UNITED ST0",1992,187930,5029683
"UNITED ST4",1995,129815,5980107
"UNITED ST0",1995,129815,2813556
"UNITED ST2",1994,14068,2206689
"UNITED ST2",1996,229259,3133479
"UNITED ST7",1992,85327,4364788
"UNITED ST3",1992,85327,4138449
"UNITED ST0",1992,116215,4050009
"UNITED ST9",1997,12824,2696520
"UNITED ST1",1992,60817,4286800
"UNITED ST9",1993,155939,3136823
"UNITED ST4",1993,60910,4376476
"UNITED ST5",1994,251170,4779381
"UNITED ST5",1992,66724,6613009
"UNITED ST9",1996,12163,264498
"UNITED ST9",1995,125086,2099589
"UNITED ST5",1996,60737,5433888
"UNITED ST5",1993,61492,6643418
"UNITED ST8",1996,266537,3950848
"UNITED ST8",1995,84935,2459882
"UNITED ST0",1996,158797,5965382
"UNITED ST4",1992,267067,3601143
"UNITED ST3",1992,135562,1232337
"UNITED ST7",1992,91079,3174983
"UNITED ST1",1992,241675,5504382
"UNITED ST3",1997,26536,2716031
"UNITED ST0",1995,139,1983163
"UNITED ST5",1993,203245,322024
"UNITED ST3",1994,129641,4918572
"UNITED ST8",1997,100009,129980
"UNITED ST4",1996,165037,1928380
"UNITED ST0",1993,87298,4676176
"UNITED ST1",1996,164951,6061230
"UNITED ST5",1992,36355,6078744
"UNITED ST5",1993,107743,5975028
"UNITED ST2",1994,131654,3535056
"UNITED ST1",1992,288944,1098971
"UNITED ST1",1992,288944,880263
"UNITED ST3",1996,193496,7762046
"UNITED ST1",1996,193496,793673
"UNITED ST6",1995,34213,3982795
"UNITED ST4",1995,34213,5837742
"UNITED ST6",1995,208954,156957
"UNITED ST7",1992,89089,8419941
"UNITED ST1",1996,47291,683195
"UNITED ST1",1997,80974,2917651
"UNITED ST9",1994,117541,708775
"UNITED ST4",1996,53605,1870923
"UNITED ST8",1993,205123,161565
"UNITED ST8",1997,175066,2421796
"UNITED ST7",1994,216866,4839767
"UNITED ST9",1996,153227,1983950
"UNITED ST8",1997,168724,5497030
"UNITED ST1",1993,229609,554639
"UNITED ST8",1993,229609,1481188
"UNITED ST2",1992,250333,984978
"UNITED ST5",1995,216022,1990989
"UNITED ST0",1994,247099,383467
"UNITED ST7",1992,66851,3411816
"UNITED ST7",1992,249661,1682482
"UNITED ST1",1996,293347,7103498
"UNITED ST0",1994,48346,4150626
"UNITED ST4",1993,108319,7739746
"UNITED ST0",1994,192167,2223916
"UNITED ST0",1997,37144,5363046
"UNITED ST8",1996,47515,7397243
"UNITED ST2",1997,64279,7503961
"UNITED ST4",1996,32704,4404660
"UNITED ST0",1996,32704,812937
"UNITED ST2",1993,142730,4833181
"UNITED ST1",1994,253588,1598615
"UNITED ST4",1995,58699,7187787
"UNITED ST4",1997,39931,1720817
"UNITED ST5",1992,166267,1489435
"UNITED ST7",1992,163012,5999107
"UNITED ST3",1995,2059,3317979
"UNITED ST7",1996,49240,2050489
"UNITED ST1",1995,162677,1888846
"UNITED ST8",1995,162677,4625864
"UNITED ST3",1995,162677,1159196
"UNITED ST9",1996,178216,5091227
"UNITED ST5",1996,266671,2646252
"UNITED ST8",1994,248047,2715053
"UNITED ST8",1992,100870,551328
"UNITED ST6",1995,43979,3736168
"UNITED ST7",1992,218992,2906463
"UNITED ST2",1997,29440,4759566
"UNITED ST2",1997,29440,242721
"UNITED ST9",1996,257231,3541144
"UNITED ST9",1996,257231,6010515
