"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST9",1992,452968,5784962
"UNITED ST0",1992,867511,9029377
"UNITED ST9",1992,554851,6521880
"UNITED ST9",1992,89372,6375830
"UNITED ST9",1992,186781,633468
"UNITED ST9",1992,212705,1020422
"UNITED ST9",1992,886402,2451267
"UNITED ST9",1992,473419,2413779
"UNITED ST0",1992,681562,6667263
"UNITED ST9",1992,504367,508914
"UNITED ST0",1992,881515,6007698
"UNITED ST0",1992,126688,6988246
"UNITED ST9",1992,847682,965856
"UNITED ST9",1992,292063,1202485
"UNITED ST9",1992,745894,6667236
"UNITED ST0",1992,510157,3437475
"UNITED ST0",1992,443542,7259915
"UNITED ST0",1992,377621,6448925
"UNITED ST0",1992,403042,597124
"UNITED ST9",1992,399874,1987293
"UNITED ST9",1992,620363,2321882
"UNITED ST0",1992,871435,7897066
"UNITED ST0",1992,505904,4245918
"UNITED ST0",1992,420508,3332322
"UNITED ST0",1992,702917,4653316
"UNITED ST9",1992,720389,1293592
"UNITED ST9",1992,550400,3518420
"UNITED ST0",1992,846062,8425737
"UNITED ST0",1992,515542,5989536
"UNITED ST9",1992,783580,5277456
"UNITED ST0",1992,738235,5656068
"UNITED ST0",1992,554861,5916673
"UNITED ST9",1992,119686,3663911
"UNITED ST0",1992,876250,5551401
"UNITED ST9",1992,12164,1980300
"UNITED ST9",1992,4018,6300518
"UNITED ST9",1992,62968,3400603
"UNITED ST0",1992,351941,5373695
"UNITED ST0",1992,9889,7153506
"UNITED ST9",1992,699230,5356826
"UNITED ST9",1992,576980,2288448
"UNITED ST0",1992,339608,5525604
