"d_year","lo_custkey","lo_revenue","lo_suppkey"
1992,65200,6164343,6386
1992,65200,7602938,48680
1992,65200,5669307,54212
1992,65200,3505947,24698
1992,65200,827419,11391
1992,854995,1395787,22198
1992,854995,2609632,55019
1992,854995,574828,37089
1992,854995,2967660,11475
1992,854995,5342136,7301
1992,854995,5863379,6385
1992,854995,4549415,22701
1992,261430,5435055,11278
1992,261430,5255654,4016
1992,752989,1902007,33088
1992,752989,3773775,28744
1992,752989,5396832,34560
1992,752989,4790945,35204
1992,752989,5238403,12265
1992,297215,876873,158
1992,297215,5234698,4915
1992,297215,4470158,37119
1992,297215,6560830,38592
1992,297215,4977611,59299
1992,297215,6681984,28393
1992,401182,2568464,29331
1992,401182,4388958,47
1992,401182,5743960,6375
1992,401182,660686,36001
1992,401182,3501412,19098
1992,401182,3079595,26150
1992,401182,6634927,52064
1992,455372,567412,34752
1992,455372,507822,21240
1992,455372,3311163,39029
1992,455372,3735189,31357
1992,455372,2945916,20963
1992,32065,2524726,28372
1992,32065,3466613,13279
1992,32065,4378665,29875
1992,334585,6318613,40818
1992,334585,8595544,37730
1992,334585,427230,46350
1992,334585,6902980,16488
1992,334585,7695249,27439
1992,422785,572832,40097
1992,422785,4211538,42909
1992,422785,6146583,15055
1992,422785,1646614,57593
1992,422785,3878703,31822
1992,799846,5644635,13922
1992,799846,2579850,45055
1992,799846,2664674,24263
1992,799846,1842588,13808
1992,799846,800350,46187
1992,799846,4714227,43566
1992,799846,2445600,17370
1992,597812,4209975,43350
1992,297376,1287920,16324
1992,297376,1389688,34700
1992,846361,176912,44657
1992,695747,5653267,26184
1992,695747,6901614,31736
1992,402202,2645388,46241
1992,402202,3288380,50398
1992,402202,1348014,5667
1992,402202,5503397,23160
1992,402202,7335625,20395
1992,117064,1078277,18620
1992,117064,2067007,40421
1992,382789,1824319,54331
1992,382789,637866,57550
1992,382789,609796,37817
1992,382789,1208070,7361
1992,382789,6206405,47703
1992,382789,3834435,17776
1992,598117,3664031,48350
1992,598117,2698121,27912
1992,450520,2857350,54593
1992,853505,4686901,29708
1992,829597,4883426,59246
