"d_year","lo_partkey","lo_revenue"
1993,19036,4211682
1994,108570,2320497
1996,151894,6802831
1995,85811,7510665
1993,137469,715568
1998,89414,2840501
1995,120896,1261313
1995,30762,4597536
1998,94728,3204259
1998,139247,4798961
1994,137267,2017690
1994,92070,4148445
1994,18504,3108162
1993,37131,3596393
1993,55655,2876620
1998,195635,5648776
1993,119477,1945411
1994,109743,175274
1994,44706,2195431
1994,123766,876982
1998,62029,2663861
1998,53439,4894391
1997,169238,4311244
1997,182321,3473217
1992,115635,1952695
1992,69130,3202864
1997,167545,6864582
1997,126090,1205377
1997,190825,3831640
1992,108896,4628882
1993,155084,3044760
1995,64888,6238646
1997,97017,2332223
1997,161368,2658609
1997,196400,281323
1993,92638,1379512
1992,145146,4288104
1993,85442,5501353
1995,155829,3011942
1998,15229,2219786
1998,148058,1592712
1998,10371,4126011
1996,132072,5409943
1993,128904,5213031
1993,185863,8157927
1994,83359,5927817
1994,56760,4896199
1993,146467,4958094
1993,161982,2775724
1994,23960,3896029
1997,50641,4934084
1994,60874,4954149
1992,99249,2756113
1997,4415,3760318
1997,192158,1576439
1992,199475,3807068
1995,42134,4855498
1994,63762,2728426
1993,119305,5429630
1996,61082,3642435
1994,96030,3996386
1992,181502,1707013
1995,68123,1641044
1997,136667,156736
1997,96392,5053739
1997,148313,4007696
1992,127808,7853552
1998,183266,5772134
1998,127657,2146244
1994,39560,5789801
1995,34829,507980
1996,64192,3662809
1997,170666,1701926
1997,161622,3788145
1995,108408,509904
1995,78048,186739
1997,114639,317496
1997,175131,4216630
1995,117595,3638003
1996,170012,1178308
1992,185785,7228693
1996,137343,4417088
1996,195826,1506706
1995,79758,3836952
1997,183351,6741445
1997,27973,6995569
1997,136884,4225936
1996,46543,6851884
1992,82099,211893
1995,32014,1089803
1995,50769,312996
1996,78713,3339435
1993,108692,4081656
1997,155391,2126193
1997,132197,1270982
1998,133178,1438869
1998,121990,8607293
1997,2946,6674673
1995,169547,633683
1994,182,2204400
1994,56720,3239423
1994,92995,3777181
1992,20101,1672561
1997,36565,828861
1997,137608,798116
1994,63233,1540744
1998,59048,586097
1997,184444,2787874
1997,92527,1999688
1997,56409,888875
1997,129431,4915807
1995,117617,3867487
1995,145743,6417999
1995,94365,679680
1992,184959,950436
1992,194864,5100871
1992,188203,3834864
1995,185016,320393
1992,195308,3873108
1994,159694,5729305
1992,101366,2956232
1993,149613,4156525
1993,198067,5144904
1998,179124,2148772
1998,197250,1859205
1998,97851,2433086
1992,181815,2253410
1993,197203,4420680
1993,187016,441204
1993,169700,3907497
1998,84489,4125744
1998,90396,2775552
1994,95395,1918738
1998,180119,4255641
1995,6983,2041178
1995,77402,1631830
1993,99317,618665
1995,119813,340902
1995,31640,2263161
1995,107093,2178178
1992,25641,1706070
1995,131708,3040995
1993,198375,288780
1995,56623,4260235
1995,46414,1616167
1995,75351,3172629
1996,90335,508926
1992,47411,3097174
1998,133708,3135060
1998,43152,1793855
1997,129655,5555975
1997,79304,4232323
1993,168398,4537010
1992,24498,3687094
1997,46068,3504591
1995,96392,5997844
1995,54591,6755773
1995,189917,5470836
1993,108889,2066791
1995,125704,2091207
1993,160159,1020428
1998,84976,713793
1998,70776,656785
1994,110509,428499
1994,164836,4470752
1995,8238,3706907
1992,73036,1327883
1994,17295,5241941
1994,163239,6315815
1992,146052,5217933
1992,48267,2739196
1992,12132,2762767
1995,25276,4427881
1995,196988,5691995
1994,35276,2976090
1994,193152,862888
1995,107207,2331264
1998,179337,2502655
1998,116560,6489120
1998,21218,4497601
1992,58957,7462625
1995,2145,2756072
1994,30745,770840
1994,130471,3378307
1995,128707,4471163
1995,65736,4211781
1997,47438,2284574
1994,141752,5112187
1997,43565,4055009
1997,20829,8402635
1992,155942,7989762
1994,127811,334663
1994,164788,4928394
1994,186928,5059464
1992,84143,2295984
1993,139555,3520766
1993,163141,1311308
1993,109815,2832105
1993,71383,3486174
1992,106899,5317433
1997,21522,707324
1997,60434,4693651
1997,199422,7150674
1998,197704,163954
1994,121039,2618274
1998,146694,2266378
1995,174304,897273
1994,8646,3361131
1996,168992,10304950
1996,135360,3555377
1992,142724,5148222
1992,574,5160995
1992,35462,2465119
1996,32488,2923347
1996,194006,4527600
1996,46115,1952442
1998,159850,2593576
1996,156084,2622184
1992,97431,1414145
1997,163940,1332620
1992,130451,2155509
1994,104889,5514978
1992,74067,4497379
1992,59148,4633380
1992,80049,4203628
1992,68229,323249
1993,71266,1351087
1993,7554,3724029
1992,55368,3131069
1997,77902,6293905
1997,98778,5982384
1993,113918,3487097
1994,137813,5680135
1994,151357,1775929
1994,77886,7213215
1992,22493,1902418
1992,58316,2421189
1996,177427,7371658
1992,142274,5863982
1994,109303,5066790
