"lo_orderdate","lo_partkey","lo_revenue"
19931014,19036,4211682
19940730,108570,2320497
19960110,151894,6802831
19950716,85811,7510665
19931027,137469,715568
19980721,89414,2840501
19951023,120896,1261313
19951023,30762,4597536
19980418,94728,3204259
19980418,139247,4798961
19940604,137267,2017690
19940604,92070,4148445
19940604,18504,3108162
19931218,37131,3596393
19931218,55655,2876620
19980124,195635,5648776
19930129,119477,1945411
19940925,109743,175274
19940925,44706,2195431
19940313,123766,876982
19980228,62029,2663861
19980228,53439,4894391
19970509,169238,4311244
19970509,182321,3473217
19920508,115635,1952695
19920508,69130,3202864
19970905,167545,6864582
19970905,126090,1205377
19970905,190825,3831640
19921021,108896,4628882
19930130,155084,3044760
19950912,64888,6238646
19971125,97017,2332223
19971125,161368,2658609
19971125,196400,281323
19930808,92638,1379512
19920405,145146,4288104
19931228,85442,5501353
19950407,155829,3011942
19980102,15229,2219786
19980102,148058,1592712
19980102,10371,4126011
19960307,132072,5409943
19931229,128904,5213031
19931027,185863,8157927
19940929,83359,5927817
19940929,56760,4896199
19931229,146467,4958094
19930929,161982,2775724
19940517,23960,3896029
19970221,50641,4934084
19940313,60874,4954149
19920113,99249,2756113
19971121,4415,3760318
19971121,192158,1576439
19920320,199475,3807068
19950604,42134,4855498
19940308,63762,2728426
19931231,119305,5429630
19960314,61082,3642435
19940614,96030,3996386
19920303,181502,1707013
19950125,68123,1641044
19970126,136667,156736
19970126,96392,5053739
19970126,148313,4007696
19921216,127808,7853552
19980407,183266,5772134
19980407,127657,2146244
19940206,39560,5789801
19950413,34829,507980
19961001,64192,3662809
19970531,170666,1701926
19970531,161622,3788145
19950720,108408,509904
19950305,78048,186739
19971014,114639,317496
19970526,175131,4216630
19951227,117595,3638003
19961204,170012,1178308
19921008,185785,7228693
19960326,137343,4417088
19960326,195826,1506706
19950711,79758,3836952
19970103,183351,6741445
19970326,27973,6995569
19970326,136884,4225936
19960311,46543,6851884
19920818,82099,211893
19950520,32014,1089803
19950520,50769,312996
19960404,78713,3339435
19930829,108692,4081656
19970407,155391,2126193
19970407,132197,1270982
19980208,133178,1438869
19980208,121990,8607293
19971031,2946,6674673
19951107,169547,633683
19940921,182,2204400
19940921,56720,3239423
19940921,92995,3777181
19920713,20101,1672561
19970513,36565,828861
19970513,137608,798116
19941219,63233,1540744
19980311,59048,586097
19970705,184444,2787874
19970223,92527,1999688
19971021,56409,888875
19970319,129431,4915807
19950802,117617,3867487
19950802,145743,6417999
19950802,94365,679680
19921021,184959,950436
19921021,194864,5100871
19921021,188203,3834864
19950618,185016,320393
19921201,195308,3873108
19941203,159694,5729305
19920829,101366,2956232
19931124,149613,4156525
19930227,198067,5144904
