"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"PERU",1997,195416,592472,90684
"CANADA",1993,332303,6087587,80117
"UNITED STATES",1994,408722,1630700,97842
"UNITED STATES",1994,573963,6061933,122216
"UNITED STATES",1994,217941,3245691,111535
"UNITED STATES",1995,287692,1069956,100780
"UNITED STATES",1994,411578,1313783,89373
"ARGENTINA",1993,296329,2027724,79518
"ARGENTINA",1993,399938,2219294,122275
"ARGENTINA",1993,686842,1031448,109728
"ARGENTINA",1993,221675,151682,95799
"ARGENTINA",1997,277818,5028240,107748
"ARGENTINA",1997,472356,2190416,79699
"PERU",1995,749854,2227469,114229
"PERU",1995,392721,703719,108822
"PERU",1995,445314,1718930,75557
"UNITED STATES",1997,341835,9008736,112609
"PERU",1998,572134,3061107,72366
"PERU",1994,368690,2560638,105520
"BRAZIL",1998,796040,3169467,68160
"BRAZIL",1998,36979,7462703,114958
"PERU",1996,796829,6239559,115547
"UNITED STATES",1994,500499,4304978,89968
"CANADA",1996,321522,7022970,92610
"BRAZIL",1996,366758,7061743,109484
"BRAZIL",1996,545739,5477274,107082
"UNITED STATES",1996,734014,603636,62878
"UNITED STATES",1996,71142,3481901,66788
"PERU",1997,602124,3860150,61565
"PERU",1997,696639,4396492,98136
"ARGENTINA",1997,31142,2163450,64388
"PERU",1996,654488,4385048,86547
"PERU",1996,630444,1731756,82464
"BRAZIL",1994,79044,595409,61382
"PERU",1994,706026,1552112,61919
"CANADA",1993,232301,3551875,73997
"BRAZIL",1994,407283,5541850,71415
"ARGENTINA",1994,674350,6099817,79459
"ARGENTINA",1994,187417,1504410,90264
"PERU",1993,277129,1234418,66366
"UNITED STATES",1997,214858,6775794,106370
"BRAZIL",1997,320109,2409478,67745
"BRAZIL",1996,598556,7154187,99271
"BRAZIL",1996,728775,1212113,108224
"BRAZIL",1996,760909,3585163,118192
"ARGENTINA",1992,551334,5859861,83118
"ARGENTINA",1992,175638,2035792,102817
"ARGENTINA",1997,337716,7253303,105222
"UNITED STATES",1995,662328,3959900,77417
"UNITED STATES",1995,537880,7813361,115071
"UNITED STATES",1995,722606,4695167,97714
"PERU",1996,395688,2910949,107020
"PERU",1996,724562,6663426,95191
"BRAZIL",1992,467420,6390364,83244
"ARGENTINA",1994,240544,405276,89071
"ARGENTINA",1994,454419,5680341,82403
"BRAZIL",1995,608439,6002667,80844
"UNITED STATES",1997,760104,1382915,69844
"ARGENTINA",1997,252891,5162864,110632
"ARGENTINA",1994,476163,1676814,68348
"UNITED STATES",1997,368090,1980316,69484
"UNITED STATES",1997,78372,243066,81022
"UNITED STATES",1997,504806,6147598,108646
"ARGENTINA",1996,174316,408751,83418
"CANADA",1998,587849,6771122,116209
"CANADA",1998,113410,661885,85404
"PERU",1993,182882,6159898,117892
"UNITED STATES",1996,712637,1760123,98976
"PERU",1998,432820,8413440,105168
"CANADA",1993,709726,6595622,104141
"PERU",1998,97908,5488992,114354
"ARGENTINA",1992,535999,549441,122098
"ARGENTINA",1992,231981,1652806,114778
"CANADA",1994,675056,1422807,61861
"UNITED STATES",1993,477496,5834941,88408
"UNITED STATES",1993,113354,2948006,82041
"UNITED STATES",1993,36096,1328299,61925
"PERU",1996,531181,3532234,72729
"PERU",1996,342613,2384064,99336
"CANADA",1993,742080,908860,67323
"UNITED STATES",1995,476486,4211884,87747
"BRAZIL",1996,510092,2700071,66124
