"d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1997,849172,282580,4850217,93754
1996,837244,562069,3619328,67862
1995,47002,332312,1467975,80658
1997,648362,195416,592472,90684
1998,276434,75999,9193578,118499
1994,218074,222697,6705475,97180
1993,365161,227814,3344256,104508
1993,365161,389952,2425824,122516
1993,151253,332303,6087587,80117
1995,322339,520500,5119456,91228
1997,434489,11504,4300289,84930
1997,434489,104701,2244701,102342
1993,741692,473050,1620479,61381
1994,147259,408722,1630700,97842
1994,147259,573963,6061933,122216
1994,147259,217941,3245691,111535
1992,707474,172376,5657333,86902
1992,707474,660194,5146399,69249
1994,608528,634214,4018630,68890
1995,824410,26828,340435,105289
1992,355795,681949,3282547,115854
1995,387016,365995,7749284,123658
1994,190237,521060,2821514,64862
1994,190237,648124,2703810,64325
1995,14101,287692,1069956,100780
1995,116872,2226,2100745,67693
1994,444100,411578,1313783,89373
1995,271034,714970,6026277,119096
1996,356350,309527,752889,92190
1993,691861,296329,2027724,79518
1993,691861,399938,2219294,122275
1993,691861,686842,1031448,109728
1993,691861,221675,151682,95799
1994,631469,634571,685020,90332
1992,796276,494834,7823649,109728
1996,612220,185763,3475668,110925
1997,780940,277818,5028240,107748
1994,531952,521778,7522955,107985
1994,531952,717143,5570848,69606
1994,811445,688670,7389241,99518
1994,811445,60080,2460829,62404
1994,811445,491672,4390372,99819
1996,246004,773754,328989,109663
1996,246004,479952,8983474,115915
1993,713249,741447,1571760,89304
1994,471533,503933,4321246,116214
1994,471533,284731,3472617,102943
1994,471533,284190,2164013,70450
1996,704032,562123,4266360,71106
1992,357559,364706,8069034,106241
1992,357559,7940,7218053,110876
1997,450665,472356,2190416,79699
1995,818977,749854,2227469,114229
1995,818977,392721,703719,108822
1995,818977,445314,1718930,75557
1998,691741,280259,4461264,74354
1998,691741,662541,6012536,90210
1992,770545,81933,3900712,114895
1992,770545,120787,1849358,108466
1992,136649,389699,2039095,107320
1993,592042,261141,1636663,66127
1992,431503,574725,2814730,107982
1992,431503,440890,9154350,109852
1993,681449,768453,5755531,91285
1993,681449,334343,2689925,82639
1996,598174,12146,2281349,63488
1995,215173,680840,8193645,109248
1995,215173,391268,4727471,81555
1996,195746,710141,3104543,69066
1994,392311,437021,2353806,57480
1994,146347,598661,3075850,105578
1994,146347,90600,7404243,95436
1994,146347,300526,4584109,91590
1995,494317,122961,2886661,119037
1992,617965,364575,3934944,98373
1992,617965,638250,3646647,71293
1995,147766,433058,2980027,59461
1995,386797,91545,2304810,92192
1995,386797,303674,6412016,100659
1995,386797,634635,6629990,94176
1995,386797,705854,2343373,111589
1993,78215,695999,5937000,119697
1998,634712,514458,1896489,88345
1998,437194,576028,4390608,66240
1997,868168,341835,9008736,112609
1994,494911,380910,8982940,119454
1994,494911,354145,3357564,71947
1994,144598,2089,2918730,59464
1998,479302,572134,3061107,72366
1994,683308,101446,2362222,86846
1997,330386,773251,1635411,79453
1997,173482,92799,4345090,107507
1993,581386,250184,2830888,68050
1993,581386,111429,570406,86425
1994,794992,525456,2204367,88885
1996,12439,722407,3473369,85762
1993,254039,43146,5336786,65348
1993,254039,341300,5552940,80477
1994,20221,328162,3770395,71409
1998,521437,280720,494906,102042
1998,521437,446379,1312096,79521
1992,477058,751002,3472695,63178
1997,710557,275528,3870034,90210
1997,710557,383338,3820508,85279
1997,710557,709319,5379534,79696
1997,820175,60216,2011319,70572
1997,280148,612919,8161025,109912
1998,538687,748047,1300871,65700
1994,592376,368690,2560638,105520
1998,254014,633099,2441853,61923
1998,254014,740569,6574930,96571
1998,254014,334504,830784,92309
1998,254014,29807,5272924,104208
1992,512303,673474,3387009,86846
1992,512303,425486,1270314,84687
1998,866689,796040,3169467,68160
1998,866689,36979,7462703,114958
1995,823181,99849,4542599,110930
1995,823181,319295,3406613,78856
1995,572203,714482,740742,89787
1997,492217,357645,459710,102157
1997,492217,529240,1108029,76153
1997,492217,389290,5826078,82756
1997,777115,47733,3595081,100843
1994,312524,674627,776771,96095
1994,312524,770986,5553765,123417
1992,44570,777649,994527,103596
1992,234298,483837,5735551,109248
1994,341630,530695,481461,103540
1997,778249,345442,5948232,89245
1997,778249,236967,1226143,114237
1996,44950,796829,6239559,115547
1995,551477,496273,984938,76155
1995,551477,52936,377786,113335
1995,551477,92654,2247677,98799
1992,470539,411130,1817778,62466
1993,26896,152490,1542490,92549
1994,224303,500499,4304978,89968
1993,50770,425812,5474038,104267
1996,89822,321522,7022970,92610
1995,314497,749105,3323721,69244
1996,22351,484616,4456042,96035
1996,331822,27443,2442124,82226
1996,331822,429210,1606257,68351
1996,331822,301848,6433708,110989
1995,509174,51865,872092,109011
1995,681019,519610,3448212,97775
1997,868129,411996,5922338,114478
1992,715535,626606,2553261,91954
1996,347539,161734,4848471,107743
1998,71515,135714,7348782,104982
1996,438937,366758,7061743,109484
1996,438937,545739,5477274,107082
1997,786335,349996,5518008,122758
1997,786335,772265,3931456,80233
1998,789593,692818,3831610,108646
1998,789593,191433,2751596,91465
1998,789593,168944,7222428,120776
1998,789593,689669,4727095,99517
1996,179636,13321,1836668,74059
1994,540319,11091,3571448,60125
1994,124735,68410,376305,82704
1994,124735,130837,6841861,112069
1992,293914,301555,4107709,93392
1993,610312,218557,283303,88532
1996,196042,421264,3019991,71114
1997,849442,651817,2865423,106126
1996,575686,734014,603636,62878
1996,575686,71142,3481901,66788
1996,649513,102586,5004027,95314
1997,453374,475737,4817853,102762
1995,443576,582212,4357537,77651
1995,443576,617074,99104,59462
1992,468328,255321,5941223,76578
1992,468328,771606,4888438,100654
1992,468328,368577,4238962,98733
1993,655444,417623,7025136,92436
1993,655444,574128,3276924,72126
1995,31681,383200,3572400,76991
1995,31681,41837,5107020,106729
1994,572372,4500,3834285,84270
1996,337045,535825,3036825,111648
1996,337045,380811,6422661,113508
1994,82681,569378,3612585,86841
1997,886219,602124,3860150,61565
1997,886219,696639,4396492,98136
1998,838132,438036,3401242,58440
1993,570811,209600,1035578,90575
1992,510751,261562,2132970,91413
1992,510751,607700,3173540,96460
1992,510751,797156,3809484,75187
1992,510751,758190,5259746,74889
1998,891284,541826,8152947,112068
1992,207526,589124,4683779,72786
1994,389407,757156,112820,72787
1995,474943,406433,3573545,80364
1992,278059,254597,4235813,93094
1992,543232,619597,4604276,90993
1997,472180,31142,2163450,64388
1993,608693,294364,370829,81501
1993,608693,373424,3481478,89844
1996,899345,506849,4884518,111349
1992,683344,210433,2659971,80605
1992,683344,113590,6667727,96215
1994,29203,295965,356892,117657
1993,295471,94285,125369,76756
1997,657985,88662,7923168,99039
1997,657985,755804,5231533,111586
1997,657985,396176,3663820,76329
1997,654401,108943,6636596,117116
1997,654401,107130,5349059,68227
1996,518113,654488,4385048,86547
1998,268846,387506,1720969,95609
1998,268846,798944,9703822,122574
1998,268846,647034,388476,58860
1998,268846,551704,3335792,105340
1998,268846,489032,2450424,61260
1996,676741,630444,1731756,82464
1993,240623,16954,510769,112257
1994,664594,107717,810613,103482
1994,664594,783303,1580347,83176
1998,806486,525718,2406292,104621
1994,607564,79044,595409,61382
1997,805942,446791,1517073,104266
1997,457339,212524,1830113,86190
1997,457339,686991,8277762,118677
1997,457339,359798,1764891,111466
1992,552518,416730,7904208,98802
1992,552518,779281,5625994,81615
1992,552518,560353,2798393,84799
1994,869614,230296,4061439,73576
1993,485320,26224,4152294,69013
1997,726434,43563,5694796,90393
1997,726434,406155,4248764,63667
1995,669937,434823,4296063,105468
1997,627731,8243,3281034,69074
1994,473101,682128,5060900,66605
1994,473101,513379,6208488,83541
1996,11506,197508,622934,96330
1995,774578,721191,1985518,72729
1995,721309,237526,1170808,87810
1997,38234,316824,2650766,110448
1997,898201,725124,4522818,68945
1995,837365,306147,5535024,69187
1995,837365,266681,1393928,98860
1994,285070,578551,6012965,97771
1997,477193,614442,5774237,81384
1997,477193,713068,4877607,64861
1996,251605,705952,1566336,117475
1998,520006,539847,5264227,113209
1993,319094,216397,3020774,78802
1994,799498,706026,1552112,61919
1995,135752,399106,5154169,72305
1993,82280,324865,7037801,113391
1994,472747,793609,6817090,102154
1997,239455,742860,5086264,114169
1997,239455,190625,1717335,102937
1993,608224,232301,3551875,73997
