"d_year","lo_partkey","lo_revenue"
1996,155190,2032150
1996,67310,4184467
1996,15635,4614674
1996,106170,4469446
1993,183095,3166705
1994,37531,6755238
1992,139636,5703844
1996,182052,1265599
1996,79251,4047522
1993,33918,6909476
1995,161940,6398200
1992,126782,6701529
1996,67831,7778140
1995,59694,4170606
1995,1388,2464005
1996,20193,1215603
1996,40613,3394637
1998,7068,277892
1998,175180,5658351
1998,82758,4559024
1994,104180,3486225
1993,45734,1829225
1998,65916,513761
1994,135390,4233408
1993,77699,2994568
1996,138418,1642830
1996,194658,1020042
1992,2867,7490047
1992,39444,4382737
1992,168569,155568
1992,11860,3061774
1993,140449,2680992
1993,119053,4563716
1993,114419,4403435
1995,108205,5359917
1997,36818,4548467
1992,91309,3076509
1992,3037,1967482
1993,58520,2217780
1993,139190,5601418
1995,99652,6297741
1997,82915,4649879
1993,93878,4046982
1992,56176,869506
1995,17936,4449432
1998,101952,6319074
1994,108609,5279846
1994,93857,7745807
1995,171925,726878
1995,198212,5542188
1993,37309,3969465
1993,117956,367154
1993,82937,9031350
1993,117961,2521195
1995,174102,2625055
1993,83580,3064616
1993,176948,595332
1993,118399,5102604
1998,146229,848021
1993,161762,7632435
1993,132912,5908636
1993,192201,775920
1996,5337,3242481
1993,173959,5236879
1993,118455,6931108
1995,60074,3105312
1997,98833,6462696
1997,78406,2446234
1997,39439,6550299
1994,1888,868091
1992,186406,1477476
1992,117267,1602756
1992,183246,1249485
1993,158791,5723250
1993,185139,569220
1993,18788,5555568
1995,156712,7106676
1993,102699,6503859
1996,49480,1841170
1994,45214,417315
1994,107463,6917043
1994,55342,4946757
1996,113143,2825606
1996,185814,6360563
1993,190028,4308849
1993,96557,2143899
1993,161283,4172645
1994,11158,1924470
1994,182663,3854417
1992,63342,5820511
1992,92053,1149555
1992,131403,1847507
1996,53025,4138980
1995,152405,5115474
1997,55927,3291344
1994,189295,251940
1998,124632,1658286
1994,121586,2048056
1993,174101,2732107
1994,131087,221379
1996,152691,5466468
1996,70495,2044358
1996,148401,2439340
1995,100885,905222
1995,161079,2382746
1992,133070,108100
1997,175984,8623076
1996,131890,4877756
1995,125197,488876
1995,137283,2975911
1995,9982,527862
1995,106298,632580
1995,152726,5400193
1998,129532,5509077
1998,76558,4124870
1997,197917,8976424
1997,94318,3417255
1993,52148,2323495
1992,20646,2738486
1996,38215,5251718
1997,31950,7960648
1997,164805,3825610
1997,96871,1849191
1996,67040,3907315
1996,28099,286558
