"d_yearmonthnum","lo_custkey","lo_revenue","lo_suppkey"
199205,231209,2515293,57604
199203,456418,3775286,32576
199205,495959,4279485,20366
199205,129202,2562567,3722
199209,356434,3001933,59827
199204,704209,4935093,15441
199201,615419,2641916,53447
199201,615419,2592374,41572
199212,815080,2597299,30715
199212,815080,2172756,46625
199208,633503,3999654,30351
199209,200978,3789181,20837
199209,200978,3405580,44350
199209,200978,1931166,9857
199205,417934,3108850,26542
199210,293555,2298234,46632
199210,293555,3016259,35358
199210,192619,4715310,20722
199210,192619,4391367,24992
199210,192619,2121774,31498
199210,192619,1850152,46032
199205,440077,3626175,54458
199204,161791,2719895,59724
199211,188365,2700620,56082
199203,542182,3838457,14160
199206,227770,3758318,38908
199202,471521,2831411,54945
199202,471521,3543559,33488
199203,341053,2652875,41463
199207,438316,2953125,54043
199204,106847,4551597,131
199204,106847,2535644,33787
199210,543818,3232343,34639
199210,395645,2341941,51732
199208,772333,2679963,15358
199210,784654,2453146,30517
199205,800512,3259357,6842
199204,168362,2550665,43881
199212,817799,3576659,15559
199212,817799,2112022,13781
199201,74651,4206851,13234
199207,864028,4160016,31323
199212,632185,3882988,32915
199212,632185,2448627,53342
199201,276415,3828268,14549
199206,741856,2015629,47477
199204,399380,2775111,26472
199204,399380,2040098,32042
199203,269407,2779970,47703
199203,269407,1756912,57815
199206,2389,3612796,45893
199210,549943,4017674,23539
199201,98983,3248140,2543
199201,603610,3658386,6032
199201,603610,1875894,33298
199204,69607,2051360,15360
199204,69607,2845357,34534
199203,832586,2267726,59333
199209,245833,3635766,27774
199212,402469,2659145,50710
199202,364855,2226841,59674
199210,299509,2618213,5692
199204,147575,3460525,90
199204,147575,3847803,33357
199204,147575,2651032,19486
199203,657473,3333616,49059
199203,657473,2639765,26681
199201,279763,2233744,9443
199201,279763,3928797,25090
199210,110156,2596294,23531
199210,78538,2131995,12768
199208,642332,2805911,20191
199207,662030,2095842,12711
199208,224896,2413938,2295
199208,224896,2583765,42639
199208,224896,4159090,43154
199204,708388,2369228,59517
199210,273631,2652756,38
199209,678481,1896823,52631
199209,678481,2915284,25043
199211,451381,2454159,55276
199205,732664,3397751,51104
199205,732664,4121291,55708
199211,54317,3660408,49284
199203,295801,3349008,41979
199203,295801,4490173,35481
199202,96094,2953360,9251
199207,359506,2146519,59833
199207,359506,3356964,48123
199207,359506,2494933,55980
199206,201419,1756785,8961
199206,201419,2534049,6361
199205,308246,2867591,47600
199202,894578,2297172,2227
199212,347257,2658181,27837
199201,330049,2315667,52043
199203,192085,4482414,2933
199203,192085,1973530,26932
199210,750373,1872247,26188
199211,814066,2276778,58372
199212,242134,2162409,31449
199203,618920,4617086,5002
199203,618920,2649382,46000
199203,307940,2272524,25673
199203,307940,3173425,33028
199211,26839,3216156,18721
199208,718228,4123742,19645
199208,718228,2717213,38003
199204,832309,2320226,356
199204,832309,1903181,42320
199204,832309,5029150,25956
199212,738613,3266670,9933
199210,351116,3789531,51085
199212,288914,2070018,22089
199212,158498,2992261,37187
199212,158498,3583640,39822
199205,397720,4558856,11861
199201,717031,2648921,225
199204,373081,3749382,38411
199206,222103,3363465,43826
199210,75914,1922145,45611
199210,75914,3304775,55918
199202,795307,1724317,4118
199203,262484,2866923,27900
199203,262484,2269432,10713
199201,558442,2548599,56154
199205,305542,1677665,44488
199205,305542,2747710,38729
199206,732832,4269170,51530
199201,306586,4607015,15492
199204,242648,2706969,40721
199201,481348,2708706,31673
199208,214658,4715081,55692
199204,880939,3678724,27988
199203,224920,2924567,8688
199203,224920,2463674,31870
199210,36745,2518135,1715
199210,36745,2135710,17411
199210,36745,3993802,1636
199201,484021,2201018,21641
199201,484021,2713126,53712
199209,595345,2537642,44336
199205,562321,3112471,43999
199211,279604,2287866,14473
199211,279604,3216473,49133
199207,754769,2606272,28387
199201,835015,4511953,2966
199202,676663,3055504,49572
199202,676663,3671315,27010
199208,380782,1827161,30162
199209,844391,2930009,52435
199209,844391,2693314,47835
199204,331307,3035960,13622
199204,331307,2396390,37570
199209,414976,3924726,43422
199209,414976,2603406,35620
199206,813532,2245952,31324
199206,813532,2512627,28609
199206,813532,2839034,44887
199208,138190,3619514,14891
199204,167825,2674321,6440
199204,167825,3136000,53000
199209,551368,2755123,33393
199209,551368,2295306,35584
199208,86272,2941576,37316
199206,421057,2314762,9080
199206,421057,3480325,25691
199206,421057,4600777,25124
199212,530332,3166825,58769
199202,790777,3112269,53293
199209,464911,2590324,26144
199209,464911,1865857,6716
199212,28483,3334689,54420
199212,28483,3678084,55846
199207,529109,2159848,21462
199201,314554,3279233,16480
199207,199349,3501098,17253
199207,199349,1919473,44726
199209,844085,1966709,16012
199211,272183,2474453,14676
199206,262039,3333588,14588
199210,93880,2362763,34943
199201,416144,3056572,17065
199201,416144,3988755,40030
199201,416144,2790087,33613
199212,224962,2919913,45191
199212,224962,2389592,1319
199212,807155,3540012,8718
199210,651122,1999540,13432
199211,563189,2793772,31997
199209,124360,3941504,25327
199209,124360,2388507,20412
199209,124360,2934276,29337
199212,884152,3883211,6069
199212,41134,3712386,46057
199210,110161,3002911,18881
199202,894724,2229753,25501
199202,894724,3228787,57204
