"lo_custkey","lo_orderdate","lo_revenue","lo_suppkey"
231209,19920522,2515293,57604
456418,19920324,3775286,32576
495959,19920525,4279485,20366
129202,19920509,2562567,3722
356434,19920925,3001933,59827
704209,19920414,4935093,15441
615419,19920111,2641916,53447
615419,19920111,2592374,41572
815080,19921219,2597299,30715
815080,19921219,2172756,46625
633503,19920812,3999654,30351
200978,19920914,3789181,20837
200978,19920914,3405580,44350
200978,19920914,1931166,9857
417934,19920518,3108850,26542
293555,19921024,2298234,46632
293555,19921024,3016259,35358
192619,19921002,4715310,20722
192619,19921002,4391367,24992
192619,19921002,2121774,31498
192619,19921002,1850152,46032
440077,19920504,3626175,54458
161791,19920415,2719895,59724
188365,19921114,2700620,56082
542182,19920308,3838457,14160
227770,19920626,3758318,38908
471521,19920225,2831411,54945
471521,19920225,3543559,33488
341053,19920327,2652875,41463
438316,19920728,2953125,54043
106847,19920406,4551597,131
106847,19920406,2535644,33787
543818,19921028,3232343,34639
395645,19921005,2341941,51732
772333,19920813,2679963,15358
784654,19921025,2453146,30517
800512,19920523,3259357,6842
168362,19920415,2550665,43881
817799,19921208,3576659,15559
817799,19921208,2112022,13781
74651,19920110,4206851,13234
864028,19920729,4160016,31323
632185,19921212,3882988,32915
632185,19921212,2448627,53342
276415,19920110,3828268,14549
741856,19920604,2015629,47477
399380,19920428,2775111,26472
399380,19920428,2040098,32042
269407,19920316,2779970,47703
269407,19920316,1756912,57815
2389,19920612,3612796,45893
549943,19921014,4017674,23539
98983,19920125,3248140,2543
603610,19920106,3658386,6032
603610,19920106,1875894,33298
69607,19920407,2051360,15360
69607,19920407,2845357,34534
832586,19920303,2267726,59333
245833,19920929,3635766,27774
402469,19921223,2659145,50710
364855,19920215,2226841,59674
299509,19921022,2618213,5692
147575,19920420,3460525,90
147575,19920420,3847803,33357
147575,19920420,2651032,19486
657473,19920326,3333616,49059
657473,19920326,2639765,26681
279763,19920111,2233744,9443
279763,19920111,3928797,25090
110156,19921028,2596294,23531
78538,19921002,2131995,12768
642332,19920825,2805911,20191
662030,19920718,2095842,12711
224896,19920817,2413938,2295
224896,19920817,2583765,42639
224896,19920817,4159090,43154
708388,19920403,2369228,59517
273631,19921005,2652756,38
678481,19920918,1896823,52631
678481,19920918,2915284,25043
451381,19921103,2454159,55276
732664,19920523,3397751,51104
732664,19920523,4121291,55708
54317,19921129,3660408,49284
295801,19920319,3349008,41979
295801,19920319,4490173,35481
96094,19920211,2953360,9251
359506,19920722,2146519,59833
359506,19920722,3356964,48123
359506,19920722,2494933,55980
201419,19920618,1756785,8961
201419,19920618,2534049,6361
308246,19920517,2867591,47600
894578,19920203,2297172,2227
347257,19921204,2658181,27837
330049,19920125,2315667,52043
192085,19920324,4482414,2933
192085,19920324,1973530,26932
750373,19921029,1872247,26188
814066,19921127,2276778,58372
242134,19921202,2162409,31449
618920,19920312,4617086,5002
618920,19920312,2649382,46000
307940,19920309,2272524,25673
307940,19920309,3173425,33028
26839,19921112,3216156,18721
718228,19920823,4123742,19645
718228,19920823,2717213,38003
832309,19920423,2320226,356
832309,19920423,1903181,42320
832309,19920423,5029150,25956
738613,19921213,3266670,9933
351116,19921007,3789531,51085
288914,19921215,2070018,22089
158498,19921218,2992261,37187
158498,19921218,3583640,39822
397720,19920526,4558856,11861
717031,19920107,2648921,225
373081,19920403,3749382,38411
222103,19920610,3363465,43826
75914,19921031,1922145,45611
75914,19921031,3304775,55918
795307,19920222,1724317,4118
262484,19920320,2866923,27900
262484,19920320,2269432,10713
558442,19920126,2548599,56154
305542,19920517,1677665,44488
305542,19920517,2747710,38729
732832,19920609,4269170,51530
306586,19920110,4607015,15492
242648,19920419,2706969,40721
481348,19920107,2708706,31673
214658,19920809,4715081,55692
880939,19920416,3678724,27988
224920,19920315,2924567,8688
224920,19920315,2463674,31870
36745,19921025,2518135,1715
36745,19921025,2135710,17411
36745,19921025,3993802,1636
484021,19920115,2201018,21641
484021,19920115,2713126,53712
595345,19920906,2537642,44336
562321,19920505,3112471,43999
279604,19921127,2287866,14473
279604,19921127,3216473,49133
754769,19920716,2606272,28387
835015,19920103,4511953,2966
676663,19920209,3055504,49572
676663,19920209,3671315,27010
380782,19920804,1827161,30162
844391,19920906,2930009,52435
844391,19920906,2693314,47835
331307,19920415,3035960,13622
331307,19920415,2396390,37570
414976,19920907,3924726,43422
414976,19920907,2603406,35620
813532,19920610,2245952,31324
813532,19920610,2512627,28609
813532,19920610,2839034,44887
138190,19920808,3619514,14891
167825,19920416,2674321,6440
167825,19920416,3136000,53000
551368,19920919,2755123,33393
551368,19920919,2295306,35584
86272,19920809,2941576,37316
421057,19920622,2314762,9080
421057,19920622,3480325,25691
421057,19920622,4600777,25124
530332,19921217,3166825,58769
790777,19920212,3112269,53293
464911,19920930,2590324,26144
464911,19920930,1865857,6716
28483,19921201,3334689,54420
28483,19921201,3678084,55846
529109,19920702,2159848,21462
314554,19920102,3279233,16480
199349,19920701,3501098,17253
199349,19920701,1919473,44726
844085,19920927,1966709,16012
272183,19921118,2474453,14676
262039,19920611,3333588,14588
93880,19921001,2362763,34943
416144,19920130,3056572,17065
416144,19920130,3988755,40030
416144,19920130,2790087,33613
224962,19921207,2919913,45191
224962,19921207,2389592,1319
807155,19921230,3540012,8718
651122,19921028,1999540,13432
563189,19921108,2793772,31997
124360,19920901,3941504,25327
124360,19920901,2388507,20412
124360,19920901,2934276,29337
884152,19921201,3883211,6069
41134,19921225,3712386,46057
110161,19921029,3002911,18881
894724,19920204,2229753,25501
894724,19920204,3228787,57204
894724,19920204,2220848,1440
669509,19920304,2649442,41174
669509,19920304,3745440,22803
576064,19920802,4098632,48228
576064,19920802,2002391,26564
456565,19920823,2113862,38593
456565,19920823,3146566,28826
456565,19920823,2295569,34161
851465,19920825,3154702,43364
851465,19920825,1787151,17184
694339,19920105,3406325,18100
740647,19920815,1928614,44583
239125,19920207,3662035,5942
11474,19920702,3884469,59190
621775,19921210,2885981,45159
828877,19920708,2094741,31578
542939,19920917,2594696,29911
19144,19920222,2708979,42825
19144,19920222,3558424,34133
442444,19921020,2194397,59060
873395,19920530,2947727,30715
410489,19920816,3367428,18811
622954,19921203,2231169,31962
622954,19921203,2635140,35753
671279,19920930,2784666,5961
582796,19920525,2824738,59525
