"s_city","d_yearmonthnum","lo_custkey","lo_revenue"
"RUSSIA   1",199210,293555,3016259
"RUSSIA   5",199210,192619,2121774
"RUSSIA   1",199210,543818,3232343
"RUSSIA   4",199204,399380,2040098
"RUSSIA   8",199206,2389,3612796
"RUSSIA   4",199204,69607,2845357
"RUSSIA   9",199210,75914,3304775
"RUSSIA   7",199212,530332,3166825
"RUSSIA   0",199201,416144,2790087
"RUSSIA   4",199210,110161,3002911
"RUSSIA   1",199202,239125,3662035
"RUSSIA   3",199210,441517,3215401
"RUSSIA   1",199212,707476,2951702
"RUSSIA   7",199206,167494,3906133
"RUSSIA   5",199202,488764,2989599
"RUSSIA   0",199201,688924,4127061
"RUSSIA   7",199212,145078,2139845
"RUSSIA   0",199209,225238,2771558
"RUSSIA   9",199210,195460,3204492
"RUSSIA   1",199206,417211,3319074
"RUSSIA   6",199204,697906,2208940
"RUSSIA   7",199212,504286,4369789
"RUSSIA   6",199211,622222,2510626
"RUSSIA   5",199201,796579,4256648
"RUSSIA   7",199203,705256,2848578
"RUSSIA   6",199203,159739,3680115
"RUSSIA   6",199201,380698,2229142
"RUSSIA   8",199211,105710,2254301
"RUSSIA   6",199212,531214,3573561
"RUSSIA   9",199202,793384,1716214
"RUSSIA   9",199202,793384,4044019
"RUSSIA   2",199201,665792,1898253
"RUSSIA   6",199210,470383,2636023
"RUSSIA   0",199206,200506,2521965
"RUSSIA   4",199209,338162,2422464
"RUSSIA   9",199203,506347,3012594
"RUSSIA   4",199201,255517,2537776
"RUSSIA   6",199202,635744,3196162
"RUSSIA   2",199201,575902,2394854
"RUSSIA   1",199207,591010,4067496
"RUSSIA   6",199207,131657,2754936
"RUSSIA   3",199209,466711,5121692
"RUSSIA   7",199211,377038,1684201
"RUSSIA   1",199202,129277,3394458
"RUSSIA   2",199211,213244,4575010
"RUSSIA   8",199205,160051,2721561
"RUSSIA   7",199204,861493,4011543
"RUSSIA   9",199206,715609,4528464
"RUSSIA   2",199206,715609,2433051
"RUSSIA   3",199208,743665,4134863
"RUSSIA   6",199206,823310,3392289
"RUSSIA   7",199211,527786,3442998
"RUSSIA   8",199206,891712,4171140
"RUSSIA   3",199212,652892,4206212
"RUSSIA   6",199208,720430,2130242
"RUSSIA   3",199204,771236,4771732
"RUSSIA   0",199209,618004,3806026
"RUSSIA   3",199211,734611,2220289
"RUSSIA   3",199208,523273,2307439
"RUSSIA   1",199205,630904,4957137
"RUSSIA   8",199201,869320,1867719
"RUSSIA   1",199201,108157,3213699
"RUSSIA   9",199205,210448,2857328
"RUSSIA   0",199202,783992,2851235
"RUSSIA   2",199210,864065,4183960
"RUSSIA   1",199201,773818,3188463
"RUSSIA   1",199210,669743,3666604
"RUSSIA   5",199206,430786,2378608
"RUSSIA   6",199210,491740,3100980
"RUSSIA   0",199209,401848,2698256
"RUSSIA   8",199201,752668,3326396
"RUSSIA   5",199206,293504,4321090
"RUSSIA   5",199212,260122,2639802
"RUSSIA   1",199209,369896,2157168
"RUSSIA   1",199207,385390,2671410
"RUSSIA   9",199201,274537,2487406
"RUSSIA   1",199204,481361,1718203
"RUSSIA   4",199201,870299,4299457
"RUSSIA   9",199210,213221,3221277
"RUSSIA   5",199210,34997,2204643
"RUSSIA   0",199207,484358,1924200
"RUSSIA   5",199202,118385,1930559
"RUSSIA   2",199208,5518,3313100
"RUSSIA   7",199210,329368,1951984
"RUSSIA   4",199203,671365,2395829
"RUSSIA   6",199208,895672,2067353
"RUSSIA   5",199206,110654,3585463
"RUSSIA   4",199208,23413,3563859
"RUSSIA   5",199207,846640,2684370
"RUSSIA   5",199206,348334,2895672
"RUSSIA   2",199204,447631,4213869
"RUSSIA   6",199207,535409,3896402
"RUSSIA   3",199201,800203,2602688
"RUSSIA   6",199209,324704,3092074
"RUSSIA   4",199210,198217,3460022
"RUSSIA   9",199207,42008,2590250
"RUSSIA   4",199201,169775,2386193
"RUSSIA   0",199212,70064,3444415
"RUSSIA   4",199201,508643,1688686
"RUSSIA   4",199201,206120,2007771
"RUSSIA   2",199205,167965,3007936
"RUSSIA   0",199201,582182,3507155
"RUSSIA   1",199207,620365,1901472
"RUSSIA   9",199211,684211,3116086
"RUSSIA   1",199205,884908,3140293
"RUSSIA   4",199202,333232,2442399
"RUSSIA   2",199205,12326,4242004
"RUSSIA   6",199205,12326,3806823
"RUSSIA   8",199211,860377,4338717
"RUSSIA   2",199211,154327,2411931
"RUSSIA   7",199204,237235,3574652
"RUSSIA   1",199210,714814,3255535
"RUSSIA   9",199210,545164,1577664
"RUSSIA   4",199207,721229,3348560
"RUSSIA   7",199207,721229,3909685
"RUSSIA   7",199201,824860,1837854
"RUSSIA   5",199202,539926,4556472
"RUSSIA   8",199210,432697,2770328
"RUSSIA   3",199204,134296,1819388
"RUSSIA   2",199201,515278,3583057
"RUSSIA   3",199203,802709,2931402
"RUSSIA   6",199210,592834,4199376
"RUSSIA   9",199209,13982,2934731
"RUSSIA   0",199204,864553,3629235
"RUSSIA   4",199202,651961,2591532
"RUSSIA   7",199204,328564,3941915
"RUSSIA   8",199203,262849,3252890
"RUSSIA   1",199203,207961,2989007
"RUSSIA   8",199202,35167,3715900
"RUSSIA   2",199211,878689,3229989
"RUSSIA   9",199211,558820,2673864
"RUSSIA   7",199207,16274,2503458
"RUSSIA   5",199207,540469,4488786
"RUSSIA   5",199209,865870,2846360
"RUSSIA   8",199202,656041,3194733
