"s_city","lo_custkey","lo_orderdate","lo_revenue"
"UNITED ST0",26812,19960927,1670543
"UNITED ST0",11317,19960325,3172253
"UNITED ST9",12659,19950925,3129396
"UNITED ST9",8443,19930501,8635282
"UNITED ST9",26713,19950520,354188
"UNITED ST0",22528,19970427,1101471
"UNITED ST9",26461,19970906,397491
"UNITED ST0",25690,19961014,1091616
"UNITED ST9",5578,19960531,1952669
"UNITED ST9",24719,19940522,5752897
"UNITED ST9",23300,19941001,867859
"UNITED ST0",1220,19951015,3195630
"UNITED ST0",16873,19951117,5920956
"UNITED ST9",9797,19980424,3881314
"UNITED ST0",24662,19971002,4821686
"UNITED ST0",28346,19950416,2858271
"UNITED ST0",24658,19920707,1649700
"UNITED ST9",14473,19941013,3449900
"UNITED ST9",25336,19920221,3449001
"UNITED ST0",11413,19921214,290155
"UNITED ST9",7051,19950904,1957095
"UNITED ST0",11126,19930713,6292296
"UNITED ST0",749,19960521,1363919
"UNITED ST9",13300,19921222,2366792
"UNITED ST0",15647,19940716,3085588
"UNITED ST0",18395,19931018,5076180
"UNITED ST0",24010,19930210,4033743
"UNITED ST0",22051,19950527,117128
"UNITED ST0",21656,19960731,590291
"UNITED ST0",2945,19950504,3476210
"UNITED ST9",9973,19930414,3581050
"UNITED ST9",25579,19950730,1618323
"UNITED ST0",7555,19940810,5039378
"UNITED ST0",16148,19971227,2560896
"UNITED ST0",13889,19930429,4929707
"UNITED ST0",15692,19980526,3697524
"UNITED ST9",4999,19951110,1799657
"UNITED ST0",27463,19920216,631310
"UNITED ST9",12994,19940929,6547675
"UNITED ST0",17434,19920122,3321681
"UNITED ST0",15301,19960711,902388
"UNITED ST0",29080,19980401,6959399
"UNITED ST9",16585,19980506,1794657
"UNITED ST0",4624,19930422,2929197
"UNITED ST0",23641,19980609,5450040
"UNITED ST9",380,19940403,2847284
"UNITED ST0",20462,19941217,3214281
"UNITED ST9",19451,19970524,4691127
"UNITED ST0",7705,19950213,6124261
"UNITED ST9",46,19970304,5952639
"UNITED ST0",16145,19960202,1392576
"UNITED ST0",23884,19920822,3355092
"UNITED ST9",9983,19960320,5723055
"UNITED ST9",23416,19920522,6768854
"UNITED ST0",19765,19960609,1708675
"UNITED ST9",9371,19970503,5283797
"UNITED ST9",15730,19920820,6362544
"UNITED ST0",4978,19980313,3207023
"UNITED ST9",21205,19921208,2588083
"UNITED ST0",18746,19940220,6516479
"UNITED ST0",3931,19930410,5501854
"UNITED ST9",20942,19950708,4160898
"UNITED ST0",26542,19920405,4137735
"UNITED ST9",23920,19930219,3741605
"UNITED ST9",10492,19970821,6988536
"UNITED ST0",20800,19940727,3961180
"UNITED ST0",4663,19951101,3046937
"UNITED ST0",23621,19970927,3630894
"UNITED ST9",28961,19971118,6993143
"UNITED ST9",5677,19950410,4770263
"UNITED ST9",19804,19980217,4591495
"UNITED ST0",2671,19960313,4546886
"UNITED ST9",9274,19940319,1361214
"UNITED ST9",1066,19930403,3857975
"UNITED ST9",7963,19920417,507393
"UNITED ST9",11315,19950930,237444
"UNITED ST9",18278,19970725,3195367
"UNITED ST9",23047,19980221,4258472
"UNITED ST9",21398,19980309,4902343
"UNITED ST9",2890,19920912,1101039
"UNITED ST9",12718,19970725,5139119
"UNITED ST9",4894,19950811,2516299
"UNITED ST0",4894,19950811,4504860
"UNITED ST9",15391,19941117,7570059
"UNITED ST0",13981,19980329,2952519
"UNITED ST0",15026,19931103,3789633
"UNITED ST9",5861,19961020,3921827
"UNITED ST9",20194,19920616,5708176
"UNITED ST0",20680,19960309,6961014
"UNITED ST0",598,19950919,1522948
