"d_year","lo_partkey","lo_revenue"
1996,63700,1197864
1993,4297,5081456
1995,88035,2977017
1996,94780,7347589
1995,82704,4486622
1995,197921,6331333
1993,61336,3659767
1998,88362,1755468
1995,119917,6058654
1992,22630,5651573
1992,12903,7417951
1996,2320,4894169
1996,20590,4495515
1994,115118,3512641
1996,21636,566977
1996,87514,6078112
1996,178306,3934180
1994,115209,5817398
1993,179809,183213
1998,61931,4306415
1998,96645,5417412
1994,40216,3043144
1994,167180,1209764
1998,38024,1266018
1996,118282,5734234
1996,163334,5030388
1997,61158,1561214
1996,10426,4845858
1992,106828,6553977
1992,1739,7639238
1994,167505,6368625
1997,117350,3608436
1997,89855,1907574
1992,641,3237444
1992,35172,1262173
1995,157510,5069327
1995,136248,2542795
1995,115000,1266720
1992,125509,5656167
1993,153954,2951686
1992,148984,3057601
1993,93847,7170071
1993,85446,4477544
1993,135052,2003433
1995,177103,859112
1994,150111,1783464
1994,189967,7843188
1995,7589,4453822
1993,96909,762360
1993,137802,7955295
1995,165335,2527595
1993,194908,1165687
1994,198124,5560646
1993,106194,960152
1993,23514,5494163
1993,195335,394771
1996,95286,5581255
1993,65662,3255320
1997,116386,6321929
1997,46285,1440597
1994,5351,4353252
1994,128923,370864
1993,59620,4896822
1994,197507,4559989
1994,163628,8035195
1994,95136,1913871
1995,34543,4397159
1995,41715,1356845
1996,106672,1104564
1994,113959,5565691
1997,152800,7237036
1992,32590,6075134
1992,64486,5453804
1993,93563,3891400
1996,8756,2472153
1995,47557,6161132
1995,172359,6254999
1998,86136,104358
1997,95748,7062147
1996,156485,5826794
1996,121382,133321
1995,32694,1301352
1995,87745,1497087
1997,30133,4688403
1996,135912,4861983
1995,22847,6482923
1995,121628,7185744
1996,117452,4596439
1996,115362,5922648
1993,130881,6056835
1998,164711,4954230
1997,46267,3013737
1996,136347,6573631
1994,4641,927384
1992,188735,6445061
1995,23786,1258398
1997,63384,5027074
1997,50262,5643070
1997,140309,5270365
1997,141250,3835012
1994,65533,3115443
1992,66130,5371037
1992,38942,5003300
1992,104545,5020509
1993,94311,4960178
1995,162447,3298126
1992,133143,5302039
1992,100047,4422696
1992,84932,6325869
1994,89173,1896661
1997,16310,4625641
1997,152882,2670134
1994,189656,1523952
1996,72825,4271620
1996,75930,5723507
1993,42888,1832710
1995,191759,1515764
1996,3839,2269164
1997,188322,6163098
1998,123805,521208
1998,168496,1548845
1993,162111,5182799
1993,138984,1359442
1993,89308,3243250
1993,185454,1828866
1993,145767,326296
1993,102501,4059450
1998,79423,3161054
1998,43470,6045411
1995,1206,2192256
1996,24493,4720241
1993,175068,4032715
1998,53281,2993129
1995,160505,5770433
1995,41262,791745
1993,179834,1760723
1993,133007,851760
1995,16038,257588
1995,147809,6186857
1995,14993,1526392
1998,84262,2512460
1992,94616,3213166
1992,73144,4976858
1997,53401,1007673
1996,104752,168648
1993,116568,7764344
1993,154875,9361799
1993,180228,5839894
1993,149,1833896
1992,102949,8695892
1994,53556,144916
1996,83534,2649607
1994,56565,5756061
1994,87341,2932974
1998,28244,3006795
1995,188315,6067912
1993,197300,2079182
1992,135703,799802
1993,138798,1234322
1993,49110,3660284
1994,198532,7102588
1994,117211,923613
1995,55408,1116624
1992,16788,1619541
1997,43763,6927738
1997,64553,3420557
1997,58299,124471
1994,56598,5540558
1992,84402,549014
1997,37967,6347326
1997,47212,2288280
1997,91050,663148
1995,136979,6773659
1995,4967,2555225
1994,9177,1182839
1994,10143,575014
1993,198758,7003661
1997,183259,1710026
1995,22445,3213484
1994,111876,6920931
1994,136137,5015130
1995,120970,7071925
1992,96404,921463
1993,88088,516518
1993,52852,173265
1993,120102,3675999
1996,49934,6395942
1996,140435,146067
1997,45653,3200497
1997,91176,840362
1997,150352,1998348
1996,100807,6663550
1998,74888,5840128
1994,132073,406665
1994,97823,4963555
1998,57176,745625
1995,42596,5277363
1994,99604,3848640
1996,191834,943656
1992,195101,5621670
1996,86609,2225862
1996,44218,569482
1992,95490,956655
1996,2457,3501943
1996,105917,4880345
1992,77243,4490483
1996,114959,394790
1994,50676,3516860
1995,48288,3585212
1992,41738,3023514
1994,139055,1680460
1994,47852,7364986
1995,131882,1056461
1996,168916,4466047
1992,169470,1847364
1992,84249,794206
1993,158637,1871975
1992,1035,1263640
1993,69375,2809733
1995,199414,6757375
1992,29129,962889
1996,7533,4062294
1996,196227,2667611
1996,5304,449859
1996,132592,5829028
1996,33328,1078428
1992,21548,1763448
1993,145926,7761477
1994,173172,3965866
1994,135990,5332405
1994,172935,3505845
1998,95509,4021528
1998,15742,2362279
1998,160919,3686592
1998,158532,4580726
1993,3390,860104
1995,149415,5166438
1992,140001,1405350
1992,197110,5441651
1992,11261,3903625
