"lo_orderdate","lo_partkey","lo_revenue"
19960102,63700,1197864
19931014,4297,5081456
19951011,88035,2977017
19960110,94780,7347589
19950716,82704,4486622
19950716,197921,6331333
19931027,61336,3659767
19980721,88362,1755468
19951023,119917,6058654
19920603,22630,5651573
19920603,12903,7417951
19960920,2320,4894169
19960920,20590,4495515
19940120,115118,3512641
19961219,21636,566977
19961219,87514,6078112
19961219,178306,3934180
19940604,115209,5817398
19931218,179809,183213
19980124,61931,4306415
19980124,96645,5417412
19940925,40216,3043144
19940925,167180,1209764
19980228,38024,1266018
19960317,118282,5734234
19960317,163334,5030388
19970509,61158,1561214
19960620,10426,4845858
19920615,106828,6553977
19920508,1739,7639238
19940608,167505,6368625
19971129,117350,3608436
19971129,89855,1907574
19920501,641,3237444
19920501,35172,1262173
19951021,157510,5069327
19951021,136248,2542795
19951021,115000,1266720
19921021,125509,5656167
19930808,153954,2951686
19920405,148984,3057601
19931228,93847,7170071
19931228,85446,4477544
19930317,135052,2003433
19950407,177103,859112
19940618,150111,1783464
19940618,189967,7843188
19950525,7589,4453822
19930310,96909,762360
19930310,137802,7955295
19951110,165335,2527595
19931027,194908,1165687
19940929,198124,5560646
19931229,106194,960152
19930929,23514,5494163
19930929,195335,394771
19961210,95286,5581255
19930629,65662,3255320
19970221,116386,6321929
19970210,46285,1440597
19940101,5351,4353252
19940101,128923,370864
19930716,59620,4896822
19940929,197507,4559989
19940326,163628,8035195
19940326,95136,1913871
19950604,34543,4397159
19950417,41715,1356845
19960314,106672,1104564
19940614,113959,5565691
19970126,152800,7237036
19921216,32590,6075134
19921216,64486,5453804
19930927,93563,3891400
19961001,8756,2472153
19951031,47557,6161132
19950821,172359,6254999
19980525,86136,104358
19970526,95748,7062147
19961204,156485,5826794
19960326,121382,133321
19950711,32694,1301352
19950711,87745,1497087
19970103,30133,4688403
19960311,135912,4861983
19950520,22847,6482923
19950501,121628,7185744
19960404,117452,4596439
19960404,115362,5922648
19930829,130881,6056835
19980208,164711,4954230
19971031,46267,3013737
19960622,136347,6573631
19940921,4641,927384
19920713,188735,6445061
19950530,23786,1258398
19970223,63384,5027074
19971021,50262,5643070
19971021,140309,5270365
19970319,141250,3835012
19940601,65533,3115443
19921021,66130,5371037
19921021,38942,5003300
19920509,104545,5020509
19930830,94311,4960178
19950325,162447,3298126
19920501,133143,5302039
19920501,100047,4422696
19920501,84932,6325869
19941122,89173,1896661
