"d_yearmonthnum","lo_custkey","lo_revenue","lo_suppkey"
199308,849812,1829040,53660
199306,461443,2777630,4925
199306,461443,3750350,30787
199311,513248,3102293,42930
199311,513248,2379628,42099
199305,827677,2643650,40319
199305,827677,2984083,34749
199305,827677,1548691,40414
199305,827677,2647384,41081
199308,373939,2591284,58653
199308,373939,1946659,27963
199304,170485,2366967,19549
199311,122503,2208038,33726
199309,432482,2809373,39105
199309,432482,2563156,14002
199303,589576,2362380,28392
199303,589576,2019254,59792
199301,444388,2473361,857
199311,5974,1810787,43797
199304,487211,2446844,58773
199304,487211,3583434,15458
199308,225884,2113965,15186
199306,217288,2066763,16253
199306,217288,1814591,29158
199311,538165,1791465,22908
199311,538165,2199535,23686
199311,538165,1418027,35714
199310,531760,2223129,21117
199307,843683,2636022,46468
199307,628072,2020003,10721
199302,776143,1642572,58504
199301,323228,2287615,22693
199302,342728,2319420,11275
199309,832528,1922264,34872
199309,832528,2690469,57269
199309,832528,2082911,48751
199312,299881,3025265,15109
199312,299881,3943375,57548
199303,181135,2855754,9967
199303,181135,2142189,55230
199303,181135,2616831,41511
199303,181135,1366387,45414
199310,278774,3199806,51550
199302,396145,2262906,50173
199302,396145,2344150,2291
199302,396145,2555538,42735
199302,236080,2824709,10380
199302,236080,1915458,19202
199302,236080,2058355,38896
199303,206839,1712767,50
199301,545746,2947936,56696
199301,545746,3034694,40854
199310,207622,1856872,27567
199312,113335,2728813,38758
199311,544666,2810465,39824
199308,350030,1762556,16450
199311,550997,2126145,17841
199312,834307,2508378,21370
199310,182815,1272849,25699
199310,182815,1540786,32313
199310,182815,2211284,18081
199310,74119,2353981,55476
199307,483604,1733284,4350
199303,501959,2342188,45302
199306,11818,1848759,52649
199306,11818,2263740,42759
199306,785905,1770964,46896
199309,821290,2424808,31321
199301,850201,3073891,47813
199309,55927,2217183,35120
199309,55927,3841094,29374
199303,775898,3600954,33539
199303,775898,2272812,44588
199312,483058,1842570,3904
199307,543760,1141536,221
199306,626995,1751684,6356
199306,626995,2616540,58156
199306,626995,1603287,25536
199305,819173,2663402,33603
199308,67861,2027530,33788
199308,67861,1661972,16959
199310,579725,1943148,37439
199310,579725,2759940,17414
199303,520183,2658963,7955
199306,671488,2312336,57258
199306,671488,1572332,40725
199306,671488,2860090,44861
199303,695068,2792518,38844
199304,10804,3111149,5019
199307,255055,1660582,9683
199302,689755,2210266,53719
199305,66866,1779750,19576
199304,600679,1497511,7231
199304,600679,2471500,46643
199306,51232,2572823,15119
199307,445201,2935696,41493
199305,789721,3055496,21315
199309,507994,3291373,49488
199309,507994,3307240,17433
199309,507994,1868220,4142
199309,507994,2217385,2272
199309,507994,3169887,16969
199301,583801,1472827,7101
199302,832156,2390566,10246
199301,736486,3414706,9108
199301,736486,2667799,41005
199305,489637,2137354,28553
199305,489637,1411256,9095
199309,807373,1982521,47855
199309,807373,2359712,20619
199304,808,2365139,751
199304,808,3563191,20833
199310,819181,2182649,4748
199310,819181,1962861,54384
199308,819535,1787924,8753
199302,304798,3540476,2210
199312,740074,2439222,32952
199301,612850,2637922,10993
199301,612850,1611480,19302
199301,612850,1425014,33733
199311,389671,3266501,20148
199312,678458,3058259,29996
199311,103477,2101886,21275
199304,794630,2238120,45561
199305,244679,1889797,37990
199307,116570,2742723,35531
199306,664276,2359282,7448
199306,664276,2215478,48939
199303,450100,2063449,16721
199312,298181,3185230,5262
199306,621895,2265798,29638
199308,555394,1792647,35536
199305,635515,1534812,39355
199305,635515,1273260,17416
199312,756202,2178216,16660
199312,756202,1814086,17794
199308,792571,2420999,24918
199311,708098,2189690,39785
199311,708098,2657956,21875
199309,390757,1175148,25740
199309,88573,1850472,5783
199309,88573,1509596,49525
199309,88573,3433999,32755
199309,501886,1411384,29837
199301,735280,1692649,59759
199307,306184,2925822,4587
199307,306184,1119744,46879
199307,844493,2326418,34337
199310,169363,2267128,59343
199301,686779,3270402,28196
199307,176330,3376401,3182
199307,176330,2435988,12243
199311,770722,3624122,20225
199303,533431,1453971,40712
199306,781513,2328706,26771
199305,175666,2812017,1404
199304,122581,2488560,37820
199303,814234,1996660,49786
199310,216445,1380659,27891
199301,106789,2807827,18910
199306,511543,1484475,5008
199301,313747,3016832,59601
199306,863260,1936025,4460
199301,795737,2082828,14729
199312,687554,2776928,42662
199310,536803,3446049,39955
199310,430750,2242239,57401
199304,407797,2484580,56596
199307,207109,3582069,59208
199306,737107,1466520,13404
199312,307198,2018538,39231
199308,675337,1490261,15870
199308,268946,3171844,13741
199309,842464,1680032,31510
199302,112853,2621308,49786
199302,112853,3252853,59620
199308,867529,2716214,37125
199308,867529,1678883,8404
199308,867529,2479113,24531
