"s_city","d_yearmonthnum","lo_custkey","lo_revenue"
"UNITED ST6",199307,161936,2386393
"UNITED ST6",199306,576697,1492159
"UNITED ST6",199305,275584,3386776
"UNITED ST3",199303,115421,3143920
"UNITED ST3",199303,90328,1781346
"UNITED ST6",199301,52258,2372872
"UNITED ST3",199302,748943,1956409
"UNITED ST6",199306,224255,1090764
"UNITED ST3",199311,757205,2000882
"UNITED ST3",199310,176350,2759873
"UNITED ST3",199308,654745,1979556
"UNITED ST6",199307,71795,2758489
"UNITED ST6",199307,821065,2660188
"UNITED ST6",199312,474208,1922880
"UNITED ST6",199301,397538,1863110
"UNITED ST6",199302,787225,2959635
"UNITED ST6",199304,594673,2161229
"UNITED ST6",199303,450557,3044094
"UNITED ST6",199310,824845,2034396
"UNITED ST6",199312,672904,2083158
"UNITED ST6",199305,898093,1401939
"UNITED ST6",199303,598409,2010621
"UNITED ST3",199308,736886,2404108
"UNITED ST3",199304,560857,3024710
"UNITED ST3",199312,623155,2843786
"UNITED ST3",199306,695269,2794477
"UNITED ST6",199306,356602,1813220
"UNITED ST6",199306,297214,2129729
"UNITED ST3",199308,105839,3352978
"UNITED ST3",199305,534016,2501492
"UNITED ST3",199309,105002,2746200
"UNITED ST6",199302,481417,2916723
"UNITED ST3",199306,148720,2565929
"UNITED ST3",199305,196676,1648824
"UNITED ST6",199306,378274,1905034
"UNITED ST3",199301,754921,1230343
"UNITED ST3",199302,147971,2647023
"UNITED ST3",199302,815011,2290399
"UNITED ST3",199310,783115,2728185
"UNITED ST6",199303,691888,3680203
"UNITED ST6",199302,785789,2514077
"UNITED ST3",199309,45688,2168130
"UNITED ST3",199303,48364,1760795
"UNITED ST6",199312,579610,3559590
"UNITED ST6",199303,92071,1624694
"UNITED ST6",199310,288650,1670053
"UNITED ST6",199311,627985,2381652
"UNITED ST3",199302,560696,3374315
"UNITED ST3",199309,745006,2996733
"UNITED ST6",199301,266284,1380610
"UNITED ST3",199309,495157,3293280
"UNITED ST3",199304,662402,1624872
"UNITED ST3",199303,849088,2453339
"UNITED ST3",199302,799711,2151125
"UNITED ST6",199302,568529,2201661
"UNITED ST3",199310,40789,1538005
"UNITED ST6",199305,39887,2043566
"UNITED ST6",199305,660292,1915870
"UNITED ST6",199310,288461,2046306
"UNITED ST3",199305,824071,2288994
"UNITED ST3",199305,57215,1855319
"UNITED ST6",199307,316195,2645958
"UNITED ST6",199304,896278,1550628
"UNITED ST3",199309,338191,1435023
"UNITED ST6",199312,380801,2493960
"UNITED ST6",199303,36301,2258750
"UNITED ST6",199301,832207,1908570
"UNITED ST3",199303,691639,2788942
"UNITED ST6",199301,804433,3211989
"UNITED ST3",199307,783931,2817666
"UNITED ST6",199312,743965,2913356
"UNITED ST6",199305,613919,2115352
"UNITED ST3",199301,249091,1787040
"UNITED ST3",199309,232451,1821603
"UNITED ST6",199303,189817,2908168
"UNITED ST3",199312,87938,1623255
"UNITED ST3",199308,626344,2946102
"UNITED ST6",199309,321517,2983468
"UNITED ST6",199301,98501,2520176
"UNITED ST6",199310,663857,1315484
"UNITED ST3",199310,560929,3818474
"UNITED ST6",199302,839278,1993997
"UNITED ST3",199308,184192,1821717
"UNITED ST3",199304,840853,2803526
"UNITED ST6",199307,718964,2457511
"UNITED ST6",199307,348682,2898420
"UNITED ST3",199305,295540,3598410
"UNITED ST6",199309,834631,2039299
"UNITED ST3",199311,46174,3428649
"UNITED ST3",199305,130010,3436359
"UNITED ST6",199307,589945,2785149
"UNITED ST3",199301,601946,1624103
"UNITED ST6",199308,71365,1981663
"UNITED ST6",199312,616660,2576269
"UNITED ST6",199304,875165,2224892
"UNITED ST3",199308,84146,3013385
"UNITED ST3",199308,480724,2423390
"UNITED ST3",199302,825359,2192950
"UNITED ST3",199301,250174,1916731
"UNITED ST6",199307,329318,2742413
"UNITED ST6",199301,66200,1759734
"UNITED ST6",199303,828278,1712738
"UNITED ST3",199308,548512,1611460
"UNITED ST6",199304,480118,1796751
"UNITED ST3",199308,872212,1667577
"UNITED ST3",199301,65080,2985254
"UNITED ST6",199309,245707,2229622
"UNITED ST6",199307,385163,1992945
"UNITED ST3",199309,166729,1582626
"UNITED ST3",199312,415579,3110647
"UNITED ST6",199301,646058,1343756
"UNITED ST6",199304,761075,2431895
"UNITED ST3",199307,296960,2368535
"UNITED ST3",199303,816431,3079002
"UNITED ST3",199306,651280,2367325
"UNITED ST3",199305,107863,2556994
"UNITED ST6",199308,481228,3139864
"UNITED ST3",199304,750767,3355339
"UNITED ST6",199312,809627,2565240
"UNITED ST6",199309,791917,1184892
"UNITED ST3",199309,132154,2693612
"UNITED ST6",199309,183842,2572223
"UNITED ST3",199304,316555,3565602
"UNITED ST3",199307,248641,2368384
"UNITED ST3",199312,183610,3141404
"UNITED ST3",199307,146201,2673483
"UNITED ST6",199304,272617,2075645
"UNITED ST6",199310,389005,2576658
"UNITED ST3",199312,334643,3316587
"UNITED ST3",199310,578560,1975109
