"lo_custkey","lo_orderdate","lo_revenue","lo_suppkey"
28412,19920410,2916860,1464
3812,19920721,1790575,1371
3812,19920721,2136167,1676
3812,19920721,1740289,1662
3812,19920721,3086664,823
6334,19921029,2730504,670
10537,19921225,3418691,706
10537,19921225,3290528,599
12533,19920604,2151630,738
12533,19920604,3057550,1442
3974,19920407,2665275,546
8894,19920103,2715075,722
23642,19921212,2648139,744
4417,19920926,2665111,100
9920,19920324,2563168,1318
11588,19920531,2873958,1747
14500,19920527,2843294,253
14500,19920527,1956290,1338
3901,19921026,3674460,312
3901,19921026,2549124,203
3901,19921026,1802527,281
12926,19920415,3102794,1140
12926,19920415,3710409,1063
22822,19920504,2290104,312
22822,19920504,2774340,268
29611,19921112,2527024,1146
10417,19920309,2688336,1349
23333,19920610,2907225,1324
23333,19920610,1855893,1633
18922,19920827,3919630,885
18922,19920827,1944518,1147
18922,19920827,2193557,557
7585,19920806,2253818,1779
7585,19920806,4375495,1047
7585,19920806,2570715,1750
4925,19920813,1538636,1793
26191,19920522,4045646,921
26191,19920522,5099408,1730
26191,19920522,2414912,197
1930,19921103,3669677,1066
19510,19920325,2441014,1694
19510,19920325,3505264,970
21953,19920212,3087524,1730
21953,19920212,3264744,1814
3646,19920622,4190764,1743
22711,19921023,2684879,1730
22387,19921230,4422576,46
22387,19921230,3734028,673
1978,19920928,2137098,1830
3275,19920317,4153509,198
14179,19920302,2363006,1919
8321,19920404,2189530,607
27083,19920603,2371880,824
27083,19920603,2398121,547
8344,19920607,2927633,785
8344,19920607,2425012,475
10381,19920804,2367935,1914
10381,19920804,2697045,127
10381,19920804,2415451,1134
16997,19921220,4030930,1274
28435,19920607,4611286,156
28435,19920607,3241012,1490
28957,19920122,3819950,492
29569,19921118,2214846,498
29569,19921118,3644485,663
3787,19920131,4061369,1762
24391,19921012,2546437,1087
16279,19921213,3685609,776
24113,19920429,2429807,825
15490,19921017,2644247,1810
15490,19921017,2793473,42
15490,19921017,1909526,87
2735,19920929,3421187,166
14540,19920208,2356456,594
13951,19920322,2644949,325
18124,19920310,2115133,225
10258,19921218,2988786,1198
676,19920806,3156790,1662
154,19920827,3566932,1081
18751,19920818,3125091,1444
22994,19920101,2477707,1150
22994,19920101,2471822,1649
22994,19920101,2649739,845
19277,19920417,3177903,1385
12940,19921119,2431656,340
12940,19921119,3441394,962
12940,19921119,3741949,1476
22942,19920628,3780390,473
22942,19920628,2262104,5
6697,19920911,2188404,499
14059,19920204,2897344,435
15265,19920805,3072232,1023
23530,19920618,2236936,1707
5089,19921210,2184310,1179
5089,19921210,2486416,617
7315,19920310,3027701,1774
12410,19920815,1834229,826
2044,19920626,3568219,1027
19966,19920719,3385704,1799
9296,19920202,4012502,445
9296,19920202,2807968,1336
9296,19920202,2980121,269
19781,19920102,2925527,1989
15376,19920523,2402139,965
15376,19920523,2939168,400
5305,19920715,2813398,1360
5305,19920715,3720546,1949
23510,19920618,3700404,597
6331,19920620,2263453,393
24374,19920913,4266083,1780
24374,19920913,1836081,1435
26525,19921019,3330013,755
8687,19920209,4203750,847
8687,19920209,1809815,373
8687,19920209,4574686,872
9278,19921018,2815284,1977
9278,19921018,3265375,298
24157,19920712,3336460,1650
24157,19920712,4810993,1438
24157,19920712,2105908,255
22163,19921008,1744733,334
22163,19921008,2196468,99
22163,19921008,2866596,396
22163,19921008,3490969,844
9668,19920315,4142138,1651
14002,19920820,3604531,1380
28159,19920309,3730272,641
28159,19920309,2821578,1019
29027,19921118,3457303,1368
29027,19921118,2413580,1811
15523,19920912,4228176,1485
15523,19920912,3405619,380
15523,19920912,1910791,105
17617,19920525,2436907,1780
9554,19920606,4519630,1249
9554,19920606,2442540,575
8687,19921119,3290208,848
8687,19921119,3329138,1669
11161,19920101,1860434,1194
17935,19921224,2879349,428
17935,19921224,2738504,592
13366,19920511,3125520,465
15541,19920622,2143363,71
2672,19920209,3177671,101
22198,19920323,2390239,1406
22198,19920323,2857263,962
23675,19920921,3372459,747
15247,19921207,2739384,199
8500,19920829,2911776,533
25912,19920806,2000817,1720
18133,19920730,2853936,924
7825,19921105,3117073,1103
7825,19921105,1937952,1406
7825,19921105,4163208,474
29612,19920928,3665068,1945
29612,19920928,4482297,1173
10510,19920306,3034988,722
29503,19920729,1440443,170
23222,19920204,2983098,1446
11504,19920708,2266211,1869
11504,19920708,1840160,340
11504,19920708,3977850,1796
19450,19920304,4314710,1063
19450,19920304,4019064,840
26395,19921231,2896840,56
15844,19921022,3056592,1590
15844,19921022,2170725,1489
8177,19920504,3436772,1010
14515,19921114,1789797,706
15607,19920926,2370398,1587
15607,19920926,3458648,780
29284,19920108,3783284,814
17144,19920909,2074101,557
26162,19920813,4190702,301
26162,19920813,2891891,818
6814,19920522,4736590,312
8162,19921029,3042003,1345
2674,19920321,2499240,1163
4720,19920814,4436925,1071
4720,19920814,4391166,105
12241,19920401,3183415,1010
10366,19920922,2425096,1255
10366,19920922,1702376,106
10366,19920922,3776889,251
10771,19920720,3753521,1258
10771,19920720,2884814,1034
23242,19921120,2233196,798
23242,19921120,3201894,1880
782,19920305,2666472,8
782,19920305,2230617,1883
782,19920305,3349207,597
20605,19920510,2713008,1892
20605,19920510,2595353,407
457,19921127,3246116,850
457,19921127,2880271,952
6154,19921125,3486321,1991
6154,19921125,2599719,1612
15496,19920525,4259616,1873
5636,19921106,2748958,1654
5636,19921106,1804461,88
5636,19921106,2400783,417
14288,19921103,3301763,585
28726,19921109,2056964,1652
28726,19921109,2174929,895
11063,19920702,3423038,420
11063,19920702,3710424,1952
11063,19920702,4206473,33
20083,19920518,2526380,747
20083,19920518,2461719,87
20083,19920518,3077167,1937
8228,19920922,3160168,188
8228,19920922,3480893,1153
22954,19920304,3674339,1908
18164,19920624,3677454,998
18164,19920624,2914457,354
5260,19920201,4035714,984
29413,19921209,3565099,1061
4339,19921208,4214025,1438
4339,19921208,3768526,1600
23726,19920424,4785254,1570
6244,19920224,2292118,1476
6244,19920224,4158934,1008
4600,19920521,2495993,1946
22846,19920428,1627200,811
334,19920816,4073748,1846
8825,19920427,2291997,30
7711,19921230,2367943,79
7711,19921230,3004548,738
16711,19921204,3473070,744
18626,19920606,2367232,1193
15472,19920106,4445477,11
15472,19920106,2419742,1034
4892,19921226,4173361,1730
24262,19920520,3262296,296
22699,19921008,2826560,24
22699,19921008,3853372,1694
1717,19920730,2689337,654
1717,19920730,3342070,52
1717,19920730,3887691,1548
13045,19920526,2325300,1608
24100,19920103,4235184,1731
22966,19920315,3175341,233
15827,19920824,2360138,1367
13424,19920606,2726367,1819
19528,19920910,3888753,82
8045,19920719,3256495,1864
11971,19921209,1982809,408
11971,19921209,2707293,1730
2516,19920901,2502480,328
2516,19920901,2469321,714
9331,19921128,1746151,1982
9331,19921128,3886935,961
24887,19920613,3792645,276
24887,19920613,3087461,1927
6953,19920929,1946151,530
6953,19920929,3147096,100
7618,19920927,2524240,143
27686,19920804,4192908,1611
14713,19920224,1774489,1512
20593,19920407,3161943,909
9982,19920418,2125119,1576
5485,19920426,2691278,1132
18361,19920504,2024018,1696
1316,19920903,2613029,1131
23699,19921207,2538681,1063
25907,19920905,2167982,1445
18463,19921010,3595111,132
18463,19921010,2738107,974
16775,19921025,1894866,1018
10792,19920510,3715080,1656
10792,19920510,3080046,1150
85,19920717,1996254,604
23047,19920628,3365832,214
5447,19920523,4247700,1360
5447,19920523,3795412,1401
22502,19920606,2518368,1168
16543,19920612,1992492,390
27496,19921025,2184670,1250
27496,19921025,2258704,246
17470,19921202,2428012,657
26989,19920312,3458949,722
26989,19920312,3588996,1988
21859,19921020,3618690,1684
26284,19921222,2560789,1851
15542,19920506,3414240,1655
9077,19920119,2468541,342
9077,19920119,4341716,1899
12367,19921014,3853464,1909
7618,19920927,2626666,613
3913,19921015,2268251,167
24823,19920507,2509872,2
13228,19920901,3740918,1302
19478,19920918,3810877,1226
19478,19920918,2733189,938
2128,19920425,2500247,1738
2128,19920425,3753486,987
18047,19920929,2695780,1118
18047,19920929,2797782,989
13702,19920920,2913247,196
11288,19920626,3617159,386
13000,19920627,3289080,700
13000,19920627,1545350,406
931,19920802,3450330,1530
116,19920616,2695854,1723
116,19920616,1632467,564
116,19920616,2923330,1563
24262,19921227,2869135,371
5452,19921129,3096657,1778
5452,19921129,4305100,407
19108,19920520,4150491,1315
13147,19920101,3092068,864
9112,19920125,2830688,642
9112,19920125,1624096,1465
9112,19920125,2515052,1734
9112,19920125,3307944,439
3086,19921102,3416108,937
3086,19921102,2574284,888
11038,19921215,2733379,1683
11038,19921215,2424498,1971
17557,19920429,3855960,1338
17557,19920429,3983798,1461
17557,19920429,2840314,438
17557,19920429,2717989,1078
20152,19920623,3998880,347
20152,19920623,2997194,1596
725,19920913,4130066,1413
17683,19920323,3011696,878
6364,19921020,3769106,1330
6364,19921020,2973489,1286
9157,19920621,2338736,1799
23075,19921028,1642793,42
26182,19920729,2693152,1389
26182,19920729,2787825,1838
26182,19920729,3428104,1963
21262,19920410,3325708,1304
14827,19920810,2688568,1445
14827,19920810,2842356,1042
14827,19920810,2780180,1043
24613,19920706,2978190,271
20908,19920916,2652639,709
20908,19920916,3346566,668
22351,19920810,2685996,1533
22351,19920810,4435669,1448
12190,19920526,4439384,1112
20392,19920711,4286867,575
21836,19920730,2733126,600
29252,19920130,2588500,587
4775,19920709,4411946,787
4775,19920709,2818224,726
13655,19920721,2646199,864
13655,19920721,4135760,1398
13655,19920721,3576846,1572
9316,19920407,2436968,1090
9316,19920407,2938162,871
9316,19920407,3001315,1599
7600,19921031,3009569,49
7600,19921031,2797537,559
7600,19921031,3755622,1237
11503,19920113,3818526,1948
11503,19920113,2219061,1785
2755,19920225,3875796,360
2755,19920225,2012580,146
24292,19921124,2549004,1858
14351,19921128,3528588,258
28576,19921001,2434593,157
16640,19920109,2146577,42
25219,19920922,3359625,1733
26351,19920607,2996934,1398
7333,19920320,3539058,910
7333,19920320,1931766,1967
7333,19920320,3426766,903
2395,19920621,2472136,50
20443,19920919,3652485,379
20443,19920919,2356746,899
19663,19921001,2568903,448
27713,19921127,1994188,696
23887,19920426,1900487,1548
15352,19920407,3269670,452
19963,19921116,2916622,399
22549,19920829,2135024,36
17047,19920118,2775197,1667
17047,19920118,1814310,1738
7733,19921220,2713498,897
7733,19921220,2777188,240
2737,19920306,3748293,1105
29398,19920211,2431956,1552
27631,19920729,2871107,666
27631,19920729,1853183,1851
27544,19920811,3939455,642
27544,19920811,2143977,1238
17245,19920607,2528308,1208
17245,19920607,3087705,1263
9844,19920515,3985779,47
13702,19920918,2037637,512
5413,19920507,2967220,706
15625,19920927,4617710,1960
24067,19920507,2875834,1539
16241,19920304,3282359,243
15379,19921205,3558720,755
15379,19921205,3359461,553
15379,19921205,2679130,393
3479,19920729,2048010,338
3479,19920729,2206526,193
3479,19920729,2389377,977
3479,19920729,3580508,1578
1510,19920403,2515620,336
15811,19920807,2678384,778
15811,19920807,2696630,1913
18157,19920907,3119820,1048
7066,19920106,2597152,1264
7066,19920106,3262066,149
7066,19920106,2086339,461
6170,19921028,1748941,439
3448,19920316,3086689,881
3448,19920316,3699562,1892
3448,19920316,2405574,1531
24599,19920706,2771524,1501
22120,19920420,3173681,989
22498,19920309,2815540,1758
5452,19920220,4244677,627
18289,19921005,2486260,287
6346,19921228,3718182,953
12484,19920626,1622496,1954
12484,19920626,3598848,1078
12484,19920626,3970044,335
21980,19920701,2872105,979
21980,19920701,3015223,1794
5122,19920222,1647375,500
15098,19921209,4934328,412
15098,19921209,1508426,96
19619,19920910,3197664,1406
26290,19921213,2827508,529
26290,19921213,1766952,716
26290,19921213,2184824,929
2887,19920115,3932370,1933
29206,19921010,2119807,1021
29206,19921010,5102995,1832
12833,19920703,3289648,830
22150,19920512,3325075,1866
5171,19920613,3441295,885
23302,19921116,2635956,421
23302,19921116,2589946,679
10262,19920511,2450625,923
24322,19920802,2980743,1576
24322,19920802,2928023,116
9037,19920606,3082514,1273
22075,19920609,2356473,1574
2146,19920718,2757252,1841
2146,19920718,3519353,803
2146,19920718,4991328,945
2146,19920718,3110943,9
2017,19921230,3358635,1185
24259,19921030,4007718,1065
24259,19921030,2487746,1788
25990,19921012,3255446,208
11591,19920403,2613008,15
85,19920417,4513968,1244
2831,19920326,2240234,1185
28127,19921119,3924554,433
110,19920928,3150153,631
110,19920928,2639879,729
110,19920928,3434579,10
26416,19920829,2804206,1657
29086,19921222,2334999,1130
29086,19921222,2947742,231
17479,19920101,2607632,1903
17479,19920101,2832313,1475
17479,19920101,4328349,1946
27287,19921212,2327328,245
27287,19921212,4257706,733
29008,19920104,2930841,636
28048,19920922,2705107,1442
28048,19920922,2679146,207
18904,19920229,2892109,1489
18904,19920229,2961133,1402
1258,19921104,2010847,1547
29003,19920510,3100575,22
22711,19920428,3027210,998
21556,19921002,2466919,856
7936,19921021,1772046,680
11258,19920524,3503800,546
13024,19920823,2470260,659
6932,19920615,2181103,330
6932,19920615,4284897,90
6932,19920615,2191123,1247
12803,19920229,2781847,835
25385,19920621,2608782,1548
5398,19920727,2585182,947
4627,19921127,2365278,961
4627,19921127,1844347,760
28189,19920523,2938372,549
17246,19921210,1852775,118
4780,19920622,2181822,1089
25157,19920915,3143673,1085
13474,19921129,3131800,310
13474,19921129,3247400,345
20762,19920516,2003799,1605
20762,19920516,3126741,25
27131,19921102,2557862,49
14806,19921103,3293195,1752
14806,19921103,4656459,102
838,19920417,2304002,15
24413,19920313,2303358,765
24413,19920313,2904708,1004
26108,19920623,2528880,1393
26108,19920623,2129687,888
26108,19920623,3178390,1824
27929,19920813,3963094,1043
8842,19920323,3781050,1073
8842,19920323,2146288,435
9428,19921012,4753932,1516
22456,19920704,2551266,1501
22456,19920704,3637383,250
14182,19921030,4650864,980
4852,19920803,2368282,1473
7039,19920820,2690704,1097
7039,19920820,4400354,1038
1237,19921228,2809530,211
1237,19921228,2828501,452
1237,19921228,4162125,114
1237,19921228,3619450,488
15827,19920809,2457887,1369
17527,19920808,2543728,1258
17527,19920808,2361265,1459
20744,19920417,3377215,1765
20911,19920723,2147438,746
29983,19920829,1958185,746
29983,19920829,3793988,1251
22804,19920910,2868892,372
16666,19920510,3688846,846
6356,19920120,2667500,423
6356,19920120,4187086,450
26315,19920723,3601103,598
26315,19920723,2491065,1892
11822,19920117,4586850,1061
3190,19920329,1626939,345
3190,19920329,3665899,439
3190,19920329,4682296,1832
18449,19920129,2354505,820
8045,19920113,2607883,981
23647,19921117,3156948,1537
26227,19921024,3313556,1516
26227,19921024,2489231,60
10712,19920628,4357242,747
10712,19920628,3948763,1140
8842,19920330,2748126,1208
15923,19920217,1894583,1240
104,19920109,3234196,905
2240,19920310,2980659,1036
16706,19920130,2166972,1568
16706,19920130,4677883,1573
16706,19920130,4087376,199
21301,19921015,2239597,1170
14486,19921028,3370448,1235
28615,19921209,2486332,560
18908,19920520,1882537,771
26683,19920719,2796589,1204
18152,19920430,3393057,153
12161,19921124,3165279,463
12161,19921124,1780604,1002
4282,19921021,3112846,443
10306,19921223,2030344,250
10306,19921223,2351689,1620
12674,19921103,3282168,1592
12674,19921103,2760122,908
3310,19920830,4726647,32
29653,19920422,2272907,1666
13520,19920702,2639628,906
10073,19920903,3738873,1657
17155,19921216,2200226,1300
17155,19921216,2935175,1818
22903,19920123,3016848,489
8641,19920420,3076010,1603
22847,19920716,2433323,176
22847,19920716,3372787,127
22847,19920716,3350430,533
20743,19920925,2555118,1278
20743,19920925,2950080,980
3121,19920614,2824134,1019
3121,19920614,2658863,179
23899,19920308,3436398,592
14827,19921229,3654992,1264
14827,19921229,2244961,706
16517,19920508,2579526,786
9472,19920312,2999956,1883
9472,19920312,2765511,742
9472,19920312,3185586,469
148,19920430,3143117,635
148,19920430,1680042,1020
833,19920325,3626562,168
833,19920325,3100630,1539
29644,19920823,3369071,1033
29644,19920823,3237804,855
6578,19920501,1608075,220
6578,19920501,3463227,364
9526,19920531,3336319,1134
24886,19921126,3751307,1171
24886,19921126,2403216,1183
12178,19920623,3878081,608
12178,19920623,3023404,1822
14015,19920821,3747896,1094
23608,19921002,2464347,1484
20117,19921016,2525035,1961
20117,19921016,2836542,1884
29285,19921204,2965166,840
19369,19921209,2534527,466
11450,19921005,2570520,52
11450,19921005,2363256,377
27961,19920506,3411473,202
3122,19920731,3839593,1625
29312,19920626,3343446,1463
20129,19920928,3791877,711
20129,19920928,1684961,266
28102,19920405,2993781,1302
28102,19920405,2200338,1218
9179,19920728,2880172,1702
23272,19921027,2362665,825
8219,19920812,2088126,222
