"lo_discount","lo_extendedprice","lo_orderdate"
3,987972,19960727
2,177770,19960727
1,1913776,19930301
2,1487888,19941216
2,1340417,19951109
1,2436500,19951109
3,1336478,19970120
1,1730993,19970218
3,1520580,19971210
3,133726,19980130
2,1767192,19930124
2,380196,19940315
1,887088,19971101
3,336350,19940425
3,1878900,19970403
2,1830726,19961029
2,1752982,19961029
1,2685201,19920522
3,1716325,19970422
3,3365912,19950920
1,1664046,19970809
1,2751504,19970809
1,1755936,19970809
3,1269612,19940529
3,929736,19950907
1,148348,19941031
2,277864,19961110
2,887845,19960412
3,2323354,19940320
1,3565364,19940320
3,1159722,19971210
2,1274056,19920621
2,3461112,19920814
3,166760,19920814
1,2669728,19950925
1,3140784,19950925
2,389380,19930308
1,477648,19930308
2,179977,19921222
2,2260380,19921222
3,884968,19950720
2,1616220,19951014
1,1983435,19920808
3,1883871,19940513
1,1426440,19980406
1,712220,19980406
1,4170432,19920725
2,1383672,19920204
1,1524580,19980404
2,1674810,19980404
2,1531952,19951117
3,1923389,19950321
3,311494,19950321
2,3143808,19970217
1,893752,19930415
2,3246932,19930415
3,941955,19961108
3,1349488,19970323
1,1314786,19970323
3,1555936,19970430
3,1723596,19940416
3,4322016,19960425
2,341150,19950223
2,1516410,19950223
1,2959377,19950223
2,3707700,19971124
2,2548050,19931015
1,269682,19931015
2,2157408,19920714
3,2650284,19930317
1,895440,19950114
1,1724310,19940927
3,2435063,19931228
3,725770,19931228
1,600555,19951202
3,2493560,19931015
1,3124770,19940929
1,377764,19940929
2,745598,19970625
1,2323008,19970625
2,1733072,19921126
2,739200,19930321
3,2132175,19970130
2,4031979,19931228
1,523722,19960628
1,955024,19920917
3,2172086,19971104
1,2282847,19961026
1,4265037,19960628
3,3046752,19930510
2,1233405,19940521
3,3677652,19971026
1,2456800,19970112
1,2301472,19970112
2,1232462,19930920
2,2889360,19920715
1,2038768,19920424
1,2854126,19940123
3,195197,19951211
2,1402830,19951211
3,2712321,19951211
1,1016240,19951211
2,4342712,19920425
1,710454,19931216
2,1716300,19931216
2,2075989,19930512
2,3549420,19930512
1,1200269,19930512
3,320312,19930512
2,2419040,19951023
2,2253914,19921219
1,1610865,19921218
2,1757519,19980702
1,345164,19950124
3,311126,19950124
1,133939,19980531
1,2324235,19951009
1,237646,19970630
2,2651595,19970630
2,650460,19941106
2,1498256,19971009
2,2299230,19930416
1,1599045,19941012
3,2516787,19941012
1,1331595,19941012
3,1160654,19971221
2,760280,19980512
1,132439,19931213
3,556944,19970808
1,1538207,19960512
3,3335022,19960522
2,838796,19960208
2,594024,19950315
1,550956,19950315
1,1392360,19950315
3,1127100,19970118
3,931536,19970908
1,4339617,19940126
2,508098,19940126
1,2404032,19950302
3,2498664,19980607
3,2730592,19970424
1,574576,19970325
1,2512580,19970325
1,1729299,19950911
2,1889508,19920608
1,1164048,19960213
3,462840,19950629
3,1875048,19960403
2,872118,19920224
1,958940,19970510
2,419523,19950630
3,4081536,19970127
2,2900624,19941120
2,371775,19960206
2,3124389,19920929
1,930020,19970511
3,2530480,19970511
1,2194320,19920131
1,2656680,19931126
1,1359486,19970822
3,329942,19970827
2,1465996,19970827
3,1411172,19930304
3,2428195,19970105
1,1303696,19931104
1,2642442,19970213
2,1573911,19921128
2,1422512,19940306
1,3614680,19980228
2,863865,19931107
1,3394883,19970528
1,1127364,19960115
3,1674673,19960719
3,384402,19970722
2,3541410,19970722
1,3634434,19920918
1,4208248,19980612
2,207799,19980612
2,337534,19950803
1,521340,19970808
2,889182,19930920
1,3763364,19950713
2,1220520,19920809
3,375399,19970607
2,4004808,19940828
1,2642199,19940828
3,3214536,19920610
1,1278832,19920610
1,184487,19920206
2,1341636,19951129
1,2131542,19951129
1,3806922,19930628
3,4454755,19930628
2,595135,19970718
3,1191540,19950204
2,2110667,19920720
1,4111848,19920720
3,952450,19951210
2,2533230,19970103
2,1117048,19970103
2,1066650,19960715
2,727520,19960715
1,830312,19961014
3,2633088,19930929
3,3044445,19930929
1,3182043,19961105
1,657084,19921101
1,2913306,19921101
2,2439120,19930903
2,2123072,19930416
2,4733354,19930405
1,2626496,19921129
1,2120760,19930514
2,162357,19950413
3,1595583,19960929
1,2800161,19940903
2,4213094,19920428
2,2578155,19950513
3,1920646,19970304
1,295700,19970304
2,551934,19931031
3,1913736,19980322
3,2258176,19941217
2,467632,19951120
2,2755683,19951120
1,1814500,19921219
2,1618002,19920718
2,554552,19950318
3,1553696,19940307
3,1357320,19940307
1,3175320,19970208
3,1755440,19931001
3,2995474,19941210
2,1960236,19941210
3,1057716,19960211
1,1396310,19970514
3,2151501,19970514
1,2832528,19950801
3,1440410,19960830
2,1431518,19940227
2,1514616,19980421
3,1509480,19940603
1,1184412,19930621
1,2620530,19930803
2,1355508,19930803
2,2000100,19930803
3,487986,19941202
3,518895,19930610
1,2068980,19930610
1,1608590,19940609
1,1196340,19931108
1,367154,19931108
3,511520,19931230
3,3903800,19960319
2,531080,19950705
3,314712,19950705
1,2023557,19950727
1,1949985,19950727
1,958608,19940618
1,2260752,19940618
1,1618498,19960221
3,2994822,19961012
3,156050,19970322
1,1143648,19970322
2,294080,19930125
1,595828,19930702
1,372084,19960907
1,384796,19951012
1,4333992,19971108
3,627452,19961219
3,2324938,19961219
2,513531,19970209
3,1370216,19920629
2,1959034,19930731
2,3385180,19930731
1,756285,19941106
1,1428370,19920818
2,2192480,19920818
3,1707381,19950215
1,2988820,19951009
1,3191076,19980603
1,1255923,19940116
3,2785671,19951119
