"s_nation","d_year","lo_custkey","lo_revenue"
"INDIA",1996,81113,7424858
"INDIA",1996,81113,3925175
"INDIA",1994,65896,5482200
"CHINA",1992,192235,1349434
"INDIA",1992,192235,2729712
"VIETNAM",1994,164704,3631502
"VIETNAM",1994,67268,2797065
"INDIA",1997,3475,2999142
"INDONESIA",1996,202673,1287227
"INDIA",1993,113003,6307881
"INDIA",1995,239987,6390045
"INDONESIA",1995,239987,387470
"CHINA",1992,256877,6508532
"CHINA",1992,233146,991990
"VIETNAM",1992,233146,4745540
"CHINA",1992,233146,4313315
"JAPAN",1994,156569,3998467
"INDIA",1995,143593,720744
"JAPAN",1995,143593,4657157
"CHINA",1997,231985,4661315
"VIETNAM",1997,231985,7297312
"INDIA",1996,165154,8158172
"INDIA",1996,139375,6873867
"CHINA",1995,261403,5084833
"JAPAN",1995,261403,829437
"CHINA",1995,234199,2117761
"INDONESIA",1997,137207,406669
"JAPAN",1997,137207,7977614
"VIETNAM",1996,233125,1697151
"VIETNAM",1992,118873,2402436
"INDIA",1995,198494,1780264
"JAPAN",1997,75809,2305505
"VIETNAM",1996,12634,1616256
"INDONESIA",1997,39457,1066172
"JAPAN",1993,160363,5428316
"CHINA",1993,160363,8809190
"VIETNAM",1995,31366,4135735
"JAPAN",1992,53194,867785
"VIETNAM",1992,53194,3592827
"CHINA",1997,96790,953376
"INDONESIA",1997,96790,8083360
"INDIA",1995,103945,5305089
"VIETNAM",1992,164557,2734215
"INDONESIA",1993,239680,1224472
"CHINA",1997,185080,7216739
"JAPAN",1995,232129,3930975
"JAPAN",1994,79120,7403697
"VIETNAM",1994,79120,1273494
"JAPAN",1992,262154,1210664
"CHINA",1997,205981,975831
"CHINA",1993,199477,5455842
"JAPAN",1993,92455,5386180
"INDONESIA",1995,182434,5509600
"INDIA",1992,238402,5480783
"CHINA",1992,238402,2384458
"JAPAN",1994,162358,1382329
"CHINA",1994,162358,1769056
"VIETNAM",1994,162358,3400361
"CHINA",1993,236200,6245188
"JAPAN",1996,190378,2692880
"JAPAN",1996,190378,374363
"INDIA",1993,86695,4050846
"JAPAN",1993,86695,2550867
"INDIA",1995,59941,5454321
"VIETNAM",1995,59941,6431326
"INDONESIA",1995,7580,940020
"INDONESIA",1993,195943,2804805
"INDONESIA",1994,258763,4850178
"INDONESIA",1993,215426,4417304
"JAPAN",1995,225236,1590161
"INDONESIA",1995,135781,4527274
"INDONESIA",1993,243112,1058704
"INDIA",1996,216476,4065172
"VIETNAM",1993,144247,1165090
"INDIA",1993,144247,7473722
"VIETNAM",1993,144247,1439964
"INDIA",1993,144247,3453120
"INDONESIA",1994,150697,7089707
"INDONESIA",1994,150697,5882500
"INDONESIA",1994,150697,4133188
"INDIA",1994,150697,5600683
"CHINA",1992,208130,6808239
"INDONESIA",1997,30124,5024337
"VIETNAM",1995,204812,674320
"VIETNAM",1995,204812,1170143
"INDIA",1992,59081,2217817
"CHINA",1992,238942,2520821
"INDIA",1994,88769,4801065
"INDONESIA",1994,88769,8989300
"INDONESIA",1997,24883,3365164
"CHINA",1996,5716,3857201
"INDONESIA",1995,43837,799845
"CHINA",1995,43837,1025901
"VIETNAM",1995,43837,2221253
"INDIA",1995,43837,4962757
"CHINA",1994,258784,7006738
"INDIA",1993,278989,5785203
"INDONESIA",1993,39683,4075832
"CHINA",1992,45976,6604353
"INDONESIA",1992,45976,1087911
"INDIA",1992,45976,512853
"INDONESIA",1996,103555,7479352
"INDONESIA",1995,50728,7655892
"INDONESIA",1995,50728,5688588
"CHINA",1995,50728,4862187
"VIETNAM",1995,258151,3690563
"VIETNAM",1995,119167,2147129
"VIETNAM",1993,92953,4710248
"CHINA",1993,187418,708681
"JAPAN",1993,187418,168432
"VIETNAM",1993,149629,4287788
"INDIA",1993,149629,8038596
"INDONESIA",1993,149629,1439627
"CHINA",1992,196754,2050889
"CHINA",1995,234610,4686924
"INDONESIA",1995,234610,619974
"JAPAN",1994,290782,5193520
"VIETNAM",1994,290782,1600502
"VIETNAM",1996,150134,4359912
"CHINA",1996,150134,3319367
"JAPAN",1996,46048,6359853
"INDIA",1996,46048,547449
"JAPAN",1997,213583,3606612
"CHINA",1994,172351,1808952
"CHINA",1992,200257,5535545
"VIETNAM",1994,223663,2320565
"CHINA",1994,223663,2801580
"JAPAN",1994,223663,2202366
"INDIA",1996,299624,5282540
"VIETNAM",1994,262543,2394670
"INDONESIA",1993,25393,2221312
"JAPAN",1993,25393,5052609
"JAPAN",1994,172286,1236034
"INDONESIA",1997,183868,2950380
"INDIA",1997,242072,2357793
"JAPAN",1993,202700,3719430
"CHINA",1996,265345,3376570
"JAPAN",1994,142682,5810535
"INDONESIA",1995,153245,1184692
"CHINA",1995,153245,8335402
"INDONESIA",1994,73061,2739602
"CHINA",1996,33160,6302490
"INDONESIA",1996,33160,6316982
"INDIA",1996,85319,435904
"VIETNAM",1996,85319,1747350
"VIETNAM",1996,85319,156660
"CHINA",1997,244417,5288838
"JAPAN",1996,32884,532598
"JAPAN",1996,32884,5601255
"VIETNAM",1994,66841,4181458
"VIETNAM",1994,66841,4485656
"VIETNAM",1997,192523,438885
"JAPAN",1997,220690,5620296
"VIETNAM",1994,174112,1229699
"VIETNAM",1994,174112,1975719
"CHINA",1994,174112,3247131
"CHINA",1992,33754,7696316
"CHINA",1993,279133,1025396
"INDIA",1995,111262,7083538
"INDONESIA",1995,111262,3690581
"INDIA",1997,279797,3990268
"CHINA",1997,279797,4054747
"JAPAN",1993,32290,5035016
"INDONESIA",1993,32290,457638
"VIETNAM",1995,109505,1630171
"CHINA",1997,67450,5884521
"INDIA",1997,67450,3225950
"INDIA",1997,10138,783646
"CHINA",1997,279394,1182915
"CHINA",1996,159562,883580
"CHINA",1996,159562,5526820
"VIETNAM",1996,78878,5741047
"VIETNAM",1996,297797,2508091
"JAPAN",1993,75130,234398
"INDONESIA",1993,75130,2191563
"VIETNAM",1993,139807,4709578
"JAPAN",1994,124720,7344381
"VIETNAM",1997,139927,5957351
"INDIA",1997,139927,6911902
"CHINA",1994,37846,2977850
"VIETNAM",1994,37846,5623550
"CHINA",1996,47816,1476880
"VIETNAM",1995,240886,444827
"VIETNAM",1995,240886,2342132
"INDONESIA",1995,40405,3808104
"VIETNAM",1995,40405,7641354
"INDIA",1993,184784,4710468
"CHINA",1993,184784,2563881
"CHINA",1994,63133,6341060
"INDIA",1996,247972,944390
"CHINA",1996,82243,6932848
"INDONESIA",1992,260434,4633569
"INDIA",1992,260434,3997638
"INDIA",1992,88169,969213
"INDONESIA",1992,88169,1047500
"CHINA",1992,88169,7383095
"CHINA",1992,48689,7769314
"JAPAN",1996,169084,1170756
"VIETNAM",1994,175903,6491088
"CHINA",1994,175903,4940814
"INDONESIA",1994,175903,3951565
"CHINA",1993,215090,3471988
"INDIA",1993,215090,2308211
"CHINA",1994,14698,7586899
"VIETNAM",1997,127775,4989216
"CHINA",1997,127775,4210832
"INDONESIA",1992,243197,2650102
"JAPAN",1993,268324,3863866
"CHINA",1993,268324,6431211
"VIETNAM",1993,268324,256013
"JAPAN",1994,88628,4295602
"VIETNAM",1994,88628,9138667
"INDIA",1995,67276,2090729
"CHINA",1996,5845,2216066
"JAPAN",1994,286403,2414565
"JAPAN",1994,286403,818576
"CHINA",1994,63655,6661448
"CHINA",1995,19691,1070496
"VIETNAM",1995,19691,5418146
"CHINA",1995,173549,328218
"JAPAN",1996,49856,3741616
"CHINA",1996,49856,2917848
"JAPAN",1997,14659,4420899
"INDIA",1997,14659,6511171
"INDONESIA",1992,46265,5194696
"CHINA",1994,273407,6997340
"INDIA",1994,273407,172023
"VIETNAM",1994,273407,1660873
"INDONESIA",1993,152500,167184
"INDONESIA",1994,246238,5046712
"VIETNAM",1996,15505,1829301
"VIETNAM",1995,94235,4856324
"CHINA",1997,176803,794732
"CHINA",1995,156001,549112
"JAPAN",1993,197212,3380176
"VIETNAM",1994,48448,4284672
"CHINA",1994,48448,5301099
"JAPAN",1996,102292,4130887
"INDIA",1997,209740,8010409
"INDONESIA",1997,86090,1935540
"VIETNAM",1997,86090,6088492
"JAPAN",1997,86090,5555202
"CHINA",1994,1762,2503566
"JAPAN",1993,78409,3509939
"INDONESIA",1996,208900,4262854
"VIETNAM",1992,180109,6592870
"CHINA",1992,180109,702224
"VIETNAM",1997,63973,2092945
"INDONESIA",1994,284701,2549826
"CHINA",1994,284701,1725280
"JAPAN",1995,95456,1457877
"VIETNAM",1995,95456,4993469
"CHINA",1994,180478,7388459
"INDIA",1994,180478,5234265
"CHINA",1994,180478,123695
"INDIA",1992,196660,3819055
"CHINA",1996,79285,4771102
"VIETNAM",1996,79285,3967419
"CHINA",1996,79285,1942413
"JAPAN",1997,231050,357342
"INDONESIA",1997,231050,7867055
"INDIA",1997,57101,1453060
"CHINA",1997,57101,3071100
"INDONESIA",1993,293374,3875924
"JAPAN",1997,77779,959276
"VIETNAM",1993,243331,2317456
"INDONESIA",1993,243331,4787064
"INDONESIA",1997,47290,1719905
"CHINA",1992,80794,2829936
"CHINA",1992,80794,5111424
"INDIA",1994,104437,6063045
