"s_city","d_yearmonthnum","lo_custkey","lo_revenue"
"RUSSIA   7",199206,83429,2576645
"RUSSIA   3",199203,256543,3476597
"RUSSIA   2",199210,294892,2478208
"RUSSIA   3",199208,182375,3091878
"RUSSIA   2",199205,55543,2536490
"RUSSIA   3",199201,122354,4229417
"RUSSIA   4",199203,169708,3796126
"RUSSIA   3",199209,134312,3832171
"RUSSIA   0",199210,238799,3593988
"RUSSIA   4",199212,141598,3418812
"RUSSIA   9",199205,219865,2305290
"RUSSIA   9",199210,43019,3143725
"RUSSIA   1",199205,255413,2992896
"RUSSIA   5",199204,107092,2562662
"RUSSIA   9",199203,253646,2428355
"RUSSIA   8",199208,91307,2211262
"RUSSIA   5",199210,209335,3130384
"RUSSIA   1",199206,279964,2776483
"RUSSIA   6",199212,191755,2798841
"RUSSIA   1",199212,191755,2327711
"RUSSIA   5",199207,59053,3227581
"RUSSIA   2",199209,262126,4724625
"RUSSIA   7",199208,70909,2945834
"RUSSIA   7",199201,221185,2960004
"RUSSIA   4",199209,182614,1971242
"RUSSIA   3",199207,155569,3389873
"RUSSIA   1",199211,33574,3450656
"RUSSIA   8",199202,131593,3980518
"RUSSIA   6",199210,148006,2466030
"RUSSIA   6",199212,2000,2444151
"RUSSIA   2",199209,11900,3663915
"RUSSIA   4",199210,18352,2509754
"RUSSIA   9",199202,145387,2392896
"RUSSIA   7",199210,239465,1330560
"RUSSIA   1",199211,249946,3587247
"RUSSIA   3",199201,238496,2103667
"RUSSIA   9",199203,141314,2596918
"RUSSIA   8",199209,163775,1785696
"RUSSIA   8",199212,135073,2762312
"RUSSIA   3",199203,16969,2718304
"RUSSIA   0",199204,234850,3888948
"RUSSIA   6",199209,212789,2381356
"RUSSIA   4",199208,138160,2057285
"RUSSIA   0",199211,291191,1927421
"RUSSIA   6",199211,143659,3262297
"RUSSIA   7",199206,231023,2573151
"RUSSIA   2",199210,82210,3175589
"RUSSIA   4",199205,112072,4047108
"RUSSIA   5",199210,181468,3994791
"RUSSIA   6",199212,226997,3873943
"RUSSIA   5",199201,278528,3597269
"RUSSIA   3",199201,20405,2535422
"RUSSIA   1",199212,281107,3795142
"RUSSIA   3",199204,109543,2185008
"RUSSIA   7",199210,134584,3952612
"RUSSIA   5",199212,286456,3716232
"RUSSIA   7",199208,91714,3305419
"RUSSIA   2",199204,95707,2121843
"RUSSIA   5",199208,285679,3616905
"RUSSIA   7",199204,47345,3648887
"RUSSIA   1",199211,30370,2974446
"RUSSIA   6",199209,282794,2767544
"RUSSIA   8",199212,158222,2915410
"RUSSIA   0",199211,152977,4974382
"RUSSIA   1",199212,207065,3774501
"RUSSIA   6",199202,15640,3443328
"RUSSIA   6",199205,106456,2634730
"RUSSIA   8",199204,185905,3785641
"RUSSIA   0",199203,134471,1982088
"RUSSIA   2",199211,215833,4185487
"RUSSIA   7",199210,20065,2597294
"RUSSIA   5",199205,187021,2467726
"RUSSIA   3",199203,149473,4378466
"RUSSIA   0",199202,228625,2080269
"RUSSIA   2",199205,275510,3153880
"RUSSIA   4",199212,76153,3628029
"RUSSIA   3",199206,177415,4416857
"RUSSIA   1",199203,137257,2508204
"RUSSIA   2",199211,158113,2447917
"RUSSIA   0",199205,60107,2228399
"RUSSIA   3",199206,112309,2690418
"RUSSIA   5",199212,103300,2324131
"RUSSIA   8",199207,172219,2308068
"RUSSIA   6",199202,200492,3072912
"RUSSIA   3",199201,107584,3936112
"RUSSIA   9",199203,217198,3616491
"RUSSIA   0",199201,283198,3423619
"RUSSIA   5",199206,80678,3040465
"RUSSIA   5",199206,61961,1813463
"RUSSIA   4",199202,221314,1464971
"RUSSIA   7",199208,243500,2452436
"RUSSIA   9",199207,141679,3796001
"RUSSIA   5",199203,1981,2188952
"RUSSIA   5",199206,247135,2897240
"RUSSIA   4",199201,25549,3502859
"RUSSIA   4",199207,256823,3101864
"RUSSIA   6",199207,179837,2707987
"RUSSIA   6",199208,279341,3190740
"RUSSIA   5",199201,45175,2632928
"RUSSIA   4",199208,279307,1617408
"RUSSIA   4",199208,275503,3095467
"RUSSIA   9",199207,195772,2780744
"RUSSIA   1",199207,241981,2609998
"RUSSIA   5",199202,214492,2191396
"RUSSIA   6",199208,23591,2773411
"RUSSIA   2",199204,162983,4787156
"RUSSIA   3",199209,99844,1845597
"RUSSIA   5",199211,218329,3221508
"RUSSIA   8",199212,100684,3467397
"RUSSIA   5",199201,158152,1631283
"RUSSIA   6",199209,293182,4502643
"RUSSIA   9",199202,146395,2986930
"RUSSIA   1",199210,118306,1800064
"RUSSIA   8",199208,184861,2778886
"RUSSIA   3",199206,189733,3466838
"RUSSIA   5",199211,98260,2393259
"RUSSIA   5",199211,168475,4087957
"RUSSIA   2",199205,114502,2232613
"RUSSIA   8",199206,197723,3567326
"RUSSIA   6",199206,284815,2172079
"RUSSIA   3",199210,293831,3760043
"RUSSIA   8",199202,43126,2864862
"RUSSIA   8",199203,243592,2870163
"RUSSIA   3",199206,43099,3281599
"RUSSIA   7",199204,247352,2522437
"RUSSIA   6",199203,109619,2003043
"RUSSIA   5",199203,213263,2636809
"RUSSIA   8",199203,213263,3070085
"RUSSIA   3",199201,121717,2808149
"RUSSIA   3",199201,121717,3330698
"RUSSIA   3",199211,111973,2198271
"RUSSIA   6",199209,263128,2300946
"RUSSIA   0",199208,62857,2869158
"RUSSIA   7",199203,124865,3977437
"RUSSIA   9",199212,206221,3507042
"RUSSIA   1",199210,169952,3166437
"RUSSIA   7",199206,247774,2455446
"RUSSIA   0",199203,242834,3136205
"RUSSIA   1",199207,160621,2849221
