"lo_custkey","lo_orderdate","lo_revenue","lo_suppkey"
117433,19920903,2487421,1497
11929,19921115,2237914,5422
187172,19920407,2756710,11335
83429,19920623,2576645,9310
296237,19920209,2072636,13076
156388,19920725,2215654,9233
198619,19920605,1768976,10380
198619,19920605,3506670,16779
140738,19921214,3244391,4676
230387,19920418,4022119,10523
131812,19920709,1834900,14983
131812,19920709,2803796,18345
131812,19920709,3172608,716
56234,19920319,3315790,1032
56234,19920319,3535800,13047
60739,19920224,2975011,17822
256543,19920322,3476597,14666
91372,19920908,1981157,11785
290716,19921213,4247544,6890
164234,19920807,3417351,15397
164234,19920807,4200567,18969
255925,19920404,2715213,3333
223906,19920529,1774005,6850
86288,19921117,2046996,9795
258277,19921026,3771312,4830
124963,19920727,1861319,19047
124963,19920727,3630766,8827
124963,19920727,2869867,1059
176395,19921119,3059529,15994
176395,19921119,2222874,10386
176395,19921119,3876166,11896
239200,19920927,1713294,3441
36788,19920506,3371173,3475
200288,19920616,3168111,19937
200288,19920616,4406920,9382
445,19920519,2070342,6657
445,19920519,2978976,1934
255235,19920706,3044223,2574
28972,19920912,3993738,14996
8765,19920709,3127673,18392
229754,19920611,3504973,7292
294892,19921027,2478208,17496
172669,19920420,3238970,3810
109750,19921009,4312945,14437
152366,19921117,4972556,699
152366,19921117,2069818,15483
45814,19920714,2100180,7261
213578,19920529,1818319,9991
297697,19921023,4488461,11451
297697,19921023,2647937,5113
247123,19921218,3827276,676
247123,19921218,3945109,8210
247123,19921218,1957458,13462
270889,19920223,3486048,2000
87533,19921127,2833156,16118
177764,19920215,3610643,17742
245815,19921015,3246447,7764
263539,19920912,2166898,5045
26998,19921215,3405619,783
26998,19921215,3928612,19180
182375,19920826,3091878,19453
93481,19921104,1864722,3194
93481,19921104,2682025,13332
93481,19921104,2686157,5084
93481,19921104,2785806,16894
241448,19921124,1731456,6572
114809,19920924,2212306,17837
114809,19920924,4098938,8631
264745,19920910,2590191,16564
264745,19920910,3761813,9922
264745,19920910,3386544,7378
293644,19920402,2774586,14310
241277,19921027,4183033,16398
241277,19921027,3986187,2652
36674,19920825,1864145,2724
182575,19920202,3818398,14883
96586,19920529,3085298,3809
21881,19920812,3679308,18608
21881,19920812,2493196,19430
249268,19921025,3988834,2066
249268,19921025,2924504,7113
44146,19920719,3506273,8507
44146,19920719,2114244,5719
53575,19920924,3034772,9696
53575,19920924,2018052,8928
53575,19920924,2340353,287
19927,19920223,3170302,506
55543,19920522,2735665,3879
55543,19920522,2536490,9836
166825,19920224,3236141,1408
45523,19920717,2767374,4062
286147,19920704,3942322,3042
249605,19920801,3409367,17666
97453,19920415,3589403,12518
97453,19920415,2903779,19576
97453,19920415,3049679,16813
11923,19920613,3958998,14118
110737,19920516,2350528,11651
110737,19920516,2329801,412
110737,19920516,3324384,1684
63257,19921005,2156614,10793
63257,19921005,3409574,3159
264238,19920702,2698857,13277
264238,19920702,4238039,1683
288214,19920622,3231877,17020
122354,19920105,2639393,7051
122354,19920105,4229417,11703
39205,19920711,3607943,5974
39205,19920711,1762398,2629
39205,19920711,4092449,15729
39205,19920711,2848366,13553
169708,19920325,3796126,16722
171011,19920603,3364861,1028
171011,19920603,2480734,14407
231371,19920830,3555763,18774
182144,19920805,4504125,518
182144,19920805,1968172,17784
85298,19920610,1880094,11244
85298,19920610,2710164,4369
14561,19921010,2832031,18384
14561,19921010,2243668,18448
250138,19921225,1857863,14025
248464,19920305,4134553,11170
94816,19920714,2186391,16520
94816,19920714,3945996,5250
149176,19921111,3785151,1132
244718,19920412,3674745,14820
274121,19920305,3133443,5533
274121,19920305,3353998,12177
72358,19920406,2926614,4034
45220,19920924,4278534,7193
180563,19920811,2918889,7022
180563,19920811,1782956,2790
134312,19920909,3832171,17266
215026,19920306,3389578,10610
215026,19920306,2802410,15828
126976,19921218,2638356,7818
200032,19920309,2451684,9201
56617,19920113,2543033,17468
144031,19921204,3045069,18946
167251,19921004,3260322,10500
219143,19920706,2609966,3126
238799,19921005,3593988,3183
79099,19920206,3835227,2026
141598,19921227,2149655,2508
141598,19921227,3418812,16722
85153,19920607,2797988,18888
299287,19920607,2332635,4274
148306,19921123,2818215,4344
