"d_year","s_city","lo_custkey","lo_revenue"
1994,"UNITED ST1",505,4147627
1995,"UNITED ST0",22225,3362388
1995,"UNITED ST9",22225,1289803
1997,"UNITED ST4",23390,2095881
1996,"UNITED ST7",17659,2566956
1992,"UNITED ST6",14146,2456732
1995,"UNITED ST9",18353,7270852
1993,"UNITED ST0",16787,1592533
1996,"UNITED ST8",29753,5957118
1997,"UNITED ST9",2611,6166933
1996,"UNITED ST4",16927,5383630
1993,"UNITED ST8",7195,880338
1995,"UNITED ST3",29821,5325655
1992,"UNITED ST1",28471,1065714
1992,"UNITED ST9",24112,4123955
1994,"UNITED ST4",12392,3079538
1992,"UNITED ST5",24797,4470888
1997,"UNITED ST4",1828,1709337
1997,"UNITED ST6",7462,685355
1994,"UNITED ST0",24832,4222184
1995,"UNITED ST1",12049,4081365
1994,"UNITED ST0",21719,5894208
1994,"UNITED ST1",21719,453964
1996,"UNITED ST4",11770,2220899
1996,"UNITED ST7",8905,716389
1996,"UNITED ST8",1387,975576
1992,"UNITED ST1",23603,638175
1993,"UNITED ST1",9008,7905997
1994,"UNITED ST8",24818,3610118
1993,"UNITED ST4",4889,2113066
1992,"UNITED ST7",4934,2843873
1992,"UNITED ST8",18929,3935302
1993,"UNITED ST7",8299,1541166
1997,"UNITED ST6",15895,6545111
1995,"UNITED ST6",13951,3567623
1996,"UNITED ST0",28795,434004
1992,"UNITED ST9",8776,5493334
1994,"UNITED ST4",26791,4791112
1992,"UNITED ST1",12991,2488082
1995,"UNITED ST4",4174,1337596
1992,"UNITED ST9",17705,7656734
1992,"UNITED ST1",22705,6908142
1993,"UNITED ST9",10751,2065854
1992,"UNITED ST3",17407,6435069
1994,"UNITED ST8",26180,2348434
1996,"UNITED ST1",9850,1739182
1993,"UNITED ST6",13816,7435307
1997,"UNITED ST4",8395,6073147
1997,"UNITED ST4",8992,4249575
1997,"UNITED ST5",8992,925159
1994,"UNITED ST0",15254,5143444
1993,"UNITED ST6",26362,6396143
1993,"UNITED ST4",26362,4010677
1993,"UNITED ST3",26362,4573664
1993,"UNITED ST8",26921,5786593
1996,"UNITED ST9",4171,3893523
1994,"UNITED ST0",8335,2945208
1996,"UNITED ST0",5218,4954111
1993,"UNITED ST7",628,5920815
1993,"UNITED ST4",628,3119490
1997,"UNITED ST1",4645,6427530
1992,"UNITED ST0",15916,5949603
1997,"UNITED ST9",15602,1208070
1997,"UNITED ST6",15602,6393824
1992,"UNITED ST1",16306,364484
1992,"UNITED ST7",16306,6177804
1995,"UNITED ST5",29077,3443332
1996,"UNITED ST5",2485,2231968
1997,"UNITED ST0",29569,937355
1995,"UNITED ST1",15985,2248622
1994,"UNITED ST0",21343,6288695
1995,"UNITED ST3",7624,2790255
1995,"UNITED ST1",2188,171445
1994,"UNITED ST3",29875,3936752
1996,"UNITED ST0",20857,1419003
1993,"UNITED ST0",5113,5963503
1994,"UNITED ST5",20176,1177219
1996,"UNITED ST7",8213,2909536
1994,"UNITED ST1",10138,7324382
1995,"UNITED ST4",8137,129224
1995,"UNITED ST0",121,6635159
1997,"UNITED ST3",14842,6084116
1994,"UNITED ST9",18970,7530357
1994,"UNITED ST0",24811,2631505
1997,"UNITED ST1",7774,3619679
1992,"UNITED ST3",26543,8976163
1992,"UNITED ST4",26543,898171
1993,"UNITED ST0",4565,4512186
1993,"UNITED ST4",4565,1038486
1992,"UNITED ST5",6433,5796805
1992,"UNITED ST4",19667,3341975
1992,"UNITED ST6",27056,1819916
1996,"UNITED ST4",16859,5159512
1993,"UNITED ST7",10282,2824975
1996,"UNITED ST6",4708,919499
1992,"UNITED ST1",24272,2111120
1992,"UNITED ST6",24272,3812094
1994,"UNITED ST9",11144,5495638
1993,"UNITED ST3",25060,796024
1993,"UNITED ST0",13715,3132530
1992,"UNITED ST7",10957,3814945
1996,"UNITED ST5",13660,3162285
1996,"UNITED ST6",13660,1552799
1993,"UNITED ST3",4214,1079361
1994,"UNITED ST0",15574,4587988
1997,"UNITED ST0",13264,2377716
1997,"UNITED ST9",13264,4970863
1997,"UNITED ST0",21440,3769166
1996,"UNITED ST1",12460,2417520
1992,"UNITED ST3",18772,449795
1996,"UNITED ST5",14320,4437819
1997,"UNITED ST1",20944,2494475
1997,"UNITED ST9",22843,6586022
1995,"UNITED ST6",19813,1978063
1992,"UNITED ST7",1768,5354784
1997,"UNITED ST4",16783,3998517
1992,"UNITED ST8",4225,4197708
1996,"UNITED ST7",26372,797305
1995,"UNITED ST0",15980,6724662
1992,"UNITED ST3",15799,7324218
1992,"UNITED ST7",15799,2237369
1995,"UNITED ST1",152,5464462
1995,"UNITED ST9",10424,1020880
1995,"UNITED ST9",23620,1323752
1994,"UNITED ST5",23644,2205187
1994,"UNITED ST4",23644,4465847
1995,"UNITED ST6",8185,1582076
1995,"UNITED ST9",8185,5022190
1996,"UNITED ST7",17405,442937
1994,"UNITED ST1",1135,2219680
1993,"UNITED ST7",15386,2720150
1997,"UNITED ST9",958,5441920
1995,"UNITED ST9",12170,2124300
1995,"UNITED ST1",12170,1419736
1993,"UNITED ST5",12349,1450570
1997,"UNITED ST8",14539,5942728
1994,"UNITED ST8",14188,3837358
1997,"UNITED ST0",18041,2624484
1996,"UNITED ST5",13702,3241597
1995,"UNITED ST1",2015,3399283
1995,"UNITED ST1",9911,844184
1993,"UNITED ST7",10354,7102279
1993,"UNITED ST1",8777,8833923
1993,"UNITED ST0",8777,1411941
1993,"UNITED ST3",9874,6919757
1996,"UNITED ST7",122,6682216
1996,"UNITED ST9",122,4398276
1997,"UNITED ST4",5710,7369157
1993,"UNITED ST1",23161,4804600
1995,"UNITED ST5",12752,6181869
1993,"UNITED ST1",16991,6272993
1997,"UNITED ST5",4849,8139648
1992,"UNITED ST1",772,2844589
1995,"UNITED ST3",11650,4620161
1994,"UNITED ST8",2692,2918192
1997,"UNITED ST4",22589,2091469
1994,"UNITED ST1",23689,7745701
1994,"UNITED ST6",23689,539424
1997,"UNITED ST1",4265,225644
1996,"UNITED ST1",2719,5648491
1992,"UNITED ST4",17813,8026357
1996,"UNITED ST0",28807,7303182
1996,"UNITED ST7",28807,3982101
1992,"UNITED ST3",10378,6156564
1994,"UNITED ST5",23699,757831
1996,"UNITED ST4",11641,2402392
1994,"UNITED ST3",12280,2851153
1994,"UNITED ST0",13835,4848144
1997,"UNITED ST6",5149,1563694
1993,"UNITED ST1",10004,3311428
1994,"UNITED ST4",7976,1928125
1992,"UNITED ST6",12664,2189484
1993,"UNITED ST7",24383,5427996
1997,"UNITED ST7",11017,5000293
1997,"UNITED ST5",2722,530125
1993,"UNITED ST5",24080,520959
1993,"UNITED ST0",28714,417773
1993,"UNITED ST1",25438,1753012
1995,"UNITED ST8",17309,6882829
1992,"UNITED ST1",14198,677500
1992,"UNITED ST6",14198,256894
1992,"UNITED ST4",2644,6562328
1995,"UNITED ST4",19843,1065130
1996,"UNITED ST0",16688,2672800
1997,"UNITED ST1",3046,3892510
1995,"UNITED ST0",5428,3551256
1995,"UNITED ST6",22076,1861217
1992,"UNITED ST4",19480,206107
1992,"UNITED ST1",5633,8501125
1997,"UNITED ST0",8405,4084318
1994,"UNITED ST0",13579,807360
1994,"UNITED ST7",13846,3855316
1993,"UNITED ST7",23099,4896336
1996,"UNITED ST9",13768,6803454
1996,"UNITED ST3",13768,1009465
1997,"UNITED ST1",23272,2720802
1997,"UNITED ST2",23527,1184598
1993,"UNITED ST0",4180,3971860
1993,"UNITED ST5",4180,3295108
1993,"UNITED ST4",12904,8048112
1992,"UNITED ST7",21455,4569079
1992,"UNITED ST6",21455,3534498
1993,"UNITED ST8",2191,4151150
1997,"UNITED ST1",6791,709203
1992,"UNITED ST1",541,4722235
1997,"UNITED ST0",16312,273876
1997,"UNITED ST0",16312,6836751
1994,"UNITED ST1",13261,5385500
1992,"UNITED ST4",10417,6645237
1997,"UNITED ST8",1834,2587840
1997,"UNITED ST7",1159,1603294
1996,"UNITED ST6",23243,2043797
1994,"UNITED ST9",12383,1168528
1997,"UNITED ST7",26857,5215162
1997,"UNITED ST9",26857,415952
1995,"UNITED ST0",23999,5708102
