"s_nation","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"BRAZIL",1993,35317,148636,3680916,101077
"PERU",1993,21416,376279,4964317,81315
"ARGENTINA",1993,36184,70667,2616980,98259
"CANADA",1992,18866,446400,5509386,80782
"PERU",1992,18866,240962,1712655,114177
"PERU",1992,18866,422634,3549070,93396
"PERU",1992,18866,399636,8504538,104137
"CANADA",1992,187229,233902,5507670,110153
"UNITED STATES",1993,174469,542479,608580,91287
"PERU",1993,174469,444408,1368608,81142
"CANADA",1993,138940,77360,1965919,80241
"UNITED STATES",1993,138940,586445,1408906,91885
"PERU",1993,141811,36515,1436994,87090
"BRAZIL",1992,159454,572121,2405289,71586
"PERU",1992,159454,109833,7275492,110569
"BRAZIL",1993,202984,76043,1467417,61142
"UNITED STATES",1992,237509,584885,1684230,118191
"ARGENTINA",1993,154927,135961,4193616,119817
"CANADA",1992,136000,583947,2242135,121855
"BRAZIL",1992,136000,495385,3851204,82821
"PERU",1992,33628,247349,6092751,77779
"PERU",1992,33628,457613,3986157,94235
"ARGENTINA",1993,3880,330470,3376035,90027
"PERU",1992,161519,64976,6317857,116458
"PERU",1992,161519,544013,1450190,63419
"CANADA",1992,131563,431514,5383004,86729
"UNITED STATES",1993,297325,20872,6608518,107572
"BRAZIL",1993,80216,506473,5519827,88767
"UNITED STATES",1993,80216,317784,8378230,108106
"ARGENTINA",1993,9106,347022,2138020,64140
"BRAZIL",1992,88550,137102,4661197,68346
"ARGENTINA",1992,88550,291475,563120,87987
"BRAZIL",1992,274061,401696,5911379,95860
"BRAZIL",1992,60661,149225,3516847,76453
"ARGENTINA",1993,187619,302022,1024010,61440
"UNITED STATES",1993,187619,80282,5398771,75736
"ARGENTINA",1992,33781,513821,4458564,110088
"UNITED STATES",1992,33781,577457,5393521,92065
"BRAZIL",1993,249055,330905,1103457,116153
"BRAZIL",1993,216949,407025,4158584,55920
"BRAZIL",1993,60910,396026,1666184,67320
"CANADA",1992,231133,589618,8537950,102455
"CANADA",1993,188144,236935,7921965,112315
"BRAZIL",1992,37168,390570,4890349,99633
"CANADA",1992,37168,216521,4144341,86250
"ARGENTINA",1992,37168,379160,3312247,74349
"PERU",1993,116117,362712,6087221,106482
"ARGENTINA",1993,116117,86932,575679,115135
"PERU",1993,116117,64630,6407223,95677
"ARGENTINA",1992,69701,274621,6534022,95736
"ARGENTINA",1992,27856,316882,2620440,113932
"CANADA",1992,187048,30605,2106843,92136
"BRAZIL",1993,290437,539256,3336512,77713
"ARGENTINA",1993,107308,451245,3868575,71773
"PERU",1993,100987,581027,4478536,66480
"ARGENTINA",1993,130151,430186,3500277,66969
"ARGENTINA",1992,260806,31595,5138501,91595
"UNITED STATES",1992,260806,8456,1910230,81867
"CANADA",1992,255140,559485,2696627,92667
"BRAZIL",1992,255140,369686,2501829,105340
"BRAZIL",1992,280216,414933,8330378,110874
"BRAZIL",1992,280216,564320,1637626,83058
"CANADA",1992,58858,176073,2843948,68944
"BRAZIL",1992,67387,418250,1261688,70093
"PERU",1992,106636,357334,4883533,83479
"PERU",1992,106636,257898,6523418,111352
"BRAZIL",1992,68060,487857,8061907,110689
"BRAZIL",1993,284386,50846,8355306,107810
"BRAZIL",1993,284386,238072,3159467,60603
