"lo_orderdate","lo_partkey","lo_revenue","lo_suppkey"
19970628,80345,3149007,435
19970305,152084,1776829,1345
19970227,163145,2418696,1347
19970405,7706,3859970,1472
19970507,169315,2893207,1294
19970521,182020,2826681,1213
19970521,102326,2258144,626
19970505,46122,2527171,21
19970505,161764,3395913,466
19971014,117678,3204816,586
19970719,94870,3224360,858
19970113,6761,3802492,1888
19970927,35128,2423913,192
19970521,132912,4002624,172
19970521,42763,3377404,1966
19970521,180333,2849273,970
19970516,82494,3707466,399
19970125,89375,3315419,785
19970125,114223,1977077,1120
19970125,3191,1811978,467
19971230,47991,4031160,1460
19970724,100596,3266623,1045
19971116,20417,3145588,824
19970313,14081,1773232,532
19970313,41627,3137240,1251
19970313,60210,2896269,1476
19970101,78518,2843369,819
19970514,74984,4456679,1207
19970707,109147,2497262,802
19970417,145578,3149725,884
19971113,19178,2172396,961
19971203,187709,3880872,88
19971203,184786,2925899,1810
19971203,88316,3130344,1459
19971203,120215,3068261,1590
19970222,87023,1818036,1055
19970222,189962,3964386,572
19970309,72470,2256023,1193
19970203,21183,1828522,509
19971104,30123,2580144,962
19971104,10165,2477168,1602
19971013,2945,3902849,114
19970109,15911,2795172,378
19971207,129161,2189894,1281
19970224,199957,3743649,1812
19970617,115048,2031469,1172
19970115,110212,2608196,816
19970711,28325,2945302,1151
19970627,60436,2697902,386
19970627,130792,3428667,850
19970110,116032,1754402,165
19970416,94906,3421620,304
19970416,72395,3270796,450
19970416,138142,2440529,389
19971105,72584,2619724,397
19971102,175568,3435040,1291
19970702,81670,3532922,817
19970702,17654,2458060,1213
19970702,95130,2946715,818
19970702,35495,3347346,11
19970315,103120,2324858,448
19970315,130234,3097363,824
19970329,124891,5017715,469
19970329,35412,3328102,366
19970916,83547,3449837,565
19970630,64455,2535137,1396
19970816,102206,2410359,354
19970112,136296,3097574,1028
19970407,197727,3653089,1456
19971127,179106,2645143,1928
19971127,31100,1782771,1727
19970210,11103,2231020,1099
19970210,7767,2895660,1709
19970413,184934,3432181,390
19970315,26386,2291415,634
19971019,6019,2422601,363
19970522,147540,2835346,1158
19970626,147991,3874081,1096
19970626,78810,4185815,286
19971202,114169,2023203,958
19970225,101438,2461425,1778
19970225,68905,3817134,69
19971221,25600,3847563,1189
19971221,98472,3280618,1857
19970815,85856,4111009,528
19970815,175596,4011816,541
19970708,29625,3619155,670
19970708,114297,3540483,283
19971102,11811,4465523,1261
19970613,5685,2895037,1946
19970613,156791,3621668,1034
19970216,44692,3977156,878
19970608,119918,3139414,253
19970609,76145,2044959,424
19970609,165607,3177940,750
19970217,157255,3247818,904
19970126,148190,2941939,1902
19970809,96243,2064573,1582
19970519,68957,3813381,1584
19970519,14027,2190694,1159
19970811,103767,4164827,743
19970811,195634,4497038,1970
19970403,94198,1995726,1242
19970216,125778,2759768,1317
19970520,172034,2145698,260
19970520,164091,2171569,334
19970922,12493,2906553,848
19970922,96402,3087667,976
19970210,32009,1734263,777
19970210,163199,1995522,1471
19970210,85420,2892354,1704
19970210,53678,3793632,822
19971205,22989,4722590,55
19970801,97188,2616877,617
19970801,33759,3385500,1267
19970923,137925,4059318,1276
19970923,17404,3332570,794
19970501,187007,2056720,575
19970501,12315,2794584,153
19971006,142639,3978736,1925
19970131,197175,2391679,1383
19971212,191848,3264750,35
19971212,174613,3726242,1924
19970911,61995,3311227,1561
19970705,108189,2723584,1290
19970705,131227,2010635,611
19970705,120186,3224119,1615
19970329,25986,4177676,905
19970329,132810,3575051,1206
19970919,45781,4144272,1838
19970919,174551,2991012,1628
19971009,37617,3886525,1560
19971009,173991,4406688,532
19970907,117458,3293204,1612
19970907,133685,4408414,890
19971113,47516,2796767,1239
19970829,35344,2878515,1259
19970417,9802,2992226,1602
19970518,117364,3282111,696
19970518,129691,3035297,401
19970412,1811,3596901,1172
19970412,15161,1958611,479
19970927,151621,2729715,1471
19970927,182874,4305114,1972
19970805,76391,2953562,1580
19970805,85223,2858648,1865
19971015,16562,2501723,422
19970126,183323,3417357,523
19970126,180097,2563702,1244
19970126,129781,2893626,1881
19971125,140740,2966712,1325
19971125,100020,2275664,341
19971125,26666,3177356,484
19970907,49078,1775804,1026
19970428,37868,3153031,324
19970428,157315,2872244,360
19971211,173790,3858045,33
19970714,173936,3658072,894
19970714,147423,3308445,1774
19970817,1825,3315494,1648
19970424,161888,3665774,1140
19971016,7165,1640404,974
19971001,117556,2929950,889
19971001,163143,2467762,1333
19971001,133008,1716609,184
19971001,171234,1997001,1981
19970209,188514,3769103,343
19970726,189031,1834609,1599
19970915,163609,3532531,1115
19971003,176898,4315134,917
19971012,123196,2494462,1049
19970612,111058,2828706,1816
19971121,158038,2685273,1335
19971121,143546,2956544,1943
19970803,69192,2267804,860
19970923,78884,2945213,1113
19970923,3016,1588049,798
19970801,125079,2802129,1119
19970801,191721,2958359,1960
19970801,116705,3579414,1922
