"d_yearmonthnum","lo_partkey","lo_revenue"
199706,80345,3149007
199703,152084,1776829
199707,94870,3224360
199701,3191,1811978
199712,47991,4031160
199707,100596,3266623
199703,60210,2896269
199711,30123,2580144
199707,35495,3347346
199703,124891,5017715
199703,35412,3328102
199711,179106,2645143
199706,147991,3874081
199712,114169,2023203
199712,98472,3280618
199706,5685,2895037
199702,44692,3977156
199706,119918,3139414
199706,165607,3177940
199705,68957,3813381
199705,14027,2190694
199704,94198,1995726
199702,85420,2892354
199705,12315,2794584
199712,191848,3264750
199707,131227,2010635
199704,15161,1958611
199701,183323,3417357
199701,129781,2893626
199704,37868,3153031
199707,173936,3658072
199709,3016,1588049
199706,191147,2050359
199704,28982,4120072
199712,79864,4425264
199712,5253,2585214
199701,190862,3515148
199701,129667,2855478
199712,58198,2691610
199712,127163,2599309
199708,168943,5178733
199707,151619,4420434
199709,93140,2165430
199707,178589,2608095
199706,62806,2796472
199711,183615,4328058
199711,6111,2315959
199705,120181,2762714
199702,69009,2273850
199702,34035,1939998
199709,31855,2991186
199709,53935,3162068
199711,5531,2246732
199701,30716,3896115
199706,84365,2512508
199702,52705,3938695
199707,104860,3222478
199708,150026,2065958
199701,82698,4063908
199708,86056,1718340
199709,38167,2181585
199711,75537,3235301
199703,105963,4479384
199707,160654,3864821
199707,133455,2572041
199704,77258,2581672
199702,96411,3686006
199708,160385,2718759
199712,186023,2550746
199703,34503,2594687
199711,14795,2831412
199711,67583,3172486
199711,142229,2616170
199702,43273,2919048
199702,76072,2068890
199708,125912,4028914
199703,89729,3440877
199707,76356,3221622
199701,78116,2113820
199711,182508,3777437
199706,145615,3985464
199707,168851,3574760
199706,42802,4239864
199705,64790,4311519
199701,102133,2240746
199712,160948,4331274
199708,164626,3644976
199707,161302,3644100
199707,191094,3135748
199709,46653,3237691
199705,79711,3347605
199705,153133,2509851
199705,24383,2796485
199704,97353,2203771
199704,162713,4084133
199703,171956,3447515
199705,24053,2020539
199712,55556,3518888
199708,188279,3248633
199712,68122,2589035
199701,164587,3633476
199705,121237,2518976
199703,151812,4383681
199708,146349,2386031
199701,167902,3047435
199705,22506,2687008
199701,132086,2571584
199712,24337,2436889
199708,7473,3540905
199709,65844,3438696
199702,21443,2693404
199703,99523,3602282
199702,6364,2286648
199704,47988,4704431
199704,172263,3071098
199704,81822,3246876
199708,40644,3831659
199706,23429,2986143
199704,27296,2637413
199702,192920,5434884
199710,163428,3504837
199709,150003,1743768
199711,159200,2991859
199707,120937,4886993
199702,193784,4412783
199707,25377,2844376
199711,140380,2505550
199705,67739,3440767
199702,134394,3252444
199706,44784,3537083
199705,102589,2864844
199709,27241,1913577
199707,131824,4175595
199708,195602,3225440
199705,142777,3348376
199710,28662,3306982
199705,135082,2627372
199707,54184,2162542
199703,164212,2671107
199703,105064,2458838
199704,36597,4016472
199712,105271,2297286
199712,7184,1928115
199704,127363,2814088
199707,136122,2692629
199712,190279,2674184
199709,34677,3771307
199701,12429,3138922
199706,6364,2051631
199702,18679,3099479
199704,20313,2836613
199710,112574,2893903
199709,23920,3252674
199704,166232,2173237
199705,80901,3912470
199711,54125,2050328
199705,25547,2948025
199708,183687,3187224
199706,85324,2333208
199703,84677,3630748
199703,18434,2207165
199712,59423,3414577
199702,103594,3674457
199706,31752,3465157
199701,16575,2663944
199703,192370,2886718
199703,68018,2267823
199703,184811,4276947
199701,50996,3364398
199710,183167,2494069
199712,170127,2873088
199711,166795,3219034
199704,3174,2279291
199702,181746,3684723
199708,195515,3333755
199704,48045,1787472
199706,125439,3587853
199702,109703,3702857
199712,103221,2815706
199705,116560,3121588
199711,154721,3036481
199711,33258,2973360
199708,169181,2700388
199708,146629,2677640
199708,16483,2603032
199711,90774,3571894
199711,197166,2789057
199708,94313,3006813
199701,195292,2738510
199712,8128,1697164
199712,4510,2659278
199708,11804,3397284
199710,18539,2827608
199705,186946,4757079
199712,92853,4020261
199702,131129,2668276
199704,11888,3275781
199702,179903,3390759
199710,71694,2661772
199711,196566,3225366
199712,197311,2488483
199708,73144,2986115
199708,11981,3524728
199709,44472,2960422
199705,32970,3796425
199707,183932,4451173
199710,183679,3761537
199705,79883,4979478
199705,188559,3425256
199702,131814,3261546
199712,114718,3773842
199709,131228,3093903
199709,25074,2643539
199703,20495,3092845
199704,33085,1649289
199709,53309,3183520
199712,166979,3731849
199705,59905,3815585
199701,117268,3213150
199705,106689,4056066
199702,47045,1884876
199705,124555,2701030
199705,191468,2962974
199705,192417,3405228
199706,2683,3577294
199706,34872,3577602
199705,9150,2462523
199707,29600,3147916
199708,60182,2775497
199709,86170,1914617
199704,92264,2983617
199706,48893,4501579
199702,178331,3424671
199701,113471,2961517
199705,118924,3654632
199704,133007,2246400
199704,78159,1924057
199711,190794,4161616
199710,92284,2639347
199708,66476,2887824
199708,13000,1789480
199708,164996,4550665
199708,76745,2913184
199710,167195,2665745
199710,42667,2844269
199702,3195,2399545
199706,191949,4988057
199706,158848,4462005
199704,169744,4668566
199703,45063,2346763
199707,54857,3339239
199709,151115,2326389
199702,82135,2709040
199706,36808,3140640
199704,80465,3541377
199712,68987,4600464
199704,68551,3343010
199704,78272,2363010
199704,106128,1831603
199711,48656,3321625
199702,183323,3340010
199704,177617,4026393
199703,175121,3109912
199704,31209,2770686
199706,43850,2805581
199704,175974,4620632
199708,34301,2412540
199708,21994,4782311
199708,65501,2563442
199708,120150,2522843
199705,139178,3122041
199703,173773,4343603
199703,105172,2648632
199704,99114,2749381
199709,121255,2303631
199709,106615,2674034
199701,175838,3697519
199703,24580,2557786
199710,17046,1810515
199705,130919,4350249
199705,164752,2903166
199703,52271,2782939
199701,157339,2764733
199711,88812,4096842
199711,59861,4104218
199706,73315,2906427
199702,103448,2442773
199703,66722,3728693
199709,86233,3061486
199711,48870,3310343
199711,128594,2565314
199711,65628,3518712
199709,107625,3673395
199706,77855,4527139
199709,66548,3622779
199711,165528,2782285
199708,154371,3041739
199707,5369,3180802
199702,189462,2916744
199705,109256,2000360
199702,128436,3267143
199706,154782,4362352
199704,79493,2378071
199703,66807,4079740
199708,120162,2718968
199710,157010,2483999
199705,55664,3538957
199710,65529,3228163
199702,10856,4023117
199712,134835,4618480
199710,105699,3170723
199701,161553,3753828
199701,61920,3289596
199704,90085,2021150
199702,41362,3034222
199710,109177,2206276
199701,174415,3117335
199706,70876,3606937
199706,196244,2830586
199706,17902,4447835
199706,107193,2940465
199709,146589,3562293
199704,4349,2066757
199702,45397,2499530
199706,16104,2493124
199712,18316,2753745
199704,40649,3179280
199702,159347,3234582
199708,85972,3865032
199702,137007,2255040
199704,49058,2492448
199704,155532,3457640
199704,120918,4234579
199710,92046,2169503
199707,161695,3162042
