"d_yearmonthnum","lo_partkey","lo_revenue"
199308,55417,4526208
199310,197219,1805840
199310,40489,415978
199303,183604,6780776
199309,79895,5382809
199306,180170,3759261
199306,4563,5978839
199304,68699,3235318
199312,174252,1286462
199305,36164,2347741
199305,184523,7484613
199301,61982,5845547
199306,368,1476371
199302,72110,3213866
199303,104316,5046224
199302,118267,5793952
199311,97865,8945453
199304,171507,618772
199305,33638,3578601
199305,42873,7926272
199307,187773,1641199
199311,21682,3175286
199308,153065,2191397
199304,98349,3868213
199310,73905,8556510
199311,18685,4977822
199310,48496,3861121
199309,66448,2800591
199309,128674,5731187
199301,152309,5810028
199303,34786,8006789
199305,111148,1590340
199303,87057,826887
199303,176589,1142587
199311,175660,3703898
199309,179341,3168778
199312,2996,2578828
199310,183710,695959
199310,33451,4070283
199310,108720,6036690
199301,181395,429629
199301,109598,1247489
199311,12096,1877063
199301,14906,3568964
199302,54863,8907514
199301,92408,3939325
199305,41670,2970307
199305,68429,2738943
199308,32059,1165474
199309,40048,2808009
199309,191643,6057362
199306,42687,4194796
199310,27318,5979978
199310,97061,3142438
199311,142025,731975
199312,124408,3403382
199308,145015,4092698
199307,166218,508547
199307,11538,6749011
199307,2655,2719656
199301,4334,5946460
199303,179991,8638099
199306,15859,2238085
199305,161899,7878856
199310,27931,8474861
199311,22111,5062239
199306,123787,6632887
199308,58902,1641313
199307,104207,5036169
199307,191852,6667405
199302,168691,6619953
199302,84979,6416289
199302,35218,4909214
199304,56320,2779824
199304,66036,1669381
199304,61025,289889
199310,132101,5165802
199301,173492,767090
199301,18955,2597294
199303,41322,2104691
199306,111002,1786932
199304,57013,3457115
199309,106474,3810729
199312,85466,4167141
199306,110968,5950732
199310,13843,8436345
199311,94411,4226067
199303,195308,5973848
199308,115312,5793708
199308,156077,4599131
199309,103206,2133028
199311,14987,2071256
199311,75243,3135749
199301,46619,4909752
199306,193268,6536770
199309,47946,4825759
199309,12886,6522738
199303,9046,3612916
199303,159342,4943927
199309,111299,648593
199309,1828,5704946
199303,101040,103062
199305,169526,7265998
199308,46813,1219548
199309,43237,3091022
199304,166005,4135131
199312,154598,1122108
199312,134458,6289184
199308,92528,147490
199308,8710,5608830
199304,19299,835746
199305,143435,286815
199312,24674,5697659
199301,57978,6324813
199309,95168,3647669
199309,49510,3756778
199301,135839,4454596
199301,40913,6653682
199307,39223,1252873
199307,8961,7775293
199301,66629,6950520
199311,65991,8137164
199308,173477,153496
199301,2114,5029744
199303,16215,1975092
199301,78546,1660224
199304,196018,1323443
199307,93612,3933744
199302,25915,6314321
199303,179689,5603178
199308,85219,3540377
199304,154855,6669196
199302,69012,95157
199303,199905,6153038
199303,80595,3431635
199303,75679,4259120
199309,6942,1793471
199306,25028,3327945
199303,84664,4685491
199306,95598,5873972
199306,29781,3353128
199302,52383,4842087
199309,36252,235273
199312,199457,150975
199312,80705,834421
199310,40321,4697155
199305,121114,112375
199312,92332,6099863
199311,28775,826328
199312,46912,5152898
199308,83082,2108858
199307,89506,6008919
199307,117415,2268937
199310,145754,1603577
199311,55880,8542349
199303,87164,3796525
199302,17166,743047
199308,129174,5479236
199301,190794,2239130
199302,96730,4273656
199305,139196,2995335
199302,190973,6006152
199303,77451,6080911
199308,91835,8772437
199310,136023,2283247
199310,90742,3361515
199309,38621,1069899
199301,183332,2745740
199309,128138,5371194
199311,48676,1733522
199311,181082,1595745
199308,130581,4467299
199311,76445,2343954
199305,182279,6206029
199302,149819,7325735
199309,16246,5177779
199304,111358,6173029
199303,126010,820519
199305,99559,5554672
199302,145284,6060187
199302,143181,3359149
199304,182633,8152673
199304,83367,6416910
199302,78064,1314037
199307,116333,2748585
199302,191598,1324638
199302,178135,5706563
199307,166633,7418884
199309,183306,3438517
199306,111849,7294492
199310,168982,795780
199309,93372,2516376
199305,165771,4182325
199301,147381,1819756
199303,107808,5460110
199309,129308,3145329
199311,42740,166591
199302,111125,556698
199303,64037,3786896
199308,155689,1353871
199311,157801,4736222
199306,159292,5694336
199306,18854,2063597
199307,134223,2926808
199306,38686,1103157
199308,180984,7811819
199303,173223,251466
199306,136815,1975881
199307,142846,7959571
199312,23676,1567676
199304,189953,8521144
199304,37553,2508595
199305,174524,2036514
199310,25825,2079974
199312,20653,2930136
199312,145601,5270766
199309,4361,6200264
199309,52359,4833636
199309,31705,7378243
199301,187890,9497827
199307,198369,5665476
199305,87373,1866427
199312,143864,6170019
199312,93148,1217596
199308,4244,4206003
199311,101503,7372050
199307,170353,1255394
199311,82570,152151
199311,67244,712209
199305,146655,6670468
199311,52763,8323151
199302,63012,4150617
199308,195581,165981
199303,199377,3293781
199304,47004,3295215
199311,51737,6785317
199305,10880,7817191
199311,93344,4587076
199312,140517,3510627
199308,64158,2639296
199303,44930,4728573
199304,148124,3249116
199309,185348,6256529
199308,70578,7205496
199305,159082,5648346
199306,165434,6024709
199307,113056,1905047
199307,193650,8118434
199310,26788,7299818
199301,183988,5076351
199304,146358,1926768
199302,143391,6678519
199310,125134,4203005
199304,2271,2048529
199304,154720,1205034
199303,33656,3083921
199302,195050,3029802
199308,118865,2424527
199311,114055,1799211
199304,158620,4070653
199304,112254,4790223
199304,174958,7849219
199304,68167,2422431
199308,163679,853908
199304,129263,1013131
199301,123191,1884422
199312,145788,1976814
199307,150873,5656177
199311,118341,6660766
199305,93174,1486974
199305,141459,3676102
199309,141131,1263556
199306,25424,785362
199304,161435,2177305
199301,87170,687358
199301,92821,1436545
199303,127458,6339900
199308,108689,7410373
199307,16416,2480947
199302,141066,3651083
199303,24392,510759
199310,80959,4372647
199305,19042,2237301
199303,8946,1619362
199312,130874,377164
199305,104250,1581609
199306,20004,724416
199307,40434,1466516
199307,63834,1569505
199309,163051,1213200
199309,167471,304617
199312,166883,5923735
199303,102150,2395319
199308,1135,1608073
199305,75444,1124196
199303,150186,4118951
199304,178239,2938740
199303,93149,4099140
199311,140140,1503498
199311,54572,6811555
199311,190399,433412
199310,48545,4346201
199302,77131,2149772
199302,33270,2100909
199311,67856,7961105
199307,82222,4905992
199310,25117,3817248
199302,14679,788866
199302,108505,6459618
199302,80597,1717995
199310,28717,1128957
199301,46528,3901579
199301,191804,7803112
199304,199516,2350567
199311,109232,1720344
199301,50264,2764870
199312,165630,7565901
199304,170101,2639659
199304,49279,2740270
199307,176263,3377613
199304,133500,6983559
199308,59439,4883317
199303,166523,1573624
199307,152556,3821914
199304,72162,1760216
199306,94990,2503072
199312,157520,2473551
199306,69586,1207130
199310,15159,631600
199303,108205,235360
199308,151695,677715
199305,77937,3377936
199305,123100,2505636
199302,37521,6064526
199304,36180,4751578
199304,109763,1228522
199301,86903,5613003
199302,175093,3006663
199301,180629,2984996
199310,116250,125358
199308,157050,2301556
199308,135182,602504
199309,172684,4941540
199310,37000,1576971
199305,13815,7546255
199302,158816,183731
199310,7175,4713932
199312,2393,3518279
199307,110876,7658805
199302,164846,2808934
199301,8101,2197819
199308,29175,4926806
199301,91489,1465675
199303,49620,6768201
199311,196602,1498165
199310,9507,3085137
199311,144140,1148615
199311,74658,1777955
199311,198546,6349568
199305,196862,5183143
199304,34299,239258
199310,54570,4732265
199304,23929,7369062
199301,146810,2881769
199310,105247,619858
199301,92434,2767274
199302,69428,4337591
199304,82024,4880203
199305,116234,2723000
199307,25527,4026385
199312,82588,1865849
199305,102569,2644935
199310,151780,6347117
199309,118652,8022461
199303,119916,4932698
199307,65060,304442
199307,136957,7620876
199309,149898,3471139
199305,144001,2736855
199311,94638,4159941
199308,41221,5694878
199306,166305,3665484
199307,141692,6222213
199309,192305,4792739
199307,108459,5608593
199304,197894,3943942
199311,58412,5698164
199304,162174,1590950
199303,47492,5360660
199312,81047,2115706
199304,148851,752340
199304,179361,5728311
199303,9710,4761947
199305,176277,4243854
199306,5408,2210452
199303,2663,3100006
199304,54479,4966973
199306,43551,6737431
199309,13818,3943331
199307,133307,1326897
199307,81169,341597
199312,58074,4304763
199311,162530,3941511
199303,102241,2436750
199307,74971,9437954
199311,28803,839923
199312,151093,4550045
199304,196009,1949220
199305,13696,1092979
199312,50152,2400482
199311,100423,5660941
199306,22506,5459727
199306,52318,4108182
199309,121951,5932660
199303,63504,1438150
199305,182551,4162285
199309,199360,4433535
199307,6880,7106421
199309,101430,708557
199312,40387,3153854
199309,194073,1698086
199304,178789,4710541
199305,42294,4650922
199301,164623,992320
199301,35792,3519508
199303,51078,806790
199303,59682,5791847
199301,112746,4352881
199307,94844,8740006
199308,14183,1182760
199304,43984,4962620
199311,140145,1161437
199311,68549,6182457
199308,108617,2574966
199302,173010,525259
199304,75300,1010037
199308,86223,4070234
199310,137571,4571555
199310,22514,3555362
199309,85996,4120557
199301,168850,9120294
199311,135370,417394
199309,146859,8778345
199308,155656,5591960
199307,8721,4426319
199304,127836,7854179
199303,88571,771987
199302,195993,5377060
199301,41815,5043801
199305,27397,2725594
199312,196385,4693011
199312,12504,555268
199312,55557,586869
199305,95093,3198984
199310,146414,3258174
199303,185688,8169570
199311,150235,1637383
199309,102380,410566
199307,125589,4855042
199310,29787,3399224
199306,187809,5257929
199301,180346,5810909
199301,71796,6583249
199305,48285,1315909
199301,172842,8720181
199305,173417,4673925
199308,24818,6148633
199309,35531,4125348
199309,151334,1086098
199301,186748,2669546
199312,42130,945618
199306,47559,6722226
199307,186224,3631929
199310,10727,635435
199309,11027,3366553
199303,92236,2025351
199303,101893,5881738
199303,107378,2036493
199311,36364,3784047
199305,184000,2733848
199306,77280,4605416
199306,140056,2170179
199303,13030,1755921
199303,121312,6141225
199306,155333,137444
199303,49215,338785
199312,127949,4068542
199303,72566,5671132
199307,169626,6480659
199308,156081,2814273
199303,135828,7380727
199302,156452,739140
199308,112374,4619384
199306,44719,3711737
199301,75617,6464403
199301,48927,9098212
199310,86995,8934810
199303,119927,5151550
199301,23093,2389843
199303,3689,2185156
199311,197725,6073303
199311,180446,1047137
199308,59428,1495638
199304,90054,2531821
199304,198519,5072511
199309,86923,741048
199302,191806,6137485
199311,62395,1209434
199304,185707,5146841
199306,105718,8192793
199301,182586,161852
199301,192383,1314563
199307,6661,5018079
199307,185439,6358397
199304,4929,6937719
199306,192007,1523214
199311,151882,9096971
199301,199177,2723346
199303,174363,3346174
199308,9583,5467320
199307,177543,5973310
199304,74503,5016112
199309,56399,5127440
199302,145875,6521353
199305,80772,8416801
199302,19152,1558523
199311,102441,5799741
199310,182975,9075647
199302,117796,6157817
199305,119942,6021193
199305,166770,909201
199310,179406,5146911
199311,118313,6132013
199303,62520,145286
199306,199157,1584005
199308,12004,4039560
199308,148769,7378287
199302,162670,1358413
199312,150080,885982
199306,19274,3189610
199304,58659,1255296
199301,85627,1738404
199305,28792,5451462
199305,122101,770446
199302,56491,3725839
199309,16789,5129280
199303,76984,2135507
199304,95319,2294785
199307,59064,4456449
199310,148867,7805213
199310,181543,6272348
199311,72352,6359528
199308,92492,4655360
199303,54386,1459673
199303,54868,1804631
199303,56808,5820310
199312,98,2836571
199304,40067,2392774
199304,30039,4368387
199311,164240,3357113
199302,34443,267223
199301,191594,6049582
199305,49894,6685945
199303,14106,2726727
199312,105077,3778588
199308,125343,2389121
199309,166371,6338801
199303,143867,5056135
199312,199703,7344199
199305,145992,9079245
199312,182712,8173109
199312,133175,4425526
199312,66058,1787991
199307,68793,6835745
199304,117765,4496120
199302,32152,1073308
199302,3192,2974536
199308,155071,331064
199305,176942,3916743
199305,117705,5286966
199303,20349,4555661
199304,87142,1423845
199306,170280,2406198
199311,113462,3036496
199311,72020,1944359
199309,94472,5952401
199301,135774,6144169
199305,41849,6205260
199305,59015,2928848
199301,99655,6259540
199303,70112,4927928
199305,76661,5777664
199303,131464,4396652
199309,91949,3614030
199306,87083,2648448
199306,367,752811
199307,170101,3246289
199303,192589,2446698
199303,36395,659038
199312,24125,205627
199312,149160,3910423
199311,196854,4970765
199308,309,3870969
199311,21281,5247952
199302,51004,1701810
199311,92971,7239193
199303,84725,6601228
199305,11632,1197856
199307,185612,4824607
199307,130446,2777183
199301,113029,4126399
199302,110773,6574976
199311,115245,4075616
199302,184579,5706045
199303,188808,2391864
199304,105743,2770004
199306,78227,835217
199311,180640,1533090
199307,5099,2982147
199308,197340,4553493
199307,11722,2911289
199305,61197,2724062
199310,99204,595584
199311,182821,923352
199307,175674,2885205
199307,138920,3839483
199306,56283,5275614
199309,63455,5195782
199311,96341,4193898
199301,156129,1264523
199312,21055,3382013
199310,136216,1214643
199302,121844,8681753
199308,193356,426108
199305,54314,994355
199307,101283,249150
199301,187691,1743116
199307,191629,7154337
199308,62911,7997847
199309,177421,4699045
199306,136682,2167255
199302,103865,7976294
199308,168594,1975156
199310,83265,2718710
199312,102747,3258015
199306,16689,5295532
199309,55956,562113
199301,156492,3604884
199310,166347,2518571
199303,110977,4091242
199309,73709,4452424
199310,55474,1663903
199310,186993,3500623
199303,30787,5611987
199303,192377,872805
199309,57034,3010749
199307,126848,8084310
199309,156758,2992522
199308,156269,4592025
199312,120881,7641753
199306,24101,2638607
199309,50571,4920757
199312,185287,2396000
199303,177016,757455
199304,35114,1119400
199311,83320,2149174
199305,98416,1247509
199301,136931,1948250
199302,26502,141421
199310,42398,1970373
199312,119471,1180452
199303,181102,344282
199312,149355,4222880
199312,175829,746689
199302,55812,5370606
199312,180159,2944220
199310,107928,7857899
199303,149929,2350956
199303,41474,2913037
199301,84671,6584599
199311,173417,4337093
199308,147498,2423328
199301,192024,541269
199311,45071,2759646
199312,96632,5687175
199312,178432,5127909
199303,13814,4357536
199303,101098,107710
199306,144098,1696003
199306,35805,2757427
199309,59641,155262
199307,77573,921038
199301,189151,3368247
199306,166399,2466251
199312,53587,6944934
199301,149895,190599
199301,87637,2090898
199309,123652,492641
199310,143100,3215540
199308,64442,4316364
199310,166543,3434758
199307,185846,4497323
199304,150735,7071490
199303,146840,5307680
