"lo_orderdate","lo_partkey","lo_revenue"
19930804,55417,4526208
19931022,197219,1805840
19931022,40489,415978
19930318,183604,6780776
19930906,79895,5382809
19930624,180170,3759261
19930624,4563,5978839
19930422,68699,3235318
19931205,174252,1286462
19930515,36164,2347741
19930529,184523,7484613
19930106,61982,5845547
19930609,368,1476371
19930226,72110,3213866
19930301,104316,5046224
19930213,118267,5793952
19931116,97865,8945453
19930405,171507,618772
19930519,33638,3578601
19930519,42873,7926272
19930709,187773,1641199
19931118,21682,3175286
19930821,153065,2191397
19930429,98349,3868213
19931009,73905,8556510
19931112,18685,4977822
19931015,48496,3861121
19930922,66448,2800591
19930922,128674,5731187
19930117,152309,5810028
19930310,34786,8006789
19930509,111148,1590340
19930324,87057,826887
19930315,176589,1142587
19931108,175660,3703898
19930905,179341,3168778
19931213,2996,2578828
19931014,183710,695959
19931019,33451,4070283
19931019,108720,6036690
19930109,181395,429629
19930111,109598,1247489
19931109,12096,1877063
19930124,14906,3568964
19930225,54863,8907514
19930129,92408,3939325
19930531,41670,2970307
19930508,68429,2738943
19930828,32059,1165474
19930909,40048,2808009
19930929,191643,6057362
19930608,42687,4194796
19931017,27318,5979978
19931027,97061,3142438
19931125,142025,731975
19931204,124408,3403382
19930801,145015,4092698
19930729,166218,508547
19930729,11538,6749011
19930703,2655,2719656
19930111,4334,5946460
19930330,179991,8638099
19930607,15859,2238085
19930520,161899,7878856
19931019,27931,8474861
19931119,22111,5062239
19930618,123787,6632887
19930807,58902,1641313
19930715,104207,5036169
19930715,191852,6667405
19930218,168691,6619953
19930211,84979,6416289
19930211,35218,4909214
19930425,56320,2779824
19930425,66036,1669381
19930425,61025,289889
19931031,132101,5165802
19930107,173492,767090
19930121,18955,2597294
19930328,41322,2104691
19930606,111002,1786932
19930425,57013,3457115
19930924,106474,3810729
19931208,85466,4167141
19930613,110968,5950732
19931018,13843,8436345
19931116,94411,4226067
19930322,195308,5973848
19930819,115312,5793708
19930810,156077,4599131
19930916,103206,2133028
19931108,14987,2071256
19931108,75243,3135749
19930125,46619,4909752
19930614,193268,6536770
19930930,47946,4825759
19930930,12886,6522738
19930330,9046,3612916
19930330,159342,4943927
19930924,111299,648593
19930924,1828,5704946
19930327,101040,103062
19930526,169526,7265998
19930817,46813,1219548
19930907,43237,3091022
19930408,166005,4135131
19931227,154598,1122108
19931212,134458,6289184
19930820,92528,147490
19930822,8710,5608830
19930429,19299,835746
19930513,143435,286815
19931211,24674,5697659
19930108,57978,6324813
19930906,95168,3647669
19930901,49510,3756778
19930101,135839,4454596
19930101,40913,6653682
19930717,39223,1252873
19930717,8961,7775293
19930126,66629,6950520
19931123,65991,8137164
19930819,173477,153496
19930128,2114,5029744
19930306,16215,1975092
19930109,78546,1660224
19930412,196018,1323443
19930709,93612,3933744
19930205,25915,6314321
19930322,179689,5603178
19930816,85219,3540377
19930403,154855,6669196
19930228,69012,95157
19930331,199905,6153038
19930331,80595,3431635
19930331,75679,4259120
19930903,6942,1793471
19930610,25028,3327945
19930312,84664,4685491
19930629,95598,5873972
19930616,29781,3353128
19930219,52383,4842087
19930912,36252,235273
19931215,199457,150975
19931223,80705,834421
19931001,40321,4697155
19930527,121114,112375
19931225,92332,6099863
19931112,28775,826328
19931217,46912,5152898
19930829,83082,2108858
19930707,89506,6008919
19930707,117415,2268937
19931028,145754,1603577
19931107,55880,8542349
19930319,87164,3796525
19930222,17166,743047
19930802,129174,5479236
19930121,190794,2239130
19930221,96730,4273656
19930520,139196,2995335
19930220,190973,6006152
19930306,77451,6080911
19930821,91835,8772437
19931004,136023,2283247
19931002,90742,3361515
19930921,38621,1069899
19930106,183332,2745740
19930926,128138,5371194
19931103,48676,1733522
19931126,181082,1595745
19930808,130581,4467299
19931108,76445,2343954
19930529,182279,6206029
19930217,149819,7325735
19930921,16246,5177779
19930427,111358,6173029
19930303,126010,820519
19930531,99559,5554672
19930201,145284,6060187
19930211,143181,3359149
19930426,182633,8152673
19930403,83367,6416910
19930208,78064,1314037
19930730,116333,2748585
19930227,191598,1324638
19930227,178135,5706563
19930723,166633,7418884
19930906,183306,3438517
19930621,111849,7294492
19931004,168982,795780
19930909,93372,2516376
19930510,165771,4182325
19930111,147381,1819756
19930309,107808,5460110
19930914,129308,3145329
19931109,42740,166591
19930208,111125,556698
19930323,64037,3786896
19930821,155689,1353871
19931106,157801,4736222
19930616,159292,5694336
19930612,18854,2063597
19930715,134223,2926808
19930611,38686,1103157
19930818,180984,7811819
19930323,173223,251466
19930612,136815,1975881
19930715,142846,7959571
19931225,23676,1567676
19930426,189953,8521144
19930417,37553,2508595
19930519,174524,2036514
19931004,25825,2079974
19931220,20653,2930136
19931225,145601,5270766
19930910,4361,6200264
19930930,52359,4833636
19930905,31705,7378243
19930129,187890,9497827
19930703,198369,5665476
19930502,87373,1866427
19931202,143864,6170019
19931209,93148,1217596
19930805,4244,4206003
19931124,101503,7372050
19930706,170353,1255394
19931119,82570,152151
19931119,67244,712209
19930507,146655,6670468
19931126,52763,8323151
19930215,63012,4150617
19930821,195581,165981
19930311,199377,3293781
19930413,47004,3295215
19931120,51737,6785317
19930508,10880,7817191
19931110,93344,4587076
19931202,140517,3510627
19930813,64158,2639296
19930323,44930,4728573
19930407,148124,3249116
19930923,185348,6256529
19930807,70578,7205496
19930524,159082,5648346
19930618,165434,6024709
19930730,113056,1905047
19930726,193650,8118434
19931018,26788,7299818
19930131,183988,5076351
19930420,146358,1926768
19930217,143391,6678519
19931028,125134,4203005
19930427,2271,2048529
19930412,154720,1205034
19930314,33656,3083921
19930211,195050,3029802
19930805,118865,2424527
19931117,114055,1799211
19930403,158620,4070653
19930403,112254,4790223
19930403,174958,7849219
19930401,68167,2422431
19930821,163679,853908
19930429,129263,1013131
19930120,123191,1884422
19931221,145788,1976814
19930721,150873,5656177
19931104,118341,6660766
19930516,93174,1486974
19930516,141459,3676102
19930905,141131,1263556
19930625,25424,785362
19930410,161435,2177305
19930118,87170,687358
19930118,92821,1436545
19930304,127458,6339900
19930818,108689,7410373
19930706,16416,2480947
19930212,141066,3651083
19930305,24392,510759
19931027,80959,4372647
19930527,19042,2237301
19930326,8946,1619362
19931202,130874,377164
19930526,104250,1581609
19930628,20004,724416
19930704,40434,1466516
19930704,63834,1569505
19930925,163051,1213200
19930905,167471,304617
19931204,166883,5923735
19930304,102150,2395319
19930812,1135,1608073
19930530,75444,1124196
19930302,150186,4118951
19930413,178239,2938740
19930323,93149,4099140
19931114,140140,1503498
19931102,54572,6811555
19931102,190399,433412
19931002,48545,4346201
19930220,77131,2149772
19930220,33270,2100909
19931115,67856,7961105
19930725,82222,4905992
19931027,25117,3817248
19930214,14679,788866
19930214,108505,6459618
19930214,80597,1717995
19931014,28717,1128957
19930115,46528,3901579
19930115,191804,7803112
19930423,199516,2350567
19931116,109232,1720344
19930117,50264,2764870
19931213,165630,7565901
19930425,170101,2639659
19930425,49279,2740270
19930716,176263,3377613
19930407,133500,6983559
19930814,59439,4883317
19930307,166523,1573624
19930707,152556,3821914
19930426,72162,1760216
19930616,94990,2503072
19931218,157520,2473551
19930627,69586,1207130
19931021,15159,631600
19930314,108205,235360
19930823,151695,677715
19930513,77937,3377936
19930513,123100,2505636
19930205,37521,6064526
19930427,36180,4751578
19930427,109763,1228522
19930102,86903,5613003
19930213,175093,3006663
19930119,180629,2984996
19931001,116250,125358
19930817,157050,2301556
19930817,135182,602504
19930910,172684,4941540
19931008,37000,1576971
19930529,13815,7546255
19930227,158816,183731
19931031,7175,4713932
19931206,2393,3518279
19930707,110876,7658805
19930201,164846,2808934
19930118,8101,2197819
19930817,29175,4926806
19930122,91489,1465675
19930321,49620,6768201
19931112,196602,1498165
19931027,9507,3085137
19931124,144140,1148615
19931114,74658,1777955
19931114,198546,6349568
19930514,196862,5183143
19930415,34299,239258
19931021,54570,4732265
19930429,23929,7369062
19930131,146810,2881769
19931015,105247,619858
19930101,92434,2767274
19930210,69428,4337591
19930418,82024,4880203
19930520,116234,2723000
19930727,25527,4026385
19931221,82588,1865849
19930527,102569,2644935
19931007,151780,6347117
19930923,118652,8022461
19930309,119916,4932698
19930709,65060,304442
19930709,136957,7620876
19930919,149898,3471139
19930523,144001,2736855
19931106,94638,4159941
19930826,41221,5694878
19930618,166305,3665484
19930712,141692,6222213
19930914,192305,4792739
19930702,108459,5608593
19930420,197894,3943942
19931128,58412,5698164
19930417,162174,1590950
19930322,47492,5360660
19931220,81047,2115706
19930414,148851,752340
19930414,179361,5728311
19930302,9710,4761947
19930529,176277,4243854
19930627,5408,2210452
19930304,2663,3100006
19930405,54479,4966973
19930630,43551,6737431
19930914,13818,3943331
19930703,133307,1326897
19930703,81169,341597
19931223,58074,4304763
19931128,162530,3941511
19930321,102241,2436750
19930709,74971,9437954
19931130,28803,839923
19931223,151093,4550045
19930430,196009,1949220
19930510,13696,1092979
19931231,50152,2400482
19931130,100423,5660941
19930617,22506,5459727
19930617,52318,4108182
19930930,121951,5932660
19930325,63504,1438150
19930503,182551,4162285
19930914,199360,4433535
19930714,6880,7106421
19930909,101430,708557
19931214,40387,3153854
19930920,194073,1698086
19930424,178789,4710541
19930514,42294,4650922
19930128,164623,992320
19930113,35792,3519508
19930321,51078,806790
19930321,59682,5791847
19930109,112746,4352881
19930729,94844,8740006
19930824,14183,1182760
19930419,43984,4962620
19931105,140145,1161437
19931105,68549,6182457
19930809,108617,2574966
19930219,173010,525259
19930424,75300,1010037
19930821,86223,4070234
19931021,137571,4571555
19931021,22514,3555362
19930902,85996,4120557
19930113,168850,9120294
19931121,135370,417394
19930912,146859,8778345
19930815,155656,5591960
19930730,8721,4426319
19930417,127836,7854179
19930315,88571,771987
19930201,195993,5377060
19930108,41815,5043801
19930502,27397,2725594
19931203,196385,4693011
19931204,12504,555268
19931204,55557,586869
19930506,95093,3198984
19931012,146414,3258174
19930301,185688,8169570
19931114,150235,1637383
19930924,102380,410566
19930727,125589,4855042
19931030,29787,3399224
19930628,187809,5257929
19930104,180346,5810909
19930104,71796,6583249
19930528,48285,1315909
19930122,172842,8720181
19930501,173417,4673925
19930831,24818,6148633
19930914,35531,4125348
19930914,151334,1086098
19930122,186748,2669546
19931222,42130,945618
19930605,47559,6722226
19930719,186224,3631929
19931031,10727,635435
19930902,11027,3366553
19930312,92236,2025351
19930306,101893,5881738
19930318,107378,2036493
19931120,36364,3784047
19930525,184000,2733848
19930617,77280,4605416
19930627,140056,2170179
19930313,13030,1755921
19930313,121312,6141225
19930607,155333,137444
19930304,49215,338785
19931209,127949,4068542
19930321,72566,5671132
19930701,169626,6480659
19930805,156081,2814273
19930303,135828,7380727
19930219,156452,739140
19930809,112374,4619384
19930612,44719,3711737
19930114,75617,6464403
19930104,48927,9098212
19931023,86995,8934810
19930314,119927,5151550
19930102,23093,2389843
19930301,3689,2185156
19931121,197725,6073303
19931121,180446,1047137
19930808,59428,1495638
19930418,90054,2531821
19930418,198519,5072511
19930909,86923,741048
19930204,191806,6137485
19931105,62395,1209434
19930419,185707,5146841
19930619,105718,8192793
19930114,182586,161852
19930114,192383,1314563
19930730,6661,5018079
19930730,185439,6358397
19930421,4929,6937719
19930613,192007,1523214
19931114,151882,9096971
19930128,199177,2723346
19930313,174363,3346174
19930822,9583,5467320
19930721,177543,5973310
19930407,74503,5016112
19930913,56399,5127440
19930217,145875,6521353
19930531,80772,8416801
19930205,19152,1558523
19931116,102441,5799741
19931006,182975,9075647
19930218,117796,6157817
19930517,119942,6021193
19930517,166770,909201
19931020,179406,5146911
19931113,118313,6132013
19930306,62520,145286
19930619,199157,1584005
19930805,12004,4039560
19930809,148769,7378287
19930215,162670,1358413
19931231,150080,885982
19930623,19274,3189610
19930423,58659,1255296
19930114,85627,1738404
19930505,28792,5451462
19930516,122101,770446
19930215,56491,3725839
19930903,16789,5129280
19930307,76984,2135507
19930423,95319,2294785
19930704,59064,4456449
19931016,148867,7805213
19931022,181543,6272348
19931103,72352,6359528
19930803,92492,4655360
19930312,54386,1459673
19930312,54868,1804631
19930330,56808,5820310
19931222,98,2836571
19930403,40067,2392774
19930423,30039,4368387
19931125,164240,3357113
19930222,34443,267223
19930101,191594,6049582
19930513,49894,6685945
19930313,14106,2726727
19931219,105077,3778588
19930830,125343,2389121
19930923,166371,6338801
19930304,143867,5056135
19931229,199703,7344199
19930510,145992,9079245
19931210,182712,8173109
19931208,133175,4425526
19931208,66058,1787991
19930724,68793,6835745
19930419,117765,4496120
19930225,32152,1073308
19930225,3192,2974536
19930814,155071,331064
19930504,176942,3916743
19930504,117705,5286966
19930308,20349,4555661
19930427,87142,1423845
19930618,170280,2406198
19931120,113462,3036496
19931110,72020,1944359
19930924,94472,5952401
19930127,135774,6144169
19930504,41849,6205260
19930518,59015,2928848
19930112,99655,6259540
19930308,70112,4927928
19930508,76661,5777664
19930323,131464,4396652
19930903,91949,3614030
19930603,87083,2648448
19930603,367,752811
19930707,170101,3246289
19930309,192589,2446698
19930326,36395,659038
19931217,24125,205627
19931219,149160,3910423
19931109,196854,4970765
19930826,309,3870969
19931121,21281,5247952
19930206,51004,1701810
19931103,92971,7239193
19930323,84725,6601228
19930511,11632,1197856
19930720,185612,4824607
19930708,130446,2777183
19930117,113029,4126399
19930216,110773,6574976
19931105,115245,4075616
19930209,184579,5706045
19930318,188808,2391864
19930401,105743,2770004
19930603,78227,835217
19931123,180640,1533090
19930718,5099,2982147
19930818,197340,4553493
19930730,11722,2911289
19930522,61197,2724062
19931012,99204,595584
19931105,182821,923352
19930726,175674,2885205
19930726,138920,3839483
19930614,56283,5275614
19930906,63455,5195782
19931102,96341,4193898
19930125,156129,1264523
19931226,21055,3382013
19931022,136216,1214643
19930217,121844,8681753
19930811,193356,426108
19930521,54314,994355
19930707,101283,249150
19930104,187691,1743116
19930730,191629,7154337
19930831,62911,7997847
19930906,177421,4699045
19930620,136682,2167255
19930211,103865,7976294
19930821,168594,1975156
19931002,83265,2718710
19931205,102747,3258015
19930607,16689,5295532
19930907,55956,562113
19930114,156492,3604884
19931008,166347,2518571
19930306,110977,4091242
19930913,73709,4452424
19931015,55474,1663903
19931015,186993,3500623
19930330,30787,5611987
19930330,192377,872805
19930913,57034,3010749
19930707,126848,8084310
19930905,156758,2992522
19930814,156269,4592025
19931210,120881,7641753
19930611,24101,2638607
19930924,50571,4920757
19931226,185287,2396000
19930312,177016,757455
