"lo_discount","lo_extendedprice","lo_orderdate"
6,2704052,19920217
5,5266632,19950417
4,5690460,19951017
6,4580405,19961121
5,3590079,19920607
4,5400640,19930131
5,3891996,19940604
5,2972346,19980429
5,3678465,19940318
5,3253172,19950818
5,4399839,19950818
4,4690945,19920804
4,5017749,19940809
4,3497598,19920612
4,3260634,19970924
5,3703095,19970203
6,4120116,19961120
5,4713436,19940410
5,6097509,19920928
6,3970350,19930323
4,5137857,19920910
4,4266809,19950723
6,5089419,19940719
5,6138440,19950107
4,3596994,19970819
6,4929366,19920712
4,3412084,19920712
5,3544398,19920218
5,4763055,19961028
4,6390240,19960207
6,5077488,19940210
5,4495848,19940608
5,4823784,19950410
6,4659363,19920601
6,3608896,19920724
4,2868090,19960216
4,4617723,19980707
6,4481921,19921225
5,3859808,19960728
4,4159204,19930907
4,4628512,19930318
4,5029980,19961215
5,4603830,19971204
5,3843648,19930802
4,3615556,19920826
5,5096070,19931214
6,4773132,19920119
5,3961340,19930222
6,2943413,19950522
4,6197103,19970731
5,3849660,19920614
5,4367547,19971003
5,4434395,19971003
6,3253224,19920308
5,4670528,19931214
4,5013259,19930508
4,4298314,19920717
6,3552660,19920717
5,4840416,19920502
5,2677922,19920615
4,4270926,19960206
5,6001485,19960206
4,5725328,19940804
6,3907530,19970801
5,5336480,19980130
6,4522782,19950520
4,3387519,19960327
5,4441530,19930918
6,3081400,19920313
6,5115208,19920518
5,4949522,19960112
6,2938156,19941003
5,3576020,19980421
6,2579174,19950806
4,3859660,19930915
4,4518828,19951226
4,4732530,19980527
5,5310819,19980327
4,4574258,19980327
5,4983777,19980327
4,3965675,19940716
6,4687920,19970907
4,5108896,19921229
5,3907020,19921229
4,4018118,19961130
4,3406902,19950424
6,4077554,19921127
6,4532490,19930103
6,5015956,19930103
6,4354553,19951112
6,2753556,19980204
6,4459644,19930505
6,5652042,19930303
5,4898218,19980314
5,2955030,19930315
4,5048160,19961231
6,3462390,19940116
4,3474577,19980628
5,3328780,19940115
6,4852920,19950314
4,3324928,19930412
5,2497446,19921227
4,3799562,19960421
5,3948810,19980505
6,3695665,19980505
4,5092444,19941213
4,2826356,19980727
4,4453764,19980727
6,4049344,19941118
4,4365550,19971120
6,5933580,19920610
6,6105278,19970514
5,2693860,19980416
6,4232508,19940513
6,5030844,19940923
5,4554334,19940923
6,6789698,19940923
4,4781448,19980619
5,4965180,19980619
4,5265691,19941031
4,3492965,19950604
5,4561725,19930516
4,3978238,19951207
6,5031180,19970604
5,3952088,19930204
6,3021278,19980106
4,3202443,19941020
6,3227250,19970409
