"lo_discount","lo_extendedprice","lo_orderdate"
4,4907448,19951109
5,4929498,19980520
6,3120150,19980121
6,6377686,19930604
6,3391192,19980130
5,3310767,19940529
6,4295445,19940529
5,4738650,19960807
4,4099260,19970118
4,6125814,19960412
4,5079988,19971210
5,5138870,19920621
5,5129644,19950925
6,5753152,19930308
6,3931012,19920502
5,3775184,19950720
4,4497282,19931014
4,4103204,19940513
4,3775728,19941212
6,4980212,19930415
5,3138420,19930804
4,5255530,19971124
4,3786426,19920714
6,4173592,19960916
5,2922738,19960916
5,3936344,19980610
6,3420832,19970921
4,5442108,19970625
5,4747200,19950321
6,6236288,19920314
6,6187388,19960625
6,5700065,19960628
4,6068970,19930920
5,5628726,19920424
4,4297428,19950926
5,3878442,19950926
6,3890348,19950926
5,3367127,19951023
6,5002114,19930320
6,3761156,19920224
4,3476980,19920907
6,5910142,19941027
6,6986898,19970326
4,3432132,19961228
5,3834040,19930515
6,4030775,19950315
6,6457504,19920726
5,3675175,19961231
5,3978112,19970325
5,5542149,19970430
5,5731528,19950911
6,4991019,19950911
5,4007850,19950618
4,4738443,19960404
5,4949010,19930207
4,4786936,19921225
6,3053889,19940728
6,5370575,19940728
5,5060036,19971201
5,4564262,19940918
5,6323490,19920206
4,5544074,19931221
6,5681060,19920707
4,5083264,19970829
5,5634496,19930416
6,3642600,19950511
4,4805460,19950511
4,5490016,19940814
6,5259677,19961017
6,3738015,19980410
5,2912140,19950318
6,4406220,19930806
5,4072789,19950830
4,5131296,19930803
6,5892914,19931007
4,3096912,19920715
4,4304846,19930125
5,3474450,19930702
4,3778292,19940428
5,4129785,19920629
6,4558581,19930731
6,4964155,19941106
5,4975762,19930208
4,5047728,19940819
5,5640181,19951009
5,4728136,19980712
5,6242026,19970409
4,5384372,19970210
6,4543658,19970407
6,4971377,19930404
5,4918585,19960113
4,3830784,19930928
4,6113014,19980725
5,2956824,19950427
5,3462075,19950825
5,6224707,19940827
5,2659852,19950531
4,3826845,19950507
4,4530774,19940819
4,5443515,19980212
6,4479387,19941231
4,5436408,19970522
5,4397856,19970522
6,5663323,19930518
6,3259977,19950323
4,5929959,19930726
4,4822766,19960203
6,4867710,19930422
6,6166682,19971119
6,5695520,19920404
6,6127473,19920404
5,3789214,19930927
4,3248180,19930927
6,6565440,19920212
4,6002940,19941009
4,5308215,19930728
4,4162320,19930728
5,4478166,19930728
5,5344647,19930129
6,3947918,19950907
5,4108972,19961226
5,5114100,19930312
6,5434078,19940923
6,3082996,19940923
4,3890012,19940923
6,4047232,19930406
5,4381263,19940322
4,4447500,19950502
6,6173090,19970909
5,5276310,19971218
4,3675780,19971013
5,3478365,19971013
6,5837439,19930812
6,6330138,19920707
6,4658052,19960526
5,5114900,19970528
4,3181365,19970528
4,5202890,19980304
6,4843176,19940317
4,4012547,19980526
5,6120906,19970808
6,6031328,19980712
5,4148073,19980529
5,4585185,19941103
6,2715000,19970810
6,3219834,19980610
6,4586733,19920617
4,3770064,19980305
4,3913140,19961014
6,5365170,19961023
6,4601356,19920916
4,4307193,19940309
6,6045006,19960531
6,6306796,19960531
4,3522960,19940617
6,5813940,19940617
4,6495904,19960629
5,3664500,19941220
6,3448536,19940128
5,3125052,19950414
5,3579151,19960803
4,4913920,19940109
5,4288560,19940521
6,4055328,19940521
6,3158736,19961001
5,3293499,19980715
4,6028192,19930921
6,4726680,19970509
4,4189104,19970220
4,5517566,19951015
5,4347084,19961017
6,6082848,19971005
5,5765888,19960510
5,4870680,19950125
5,6355635,19930620
5,5621312,19920820
5,5428440,19920820
5,4763917,19980420
5,4120410,19970907
5,4063442,19920924
5,4260361,19920924
6,4148859,19930208
6,4872483,19921224
5,5411949,19971231
6,3699696,19970604
6,3480210,19970604
5,3593920,19940311
5,4309942,19950930
5,3692500,19940816
6,4231689,19930628
5,4491968,19920129
6,3318570,19920731
6,5103130,19951204
6,4618410,19971102
6,5707580,19930812
5,5665143,19930425
6,3857126,19951115
6,4059558,19931212
6,3005640,19971112
6,3898789,19980228
6,5657842,19951123
4,4565022,19931220
6,4478936,19961228
4,4390230,19961228
5,5100760,19980708
6,3643745,19961102
5,6002848,19970831
4,4794687,19970308
6,5262250,19960921
5,3030076,19960204
5,4138276,19930906
6,3940064,19980622
6,2987058,19950329
5,3786453,19960211
5,4922190,19970704
6,4249840,19960702
5,4586656,19970807
4,4628704,19960911
6,3360390,19921231
5,5661810,19940305
5,4284986,19970926
6,5892626,19921003
4,6175107,19921202
6,4016264,19951203
4,5191415,19930810
6,5972700,19930810
4,3199502,19970817
5,5936073,19921214
4,5893404,19920129
5,6681430,19920129
5,4711659,19920826
6,3956282,19940607
