"s_city","lo_custkey","lo_orderdate","lo_revenue"
"UNITED ST6",26308,19931018,2341484
"UNITED ST6",29239,19930608,2388874
"UNITED ST3",5471,19930620,2239304
"UNITED ST3",4360,19930917,3707034
"UNITED ST6",8500,19930616,3250628
"UNITED ST3",4412,19930120,2399719
"UNITED ST6",28831,19931225,3229919
"UNITED ST3",12262,19930428,1621968
"UNITED ST6",28681,19930413,1482083
"UNITED ST3",29206,19930422,3200732
"UNITED ST3",28838,19930512,2499459
"UNITED ST6",7892,19930419,2330954
"UNITED ST3",8927,19930718,3499038
"UNITED ST6",24619,19931001,2173681
"UNITED ST3",21509,19930505,2887167
"UNITED ST6",20588,19930709,2985101
"UNITED ST6",391,19930612,1899089
"UNITED ST6",13084,19930525,3657582
"UNITED ST3",22672,19930920,2551856
"UNITED ST3",7556,19930406,2439426
"UNITED ST6",13436,19931227,3680628
"UNITED ST6",22240,19930228,2546326
"UNITED ST6",16037,19930422,3824085
"UNITED ST6",26492,19930522,2240078
"UNITED ST3",2617,19931103,1623930
"UNITED ST3",23783,19930520,2272087
"UNITED ST3",4454,19930818,3290727
"UNITED ST3",15325,19930210,1738626
"UNITED ST6",11200,19930531,2271571
"UNITED ST3",3151,19930915,2358374
"UNITED ST3",6952,19930702,2540419
"UNITED ST6",4673,19930308,2809949
"UNITED ST6",7321,19930413,2508088
"UNITED ST3",22471,19931227,2603790
"UNITED ST6",11959,19930615,3104106
"UNITED ST6",6169,19930817,3951404
"UNITED ST6",25975,19931020,1782835
"UNITED ST6",10790,19930925,2060431
"UNITED ST3",277,19930721,1819310
"UNITED ST3",12200,19930927,2820145
"UNITED ST3",2947,19931015,3788336
"UNITED ST3",9373,19930520,1812768
"UNITED ST3",23585,19930919,1325934
"UNITED ST6",17581,19930122,1703220
"UNITED ST3",18787,19930731,2929172
"UNITED ST6",1609,19931226,2456150
"UNITED ST6",27479,19931129,1951780
"UNITED ST3",27559,19931115,2704514
"UNITED ST3",24362,19930601,2139521
"UNITED ST6",10789,19930522,1722973
"UNITED ST3",29093,19930508,1937268
"UNITED ST3",12265,19931007,3148030
"UNITED ST3",8684,19930401,3869740
"UNITED ST6",5644,19930111,1899292
"UNITED ST3",22945,19930614,2931693
"UNITED ST3",19069,19930222,3885422
"UNITED ST6",24574,19931118,1717729
"UNITED ST6",29455,19930304,2554640
"UNITED ST3",29252,19930311,3576516
"UNITED ST6",29338,19930822,2318240
"UNITED ST6",9220,19930401,2346480
"UNITED ST6",21946,19930328,2292326
"UNITED ST6",24095,19930304,3186678
"UNITED ST6",5431,19930620,1810380
"UNITED ST3",11917,19930710,1439531
"UNITED ST3",28030,19930419,2794983
"UNITED ST3",1481,19930116,1421629
"UNITED ST3",21307,19931113,1913121
"UNITED ST6",8068,19930413,2186819
"UNITED ST3",26240,19930503,3477354
"UNITED ST6",7366,19930907,1712811
"UNITED ST3",16715,19930915,1668744
"UNITED ST6",2881,19930331,1982752
"UNITED ST6",11878,19930512,1259217
"UNITED ST3",12446,19930517,1433697
"UNITED ST6",25012,19931125,3213388
"UNITED ST6",4189,19930319,3860802
"UNITED ST3",24430,19931001,1777281
"UNITED ST3",9955,19931126,2052222
"UNITED ST6",9730,19930714,1038492
"UNITED ST3",18880,19930621,2657286
"UNITED ST6",9274,19930104,3598353
"UNITED ST6",23818,19931127,3705840
"UNITED ST3",15964,19931026,2515099
"UNITED ST3",2566,19930819,2297396
"UNITED ST3",4825,19930918,2719806
"UNITED ST3",20953,19930211,1975644
"UNITED ST6",21133,19931203,2844936
"UNITED ST3",23920,19931012,1893611
"UNITED ST6",17341,19930310,1907501
"UNITED ST3",2323,19931201,1456469
"UNITED ST3",644,19931216,1652935
"UNITED ST3",11356,19930209,2386921
"UNITED ST3",24874,19930809,2326064
"UNITED ST3",1412,19930313,3182351
"UNITED ST3",6916,19931011,2936300
"UNITED ST3",19964,19930701,3331831
"UNITED ST3",22516,19930314,2217438
"UNITED ST6",15881,19930110,2803710
"UNITED ST3",868,19931223,2362674
"UNITED ST6",7576,19930505,1302720
"UNITED ST3",23341,19930713,2016916
"UNITED ST3",15050,19930307,2106039
"UNITED ST3",17758,19930425,3051383
"UNITED ST6",14317,19930418,2144906
"UNITED ST6",23356,19931119,2163543
"UNITED ST6",5956,19931209,1266805
"UNITED ST3",1651,19931008,2063146
"UNITED ST3",6469,19930519,1315289
"UNITED ST3",15061,19930317,2072250
