"d_yearmonthnum","s_city","lo_custkey","lo_revenue"
199310,"UNITED ST6",26308,2341484
199306,"UNITED ST6",29239,2388874
199306,"UNITED ST3",5471,2239304
199309,"UNITED ST3",4360,3707034
199306,"UNITED ST6",8500,3250628
199301,"UNITED ST3",4412,2399719
199312,"UNITED ST6",28831,3229919
199304,"UNITED ST3",12262,1621968
199304,"UNITED ST6",28681,1482083
199304,"UNITED ST3",29206,3200732
199305,"UNITED ST3",28838,2499459
199304,"UNITED ST6",7892,2330954
199307,"UNITED ST3",8927,3499038
199310,"UNITED ST6",24619,2173681
199305,"UNITED ST3",21509,2887167
199307,"UNITED ST6",20588,2985101
199306,"UNITED ST6",391,1899089
199305,"UNITED ST6",13084,3657582
199309,"UNITED ST3",22672,2551856
199304,"UNITED ST3",7556,2439426
199312,"UNITED ST6",13436,3680628
199302,"UNITED ST6",22240,2546326
199304,"UNITED ST6",16037,3824085
199305,"UNITED ST6",26492,2240078
199311,"UNITED ST3",2617,1623930
199305,"UNITED ST3",23783,2272087
199308,"UNITED ST3",4454,3290727
199302,"UNITED ST3",15325,1738626
199305,"UNITED ST6",11200,2271571
199309,"UNITED ST3",3151,2358374
199307,"UNITED ST3",6952,2540419
199303,"UNITED ST6",4673,2809949
199304,"UNITED ST6",7321,2508088
199312,"UNITED ST3",22471,2603790
199306,"UNITED ST6",11959,3104106
199308,"UNITED ST6",6169,3951404
199310,"UNITED ST6",25975,1782835
199309,"UNITED ST6",10790,2060431
199307,"UNITED ST3",277,1819310
199309,"UNITED ST3",12200,2820145
199310,"UNITED ST3",2947,3788336
199305,"UNITED ST3",9373,1812768
199309,"UNITED ST3",23585,1325934
199301,"UNITED ST6",17581,1703220
199307,"UNITED ST3",18787,2929172
199312,"UNITED ST6",1609,2456150
199311,"UNITED ST6",27479,1951780
199311,"UNITED ST3",27559,2704514
199306,"UNITED ST3",24362,2139521
199305,"UNITED ST6",10789,1722973
199305,"UNITED ST3",29093,1937268
199310,"UNITED ST3",12265,3148030
199304,"UNITED ST3",8684,3869740
199301,"UNITED ST6",5644,1899292
199306,"UNITED ST3",22945,2931693
199302,"UNITED ST3",19069,3885422
199311,"UNITED ST6",24574,1717729
199303,"UNITED ST6",29455,2554640
199303,"UNITED ST3",29252,3576516
199308,"UNITED ST6",29338,2318240
199304,"UNITED ST6",9220,2346480
199303,"UNITED ST6",21946,2292326
199303,"UNITED ST6",24095,3186678
199306,"UNITED ST6",5431,1810380
199307,"UNITED ST3",11917,1439531
199304,"UNITED ST3",28030,2794983
199301,"UNITED ST3",1481,1421629
199311,"UNITED ST3",21307,1913121
199304,"UNITED ST6",8068,2186819
199305,"UNITED ST3",26240,3477354
199309,"UNITED ST6",7366,1712811
199309,"UNITED ST3",16715,1668744
199303,"UNITED ST6",2881,1982752
199305,"UNITED ST6",11878,1259217
199305,"UNITED ST3",12446,1433697
199311,"UNITED ST6",25012,3213388
199303,"UNITED ST6",4189,3860802
199310,"UNITED ST3",24430,1777281
199311,"UNITED ST3",9955,2052222
199307,"UNITED ST6",9730,1038492
199306,"UNITED ST3",18880,2657286
199301,"UNITED ST6",9274,3598353
199311,"UNITED ST6",23818,3705840
199310,"UNITED ST3",15964,2515099
199308,"UNITED ST3",2566,2297396
199309,"UNITED ST3",4825,2719806
199302,"UNITED ST3",20953,1975644
199312,"UNITED ST6",21133,2844936
199310,"UNITED ST3",23920,1893611
199303,"UNITED ST6",17341,1907501
199312,"UNITED ST3",2323,1456469
199312,"UNITED ST3",644,1652935
199302,"UNITED ST3",11356,2386921
199308,"UNITED ST3",24874,2326064
199303,"UNITED ST3",1412,3182351
199310,"UNITED ST3",6916,2936300
199307,"UNITED ST3",19964,3331831
199303,"UNITED ST3",22516,2217438
199301,"UNITED ST6",15881,2803710
199312,"UNITED ST3",868,2362674
199305,"UNITED ST6",7576,1302720
199307,"UNITED ST3",23341,2016916
199303,"UNITED ST3",15050,2106039
199304,"UNITED ST3",17758,3051383
199304,"UNITED ST6",14317,2144906
199311,"UNITED ST6",23356,2163543
199312,"UNITED ST6",5956,1266805
199310,"UNITED ST3",1651,2063146
199305,"UNITED ST3",6469,1315289
199303,"UNITED ST3",15061,2072250
