"s_city","d_year","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST4",1993,357791,6589051,110926
"UNITED ST0",1993,415915,1076563,109853
"UNITED ST3",1993,516487,5277144,90207
"UNITED ST0",1992,649428,2589493,82643
"UNITED ST1",1992,652458,5445631,84625
"UNITED ST7",1993,535120,2304424,69306
"UNITED ST6",1993,145465,5135564,90627
"UNITED ST4",1993,385618,6444718,102216
"UNITED ST5",1993,508056,2545159,63841
"UNITED ST7",1993,228376,2465240,78261
"UNITED ST1",1993,418203,3834435,67270
"UNITED ST4",1992,160897,1301996,117473
"UNITED ST4",1992,798841,8108405,116388
"UNITED ST0",1992,794671,6610556,105938
"UNITED ST3",1992,749161,3526318,72607
"UNITED ST4",1993,714491,5365459,90327
"UNITED ST3",1993,62584,3758189,92794
"UNITED ST1",1993,158944,1822675,120176
"UNITED ST4",1993,165980,4081730,122758
"UNITED ST9",1992,723321,1149367,80657
"UNITED ST7",1993,544652,2341349,101797
"UNITED ST4",1993,626177,1284054,66188
"UNITED ST2",1992,32173,3739895,66310
"UNITED ST3",1993,236593,2643114,91774
"UNITED ST0",1993,416222,320972,68292
"UNITED ST3",1993,744027,2416153,64259
"UNITED ST3",1993,720688,3646259,102519
"UNITED ST6",1992,795940,2461415,122154
"UNITED ST5",1992,623829,2019214,105167
"UNITED ST1",1992,565152,834951,73027
"UNITED ST8",1993,783621,2243240,102275
"UNITED ST5",1992,56934,6194686,113455
"UNITED ST8",1993,265628,1093216,95616
"UNITED ST2",1993,118460,4030281,88707
"UNITED ST1",1993,61293,6208735,75257
"UNITED ST1",1992,268438,2247459,84385
"UNITED ST0",1992,343900,8210991,116633
"UNITED ST7",1992,131951,6337508,118977
"UNITED ST5",1992,61995,3131184,117419
"UNITED ST2",1992,554470,5750225,91467
"UNITED ST9",1992,574146,4243577,73207
"UNITED ST6",1992,432679,6736697,96699
"UNITED ST0",1993,156989,930920,122758
"UNITED ST9",1993,592101,1395903,71584
"UNITED ST3",1993,18893,1319055,108713
"UNITED ST9",1993,730033,2009070,63780
"UNITED ST5",1993,314171,109034,71109
"UNITED ST1",1993,178499,946494,94649
"UNITED ST2",1993,579634,2686940,102816
"UNITED ST7",1993,785088,4926810,70383
"UNITED ST6",1992,178301,4489621,82758
"UNITED ST3",1992,182022,397447,66241
"UNITED ST1",1992,356527,7296814,95010
"UNITED ST7",1992,351067,1900685,67083
"UNITED ST1",1992,69848,5700746,109070
"UNITED ST9",1992,277931,3436056,114535
"UNITED ST6",1993,771061,5051117,67921
"UNITED ST7",1992,572923,4107562,119754
"UNITED ST0",1993,799045,3978866,68640
"UNITED ST4",1992,181439,5456823,91225
"UNITED ST1",1993,14563,1786370,88653
"UNITED ST8",1993,511717,7301986,103721
"UNITED ST7",1993,19910,2012901,109794
"UNITED ST8",1992,6003,1672560,54540
"UNITED ST2",1992,698204,3570444,72130
"UNITED ST7",1992,506722,4200741,103722
"UNITED ST8",1992,195724,993567,109183
"UNITED ST3",1993,180714,8076195,107682
"UNITED ST1",1992,372417,4760122,89364
"UNITED ST6",1992,655897,833787,111171
"UNITED ST6",1992,697031,1040336,61680
"UNITED ST3",1992,784349,4221097,85998
"UNITED ST6",1993,488892,7480219,112852
"UNITED ST6",1993,732198,4207147,73809
"UNITED ST3",1992,713272,1927860,77114
"UNITED ST9",1993,779606,2669942,101134
"UNITED ST5",1993,281848,9057658,109789
"UNITED ST5",1993,404041,1738836,56701
"UNITED ST9",1993,165744,2149971,108584
"UNITED ST7",1992,674782,5979977,105405
"UNITED ST4",1993,588833,5765430,115308
"UNITED ST1",1993,723187,4828498,72609
"UNITED ST5",1992,603477,546654,82826
"UNITED ST1",1992,660593,3197226,93213
"UNITED ST1",1993,9042,1937268,57062
"UNITED ST1",1993,761138,327354,71946
"UNITED ST6",1992,768193,5808902,75669
"UNITED ST7",1993,478268,1869360,74774
"UNITED ST2",1993,755696,2574940,105099
"UNITED ST0",1993,681055,2239875,62161
"UNITED ST1",1992,629910,7515909,110392
"UNITED ST3",1992,99711,6305677,102642
"UNITED ST4",1992,322017,604698,62340
"UNITED ST6",1992,123072,1366647,65704
"UNITED ST6",1993,218894,4405298,108772
"UNITED ST1",1992,187104,117918,71466
"UNITED ST4",1992,43520,4264697,87811
"UNITED ST8",1993,147673,2477764,103240
"UNITED ST6",1992,373914,8396889,119274
"UNITED ST4",1992,188699,8234100,107261
"UNITED ST1",1993,44600,7041831,92676
"UNITED ST4",1993,627812,6889528,104386
