"lo_discount","lo_extendedprice","lo_orderdate"
1,2353936,19920130
2,1499082,19950504
1,768705,19931014
3,122931,19931014
3,2240700,19920224
1,263876,19970901
2,2325600,19930730
3,942920,19941103
1,2370378,19941103
2,4144224,19970902
1,961602,19950528
1,3734698,19931122
1,1931230,19920618
2,713936,19920618
2,1134040,19960321
3,337540,19970428
2,1526500,19920427
3,2654760,19961013
1,1903062,19950413
3,2464440,19940913
2,1437510,19921021
1,3299168,19950430
1,1485264,19931006
2,1911602,19950509
1,2038428,19950509
1,2118728,19950627
1,2621730,19950627
2,1483521,19961116
2,497883,19950602
2,2161040,19960505
3,3194980,19940909
3,3434912,19940909
1,4535439,19941206
3,146146,19921026
2,3311515,19921026
2,2450400,19950825
2,2221310,19971109
2,1779250,19961205
1,1129692,19961205
1,3478387,19940120
1,520707,19920625
2,3655575,19961224
1,3076470,19970528
3,2270010,19940108
1,1415414,19940108
2,184172,19951117
3,4427063,19930401
1,1668240,19930214
1,690680,19950412
1,973845,19980614
3,2556069,19930831
3,2978940,19980726
3,1584312,19980726
3,981760,19931007
2,3167984,19931007
1,2624908,19960815
2,1675596,19931020
2,1016078,19931020
2,2390504,19940603
2,1146404,19921101
2,585852,19920523
2,4161960,19921211
2,3109824,19960602
1,3759648,19920522
2,2246979,19970303
1,1114036,19931018
2,1607606,19931018
3,1643238,19971129
2,2060808,19960731
3,2393430,19980511
1,3019104,19940320
3,1377423,19930421
3,2238360,19930421
1,1274850,19970829
3,3190946,19950111
2,1980968,19930821
2,442932,19961127
2,3446766,19930116
2,3197782,19930116
1,3596208,19930116
3,601630,19931220
3,152241,19950223
3,378642,19960707
3,2630592,19970330
3,495304,19951228
1,2802840,19951228
1,1821890,19960411
2,1517076,19960411
3,2516976,19920509
2,1849952,19930425
2,4093782,19930425
3,304120,19930501
2,1908907,19960919
1,3472896,19960919
1,727148,19921110
3,177084,19970421
2,3082440,19960701
3,3192732,19931030
3,3757920,19941104
1,3247952,19941104
3,3120528,19941104
3,324504,19940327
3,915860,19940327
3,1584828,19940327
1,820416,19920325
3,178477,19930420
3,980990,19950817
1,2999502,19970925
2,186978,19970925
3,1567650,19970925
2,1521608,19940303
3,1143080,19940303
3,1454958,19921003
3,2845000,19931130
2,625024,19931130
1,3723800,19940702
1,1971525,19970514
2,1799840,19940813
2,2302380,19940813
2,2154878,19940813
3,2386631,19921002
2,546530,19921002
1,1395558,19960510
3,1632429,19960510
2,2845335,19920806
3,3661368,19970411
1,552567,19941010
3,2624720,19941010
3,1776093,19951112
3,3432566,19931127
1,707508,19960928
3,1747350,19940601
1,2016852,19941204
3,3803382,19961225
3,2351196,19961225
3,1499952,19920513
3,1911270,19970115
3,1185811,19940919
1,1890612,19930910
2,3580918,19970825
3,793180,19970225
2,295872,19950809
3,709314,19920115
2,331722,19930519
2,2454945,19930416
2,2140416,19960107
1,3427064,19950620
3,2689160,19921016
2,1944144,19921016
3,3725195,19921019
2,645600,19950125
2,634592,19950125
1,1184110,19920603
2,160264,19941218
3,845295,19970720
1,2288710,19920922
2,861656,19930905
1,2516592,19930905
1,3719016,19951002
2,354772,19980527
3,2789256,19980527
3,1191925,19931020
2,2265855,19950929
3,587424,19980324
2,2861136,19970618
1,1310472,19971125
3,2293490,19971125
2,3543966,19971125
3,1759517,19970318
3,470864,19970318
2,2620684,19940703
3,770028,19970717
1,2012100,19971103
1,882840,19971103
1,1837820,19961011
2,1178506,19960209
1,978960,19960209
2,1657692,19930403
3,1259720,19971001
2,3913608,19971001
1,2320576,19950429
1,1652820,19971030
2,295480,19950226
1,635406,19930219
2,2050422,19971019
2,2097612,19951104
1,3200873,19951104
3,1034244,19941112
1,3294030,19941209
3,1611756,19980121
3,1962672,19941030
2,893680,19970515
1,3180576,19980220
1,3043368,19940223
1,1294931,19930917
3,2202271,19940513
2,127519,19930519
1,1037763,19960911
3,1626534,19960911
1,402408,19951222
3,414411,19980109
1,942980,19971121
3,1992485,19971016
3,1700660,19971016
1,1167299,19951111
2,879326,19950810
1,1807860,19950425
2,2054570,19930805
3,2407846,19971209
1,1073880,19940318
3,1024436,19940318
2,2575902,19970615
2,2952900,19920628
2,2737110,19960719
2,1713842,19931216
2,545055,19960413
2,1410464,19970521
1,2027604,19930511
1,1748944,19930511
1,3050640,19930309
1,264650,19930309
1,1021060,19930309
1,2074758,19951129
3,284296,19951129
3,1201150,19941122
2,4175920,19980416
3,713321,19980416
1,2506841,19970801
2,1355720,19951220
1,2930940,19970101
1,1137206,19920127
3,3324402,19950306
2,805154,19920212
1,1141479,19940929
2,693126,19960906
3,1539064,19950507
2,1178784,19950227
3,697104,19980424
1,195798,19980424
2,1082422,19960305
2,2399994,19920724
1,898218,19920724
1,574440,19920724
2,1115856,19930309
1,1357930,19970719
3,1004808,19970401
1,377799,19970401
1,3337992,19950502
2,506876,19950502
1,3765840,19950502
2,1145334,19971101
2,3511494,19920829
2,2100241,19980329
2,258072,19980329
1,3483166,19980621
3,630612,19980702
2,4204090,19960924
1,401469,19980421
3,2489701,19960507
1,2675442,19970323
2,463959,19970907
2,1873911,19970907
1,183289,19970322
2,2232000,19960808
2,1890162,19930917
3,1154946,19930917
3,1430410,19961213
3,3479560,19950618
1,1813460,19950618
2,1960971,19960831
2,1164288,19930603
2,517386,19961026
2,247032,19961230
2,2232735,19931026
1,2115648,19980107
2,1541439,19940206
2,3042940,19971027
2,1430296,19971027
1,2029885,19950120
1,645600,19980414
1,393200,19980414
3,506496,19940125
3,2009403,19921024
1,1420507,19970805
3,3728352,19980124
1,1633616,19920821
1,3567476,19961112
2,193093,19950224
2,2525630,19940626
1,2335736,19930131
3,930910,19970521
2,2211980,19970521
2,1956955,19950606
1,1441856,19980104
2,2433870,19950218
1,1944384,19980621
1,3697840,19920710
1,1200352,19920710
3,4379016,19930512
3,3059000,19930512
2,682640,19940816
2,1001231,19940228
1,3896616,19950506
1,1931598,19920715
2,2331516,19920731
3,3805560,19920731
1,1494630,19940226
3,3011206,19960121
1,2711664,19960803
1,1235214,19971218
