"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"CANADA",1992,350009,105899,63539
"PERU",1992,32942,7053524,112496
"BRAZIL",1992,44086,3800995,61804
"CANADA",1992,709140,3954087,68946
"ARGENTINA",1992,111295,2534202,78377
"PERU",1992,625810,5387861,104146
"CANADA",1993,456872,2353729,109731
"ARGENTINA",1993,212488,2576864,84028
"CANADA",1993,787765,3920376,111163
"BRAZIL",1992,693739,4158480,103962
"CANADA",1993,148381,1556594,85762
"CANADA",1993,595810,701330,114347
"BRAZIL",1993,788234,3450942,79332
"PERU",1992,276036,4809119,60721
"CANADA",1992,129270,3826350,77956
"ARGENTINA",1993,660896,4642150,111411
"UNITED STATES",1993,467524,1044050,89490
"CANADA",1992,679299,5522083,76695
"UNITED STATES",1992,3283,4580227,71176
"CANADA",1992,586648,478755,104077
"UNITED STATES",1992,607328,611468,74117
"PERU",1992,775423,2957821,89903
"PERU",1992,195903,5564937,119934
"CANADA",1992,130782,6003927,108766
"UNITED STATES",1992,46312,236562,75498
"UNITED STATES",1992,544423,5229813,88044
"CANADA",1992,371669,4177560,104439
"PERU",1992,284525,724564,90570
"CANADA",1992,289126,3233819,66906
"BRAZIL",1993,164688,3330092,105160
"UNITED STATES",1993,694853,6426717,110869
"UNITED STATES",1993,159445,7298038,90266
"BRAZIL",1993,426458,5921207,83065
"PERU",1993,70987,1959937,117478
"UNITED STATES",1993,271171,1395719,68529
"BRAZIL",1992,475028,2306900,60180
"CANADA",1992,350355,2203573,84320
"UNITED STATES",1992,268947,6504582,114955
"ARGENTINA",1992,21012,4388879,55980
"ARGENTINA",1993,221516,1719250,86250
"UNITED STATES",1993,316119,1879725,68106
"ARGENTINA",1992,485042,2456631,61621
"CANADA",1992,197611,7688745,102516
"BRAZIL",1992,375714,8161032,107382
"UNITED STATES",1992,214536,2863326,87031
"PERU",1992,339100,1165289,68345
"PERU",1992,674406,376841,82822
"BRAZIL",1993,187152,2428734,74349
"CANADA",1993,417153,410929,64207
"BRAZIL",1993,508499,7386603,90448
