"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST9",1992,380479,1690248
"UNITED ST0",1995,353668,3448425
"UNITED ST9",1994,183949,6499017
"UNITED ST9",1997,475264,4938889
"UNITED ST9",1997,117997,4443454
"UNITED ST9",1994,382823,2753118
"UNITED ST0",1993,637891,116038
"UNITED ST0",1992,755005,4796481
"UNITED ST0",1993,609856,2585700
"UNITED ST9",1997,348020,814789
"UNITED ST9",1997,420275,2654760
"UNITED ST9",1997,180415,2066566
"UNITED ST9",1995,899429,4390848
"UNITED ST0",1992,192214,4418864
"UNITED ST9",1994,277843,4157235
"UNITED ST0",1996,510811,2837970
"UNITED ST9",1994,476584,6054165
"UNITED ST9",1995,689002,6481602
"UNITED ST0",1995,305410,7672124
"UNITED ST0",1994,432190,380756
"UNITED ST0",1994,582019,4791398
"UNITED ST0",1997,376951,2907456
"UNITED ST0",1996,154837,3032634
"UNITED ST0",1993,379109,4328553
"UNITED ST0",1993,72734,1902617
"UNITED ST0",1993,72734,7263383
"UNITED ST0",1992,198523,7831373
"UNITED ST0",1995,14450,5572737
"UNITED ST9",1994,472519,6632024
"UNITED ST0",1995,325481,227891
"UNITED ST9",1992,899669,1025204
"UNITED ST0",1994,594790,2393754
"UNITED ST0",1992,853265,3021206
"UNITED ST0",1997,68698,2472682
"UNITED ST0",1994,189352,2358102
"UNITED ST9",1994,189352,3203849
"UNITED ST9",1996,128752,5041584
"UNITED ST0",1993,27412,7184984
"UNITED ST0",1994,404977,2766256
"UNITED ST9",1993,416401,1979292
"UNITED ST9",1995,474853,1549026
"UNITED ST0",1997,864562,4337983
"UNITED ST9",1995,827320,7638130
"UNITED ST9",1995,575209,1504755
"UNITED ST0",1993,275536,1354430
"UNITED ST9",1995,553306,6173480
"UNITED ST0",1997,363760,3438676
"UNITED ST9",1997,92156,1414262
"UNITED ST9",1992,826226,1423712
"UNITED ST0",1993,268393,4307026
"UNITED ST9",1994,140084,886483
"UNITED ST0",1992,192995,3881675
"UNITED ST9",1996,356915,5079210
"UNITED ST9",1992,82471,146068
"UNITED ST9",1995,754076,3929063
"UNITED ST0",1997,13204,2023405
"UNITED ST9",1996,658271,6297603
"UNITED ST0",1996,658271,5195798
"UNITED ST0",1995,536054,3253043
"UNITED ST9",1997,132253,2304221
"UNITED ST0",1996,598019,2556960
"UNITED ST0",1992,483188,5468422
"UNITED ST0",1992,859762,7340712
"UNITED ST0",1997,358618,6374903
"UNITED ST0",1993,237661,3384677
"UNITED ST0",1997,436144,3605322
"UNITED ST0",1997,801392,5147948
"UNITED ST0",1996,452653,2511843
"UNITED ST0",1992,560488,2173550
"UNITED ST0",1995,849064,3486120
"UNITED ST9",1994,489917,8349341
"UNITED ST0",1997,103549,2874679
"UNITED ST0",1996,683137,1871930
"UNITED ST0",1993,751192,3505500
"UNITED ST0",1997,84127,7079374
"UNITED ST9",1994,273436,8194603
"UNITED ST9",1994,290803,1618331
"UNITED ST9",1992,399872,991992
"UNITED ST0",1997,338059,3177143
"UNITED ST9",1993,493438,1850864
"UNITED ST9",1992,219413,4408678
"UNITED ST9",1994,275261,1130659
"UNITED ST9",1997,544610,1825245
"UNITED ST9",1993,99332,5241187
"UNITED ST0",1992,175955,8074218
"UNITED ST9",1997,346351,1548213
"UNITED ST0",1996,598556,3066647
"UNITED ST9",1993,90698,1332182
"UNITED ST0",1993,156496,5408196
"UNITED ST0",1997,697102,6089144
"UNITED ST0",1994,63868,3627809
"UNITED ST9",1997,777560,2035313
"UNITED ST9",1997,897971,1668137
