"s_city","d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"UNITED ST1",1993,174469,542479,608580,91287
"UNITED ST6",1993,138940,586445,1408906,91885
"UNITED ST0",1992,237509,584885,1684230,118191
"UNITED ST0",1993,297325,20872,6608518,107572
"UNITED ST4",1993,80216,317784,8378230,108106
"UNITED ST4",1993,187619,80282,5398771,75736
"UNITED ST7",1992,33781,577457,5393521,92065
"UNITED ST7",1992,260806,8456,1910230,81867
"UNITED ST1",1992,132763,575105,429549,70804
"UNITED ST5",1993,121102,303471,6714690,88467
"UNITED ST7",1993,121102,130098,1929033,67685
"UNITED ST3",1993,96313,310906,6774289,115013
"UNITED ST6",1992,50291,486425,1106537,84684
"UNITED ST2",1993,135643,361350,3772511,84680
"UNITED ST0",1992,46978,575540,5145431,96931
"UNITED ST2",1992,2387,104665,5807077,100179
"UNITED ST5",1992,248908,35061,4057948,59763
"UNITED ST9",1992,297121,51234,2755659,71113
"UNITED ST8",1993,58942,134849,2228582,113030
"UNITED ST8",1993,136520,496894,8508915,113452
"UNITED ST5",1993,136520,334883,8101082,115072
"UNITED ST7",1993,112303,161166,5475587,73629
"UNITED ST7",1992,50761,592232,3773998,79452
"UNITED ST2",1992,50761,233814,2226697,104868
"UNITED ST0",1993,169444,479050,2998593,61741
"UNITED ST3",1993,169444,587889,3159022,118611
"UNITED ST7",1992,74212,85704,4129626,101382
"UNITED ST7",1992,139075,1625,4396665,91597
"UNITED ST8",1993,168391,415537,267261,87150
"UNITED ST1",1993,298484,228181,658846,66550
"UNITED ST6",1993,297440,377675,7140336,105159
"UNITED ST9",1993,57680,37003,3250520,56400
"UNITED ST8",1993,12505,8761,7690914,100185
"UNITED ST3",1992,272152,525476,4053915,90087
"UNITED ST8",1992,236452,474123,1917730,65826
"UNITED ST2",1992,23755,521134,3215826,69306
"UNITED ST1",1992,23755,151851,8494322,114171
"UNITED ST0",1992,145144,257171,1745263,67689
"UNITED ST0",1992,172321,98144,2850781,68528
"UNITED ST5",1992,60505,441349,1935480,77419
"UNITED ST0",1993,202094,280137,4423795,67027
"UNITED ST8",1992,180823,479588,5451973,94053
"UNITED ST7",1993,255188,470253,2025668,73393
"UNITED ST7",1993,137533,555291,1305881,80776
"UNITED ST9",1992,268540,110907,4637482,115074
"UNITED ST7",1992,268540,516773,8680287,107385
"UNITED ST7",1992,119360,134935,9166084,118195
"UNITED ST7",1992,271294,514461,5326338,88526
"UNITED ST4",1992,66583,494172,4099017,69969
"UNITED ST1",1993,81503,137080,2904408,67024
"UNITED ST4",1992,83426,567358,141107,85519
"UNITED ST4",1993,158702,71359,3631855,79821
"UNITED ST0",1992,22637,557870,6523844,115671
"UNITED ST4",1992,83744,386735,8197740,109303
"UNITED ST6",1992,83744,500133,1937618,67986
"UNITED ST0",1992,131236,143708,4682294,105102
"UNITED ST7",1992,13961,74665,2466048,98379
"UNITED ST4",1993,79804,131725,1405376,105403
"UNITED ST6",1992,131860,381074,2822966,69303
"UNITED ST7",1992,93490,44049,2064530,59582
"UNITED ST1",1992,141257,219208,3007342,67631
"UNITED ST9",1992,13765,487563,2930520,93032
"UNITED ST4",1992,162244,313104,2181676,67025
"UNITED ST3",1992,90581,226102,832752,61685
"UNITED ST1",1992,207691,459536,1884342,89730
"UNITED ST0",1993,59938,103262,850254,75915
"UNITED ST8",1992,137366,69148,1952760,67028
"UNITED ST0",1992,131479,430735,7595637,99942
"UNITED ST1",1992,254357,118730,7218757,104923
"UNITED ST3",1992,219991,12911,6319848,109434
"UNITED ST5",1993,171022,225080,1097536,60304
"UNITED ST2",1993,278147,272682,6830477,99280
"UNITED ST1",1993,278147,156569,4063900,97533
"UNITED ST8",1993,278147,339537,2979622,94591
"UNITED ST8",1993,73000,375134,3471383,72547
"UNITED ST1",1993,90694,454659,6131794,96817
"UNITED ST4",1992,291517,288311,2719434,77958
"UNITED ST5",1993,15740,149927,2941656,118615
"UNITED ST4",1992,65827,324969,7178220,119637
"UNITED ST9",1993,171379,130659,2595302,101379
"UNITED ST4",1992,263642,364693,5452323,105460
"UNITED ST0",1993,74882,524172,449752,71769
"UNITED ST3",1992,260756,13230,452719,68593
"UNITED ST8",1992,70175,44452,4423953,83787
"UNITED ST5",1993,202607,11014,499505,55500
"UNITED ST4",1992,166609,218699,3452129,97060
"UNITED ST1",1992,136720,482025,3190176,60420
"UNITED ST2",1993,54053,324543,1191322,94051
"UNITED ST2",1993,188014,380599,4104893,100774
"UNITED ST1",1992,142558,313084,1474462,65824
"UNITED ST9",1993,52169,390921,8045628,120714
"UNITED ST7",1992,269914,592080,4020165,70323
"UNITED ST4",1993,226771,585548,1760934,98011
"UNITED ST7",1993,277513,309385,3371586,83662
"UNITED ST1",1992,81166,385211,1154914,77772
"UNITED ST2",1992,160519,24753,3785004,100665
"UNITED ST1",1993,226378,580918,8827098,119933
"UNITED ST6",1993,119929,240898,7237831,110332
"UNITED ST8",1992,53471,94596,7326257,95435
"UNITED ST0",1992,14074,533248,3529761,76873
"UNITED ST0",1992,58756,175690,7959730,105941
"UNITED ST8",1992,286945,294534,296532,91711
"UNITED ST3",1993,271477,77150,5025961,67629
"UNITED ST4",1992,121214,471900,4133111,112312
"UNITED ST5",1992,282146,36432,1654431,82105
"UNITED ST3",1993,103681,565018,2759458,64979
"UNITED ST4",1993,56155,7717,7005749,97482
"UNITED ST3",1993,56155,294065,1991014,63543
