"lo_orderdate","lo_partkey","lo_revenue","lo_suppkey"
19970521,785656,2753501,59665
19970521,507550,3009147,1886
19970706,116078,2358814,27947
19971215,724612,3849236,18705
19970511,226926,3335238,32436
19971213,239342,2998312,11660
19971213,214409,3440814,7658
19971213,364966,4250778,58396
19970506,536146,2358329,8006
19970506,257376,3154729,19606
19970826,256432,2693534,47276
19970826,249637,2627442,31967
19970831,77042,1820005,42571
19970831,428673,4064987,49388
19971010,664056,1664672,48273
19970117,167648,2683260,77
19970508,446811,3072616,50623
19970623,65230,2689267,42763
19970623,619952,4750932,8632
19970410,276388,3043909,35731
19970713,339155,3127452,18520
19970713,133748,3880629,2667
19970519,78526,3940337,26021
19970401,4179,2731754,4380
19970707,485692,2808419,44299
19970524,449238,2072868,36046
19971211,344907,5006597,45364
19971218,679474,3008620,33817
19971218,621782,3986775,51546
19970307,575339,3589518,11743
19970415,62590,2802424,43845
19970822,46395,3259577,41376
19971226,454024,1858200,47006
19970128,391816,2918934,33898
19970128,305542,3714072,27045
19970128,38549,2503529,31983
19970215,524905,4535218,21361
19970215,142558,3572427,30019
19970516,142619,3472764,54242
19970906,388885,4176708,47725
19971126,580211,2698587,3290
19971015,294339,2943970,2652
19970531,107509,2820690,1305
19970531,502409,3658296,28874
19970405,149619,2751537,8285
19970405,235941,4538416,38664
19970405,659455,3360661,21864
19970806,719247,3226303,20094
19970928,126901,4997116,27478
19970928,22942,3222616,51413
19970928,778429,3292139,27907
19970928,646888,4128412,9447
19970524,666902,4111514,23360
19970524,616574,3153982,28686
19970524,353579,4143437,22346
19970719,17211,2250778,37600
19970719,6854,4093976,43994
19970115,218208,2229856,434
19970520,557709,4626934,4188
19971123,416301,2860608,3860
19971123,769116,3050395,8093
19971123,121037,1904454,52122
19970608,24832,4293692,38890
19971220,257628,3044371,39604
19971220,103750,2772678,31687
19971016,737812,3050287,5182
19971016,405084,1859432,29834
19971016,242505,3869140,52784
19971016,580369,3013177,30424
19970717,678949,3262023,25814
19970717,687996,4874589,39944
19970717,574357,3028694,24410
19971110,417935,2866451,54704
19970115,717836,3922640,54899
19971023,303718,4089037,7337
19971023,577107,2955463,58726
19971106,151314,3106080,22398
19971106,126765,3649815,841
19971106,125690,3397066,33293
19971230,96150,2801190,27603
19970508,203089,2167672,55550
19970203,781392,2603427,25199
19970818,391883,5012220,14644
19970928,418804,3445560,23387
19970928,442367,2356812,23278
19970805,604446,2226826,31861
19971113,661858,3630540,39821
19970420,761544,3506433,39414
19970420,65469,2292267,28999
19970403,582909,4637096,14467
19970816,396855,5111868,42175
19970818,147033,2592072,30209
19970818,643100,2703637,1297
19971029,77822,3840815,59578
19971029,555507,3881200,41040
19970614,373372,2309685,55591
19970423,22806,4387694,9346
19970423,91439,2358779,56080
19970411,415457,2399007,26663
19971006,690725,3434811,151
19970303,133166,2820424,33788
19970303,250886,3818852,43467
19970510,142081,2583084,45722
19970817,719735,3100554,45074
19970817,402136,2416720,50265
19970813,207561,3846132,6777
19971215,102204,2836982,15480
19970609,799819,3707082,30731
19970802,309744,2802460,12435
19970811,220543,3026580,46055
19970519,124836,4622301,41368
19970309,342242,2542775,20059
19970309,118421,3244452,25293
19970710,74994,3666259,25203
19970213,202785,4010141,18783
19971005,707333,2470172,38378
19971005,581132,2562088,27922
19970813,751853,3680112,9000
19970813,608526,3679466,45213
19970419,424906,3551907,48722
19970419,586558,4104746,48065
19971114,259499,3019053,43181
19970613,130704,2860520,25084
19970524,338272,3183931,3072
19970612,255789,4187448,36810
19970509,638372,3144816,50696
19970509,302167,2978994,35750
19970121,134290,2463179,43404
19970615,173426,3742552,599
19970125,441033,1949968,50052
19970125,78155,2332022,89
19971017,225935,3712535,15372
19971017,485462,2475122,53223
19970101,512200,2181924,1787
19970329,703704,4055716,32130
19970218,67170,2956642,47718
19970718,572922,3752406,55459
19970718,665528,2526985,8099
19970718,716056,2633953,32919
19970604,557051,1854842,11657
19970601,392323,2704657,28606
19970601,160925,5040264,55815
19970807,268404,2322083,11000
19970807,659335,2609308,4136
19970807,7839,4024696,41687
19971108,726473,2618022,51235
19970210,259053,1826732,17675
19970603,307904,3709066,30000
19970201,52248,2902180,15738
19970110,212005,1867908,32164
19970110,755956,4394033,26751
19971107,361229,2159811,55848
19971107,772198,2921368,47373
19970502,96942,4798876,41752
19970502,488431,2615972,12198
19970826,377044,2244302,2868
19970831,476975,4954049,16304
19970831,3258,2401465,35255
19970711,678990,3516562,32002
19971119,203526,2471622,42693
19970525,595296,3643736,20450
19970611,59981,3843140,46723
19970727,192166,2893768,36732
19970727,284393,3305712,38814
19970408,58849,4158032,9870
19970306,481901,3008842,6005
19970426,591992,3188474,17604
19970426,4104,2490007,4543
19970131,150800,3614612,45885
19970721,456742,3159619,48806
19970721,314288,3115029,27153
19970714,798175,2635399,36910
19970714,674269,2610783,55667
19971116,17293,2115586,45484
19970723,640939,4421524,886
19970723,722824,3941049,4215
19970723,492515,2864231,32915
19970723,93529,3768237,51805
19970102,142625,3135125,59886
19970426,572886,4370216,1169
19971226,713017,2651168,27396
19971226,470118,2402502,1517
19971226,122218,2370041,11832
19971226,335065,2557616,8223
19971209,570126,2109920,1862
19970920,214535,3504939,11156
19970825,111429,2852031,24852
19970505,592879,3484258,25825
19970505,506600,4164255,770
19970924,263988,4216255,43797
19970924,635311,2486328,32142
19970202,594435,3896936,16207
19970515,786883,4333670,39182
19970515,783360,2879443,54450
19970122,679622,2623404,19766
19970427,130905,4630672,18675
19970427,475297,2659044,8434
19971218,1726,2907107,15070
