"d_yearmonthnum","lo_partkey","lo_revenue"
199705,507550,3009147
199707,116078,2358814
199712,724612,3849236
199712,239342,2998312
199712,214409,3440814
199705,536146,2358329
199708,249637,2627442
199707,133748,3880629
199707,485692,2808419
199712,344907,5006597
199712,679474,3008620
199702,142558,3572427
199705,502409,3658296
199709,22942,3222616
199709,778429,3292139
199711,121037,1904454
199702,781392,2603427
199708,391883,5012220
199709,418804,3445560
199710,77822,3840815
199703,133166,2820424
199703,250886,3818852
199708,309744,2802460
199702,202785,4010141
199708,608526,3679466
199704,586558,4104746
199706,130704,2860520
199705,338272,3183931
199705,638372,3144816
199701,78155,2332022
199703,703704,4055716
199707,665528,2526985
199707,716056,2633953
199706,557051,1854842
199708,7839,4024696
199702,259053,1826732
199701,755956,4394033
199711,361229,2159811
199706,59981,3843140
199704,4104,2490007
199701,150800,3614612
199707,492515,2864231
199712,470118,2402502
199712,570126,2109920
199705,506600,4164255
199704,130905,4630672
199712,1726,2907107
199706,665504,3210791
199708,95489,3887853
199705,122355,2486116
199708,270552,2713166
199703,489791,4471513
199703,465744,4246944
199706,310103,2220614
199710,173749,3929827
199707,7083,2574208
199703,722801,3085818
199704,504277,3131375
199704,169628,3351101
199704,501625,2997823
199711,124103,2256454
199711,394889,4848578
199708,320335,2961374
199704,205243,2218380
199706,439675,3006478
199701,390913,3426669
199710,266223,2986106
199710,134747,3492210
199701,558244,2785448
199705,561116,2102282
199706,696290,2958398
199703,19428,2329689
199710,149,2417218
199704,47320,2798242
199708,292320,3241405
199701,386690,4130781
199701,490463,2808046
199704,5172,2504420
199708,391691,4620706
199702,318852,3786580
199710,383868,3770974
199710,653172,1874483
199710,731227,2717690
199710,799009,2293497
199710,356676,3659377
199706,270742,4274974
199710,791434,3569436
199702,393703,4356973
199701,315451,3202704
199706,585586,2858367
199706,330537,2736889
199706,529711,2752030
199706,446612,2805462
199709,315912,4198966
199703,441421,2832429
199706,194448,3769723
199709,701580,4099377
199710,530337,2338100
199705,632550,3068816
199704,436146,2333050
199704,230101,1900298
199710,203763,4410220
199703,173085,2310369
199704,481694,3391556
