"d_yearmonthnum","lo_partkey","lo_revenue","lo_suppkey"
199705,785656,2753501,59665
199705,507550,3009147,1886
199707,116078,2358814,27947
199712,724612,3849236,18705
199705,226926,3335238,32436
199712,239342,2998312,11660
199712,214409,3440814,7658
199712,364966,4250778,58396
199705,536146,2358329,8006
199705,257376,3154729,19606
199708,256432,2693534,47276
199708,249637,2627442,31967
199708,77042,1820005,42571
199708,428673,4064987,49388
199710,664056,1664672,48273
199701,167648,2683260,77
199705,446811,3072616,50623
199706,65230,2689267,42763
199706,619952,4750932,8632
199704,276388,3043909,35731
199707,339155,3127452,18520
199707,133748,3880629,2667
199705,78526,3940337,26021
199704,4179,2731754,4380
199707,485692,2808419,44299
199705,449238,2072868,36046
199712,344907,5006597,45364
199712,679474,3008620,33817
199712,621782,3986775,51546
199703,575339,3589518,11743
199704,62590,2802424,43845
199708,46395,3259577,41376
199712,454024,1858200,47006
199701,391816,2918934,33898
199701,305542,3714072,27045
199701,38549,2503529,31983
199702,524905,4535218,21361
199702,142558,3572427,30019
199705,142619,3472764,54242
199709,388885,4176708,47725
199711,580211,2698587,3290
199710,294339,2943970,2652
199705,107509,2820690,1305
199705,502409,3658296,28874
199704,149619,2751537,8285
199704,235941,4538416,38664
199704,659455,3360661,21864
199708,719247,3226303,20094
199709,126901,4997116,27478
199709,22942,3222616,51413
199709,778429,3292139,27907
199709,646888,4128412,9447
199705,666902,4111514,23360
199705,616574,3153982,28686
199705,353579,4143437,22346
199707,17211,2250778,37600
199707,6854,4093976,43994
199701,218208,2229856,434
199705,557709,4626934,4188
199711,416301,2860608,3860
199711,769116,3050395,8093
199711,121037,1904454,52122
199706,24832,4293692,38890
199712,257628,3044371,39604
199712,103750,2772678,31687
199710,737812,3050287,5182
199710,405084,1859432,29834
199710,242505,3869140,52784
199710,580369,3013177,30424
199707,678949,3262023,25814
199707,687996,4874589,39944
199707,574357,3028694,24410
199711,417935,2866451,54704
199701,717836,3922640,54899
199710,303718,4089037,7337
199710,577107,2955463,58726
199711,151314,3106080,22398
199711,126765,3649815,841
199711,125690,3397066,33293
199712,96150,2801190,27603
199705,203089,2167672,55550
199702,781392,2603427,25199
199708,391883,5012220,14644
199709,418804,3445560,23387
199709,442367,2356812,23278
199708,604446,2226826,31861
199711,661858,3630540,39821
199704,761544,3506433,39414
199704,65469,2292267,28999
199704,582909,4637096,14467
199708,396855,5111868,42175
199708,147033,2592072,30209
199708,643100,2703637,1297
199710,77822,3840815,59578
199710,555507,3881200,41040
199706,373372,2309685,55591
199704,22806,4387694,9346
199704,91439,2358779,56080
199704,415457,2399007,26663
199710,690725,3434811,151
199703,133166,2820424,33788
199703,250886,3818852,43467
199705,142081,2583084,45722
199708,719735,3100554,45074
199708,402136,2416720,50265
199708,207561,3846132,6777
199712,102204,2836982,15480
199706,799819,3707082,30731
199708,309744,2802460,12435
199708,220543,3026580,46055
199705,124836,4622301,41368
199703,342242,2542775,20059
199703,118421,3244452,25293
199707,74994,3666259,25203
199702,202785,4010141,18783
199710,707333,2470172,38378
199710,581132,2562088,27922
199708,751853,3680112,9000
199708,608526,3679466,45213
199704,424906,3551907,48722
199704,586558,4104746,48065
199711,259499,3019053,43181
199706,130704,2860520,25084
199705,338272,3183931,3072
199706,255789,4187448,36810
199705,638372,3144816,50696
199705,302167,2978994,35750
199701,134290,2463179,43404
199706,173426,3742552,599
199701,441033,1949968,50052
199701,78155,2332022,89
199710,225935,3712535,15372
199710,485462,2475122,53223
199701,512200,2181924,1787
199703,703704,4055716,32130
199702,67170,2956642,47718
199707,572922,3752406,55459
199707,665528,2526985,8099
199707,716056,2633953,32919
199706,557051,1854842,11657
199706,392323,2704657,28606
199706,160925,5040264,55815
199708,268404,2322083,11000
199708,659335,2609308,4136
199708,7839,4024696,41687
199711,726473,2618022,51235
199702,259053,1826732,17675
199706,307904,3709066,30000
199702,52248,2902180,15738
199701,212005,1867908,32164
199701,755956,4394033,26751
199711,361229,2159811,55848
199711,772198,2921368,47373
199705,96942,4798876,41752
199705,488431,2615972,12198
199708,377044,2244302,2868
199708,476975,4954049,16304
199708,3258,2401465,35255
199707,678990,3516562,32002
199711,203526,2471622,42693
199705,595296,3643736,20450
199706,59981,3843140,46723
199707,192166,2893768,36732
199707,284393,3305712,38814
199704,58849,4158032,9870
199703,481901,3008842,6005
199704,591992,3188474,17604
199704,4104,2490007,4543
199701,150800,3614612,45885
199707,456742,3159619,48806
199707,314288,3115029,27153
199707,798175,2635399,36910
199707,674269,2610783,55667
199711,17293,2115586,45484
199707,640939,4421524,886
199707,722824,3941049,4215
199707,492515,2864231,32915
199707,93529,3768237,51805
199701,142625,3135125,59886
199704,572886,4370216,1169
199712,713017,2651168,27396
199712,470118,2402502,1517
199712,122218,2370041,11832
199712,335065,2557616,8223
199712,570126,2109920,1862
199709,214535,3504939,11156
199708,111429,2852031,24852
199705,592879,3484258,25825
199705,506600,4164255,770
199709,263988,4216255,43797
199709,635311,2486328,32142
199702,594435,3896936,16207
199705,786883,4333670,39182
199705,783360,2879443,54450
199701,679622,2623404,19766
199704,130905,4630672,18675
199704,475297,2659044,8434
199712,1726,2907107,15070
199707,194868,4153411,22661
199706,665504,3210791,29393
199706,325696,2721976,17494
199708,389273,3099141,24707
199708,95489,3887853,35352
199710,599970,3932905,45661
199710,474495,3385658,48618
199705,424848,4210447,58740
199705,122355,2486116,25449
199705,271316,3232410,14893
199705,221553,3583132,35120
199712,45061,2458810,19721
199712,537249,2721641,2229
199710,149562,3484192,30400
199709,771192,3171794,6150
199709,561723,4238662,25116
199709,302090,2486666,2288
199710,459365,3211524,11337
199710,678540,2945909,12265
199709,389283,2371282,1292
199702,391517,2927470,37610
199708,270552,2713166,29451
199703,399460,3335663,26913
199703,489791,4471513,16213
199703,465744,4246944,57274
199703,558071,2544878,23136
199706,310103,2220614,46228
199706,693015,2053255,12699
199706,295695,3550428,2660
199712,489053,1819384,54845
199710,666770,3634996,28233
199710,1010,2011510,24599
199710,173749,3929827,25454
199708,165886,4770394,48570
199707,7083,2574208,48796
199703,722801,3085818,4228
199703,297290,3146112,52532
199703,549582,3266383,59022
199703,69900,4861740,42694
199702,300428,2468292,5862
199704,603922,4290841,22442
199704,504277,3131375,14472
199704,169628,3351101,38411
199708,221729,3565533,13171
199704,501625,2997823,53888
199704,321172,2330241,1545
199711,124103,2256454,32450
199711,196650,3667965,34263
199709,17617,3274857,4719
199701,701465,3736463,7178
199710,46357,3065479,22431
199710,708699,3049880,16905
199702,105838,4609575,36622
199702,409670,3881200,11257
199703,177614,4247632,4178
199703,110891,3651628,22702
199702,513337,3375775,30155
199706,147568,2499271,22337
199710,601165,2275121,56496
199709,707320,3450954,34644
199706,565231,2851662,36769
199703,34059,1830191,7568
199702,212780,2894636,25791
199711,394889,4848578,28041
199712,767889,3698446,46755
199701,636432,3620786,9581
199701,508695,3172233,38612
199711,371528,3448543,3283
199703,720844,4883937,25503
199703,10003,2302586,38155
199703,195138,2075357,17350
199703,354004,2723266,3113
199703,626893,3930897,52107
199708,320335,2961374,11921
199710,481608,3147368,7231
199702,151952,3540979,18077
199711,762629,4293255,19173
199711,190974,4006041,19090
199711,94393,2747032,19872
199709,440773,3907350,3303
199710,592094,2092227,11791
199711,196261,3175988,9067
199702,713973,4283842,36954
199702,541711,2741207,13103
199704,205243,2218380,12882
199706,439675,3006478,14042
199706,2770,4471314,12809
199704,568559,2711464,24650
199704,186760,4247548,14857
199710,736200,2719574,28012
199701,390913,3426669,46269
199701,469416,2284508,36044
199704,129774,4642903,35346
199701,785793,2874502,25643
199711,186000,2120958,6718
199708,457707,3675613,7331
199708,667888,4175662,29645
199704,551477,3304508,34936
199708,769503,3435846,743
199708,227943,5000995,59535
199707,544709,3665191,13779
199707,519203,2811014,35613
199710,266223,2986106,31397
199710,134747,3492210,13015
199705,107865,3371148,48497
199711,148445,2837536,53865
199711,716829,3691580,856
199701,304992,3674443,6381
199701,558244,2785448,41133
199701,1297,2049075,47124
199705,561116,2102282,41290
199706,696290,2958398,45744
199703,19428,2329689,30437
199710,149,2417218,31416
199707,414383,2864570,36418
199707,531334,2386561,53488
199709,508009,2498719,42976
199709,365011,2759940,6987
199712,388688,3830500,51047
199712,660450,2792631,47370
199712,397207,2112787,25755
199706,528486,2762375,42348
199706,652837,3189423,22131
199701,722623,2695476,29461
199701,129086,2731946,55246
199707,332357,2907888,43733
199707,181643,4056353,29366
199711,539051,1962054,33717
199702,646480,3106808,15468
199701,685447,2362044,28400
199710,546375,3695510,8114
199710,522073,2115636,44716
199704,44989,3635882,33108
199704,47320,2798242,6254
199711,293180,3135883,51941
199711,401668,3211483,40810
199708,116330,2481286,56272
199708,192033,2855326,23139
199708,292320,3241405,22557
199701,386690,4130781,41215
199701,490463,2808046,14354
199703,374352,3774095,15686
199704,5172,2504420,34512
199706,335464,2564059,6014
199706,529626,2682072,25396
199706,342824,4121916,6960
199710,76162,2294530,37040
199707,410399,3063925,3100
199707,323504,2502028,5609
199707,219304,2782984,9989
199708,391691,4620706,25174
199710,322747,3865090,30938
199707,181505,3490300,5923
199712,594596,2816489,20496
199708,210795,3104519,12418
199711,24910,3269809,53606
199704,259841,4192332,22146
199712,482574,2868721,29616
199709,721655,3814310,30826
199709,43770,3586920,39468
199704,288050,2517247,13011
199704,448138,2258022,26994
199704,216901,3512163,6202
199705,487043,1816955,52808
199703,139500,3399216,53285
199703,573126,2620033,59410
199702,318852,3786580,18200
199710,141917,3349736,7439
199710,383868,3770974,33329
199705,529290,2303445,9151
199710,653172,1874483,51222
199710,731227,2717690,35053
199710,799009,2293497,45373
199710,131205,2137389,27216
199710,356676,3659377,36029
199702,512567,2587286,10908
199702,305260,3279528,22327
199703,428133,2467080,29875
199701,530317,2875116,24842
199706,233348,2593411,59224
199706,270742,4274974,26872
199710,791434,3569436,43506
199707,738868,4118752,39417
199707,766421,3734836,41140
199702,393703,4356973,4473
199702,158296,2559608,41588
199712,111697,3854804,40954
199712,540074,1780251,17965
199709,786615,4168871,43703
199711,144990,3113534,36820
199709,789613,4249639,14391
199712,285048,1880114,17644
199701,307337,2419776,12631
199701,315451,3202704,39386
199702,288124,1777151,18140
199706,585586,2858367,54105
199706,330537,2736889,40334
199703,112443,3851094,32670
199706,529711,2752030,51129
199706,446612,2805462,2339
199701,566139,2688600,1108
199709,101562,2701831,8412
199709,315912,4198966,11909
199712,77396,3433475,53843
199701,376051,2695879,13455
199701,273804,4464030,41418
199701,765720,4317798,40388
199705,674509,3133088,29912
199701,515827,2819484,56308
199701,694764,3559669,5092
199712,393242,2235175,21465
199703,314515,3976700,21554
199703,441421,2832429,32588
199703,556445,2567428,22210
199703,155873,3664853,10689
199711,262524,2527067,3067
199703,521553,3152209,58239
199703,378084,2905175,29164
199707,689704,3153613,16544
199707,651662,3227260,14410
199706,281537,3093225,14451
199708,672349,2259440,43318
199705,795243,2810241,42567
199706,194448,3769723,34667
199706,79220,2585518,40148
199706,706513,3355011,36817
199708,156725,3527805,9132
199704,520933,3939082,2219
199704,111306,2999492,28340
199701,85085,1951825,50741
199709,369032,2752550,49754
199709,750153,2767176,13742
199705,30953,3600228,13381
199709,619953,3670923,16458
199712,586588,3462990,49557
199709,701580,4099377,31581
199709,250375,2465169,7859
