"d_yearmonthnum","lo_partkey","lo_revenue"
199703,427597,3622378
199702,41630,3457586
199705,514425,2850012
199703,318000,1795734
199712,395902,3396413
199712,440985,3274132
199707,65873,3346743
199709,441248,1990754
199703,428822,2836296
199704,169279,2085773
199712,189966,5107004
199712,143618,2990898
199701,169174,3038307
199711,92119,2199997
199708,504429,2580120
199709,204286,2399584
199708,8305,1856349
199703,594158,2164932
199709,164250,2932091
199704,571168,2644324
199701,553068,2307100
199703,503428,2238709
199706,570672,4485581
199702,210247,2041353
199702,154252,2455750
199702,111669,2571409
199707,16848,4359154
199710,438844,3048622
199711,270259,2261801
199704,390070,2067226
199704,99470,2512793
199701,3414,3343586
199701,117602,3299125
199705,304235,2535444
199702,501646,3114001
199702,555197,2649591
199702,546394,3670062
199708,228223,2175786
199701,409265,2416585
199703,235607,2696447
199705,266556,3014629
199702,269383,2190839
199705,290565,3842208
199706,198017,1991407
199708,499954,4040727
199706,107495,2654899
199704,198484,3377012
199705,107739,4669009
199708,16070,2267961
199701,31199,2441210
199704,385361,3127008
199706,24262,1996475
199706,160341,2522412
199705,221258,2253527
199709,92088,2592192
199704,65376,3549265
199708,111729,3376996
199701,341955,3157162
199704,127562,2648206
199709,311328,2643797
199702,345281,3282518
199702,418910,3226161
199703,260448,2647848
199704,258078,2331135
199710,408516,2752114
199711,589945,3217208
199710,201057,1743632
199705,332350,2641651
199706,476017,2097194
199712,307758,3776917
199710,580497,2839446
199707,437067,2066314
199705,414855,3058266
199711,394222,2250719
199708,168972,4775869
199706,429193,2555181
199712,379241,3136866
199705,4540,3627239
199703,214044,2044436
199706,222203,2092853
199705,211609,2949944
199704,333610,3398964
199704,578194,2518896
199706,66525,3691512
199703,569631,3249865
199704,274165,2695228
199704,33726,3380849
199708,270020,1982000
199712,15123,2013952
199705,197542,3698802
199703,83185,2525605
199711,447279,2759062
199711,15595,3398827
199703,108283,2115116
199703,202324,2820513
199705,385918,4761266
199712,343970,3665407
199710,251017,2420000
199708,570364,3617405
199708,498627,3311347
199707,494166,2552308
199710,409727,2954243
199706,582787,4674400
199706,167137,2958547
199707,552205,2544532
199711,357439,3579436
199701,311861,3814995
199709,245860,4507401
199706,584150,2869352
199709,377654,4069354
199712,347100,2638307
199705,358191,2273507
199702,154466,2744430
199701,453430,3150024
199711,363763,4201525
199702,92164,2659168
199702,201975,3310957
199705,114217,2862563
199705,170087,2392841
199708,76497,2949926
199702,541014,2377947
199705,135090,2976988
199710,539484,3363799
199706,110218,2711887
199712,349913,3321226
199711,571359,3329808
199711,172868,3429499
199701,166561,3544825
199706,83579,3712666
199710,216496,2415340
199712,581870,4668825
199707,206480,3156992
199711,217177,1711266
199711,164105,2635151
199705,571900,4217851
199709,261615,2610849
199704,304251,2048551
199711,252413,2089062
199708,326894,4658134
199707,402823,3013246
199707,434754,3276136
199712,540525,3068380
199701,97736,4493828
199707,111552,3217785
199712,455943,3531991
199712,127110,1944458
199709,312282,2156253
199705,192741,4217602
199707,595364,3155093
199708,46940,3685193
199701,17217,2970495
199703,273215,2095984
199708,155586,2836650
199701,576364,3168748
199712,238418,3625657
199708,324590,2852962
199710,364356,3604822
199706,39574,2906054
199712,310332,3124920
199709,54047,2118200
199708,406366,3308084
199703,396617,4349116
199711,457422,2383603
199710,122537,3443442
199705,143068,2402111
199706,196326,3648250
199704,437930,4565172
199710,384259,2498426
199704,55615,3298281
199711,159418,2925271
199706,177799,4234038
199707,41392,2974793
199712,527258,2657855
199704,143431,2771928
199708,536210,2808912
199703,59525,2618693
199703,28044,1827435
199712,278163,1842957
199703,8975,4730648
199709,562138,2376217
199702,411490,2606734
199702,394750,3903469
199702,455099,2630958
199704,459164,1859919
199706,290762,4374864
199710,45975,3200336
199711,394810,4754380
199703,513983,5140175
199704,306981,4920225
199711,48179,2272374
199702,553142,2810922
199712,349151,3110762
199711,46832,4466642
199706,566866,3235574
199711,562273,2511605
199702,133601,2612090
199709,528326,3351892
199710,3104,2492572
199710,415593,2513277
199704,476529,3468672
199704,323594,2796795
199704,180730,4258836
199706,70129,1879495
199706,539406,2636373
