"lo_orderdate","lo_partkey","lo_revenue","lo_suppkey"
19971020,588297,2213661,2450
19970314,427597,3622378,5814
19970314,167074,2767094,6795
19970314,861,4566741,13576
19970708,66133,2369724,19086
19970708,297028,2238621,14509
19970626,106231,2572201,16090
19970205,54730,4001233,11429
19970205,41630,3457586,19837
19970523,514425,2850012,5455
19970304,201618,3355276,19333
19970304,116744,3757419,14539
19970327,318000,1795734,19954
19970215,451896,3608890,15112
19970215,43713,3644762,10009
19970102,78767,3084757,8113
19970801,487920,3472378,4996
19971204,395902,3396413,6248
19971204,440985,3274132,1860
19970113,340640,2657076,17296
19970630,158889,3942509,13099
19970215,36787,4033645,5224
19971213,542153,3045191,2154
19970728,65873,3346743,4107
19970805,277266,2170714,13635
19970805,408493,3296257,9792
19971118,151767,4001272,17314
19971118,135056,2638158,4369
19970911,8875,3210966,149
19970911,37366,3378309,4523
19970927,441248,1990754,14160
19970927,79540,4020702,9267
19970620,447311,2944398,12467
19971218,384162,2076085,5072
19971218,185298,2365425,19025
19970507,105949,4740729,13253
19971126,529205,2274593,7194
19970428,345717,3172860,13875
19971202,574896,4261020,9104
19970403,111551,2470391,183
19970403,427432,3523590,11882
19970403,46225,2810928,10629
19971223,109864,3372948,6671
19971223,445802,3287574,4253
19970328,428822,2836296,10297
19970601,565413,3512654,19796
19970220,495354,2578569,11255
19970502,487179,2253001,5419
19970820,128013,2154890,6111
19970820,400804,4009642,12073
19970209,397792,4745237,8101
19970802,253675,2713347,12691
19970802,206585,2408885,1891
19970221,408991,4096335,11271
19970409,169279,2085773,17127
19970526,259182,1994765,6232
19971116,200074,2103969,12998
19970205,552482,2623926,9482
19971221,189966,5107004,4697
19971221,143618,2990898,12894
19970214,213640,2656707,3258
19970604,301611,3217137,7466
19971102,312821,3619940,17447
19971115,138481,3456817,10066
19971115,532728,4440485,6036
19971115,357738,3343630,16807
19971115,492861,2867890,12990
19970128,169174,3038307,16376
19970308,42773,2770968,21
19970104,594065,2802558,7503
19970104,435788,2813176,585
19971114,92119,2199997,10680
19971114,421278,2559199,19203
19970609,330159,2422278,15739
19971211,44242,2906288,4708
19971115,213916,4446657,12416
19971115,114361,3036794,16723
19971115,263800,4190765,6877
19970814,340896,4696934,2233
19970117,143254,2095058,16659
19970111,496743,3507275,10682
19971027,575323,3599224,4530
19970404,139692,3085871,8546
19970530,351911,4416525,10961
19970827,504429,2580120,18148
19970323,412801,4303301,13803
19970911,33211,2517262,12797
19971229,426470,2681184,11128
19970806,544362,3437094,8409
19970914,441466,2296942,11195
19970326,311525,3318861,111
19971016,240119,2338492,16351
19970206,474827,3891888,6170
19970206,173551,3736465,3516
19970206,264473,2975542,8959
19970920,204286,2399584,15550
19971214,386038,2472844,18556
19971214,339830,3232918,10242
19970827,8305,1856349,16731
19970204,452793,3247132,13833
19970204,577715,4614384,1980
19970314,542755,3210745,14534
19970314,249934,3119771,14073
19970314,594158,2164932,14142
19970314,205173,2775183,13416
19970605,103702,4052743,3641
19970813,249947,3414474,1692
19971221,420415,2794971,8385
19970303,307961,4627032,10102
19970910,326089,2294814,1407
19970910,164250,2932091,6249
19970117,383928,4760179,4565
19970824,396829,4783712,7860
19970913,535715,3851518,1197
19970419,571168,2644324,11481
19970510,461265,2651130,12283
19970510,465149,2534623,11511
19970819,472451,2357200,886
19970819,391801,3736367,1421
19971009,25899,4460031,16449
19971009,78193,2108142,9666
19970127,553068,2307100,16634
19970907,178565,3747316,8308
19970306,503428,2238709,18898
19970720,94590,3882245,16858
19970326,348979,3540818,4393
19970604,13886,3419772,17713
19970604,570672,4485581,17707
19970212,419725,4307469,13086
19970629,225361,2033719,5547
19970629,428968,3568144,1896
19971014,15414,2475361,14577
19971014,462132,2286689,12290
19970205,210247,2041353,8152
19970205,208803,3057256,2653
19970208,473258,3058375,16208
19970225,518187,2892384,5919
19970225,154252,2455750,18618
19970304,432586,3207198,5870
19970304,260771,3863556,15094
19970712,549549,2877336,3632
19971207,149498,3969311,7747
19970102,525334,2501130,12625
19970817,369064,1896725,3662
19970307,77720,3398835,2199
19970904,584859,3809906,9361
19970904,518380,2684851,4852
19970904,409147,2210459,19479
19971211,195005,1813900,18706
19971116,576963,3671892,11429
19970514,366206,2119468,5643
19970514,160483,2361524,1399
19970922,302599,3830979,4054
19970118,546482,2787911,4797
19971228,359251,3502271,12455
19970215,111669,2571409,17219
19970703,16848,4359154,18214
19970629,400968,3906084,3566
19970629,466746,3156542,5922
19970629,402096,2667841,6088
19970609,164332,2708880,11599
19970609,122760,3176878,1277
19970609,419670,2893163,6708
19971018,450233,2726115,17176
19971018,438844,3048622,18499
19970704,288046,2378269,1812
19971205,154054,2631618,2065
19970410,550593,3579695,15178
19970621,313533,3062109,19794
19971115,83369,3614858,7506
19971115,179456,3310430,10135
19971115,270259,2261801,11594
19970803,343322,2512170,14976
19970913,156412,2848715,6699
19970913,214575,3065514,7884
19970123,483052,2335027,1321
19970123,310524,3342162,7038
19970914,308434,3621916,7088
19970427,390070,2067226,6226
19970427,290385,3267879,8212
19970427,99470,2512793,18839
19970521,244026,1881819,1409
19970430,82683,3334691,2617
19970131,3414,3343586,638
19970131,117602,3299125,12701
19970131,134339,2664260,10403
19970309,566158,3106841,10178
19970612,598596,3050226,5680
19970612,419631,3837759,10650
19970501,304235,2535444,14287
19970202,501646,3114001,4697
19970202,555197,2649591,2079
19970428,571669,4525664,17080
19970615,254984,4638016,3007
19970615,581413,2362630,2977
19970310,456224,2577556,4320
19970814,348468,3666776,207
19970225,129668,3904618,3450
19970225,126131,1895378,8556
19970225,546394,3670062,16668
19970225,231788,4299425,18613
19970830,228223,2175786,13960
19970411,158659,3132993,1916
19970107,409265,2416585,16405
19970719,150687,2908876,2095
19970616,465127,2310883,2502
19970616,585305,2613726,16095
19970616,211240,3077237,6091
19971003,294858,4539458,2232
19970105,428684,3918763,9253
19970105,496299,2621626,5659
19970521,172396,3309751,6974
19970521,50059,2615457,18784
19971115,489363,2184029,13638
19971115,76226,2885328,5856
19970320,235607,2696447,13826
19971027,268254,2994488,7225
19971027,317355,2824275,17305
19971127,297059,2306391,13091
19970510,266556,3014629,1027
19970221,269383,2190839,7442
19970530,290565,3842208,1199
19970524,591175,3179302,1288
19970222,97904,4100496,5492
19970423,223320,2071354,4300
19971012,127211,2402127,19794
19971012,234692,3313547,14234
19970604,198017,1991407,2215
19970604,282068,1911091,13505
19970813,276097,2443403,16089
19970813,552469,3099173,6666
19970730,510212,3145917,3674
19970730,530734,3520596,297
19970630,349877,2980852,7058
19971204,365463,3821125,15709
19970705,456529,3351288,10767
19970614,422907,2861932,2949
19970503,316036,1723208,280
19970503,402612,2726262,17260
19971029,59181,2816244,12180
19971226,235688,3023273,3633
19970108,279653,3591808,15417
19970108,395780,4411811,3269
19970530,571425,2922469,1443
19970530,322833,4825132,3406
19970823,499954,4040727,4068
19970812,153085,1905145,6738
19970611,273893,3015011,9675
19970611,107495,2654899,13838
19970611,53058,2527625,10172
19970412,198484,3377012,16019
19970112,167683,2827348,14593
19971220,393813,3844108,2523
19971220,53490,3054424,11857
19970306,16908,3540306,14327
19970604,213928,4625036,3927
19970604,274720,2994552,17885
19970129,299308,3330974,18561
19970129,206713,4042771,19125
19970523,107739,4669009,6397
19970420,571653,2814596,19715
19970420,555686,2783172,18731
19970420,405074,2300767,8511
19970607,497692,4393142,18829
19970829,16070,2267961,7106
19970417,571638,3077298,8239
19970417,247387,3422659,2273
19970417,320123,2912644,5852
19970210,146795,4331890,10400
19970210,581481,2909300,12473
19970114,31199,2441210,4791
19971026,428101,2009793,13618
19971016,81481,2778712,6315
19970710,139387,3182253,6740
19971117,371674,3763642,7049
19971117,122182,2410768,2931
19970419,385361,3127008,9401
19970323,466267,2441815,8575
19970628,24262,1996475,17507
19970625,143807,4797273,4259
19970625,160341,2522412,17071
19970625,239798,4066405,10885
19970519,221258,2253527,16570
19970906,327616,3362805,7812
19970906,40739,4061587,9806
19970906,92088,2592192,14213
19970906,310595,3692834,17248
19970324,274650,2734269,10364
19970324,416061,1934539,18629
19970324,325428,2651019,4852
19971025,163122,2026555,3132
19971025,378832,4161765,2019
19970425,65376,3549265,15973
19970425,344168,2676427,5173
19970809,435283,2481595,8380
19970701,20782,3841471,16645
19970804,111729,3376996,11568
19970804,422775,4446407,18594
19970107,341955,3157162,14269
19970107,428752,3788365,11787
19970402,258093,2732808,9423
19970408,102153,1865567,8213
19971030,341997,3376550,15930
19971108,293680,2801723,3541
19970811,337971,4250959,12213
19970528,93930,5142664,17996
19970721,478414,2924019,7450
19970721,95475,3387962,8827
19970430,127562,2648206,7845
19970430,118415,2290589,5984
19970304,285716,2971168,9914
19970902,587767,3524006,362
19970902,311328,2643797,16353
19970517,134444,2554744,19775
19970517,160749,4213074,15226
19971207,3465,3308936,17770
19971207,20505,3421200,7427
19971207,170541,3368118,18803
19970911,115215,2657253,13686
19970101,160643,3918372,10840
19971230,474316,2451551,10087
19970913,577303,3373404,14086
19971002,76863,4735799,7408
19970608,410457,3359775,3928
19970205,117171,1979491,17604
19970205,522154,1819473,11123
19970205,345281,3282518,1736
19970213,418910,3226161,9794
19970213,208800,3045063,13398
19970213,497759,3467785,18080
19970128,474966,4658256,15196
19970613,598825,4472835,11001
19970721,82672,3501281,3518
19970721,470544,3966527,15112
19970721,472843,3546296,1072
19971002,215760,3354851,3346
19971002,474876,4764087,13906
19971211,470625,3596482,4105
19970326,260448,2647848,12272
19970522,243154,1865138,3649
19970815,582384,2771420,9748
19970815,316266,2027237,7732
19970815,90109,2004758,17857
19970829,293082,2152290,1248
19970405,258078,2331135,7767
19970405,314413,2363774,5372
19970405,6561,3206618,1216
19971223,78596,3117688,614
19970727,437223,2314599,17032
19970911,64091,1824250,19139
19971027,408516,2752114,19882
19971027,121698,2777299,9359
19971225,94908,3008484,19637
19971225,311355,3516959,6986
19971126,589945,3217208,7632
19971126,306667,2759848,1170
19971019,97053,1855438,2161
19971019,201057,1743632,12502
19970815,244112,1759462,10094
19970205,177595,3693078,12194
19970624,37126,2031622,17371
19970807,400920,3314038,8631
19970807,248983,4132483,17455
19971201,544000,2762371,11557
19971201,196735,3747719,4213
19970122,595128,2989256,15734
19970122,200065,2059416,8421
19970122,71753,3585755,15802
19970315,188164,2028499,1372
19970526,332350,2641651,213
19970301,509579,3544055,859
19971011,36589,4119066,8061
19970608,476017,2097194,303
19970521,527938,5111366,5169
19970521,239284,3071630,10937
19970525,18314,2390681,8859
19970525,404950,3038375,7619
19971123,48835,4671850,942
19970112,159813,5056587,7080
19971230,439397,2619285,16177
19971230,319193,2788014,16202
19971225,202149,2472257,9779
19971225,307758,3776917,15208
19970602,554499,3767164,14505
19970602,253763,4449816,3005
19970602,566769,3634765,16977
19970417,448934,3765820,6538
19970417,221710,3069227,2204
19970417,23439,2452374,4677
19971015,580497,2839446,18670
19970220,293242,2360524,14047
19970303,460699,3435516,7962
19970709,437067,2066314,1898
19970709,573390,2961860,3783
19970531,414855,3058266,1040
19971112,508684,2863980,8302
19970828,182482,3529466,10312
19971123,394222,2250719,5900
19971007,548824,4048993,17668
19970626,558977,3481474,5222
19970827,321798,3883410,1521
19970827,168972,4775869,8658
19970827,423267,1992461,521
19971207,248085,2632262,14628
19970401,474310,3038630,14822
19970414,90147,2251537,2602
19970616,429193,2555181,19078
19970806,81539,3144456,774
19970518,525405,3026684,18824
19971017,581659,4605706,1074
19971027,122363,3225118,18379
19971226,379241,3136866,11521
19970408,119625,3401074,1663
19971002,404309,2305232,13388
19970115,269771,4299677,2756
19970705,282103,1660187,10001
19970505,4540,3627239,15463
19970505,88698,2980381,19167
19970505,336441,3022821,14916
19970305,214044,2044436,13655
19970317,148177,3062925,13586
19970317,395223,3037155,19221
19970326,227702,4033482,3375
19970326,174205,2381870,16487
19970624,222203,2092853,11754
19970624,248256,1994221,6491
19971201,295855,4897322,13931
19971201,232757,3017875,2499
19970131,287619,2594659,16097
19970131,471829,4424565,9090
19970520,245195,2438845,19695
19970520,570684,4042736,14962
19970907,458560,3416715,2713
19970907,294666,3985560,1171
19970527,430947,3842224,19920
19971221,567285,3245424,4621
19971023,287554,3368264,6666
19971023,594828,4291689,4478
19970526,211609,2949944,11693
19970419,333610,3398964,16308
19970419,578194,2518896,12365
19970419,510742,4206528,17763
19970205,500161,3018964,7034
19971202,222485,2540483,14310
19970101,449038,1661137,11878
19970323,482692,3647431,18851
19970811,512991,3318574,6092
19970109,222234,1926262,9197
19970510,258556,3416802,1170
19970602,423391,3220206,3646
19971015,588219,3092811,9586
19970608,457047,2434748,13183
19970608,386973,5088101,12268
19970608,443887,4844455,19895
19970608,532356,3198712,8932
19970620,46421,3052081,3252
19970616,66525,3691512,1181
19970616,273399,3061779,1938
19970616,207358,3143104,2471
19970324,569631,3249865,13367
19970325,412642,3078147,15981
19970209,486969,3344657,8548
19970811,455859,3275768,3619
19970421,274165,2695228,16407
19970421,374573,3871766,13009
19970423,33726,3380849,17166
19971209,488057,1805811,12407
19970811,270020,1982000,7555
19971225,40051,1732355,1134
19971202,15123,2013952,14817
19970712,322673,2996231,17086
19970712,363861,4523397,19035
19970712,197099,2023784,6244
19970510,85658,3780395,15689
19970510,253585,2406323,8257
19970510,197542,3698802,13711
19970510,275229,2745598,13915
19971018,574649,3754044,10675
19971022,89034,1923296,2029
19970823,226493,3449336,739
19971215,396887,3729675,18436
19970321,299238,3088101,17188
19970321,83185,2525605,3054
19971115,447279,2759062,17690
19971115,15595,3398827,292
19970318,279488,3375181,13670
19970318,108283,2115116,7711
19970318,19950,3956814,7920
19971216,82836,2813730,2966
19970303,467168,2312280,789
19970303,202324,2820513,1414
19970823,57613,2600930,5378
19971007,344099,2445048,4417
19971007,460861,3357651,6763
19971007,283533,2820727,18669
19970919,405595,2941117,2672
19970205,511901,4124169,5824
19970630,173560,3757188,6434
19970725,218965,4898270,1747
19970129,314768,4064670,11307
19970129,93819,2804417,11951
19970509,335870,3682121,14590
19971210,373390,3231143,14000
19971210,523848,4132978,18811
19970526,174804,4591787,19088
19970526,592245,2735952,16035
19971228,444039,2479151,5406
19970512,249551,3056599,7528
19970512,111659,4104787,15812
19970512,441959,4372139,10505
19970507,385918,4761266,19596
19971201,343970,3665407,2708
19970827,206192,2556563,15813
19971022,571869,3953491,11453
19971022,251017,2420000,16835
19970401,328838,3369610,14446
19970707,363020,2463847,13223
19971008,481694,2677720,9753
19971008,247214,2699790,3566
19970810,570364,3617405,3370
19970810,498627,3311347,17566
19970406,204606,2809697,4975
19971013,393098,2575114,6792
19971013,188740,4206102,11247
19970629,231815,3411500,10651
19970828,330693,3971358,18195
19970828,59813,4210423,10029
19971108,421640,2818724,5075
19970501,320208,2398655,2580
19970501,332557,3392078,11700
19970109,138970,3740702,17949
19970720,452092,1757169,6781
19970720,494166,2552308,19156
19971201,522629,4129000,17399
19970815,463395,2999280,783
19971119,473869,3753865,13371
19970628,344893,3604456,9675
19971029,409727,2954243,10884
19970711,282143,1945349,7189
19970728,283660,3903668,1508
19970912,325188,2305023,12499
19970422,455706,3157192,10270
19970422,433357,3135501,10168
19970807,222206,2599349,8360
19970511,325321,2724931,393
19970814,479771,3501500,5358
19970814,426196,2295959,18452
19970814,259555,2647415,8213
19970506,181709,2770212,5625
19970620,582787,4674400,18390
19970620,499638,3930264,6108
19970612,376719,3507002,11833
19970612,167137,2958547,8534
19970929,73994,4026507,6765
19970713,552205,2544532,8666
19970713,104294,2008454,3716
19971109,357439,3579436,13467
19971109,276747,4235204,17967
19970114,311861,3814995,16326
19971127,576765,3116224,5886
19970703,117367,2954224,6554
19970703,268230,2588155,8299
19970713,17240,2129321,1052
19970922,44731,4095484,2902
19971115,323648,2708040,25
19970925,37747,4127613,15915
19970925,508688,3349206,11476
19970925,203924,4836649,5594
19970925,150310,3034851,1963
19970902,245860,4507401,13753
19971111,28516,2525003,16747
19971111,459052,2444670,14921
19970616,584150,2869352,1344
19970912,377654,4069354,7917
19970912,537080,2817225,17842
19970927,414852,4341101,1589
19970927,402753,3233640,16313
19971219,347100,2638307,11111
19971122,302869,4089992,9363
19971122,518835,2993903,12639
19971122,254470,3079682,11242
19971122,281836,3028488,13360
19970510,358191,2273507,10234
19970510,381671,3470266,11610
19971002,32882,3430123,10274
19971002,573443,3135956,15840
19970308,335906,3394423,3345
19970912,567442,2608277,10678
19970613,454328,2949290,7701
19970613,3859,2982742,5060
19970914,63008,1767220,10463
19970223,154466,2744430,17826
19970101,453430,3150024,18683
19970308,339951,3583692,3209
19970308,67305,2320675,12306
19970308,179921,3241490,10226
19970308,516417,3465937,5266
19971205,242807,2885403,10325
19971205,47615,3594003,2998
19970227,140743,3633478,4096
19970802,85688,2922245,3430
19971220,342554,2524129,433
19971001,359347,3721149,2942
19970924,227033,1987241,1192
19970924,517258,2754496,16821
19970702,312013,1947500,19583
19970723,593417,3371190,13830
19971114,363763,4201525,505
19970706,592703,3070612,12306
19971005,372962,3785007,12492
19970218,92164,2659168,5423
19970218,394935,5013902,3024
19970206,65374,3616299,5491
19970206,139312,3539080,2978
19970206,201975,3310957,15495
19971203,302221,2254376,8014
19971203,166044,2121286,6130
19970714,523310,2879906,4036
19970921,22376,2672045,4577
19970921,443259,1990892,7652
19970921,253791,3419768,16505
19970930,409100,2615535,2193
19970930,329076,1810088,16113
19970602,46559,3577186,1915
19970812,399202,2693463,14900
19970514,192660,4080192,5745
19970611,135661,4114400,11534
19970611,115410,3733148,18464
19970326,420152,2605275,8402
19970326,329074,2353930,3596
19970727,54643,3220842,18763
19970727,70239,2500687,14241
19970521,223879,3151399,8649
19970816,575086,2183953,19347
19970816,60068,2570150,8915
19970409,530197,2645778,1770
