"d_yearmonthnum","lo_partkey","lo_revenue","lo_suppkey"
199710,588297,2213661,2450
199703,427597,3622378,5814
199703,167074,2767094,6795
199703,861,4566741,13576
199707,66133,2369724,19086
199707,297028,2238621,14509
199706,106231,2572201,16090
199702,54730,4001233,11429
199702,41630,3457586,19837
199705,514425,2850012,5455
199703,201618,3355276,19333
199703,116744,3757419,14539
199703,318000,1795734,19954
199702,451896,3608890,15112
199702,43713,3644762,10009
199701,78767,3084757,8113
199708,487920,3472378,4996
199712,395902,3396413,6248
199712,440985,3274132,1860
199701,340640,2657076,17296
199706,158889,3942509,13099
199702,36787,4033645,5224
199712,542153,3045191,2154
199707,65873,3346743,4107
199708,277266,2170714,13635
199708,408493,3296257,9792
199711,151767,4001272,17314
199711,135056,2638158,4369
199709,8875,3210966,149
199709,37366,3378309,4523
199709,441248,1990754,14160
199709,79540,4020702,9267
199706,447311,2944398,12467
199712,384162,2076085,5072
199712,185298,2365425,19025
199705,105949,4740729,13253
199711,529205,2274593,7194
199704,345717,3172860,13875
199712,574896,4261020,9104
199704,111551,2470391,183
199704,427432,3523590,11882
199704,46225,2810928,10629
199712,109864,3372948,6671
199712,445802,3287574,4253
199703,428822,2836296,10297
199706,565413,3512654,19796
199702,495354,2578569,11255
199705,487179,2253001,5419
199708,128013,2154890,6111
199708,400804,4009642,12073
199702,397792,4745237,8101
199708,253675,2713347,12691
199708,206585,2408885,1891
199702,408991,4096335,11271
199704,169279,2085773,17127
199705,259182,1994765,6232
199711,200074,2103969,12998
199702,552482,2623926,9482
199712,189966,5107004,4697
199712,143618,2990898,12894
199702,213640,2656707,3258
199706,301611,3217137,7466
199711,312821,3619940,17447
199711,138481,3456817,10066
199711,532728,4440485,6036
199711,357738,3343630,16807
199711,492861,2867890,12990
199701,169174,3038307,16376
199703,42773,2770968,21
199701,594065,2802558,7503
199701,435788,2813176,585
199711,92119,2199997,10680
199711,421278,2559199,19203
199706,330159,2422278,15739
199712,44242,2906288,4708
199711,213916,4446657,12416
199711,114361,3036794,16723
199711,263800,4190765,6877
199708,340896,4696934,2233
199701,143254,2095058,16659
199701,496743,3507275,10682
199710,575323,3599224,4530
199704,139692,3085871,8546
199705,351911,4416525,10961
199708,504429,2580120,18148
199703,412801,4303301,13803
199709,33211,2517262,12797
199712,426470,2681184,11128
199708,544362,3437094,8409
199709,441466,2296942,11195
199703,311525,3318861,111
199710,240119,2338492,16351
199702,474827,3891888,6170
199702,173551,3736465,3516
199702,264473,2975542,8959
199709,204286,2399584,15550
199712,386038,2472844,18556
199712,339830,3232918,10242
199708,8305,1856349,16731
199702,452793,3247132,13833
199702,577715,4614384,1980
199703,542755,3210745,14534
199703,249934,3119771,14073
199703,594158,2164932,14142
199703,205173,2775183,13416
199706,103702,4052743,3641
199708,249947,3414474,1692
199712,420415,2794971,8385
199703,307961,4627032,10102
199709,326089,2294814,1407
199709,164250,2932091,6249
199701,383928,4760179,4565
199708,396829,4783712,7860
199709,535715,3851518,1197
199704,571168,2644324,11481
199705,461265,2651130,12283
199705,465149,2534623,11511
199708,472451,2357200,886
199708,391801,3736367,1421
199710,25899,4460031,16449
199710,78193,2108142,9666
199701,553068,2307100,16634
199709,178565,3747316,8308
199703,503428,2238709,18898
199707,94590,3882245,16858
199703,348979,3540818,4393
199706,13886,3419772,17713
199706,570672,4485581,17707
199702,419725,4307469,13086
199706,225361,2033719,5547
199706,428968,3568144,1896
199710,15414,2475361,14577
199710,462132,2286689,12290
199702,210247,2041353,8152
199702,208803,3057256,2653
199702,473258,3058375,16208
199702,518187,2892384,5919
199702,154252,2455750,18618
199703,432586,3207198,5870
199703,260771,3863556,15094
199707,549549,2877336,3632
199712,149498,3969311,7747
199701,525334,2501130,12625
199708,369064,1896725,3662
199703,77720,3398835,2199
199709,584859,3809906,9361
199709,518380,2684851,4852
199709,409147,2210459,19479
199712,195005,1813900,18706
199711,576963,3671892,11429
199705,366206,2119468,5643
199705,160483,2361524,1399
199709,302599,3830979,4054
199701,546482,2787911,4797
199712,359251,3502271,12455
199702,111669,2571409,17219
199707,16848,4359154,18214
199706,400968,3906084,3566
199706,466746,3156542,5922
199706,402096,2667841,6088
199706,164332,2708880,11599
199706,122760,3176878,1277
199706,419670,2893163,6708
199710,450233,2726115,17176
199710,438844,3048622,18499
199707,288046,2378269,1812
199712,154054,2631618,2065
199704,550593,3579695,15178
199706,313533,3062109,19794
199711,83369,3614858,7506
199711,179456,3310430,10135
199711,270259,2261801,11594
199708,343322,2512170,14976
199709,156412,2848715,6699
199709,214575,3065514,7884
199701,483052,2335027,1321
199701,310524,3342162,7038
199709,308434,3621916,7088
199704,390070,2067226,6226
199704,290385,3267879,8212
199704,99470,2512793,18839
199705,244026,1881819,1409
199704,82683,3334691,2617
199701,3414,3343586,638
199701,117602,3299125,12701
199701,134339,2664260,10403
199703,566158,3106841,10178
199706,598596,3050226,5680
199706,419631,3837759,10650
199705,304235,2535444,14287
199702,501646,3114001,4697
199702,555197,2649591,2079
199704,571669,4525664,17080
199706,254984,4638016,3007
199706,581413,2362630,2977
199703,456224,2577556,4320
199708,348468,3666776,207
199702,129668,3904618,3450
199702,126131,1895378,8556
199702,546394,3670062,16668
199702,231788,4299425,18613
199708,228223,2175786,13960
199704,158659,3132993,1916
199701,409265,2416585,16405
199707,150687,2908876,2095
199706,465127,2310883,2502
199706,585305,2613726,16095
199706,211240,3077237,6091
199710,294858,4539458,2232
199701,428684,3918763,9253
199701,496299,2621626,5659
199705,172396,3309751,6974
199705,50059,2615457,18784
199711,489363,2184029,13638
199711,76226,2885328,5856
199703,235607,2696447,13826
199710,268254,2994488,7225
199710,317355,2824275,17305
199711,297059,2306391,13091
199705,266556,3014629,1027
199702,269383,2190839,7442
199705,290565,3842208,1199
199705,591175,3179302,1288
199702,97904,4100496,5492
199704,223320,2071354,4300
199710,127211,2402127,19794
199710,234692,3313547,14234
199706,198017,1991407,2215
199706,282068,1911091,13505
199708,276097,2443403,16089
199708,552469,3099173,6666
199707,510212,3145917,3674
199707,530734,3520596,297
199706,349877,2980852,7058
199712,365463,3821125,15709
199707,456529,3351288,10767
199706,422907,2861932,2949
199705,316036,1723208,280
199705,402612,2726262,17260
199710,59181,2816244,12180
199712,235688,3023273,3633
199701,279653,3591808,15417
199701,395780,4411811,3269
199705,571425,2922469,1443
199705,322833,4825132,3406
199708,499954,4040727,4068
199708,153085,1905145,6738
199706,273893,3015011,9675
199706,107495,2654899,13838
199706,53058,2527625,10172
199704,198484,3377012,16019
199701,167683,2827348,14593
199712,393813,3844108,2523
199712,53490,3054424,11857
199703,16908,3540306,14327
199706,213928,4625036,3927
199706,274720,2994552,17885
199701,299308,3330974,18561
199701,206713,4042771,19125
199705,107739,4669009,6397
199704,571653,2814596,19715
199704,555686,2783172,18731
199704,405074,2300767,8511
199706,497692,4393142,18829
199708,16070,2267961,7106
199704,571638,3077298,8239
199704,247387,3422659,2273
199704,320123,2912644,5852
199702,146795,4331890,10400
199702,581481,2909300,12473
