"d_year","lo_custkey","lo_revenue","lo_suppkey"
1992,292072,7138905,12199
1992,292072,3912159,18681
1992,292072,7693337,11291
1992,292072,3349760,14130
1992,172921,2072356,14221
1992,172921,4534268,16297
1992,280357,1794740,3224
1992,280357,730747,18624
1992,280357,5058493,16941
1992,64456,4553875,19583
1992,64456,4674709,2759
1992,64456,317312,10300
1992,64456,2956824,3368
1992,64456,5152368,16928
1992,64456,5114510,19496
1992,64456,3391459,2876
1992,119230,371452,18020
1992,119230,4932818,7927
1992,119230,1748607,16081
1992,119230,1001638,11212
1992,119230,2729529,4796
1992,119230,7051104,19275
1992,119230,3889976,1136
1992,281425,1694052,8880
1992,281425,6380685,17244
1992,281425,4504960,4152
1992,125953,7981460,3929
1992,125953,2177179,11213
1992,125953,2282599,6276
1992,125953,3789480,9996
1992,125953,4305481,10167
1992,125953,637464,6954
1992,184837,2590747,13298
1992,184837,6030278,19376
1992,184837,5625454,9439
1992,184837,6479127,13489
1992,276538,5681920,4740
1992,276538,4913181,3599
1992,276538,837810,843
1992,276538,8103715,3286
1992,51721,7871357,16669
1992,51721,7521179,11858
1992,51721,5059646,6247
1992,51721,240519,4735
1992,51721,3047025,18489
1992,51721,164463,13705
1992,275398,4955336,18873
1992,275398,1283126,17928
1992,275398,4167640,8258
1992,275398,5757116,17480
1992,275398,3870622,5145
1992,275398,7032535,18183
1992,151727,2533080,9486
1992,151727,5324894,18139
1992,99055,2269958,19583
1992,99055,5229788,14715
1992,99055,2264554,5238
1992,99055,4844911,11769
1992,99055,6451054,19630
1992,139741,2857785,17098
1992,139741,377448,16761
1992,279686,569901,16970
1992,279686,165298,5783
1992,279686,2890904,10059
1992,279686,4961758,511
1992,279686,5728014,598
1992,279686,4528881,5833
1992,279686,527798,7992
1992,109123,7511999,6638
1992,109123,4492683,16136
1992,109123,7608375,3412
1992,109123,2330166,14863
1992,109123,1807588,6034
1992,184615,3630168,1808
1992,184615,4645070,3742
1992,184615,5196519,4758
1992,184615,2574924,17833
1992,184615,7318715,18188
1992,184615,3586804,1831
1992,184615,1411993,11924
1992,138380,2932726,18227
1992,138380,2720119,11895
1992,138380,7448246,10053
1992,138380,2907447,8323
1992,138380,1081424,4282
1992,188836,1633796,7099
1992,188836,8138803,5196
1992,188836,6274160,18653
1992,188836,5400637,12573
1992,188836,3746110,2781
1992,202981,1787310,8217
1992,202981,5034680,847
1992,155965,1788845,11840
1992,273169,1952293,6693
1992,273169,1479665,6692
1992,273169,8275425,7468
1992,273169,4711683,8568
1992,273169,6974315,103
1992,55594,3958964,6166
1992,55594,3697804,2104
1992,55594,6193395,6209
1992,55594,3937095,8501
1992,55594,7645505,10262
1992,55594,2360317,11548
1992,272539,5149347,14272
1992,272539,4418820,15465
1992,39793,5085823,8819
1992,39793,965023,19028
1992,39793,497288,1623
1992,39793,3564320,2154
1992,39793,5975717,13961
1992,39793,4945515,5928
1992,39793,3197175,8090
1992,299785,5240434,6981
1992,299785,5880972,8830
1992,299785,5386667,4026
1992,261554,2800264,12786
1992,5062,1609200,5554
1992,5062,3070521,14167
1992,5062,1058319,3556
1992,5062,3323087,18038
1992,5062,4348240,9816
1992,5062,5402017,10537
1992,5062,5305503,7323
1992,279304,1763760,876
1992,279304,7002574,13223
1992,279304,4009735,15663
1992,279304,981271,19048
1992,279304,4183216,14626
1992,281537,5466294,8943
1992,33664,6485980,11461
1992,33664,7755603,13426
1992,33664,5355830,5293
1992,242936,1678824,6896
1992,242936,804502,5830
1992,242936,242501,18092
