"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST0",1992,64456,3391459
"UNITED ST9",1992,217367,4722742
"UNITED ST9",1992,63353,1266505
"UNITED ST0",1992,66013,1385194
"UNITED ST9",1992,276682,6443150
"UNITED ST0",1992,260851,3192579
"UNITED ST9",1992,12847,762203
"UNITED ST0",1992,127066,3861201
"UNITED ST0",1992,59125,4057268
"UNITED ST0",1992,260194,2566592
"UNITED ST9",1992,8846,3109593
"UNITED ST9",1992,244652,3651435
"UNITED ST9",1992,28237,2430014
"UNITED ST9",1992,223048,3861197
"UNITED ST0",1992,192541,2734875
"UNITED ST0",1992,91171,697746
"UNITED ST0",1992,296924,315039
"UNITED ST0",1992,4874,2585601
"UNITED ST0",1992,42443,2346719
"UNITED ST9",1992,167660,6418792
"UNITED ST9",1992,189541,609955
"UNITED ST0",1992,16048,1604300
"UNITED ST0",1992,130513,3891700
"UNITED ST0",1992,190895,103454
"UNITED ST9",1992,180512,2142894
"UNITED ST0",1992,124177,4989818
"UNITED ST9",1992,104140,1974830
"UNITED ST9",1992,42469,244385
"UNITED ST9",1992,290794,1124434
"UNITED ST0",1992,189223,5686346
"UNITED ST9",1992,250751,5718723
"UNITED ST9",1992,157670,3951288
"UNITED ST9",1992,206648,1517715
"UNITED ST0",1992,260230,738863
"UNITED ST0",1992,175537,5996870
"UNITED ST0",1992,36755,6427378
"UNITED ST0",1992,198094,2560496
"UNITED ST9",1992,23587,8312847
"UNITED ST9",1992,25909,6281865
"UNITED ST9",1992,68611,194109
"UNITED ST0",1992,58073,2995885
"UNITED ST9",1992,88637,7859358
"UNITED ST0",1992,7831,6006337
"UNITED ST0",1992,120638,8594371
"UNITED ST0",1992,268849,5604336
"UNITED ST9",1992,29566,6952903
"UNITED ST0",1992,230894,5137937
"UNITED ST0",1992,190225,2683847
"UNITED ST0",1992,108271,4375015
"UNITED ST9",1992,43582,7804377
