"d_year","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
1996,286682,576052,2763673,67681
1994,248737,35688,2732653,97420
1994,248737,396973,7244860,124197
1997,185351,590553,4141695,98611
1997,185351,216805,7438132,103307
1997,185351,37385,3451411,79342
1997,185351,122873,7431810,113752
1993,292993,327562,4883097,95373
1993,292993,79404,4781030,83004
1996,64963,183682,7797242,105940
1996,64963,343690,4836967,104020
1992,258709,441622,742710,93816
1996,26317,62121,2144577,64987
1994,63812,412355,3295058,76039
1997,229945,436420,4883040,81384
1995,56659,133352,1920095,83121
1994,53405,64551,3267525,90933
1994,53405,233685,461320,97120
1995,144262,351544,3264454,95731
1995,144262,542086,4877731,67683
1997,3754,346838,554137,113089
1997,69068,588557,2073367,98731
1995,116960,581147,2216756,73687
1994,132853,560140,446444,72007
1998,279013,283349,5886233,79939
1996,67510,477467,4029987,86666
1996,9604,67825,8157331,107569
1996,9604,525588,6099256,96813
1996,290090,543408,5415098,87082
1996,290090,362178,4476977,74409
1996,242314,356573,7046217,97773
1992,60625,242800,972476,104567
1995,106117,76777,1262714,105226
1995,106117,382100,472836,70925
1995,106117,154521,4688747,94531
1993,293048,212941,5459823,111235
1993,293048,209710,3045036,97182
1993,293048,542152,549299,71647
1996,235780,110322,4970885,79939
1996,235780,282955,8743985,116276
1996,35620,20185,1850071,66310
1997,133357,46599,3094271,92735
1994,299941,419664,3976520,95018
1998,187790,501893,6450137,113692
1994,264893,597276,6594346,82395
1994,264893,409068,1219345,58622
1995,55054,457741,3633562,101923
1995,55054,39584,2133012,91414
1997,85867,481184,1423825,69909
1997,164539,477802,2367107,106786
1997,164539,15687,1604282,96160
1993,285914,187399,4369986,89183
1995,254156,541604,4398635,98734
1995,254156,488505,3844217,89608
1994,183283,303274,735701,76635
1993,10762,260620,5690196,94836
1994,266527,113531,6672369,92671
1992,209602,422163,3593983,65108
1996,30317,218749,1320842,100063
1992,172843,197861,2368261,117531
1998,218761,189549,5677541,98312
1998,218761,501552,2628572,93211
1995,177697,304706,6774332,102641
1995,177697,518954,3788025,118375
1992,43700,421509,5707615,85828
1992,43700,574927,1553474,120114
1997,277195,546295,1586722,80476
1998,102674,509124,2950592,67986
1998,102674,525072,1917643,65823
1998,102674,77562,3079120,92373
1993,6493,378763,893248,110505
1995,12274,360902,1695936,117773
1992,157810,572771,6106500,110625
1992,157810,148354,3944810,84141
1992,157810,384118,1785118,72126
1992,157810,87048,103504,62102
1998,264506,13659,4118770,94359
1993,144098,545748,7481606,107623
1994,245698,524561,2384652,95132
1994,245698,94248,372672,74534
1992,229069,152367,3091366,85161
1997,3788,425002,2844901,55618
1994,52717,151916,362095,118074
1994,52717,231553,6012387,89072
1996,94895,254824,323743,106728
1996,94895,18270,4264701,71296
1997,97514,81527,298686,90511
1996,7528,410142,612333,63127
1996,7528,508982,6179939,119457
1997,220057,154446,2993377,90026
1997,220057,171802,4958074,112428
1998,200945,497607,4818553,96274
1998,174319,305584,2203144,95374
1998,174319,13314,5596533,73638
1998,174319,559443,1586555,90145
1994,247837,61173,3878861,68050
1997,191152,72655,2474028,97659
1992,274297,157415,1506275,88344
1992,274297,519036,4912126,63300
1997,150196,423336,755586,75558
1997,150196,192384,3803154,88582
1996,30214,560226,4904280,77172
1992,189098,588293,5063735,82876
1997,116911,215511,5172489,85590
1994,65209,298949,2672559,116875
1994,65209,33195,4924549,67691
1994,65209,502624,1127233,97596
1996,52604,208226,3630606,68052
1993,121931,340377,4824693,85041
1994,199099,395148,5780554,74587
1994,199099,27935,3327192,111775
1995,28328,597070,2993483,70023
1995,28328,552041,2076738,65581
1995,28328,480047,4062891,61621
1995,28328,236966,5777356,114177
1994,88789,442259,5650585,72073
1997,57338,329401,2793551,85823
1997,57338,277797,5975684,106486
1992,247475,41248,237848,71354
1995,104294,559550,2708838,96571
1996,33235,28685,2581888,96820
1998,272272,212236,3817831,68893
1997,154024,222000,4290019,55319
1995,36830,573938,181071,120714
1997,86723,432794,1445306,103606
1996,139622,65977,5770620,116578
1996,139622,492740,1103742,103963
1996,139622,277078,2127000,63303
1993,129697,391593,5542268,101074
1995,13093,377687,4450497,105880
1994,134080,498352,4144162,81019
1997,152015,519043,1283982,63721
1996,103738,253146,4946085,65947
1997,176194,225111,1048533,62166
1992,96854,547153,4560494,72007
1993,238361,596787,4245995,113025
1996,140224,272491,6732008,87808
1997,242093,160370,3361369,85822
1994,201334,150289,1446422,80356
1994,201334,198528,2498334,97591
1994,201334,281916,6984272,113874
1994,201334,559074,2857552,67983
1993,111812,455486,2574447,86487
1992,8708,25579,1155509,90274
1992,8708,456956,7403039,114775
1994,251710,213062,1040378,58503
1997,100619,570205,489669,76510
1997,100619,371969,2743036,122457
1996,243913,502544,862958,92791
1997,235156,195947,784488,122576
1994,170596,345122,1386526,70026
1994,170596,261778,6478866,104385
1996,98351,343794,4300405,110266
1992,43124,577772,4744608,110985
1993,9562,310838,2355396,110929
1998,223627,581402,4000675,89002
1997,54584,389165,3576835,75249
1993,280954,93769,5060883,105765
1995,289462,387107,4656951,71645
1998,159827,87782,7985247,106186
1995,100429,10882,7587468,107572
1995,93832,158325,4405874,82999
1992,219953,472301,5116039,76396
1995,142208,135353,2653136,83301
1995,43411,176422,5590605,89905
1995,298348,446036,3181712,58920
1995,298348,404892,5633187,107812
1995,298348,411553,2615650,87871
1994,2686,187613,5333112,102036
1997,82130,205421,5093414,79584
1997,82130,397406,589328,90203
1995,54304,111287,3700098,77896
1996,280267,465486,267068,87087
1996,280267,545788,1452337,110025
1995,214613,100068,393046,64083
1995,214613,32388,4866920,79222
1994,16280,84561,3298225,92733
1994,16280,455563,1105497,91112
1995,126521,224315,4398275,74358
1995,126521,250569,285675,91173
1997,16159,462633,625479,95736
1997,16159,594604,2935146,101914
1996,76447,518729,8476345,104862
1995,233137,407524,4215767,85890
1995,31504,580459,1981246,92365
1996,256583,341513,1218728,93270
1995,161704,342920,5894618,117774
1995,161704,447645,2490857,95557
1997,31417,321505,1480695,91589
1997,31417,341997,9291631,122338
1998,8129,436195,3135603,67870
1993,265457,497632,1702942,97776
1993,265457,294856,7912341,111050
1993,265457,229140,1603695,64147
1993,265457,498859,6855392,111469
1995,224872,457805,7622260,105766
1993,214933,318072,3142642,65403
1993,214933,425140,3198555,63907
1997,71065,501666,6453766,100058
1997,71065,285318,1939310,78198
1997,180709,399275,6464519,82455
1997,180709,390513,1244316,96210
1997,180709,545206,4604342,75070
1993,166993,266725,6135832,101502
1996,148756,20020,4285551,56401
1994,33806,295924,4991766,115194
1994,33806,181359,3047780,86421
1995,262900,528707,4295808,104140
1998,148060,393551,5479607,98672
1998,148060,8823,4987641,103909
1998,224333,560250,2227391,78613
1994,215227,287595,6805094,94954
1996,235547,11006,4448367,55020
1994,35290,57092,482581,62945
1993,46400,522096,5149830,67084
1992,141820,394857,1100837,117110
1995,61276,441036,3980338,58620
1996,67690,570523,1647679,95610
1995,63155,79140,101841,67148
1995,63155,494776,8233987,106245
1996,13396,297411,7042000,84504
1997,137000,235115,302428,63006
1993,47104,466485,2024786,87087
1995,151442,267635,4153991,96157
1993,85156,123099,2468598,67325
1993,85156,255638,3298793,95617
1992,193972,103994,4351622,119879
1997,141886,129775,7527695,108286
1996,271858,419269,705814,71294
1996,271858,247937,3172320,113095
1997,255230,546264,4481020,78614
1997,255230,455975,2293968,115857
1994,171457,347346,4458656,83599
1994,171457,436188,5395968,67449
1993,173258,158115,1173110,70386
1993,173258,42118,3180330,63606
1997,16037,37885,3598365,109372
1998,131695,61893,2266675,111293
1998,131695,349420,5482368,88164
1998,265534,364897,5177401,117712
1997,213326,576561,2358057,98252
1997,213326,247150,425690,65828
1993,68708,345641,4891227,101197
1993,68708,235414,1666509,80964
1996,72781,168099,2352853,70025
1996,56755,586441,2095620,91645
1996,56755,309938,5376259,116875
1997,265837,379679,4206714,105519
1994,291254,122284,5466781,78376
1994,291254,196139,5335761,74107
1992,31090,533697,3322886,103840
1992,31090,438334,119597,76338
1993,292177,492233,3646224,73512
1993,292177,344032,645612,64561
1993,292177,572746,6547392,109123
1996,187705,333136,1360855,70147
1996,187705,404614,1473032,91115
1996,187705,272754,3812641,103604
1998,7525,217436,3544606,81205
1998,7525,436794,2854039,103846
1998,7525,180111,2104691,71466
1997,147973,584970,8770526,123297
1992,270260,245847,1405578,107569
1993,101750,41724,2168767,99943
1993,111358,44902,8070953,110814
1998,179624,525389,3429823,84861
1994,26596,293082,1032067,64504
1994,26596,38134,4131989,64327
1998,148216,12575,1472694,89254
1995,190087,220131,286955,63067
1992,158882,13197,4738290,66611
1992,158882,53055,1020146,60483
1992,158882,78868,1970599,110811
1994,278227,444927,8625715,112314
1994,50861,462472,4935942,86067
1996,147524,140025,3479420,63901
1993,229081,112742,4106091,105284
1992,245488,540429,1104988,88164
1992,98971,525362,6797966,83240
1996,19531,556278,5016780,80055
1992,31690,322874,4783880,113811
1992,31690,135799,5926371,110087
1997,85954,501995,6653904,119818
1998,68302,282845,6269456,109669
1998,68302,566510,1699456,94589
1992,104773,267951,5591791,115136
1995,202393,364436,4753330,90025
1992,193624,393139,2864679,73927
1994,140419,556307,777069,81796
1992,184453,65018,4108981,58980
1997,293473,588846,3560068,116089
1994,72046,24841,1327911,105950
1994,72046,167926,6440361,119635
1992,61582,157588,6032696,98734
1993,290692,506460,6409809,87986
1993,290692,457192,1855909,68950
1994,129871,516466,6670980,88946
1994,129871,43042,295512,59102
1992,228134,445577,5755239,91353
1992,228134,411804,509586,102946
1992,228134,102996,383806,119939
1992,228134,376633,3696198,102577
1996,237955,157360,2409512,85041
1998,8302,275286,4574626,75676
1998,8302,128933,570921,117715
1996,17036,542836,2498817,112728
1995,233243,208727,1864709,98142
1995,236353,527576,2334768,96213
1995,236353,251477,6299508,85707
1994,52996,177930,3505845,120475
1994,52996,522819,4788654,110507
1994,52996,4137,510153,62467
1997,270937,42577,4513122,91174
1996,208640,13060,3456309,58383
1996,208640,423111,2378407,62045
1992,208393,448652,6184834,96037
1995,261002,253498,1091512,87088
1995,112988,540163,2057369,72188
1995,112988,151838,3212711,113389
1995,112988,136932,1480635,118135
1995,19291,323417,6493323,86424
1998,92950,515288,638597,78195
1994,101135,584108,448222,71524
1994,101135,490377,6362279,82041
1994,101135,25648,6585683,94418
1994,101135,138474,3716138,90748
1992,228976,374062,422610,68163
1992,228976,551651,7362172,102157
1997,289477,431443,1599824,82465
1997,289477,288067,3708500,63303
1995,124307,76712,4240350,101322
1996,62536,255502,7070283,87449
1996,62536,19485,6396001,84268
1992,140527,141236,5310722,76633
1992,236221,559303,245210,81736
1995,21521,235931,4165098,112015
1997,193601,508012,499795,61199
1992,225604,580703,4707131,107020
1992,188323,240242,3144731,70933
1992,188323,115534,5499281,92971
1995,112849,219837,969764,105409
1995,112849,127327,4940559,81259
1997,29905,229869,2905142,107931
1998,88684,532349,1071904,82879
1997,254975,547742,5138286,107383
1997,254975,91860,7985220,111111
1996,153031,429915,4197124,110693
1992,60833,202059,1224364,57662
1997,19501,430618,4274108,92915
1995,264268,360945,6753966,120355
1996,285577,213267,219526,70815
1997,288914,201404,1503809,78323
1995,27079,588954,5699774,122575
1995,27079,338059,4592209,65822
1992,247300,354988,1536313,122578
1997,150493,225720,3870709,98742
1992,166184,70829,2318168,107989
1994,257936,239092,3604655,61864
1995,123488,245778,2930392,103425
1995,123488,310469,4127665,88767
1992,108610,577397,283079,88462
1996,200428,545418,1159004,87803
1996,200428,27790,5471161,103067
1998,192940,438293,2925497,73876
1993,227641,133202,5749856,74112
1992,54172,232251,3961487,70994
1997,136679,309873,5953603,112971
1997,136679,27407,1700025,80064
1998,61577,25009,1739108,56040
1998,61577,490539,4996909,91770
1995,211583,352627,1755192,100776
1992,148288,528868,8262635,113810
1992,148288,378803,8656234,112907
1992,148288,214431,5505458,80725
1994,150343,428750,329031,100723
1996,199477,329954,5777233,119036
1995,27604,320138,333538,69487
1995,27604,347031,3686828,64681
1995,27604,536699,2950639,104140
1995,19501,87814,1902711,108108
1995,151810,165171,4094195,74170
1997,250142,236178,3384818,66849
1997,250142,285817,5476906,108168
1997,250142,116053,2933473,64143
1996,233509,471340,3307149,78679
1996,233509,361493,5729813,93268
1993,266342,213881,6964095,107692
1994,140905,366553,2435788,97172
1995,149560,271985,4275979,117418
1995,229216,312251,1375668,75794
1995,124922,134720,3267288,105283
1995,124922,319018,5081300,62220
1992,149077,300361,612607,81681
1995,225067,292052,5115796,62642
1994,69875,413949,3520918,111775
1994,69875,239790,830294,103786
1994,69875,369844,4822851,114829
1997,187525,127460,856776,89247
1996,219910,537618,5446891,99335
1996,219910,500937,5813730,116274
1994,214771,161526,288928,95251
1997,49250,260327,126156,77238
