"lo_discount","lo_extendedprice","lo_orderdate"
3,1185170,19930206
1,235828,19941121
1,3358256,19940731
2,2363814,19930702
1,3135866,19941125
3,561270,19940303
2,3302439,19980225
2,3667350,19980607
1,2570568,19961103
1,3823575,19951110
1,2479515,19951110
3,939330,19980207
2,3157858,19980207
2,1973191,19931222
1,1133120,19941206
2,1378130,19920124
1,281482,19940112
1,2589869,19970702
1,2362864,19921001
3,2411856,19930908
1,2238630,19971215
1,3373692,19940513
1,1457526,19920913
2,2854128,19921013
2,2784860,19960402
2,608240,19960530
3,2792790,19961229
3,1994287,19961229
3,1896780,19961229
1,3894048,19980514
3,3683726,19980530
2,1571080,19950622
2,190895,19920426
2,1246836,19931203
3,3727648,19931203
2,1022472,19960610
2,3229936,19960610
3,650620,19920405
2,585600,19950811
2,1133034,19971003
3,769349,19920216
3,423726,19920216
3,1406568,19950511
1,2146240,19950511
3,828254,19940531
1,1041222,19940531
3,1731510,19940531
3,1812648,19960227
2,2072512,19940223
2,1344270,19940223
2,324906,19940317
3,1304721,19940317
2,1831126,19970207
2,3034394,19950502
1,1494015,19980123
3,1569936,19971025
1,177778,19950714
3,342750,19950714
3,1516848,19950714
1,3331260,19950714
1,973203,19970405
1,577360,19950623
1,2615998,19950623
1,515540,19921113
1,941990,19921113
3,1340451,19921113
3,3902470,19921113
3,3074909,19930109
3,2228700,19970928
1,2383857,19950609
2,802384,19950609
1,550152,19950508
3,3901272,19960326
2,2765865,19941126
1,1131600,19930728
3,713715,19931014
1,2776660,19920830
1,816305,19920830
1,2604048,19971013
2,2118428,19961225
1,1139992,19940327
3,3452160,19950407
1,2713626,19940414
3,3081726,19940414
1,915264,19940414
1,133622,19940414
3,3558402,19950802
2,1089944,19970628
3,564524,19950311
1,1298024,19960517
2,617848,19921021
2,2834208,19950115
1,2812803,19980326
3,330009,19961121
1,2466922,19950514
3,450472,19920206
3,375702,19920508
1,1914891,19921228
3,2417408,19951024
1,725940,19940904
3,180885,19940904
3,2296872,19951021
1,1676251,19951021
1,3173940,19951220
2,866096,19970405
2,3350992,19930120
3,1639632,19940111
3,2318796,19980217
3,474753,19950205
2,2701792,19950624
2,1589094,19980102
1,938709,19920929
3,1866870,19941102
3,2511580,19980319
2,1092825,19950906
2,2528694,19980704
3,415593,19930224
2,2154537,19930224
1,865410,19930224
2,1128785,19960410
1,223242,19941125
1,2756580,19941125
2,163654,19970103
1,734690,19940407
2,2115867,19940407
1,210004,19920823
2,853885,19930415
3,1540196,19980418
1,1327997,19980418
2,860076,19980418
1,267654,19921010
1,1516239,19980227
2,1296020,19920712
2,4446024,19920113
3,433604,19940105
2,2325300,19920928
1,2650720,19940924
3,2411416,19960601
2,177278,19960601
2,914445,19950928
3,1789800,19980604
3,4024471,19970905
3,1129120,19950602
2,1505530,19950602
2,1459776,19950715
2,1076296,19950715
2,1240260,19960325
2,3763430,19960903
1,4266109,19961104
3,3531381,19940708
3,153048,19960401
2,1554066,19960808
3,2794185,19930713
1,4060176,19960123
2,109400,19930620
1,1175741,19930128
3,1081692,19940320
3,2233088,19980329
1,1057301,19980329
3,1231200,19960213
2,2025086,19940423
2,2658103,19961112
2,476864,19950427
1,409594,19960429
3,2228380,19980414
2,224828,19970530
3,3266658,19970530
3,419493,19931106
1,2326296,19951204
3,2600475,19930108
3,3583210,19940415
3,1858360,19960525
3,175671,19960720
1,1157856,19960720
2,231826,19920626
2,1478347,19980526
1,3337300,19970927
3,974700,19970927
1,1009056,19950112
1,2906316,19930105
2,3362563,19930324
3,3596296,19940804
2,2665125,19940804
2,968331,19980524
1,3564011,19940927
