"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST0",1995,141257,6046812
"UNITED ST0",1996,198928,6524654
"UNITED ST9",1995,156766,4268951
"UNITED ST9",1993,106264,917794
"UNITED ST0",1994,248290,2686502
"UNITED ST9",1997,63608,2228466
"UNITED ST0",1996,211789,4246341
"UNITED ST0",1995,158272,2047714
"UNITED ST0",1992,64456,3391459
"UNITED ST9",1997,127238,647601
"UNITED ST0",1993,100867,9273006
"UNITED ST0",1994,180472,1633824
"UNITED ST9",1996,274637,681599
"UNITED ST0",1994,102983,2617032
"UNITED ST0",1993,240154,1299222
"UNITED ST0",1996,122890,3420750
"UNITED ST9",1994,27458,3438171
"UNITED ST0",1994,61087,601728
"UNITED ST0",1994,111583,3330130
"UNITED ST9",1996,217387,7672151
"UNITED ST0",1993,278134,3189356
"UNITED ST0",1997,212228,8174176
"UNITED ST9",1996,16046,325396
"UNITED ST9",1992,113449,6713323
"UNITED ST9",1993,30910,6712360
"UNITED ST0",1992,42670,1984660
"UNITED ST9",1992,217457,4131911
"UNITED ST0",1992,143248,2957985
"UNITED ST9",1995,275752,4234254
"UNITED ST9",1996,71761,3334763
"UNITED ST9",1995,163670,4986252
"UNITED ST9",1997,143402,1930067
"UNITED ST9",1993,189376,9181183
"UNITED ST9",1995,241529,742193
"UNITED ST0",1995,299434,2285991
"UNITED ST0",1995,116368,2491926
"UNITED ST0",1997,259549,6203324
"UNITED ST9",1996,198010,1419392
"UNITED ST9",1994,8176,4612498
"UNITED ST9",1993,113530,1261932
"UNITED ST0",1997,8606,765126
"UNITED ST0",1992,23197,6917510
"UNITED ST9",1995,211442,4351248
"UNITED ST9",1995,95782,3658670
"UNITED ST9",1994,19528,7975876
"UNITED ST9",1994,70693,2909740
"UNITED ST9",1996,232978,2249457
"UNITED ST0",1997,50260,4813974
"UNITED ST0",1992,129643,5601884
"UNITED ST9",1995,207334,6305683
"UNITED ST9",1997,268397,5879502
"UNITED ST9",1996,104474,7443543
"UNITED ST0",1997,27356,3946406
"UNITED ST9",1996,108622,5287100
"UNITED ST9",1994,263915,2330301
"UNITED ST0",1994,232558,3702955
"UNITED ST9",1996,297922,3159355
"UNITED ST9",1997,147677,2313468
"UNITED ST9",1993,115714,347488
"UNITED ST0",1993,82525,7179892
"UNITED ST0",1995,140959,1205787
"UNITED ST0",1995,20008,5591080
"UNITED ST9",1996,139132,7445570
"UNITED ST0",1997,67375,2562366
"UNITED ST0",1996,194527,2871918
"UNITED ST9",1996,26411,2545038
"UNITED ST9",1995,289253,480399
