"d_year","lo_partkey","lo_revenue"
1995,486419,775775
1996,109337,522376
1996,585094,5836396
1992,464370,1365040
1994,464295,2432909
1998,357157,5026539
1996,431162,4559486
1993,399393,2945958
1993,502635,2333594
1993,223948,741284
1992,487905,7295159
1996,188151,3345705
1992,207390,5903079
1997,405584,6646416
1996,450229,233481
1992,27517,403018
1992,420850,1792079
1992,422037,469914
1994,516292,5202989
1997,500250,2232910
1993,328031,571870
1998,42631,6064770
1995,421189,219811
1995,113866,4906434
1997,576935,6438112
1992,155083,4807249
1995,76974,2153870
1995,87564,7447488
1995,486728,936226
1995,67430,3687817
1996,487781,3677252
1996,325823,896672
1996,121198,2365228
1993,188421,1720738
1995,449253,3096944
1992,40142,876533
1992,558407,5096591
1992,403618,7008443
1997,559934,1367822
1998,250270,5564385
1998,23621,6742266
1997,298310,1177470
1997,57334,1291330
1997,10313,2517571
1997,514571,5723835
1992,593112,3389918
1993,421213,2985188
1993,523576,5016188
1993,137129,1952084
1993,449858,1202206
1997,362594,993948
1993,273119,4219874
1994,334650,5053920
1998,573091,3427022
1998,128010,2466311
1996,383795,5533007
1994,41,787650
1992,380930,6515380
1992,441578,3063412
1992,185865,4767901
1998,18585,4652076
1998,564484,4877649
1997,460271,115737
1998,90842,344573
1998,367414,5226379
1998,151571,7712075
1996,540394,4402081
1996,314936,7191091
1993,491975,6608952
1993,539087,204942
1993,187981,2358637
1997,22491,559742
1994,573672,2759872
1994,303832,8283219
1992,55182,2340316
1992,435413,528568
1992,361198,3707025
1992,135447,1601035
1996,464229,2497367
1996,128905,8528499
1996,500142,4099068
1992,171528,4059581
1992,459160,4450819
1993,486504,6237658
1995,190421,3476266
1994,91222,4447664
1994,391688,8371567
1994,494047,5205100
1995,558885,942772
1996,529303,6195102
1996,389074,3492669
1997,515379,6902032
1997,77856,2992843
1997,523078,2943106
1997,479304,4850798
1994,220405,927773
1993,287090,5223838
1993,254026,2401024
1997,537478,4200827
1994,147149,2109990
1994,516882,4716768
1998,42701,2873187
1997,49343,3225680
1994,332847,2255796
1997,29905,5504700
1995,318072,3273450
1996,35604,6207667
1994,203581,5077229
1996,247786,7975342
1998,444624,6137931
1998,535981,2682556
1997,119190,2669891
1993,399663,3148092
1997,338966,3999875
1997,540248,937824
1997,216324,2945736
1997,88609,4744872
1994,595714,5968357
1993,494252,4288277
1997,93829,7378775
1998,590508,6186117
1993,219020,2159723
1993,259473,4538033
1995,478934,6197828
1995,266817,1844449
1995,198069,2084369
1994,20334,3461950
1994,51652,3614627
1994,490755,4383528
1994,505635,3149971
1992,4383,1483061
1995,76955,8693775
1993,396102,3528375
1997,381677,170590
1998,382180,1291199
1998,389378,1241386
1998,69379,6213288
1993,223237,4298615
1993,139959,3957921
1995,119750,4773015
1997,356579,4082357
1993,92045,4977792
1993,433713,7499026
1993,5889,3751299
1992,93489,689353
1992,364410,1400680
1992,435818,2525457
1995,413384,5550106
1995,336729,953483
1995,434722,6779216
1995,533423,4605136
1998,475447,2927340
1993,550395,2822807
1997,378941,8087799
1992,217542,6713838
1996,433082,3118264
1992,82877,5594488
1995,25804,7957080
1993,220963,1492088
1997,333474,3744530
1998,34189,2421576
1998,90830,4146029
1992,442704,2726902
1997,92301,3440178
1998,55178,2109962
1998,360343,263826
1998,134049,415887
1992,169885,8992448
1992,394329,2134965
1998,171734,5236617
1998,489735,1296981
1994,312922,2414767
1995,142398,5433151
1995,99972,2871188
1997,430607,6562391
1992,378939,5044800
1992,425348,3183300
1996,539578,2151341
1996,277827,541443
1996,4648,7151459
1996,114790,5768108
1998,51217,554899
1992,563414,1625129
1996,448144,109212
1996,369392,6108568
1995,176251,132725
1994,289420,2410091
1994,590693,1223597
1994,368785,8542172
1994,416969,4034025
1994,511934,3401450
1993,421278,1226832
1992,16489,6141947
1992,525135,3100974
1993,269805,7809076
1997,75660,7772656
1997,207384,3196140
1997,281087,4082163
1995,348173,2157789
1995,552794,3333419
1994,553302,5984916
1994,75960,2520619
