"c_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"PERU",1993,106313,5224467,79158
"BRAZIL",1993,30323,5128585,75199
"BRAZIL",1993,37902,5519700,110394
"ARGENTINA",1995,72186,2808586,69490
"PERU",1995,142165,3625101,72429
"PERU",1995,169071,1769388,68404
"ARGENTINA",1997,99633,6492969,97957
"PERU",1993,179257,6217571,80175
"PERU",1993,192416,7021648,90504
"PERU",1993,119468,4518903,89247
"CANADA",1996,83136,2522519,67147
"CANADA",1996,61396,2450088,81443
"BRAZIL",1992,39259,690192,71895
"ARGENTINA",1995,43601,4893292,92676
"ARGENTINA",1994,6910,6410058,109014
"CANADA",1992,60963,3847920,115437
"CANADA",1992,5015,1242013,55200
"BRAZIL",1997,49094,3097977,62585
"BRAZIL",1997,107273,2335212,76816
"BRAZIL",1997,197252,1666323,80955
"BRAZIL",1996,159729,3826072,107323
"BRAZIL",1996,162096,3554178,69485
"BRAZIL",1996,124432,4903799,87385
"CANADA",1998,131729,4646540,105643
"CANADA",1998,153740,6855674,107624
"UNITED STATES",1992,44528,6219924,88351
"CANADA",1992,179782,2006998,111706
"CANADA",1992,187807,2940729,113688
"UNITED STATES",1998,123087,399628,66604
"CANADA",1997,49117,2110897,63966
"CANADA",1996,6319,5883938,73518
"UNITED STATES",1992,98090,3168518,65285
"UNITED STATES",1992,192886,8311296,118732
"UNITED STATES",1992,34325,5387370,75559
"UNITED STATES",1992,95960,3872800,117357
"CANADA",1995,47648,1970615,95738
"BRAZIL",1998,55804,4909842,105588
"UNITED STATES",1994,104545,5299426,92972
"ARGENTINA",1998,6254,2116296,69615
"ARGENTINA",1998,96694,3408431,101441
"ARGENTINA",1998,133902,8188857,116154
"ARGENTINA",1995,197714,724684,108702
"BRAZIL",1992,76574,5706097,93034
"BRAZIL",1992,78177,3056579,69310
"CANADA",1993,141063,3864210,66243
"PERU",1992,51,1966771,57063
"UNITED STATES",1997,147366,4197679,84801
"UNITED STATES",1997,127498,2128058,91529
"BRAZIL",1993,29695,3288372,97481
"PERU",1997,134185,609590,73150
"PERU",1997,91745,333454,104204
"PERU",1997,54721,7373168,100543
"PERU",1997,79775,6775166,105286
"CANADA",1993,20480,1711386,84028
"BRAZIL",1998,74893,3995416,112073
"UNITED STATES",1995,172017,3380287,65340
"UNITED STATES",1995,30291,2992160,73277
"UNITED STATES",1992,62515,4580281,88650
"PERU",1995,145732,3999892,106663
"PERU",1998,2092,3479315,59645
