"s_city","d_year","lo_custkey","lo_revenue"
"UNITED ST0",1992,7034,1594620
"UNITED ST0",1992,18148,5567611
"UNITED ST0",1992,28564,1240057
"UNITED ST0",1992,16603,6338828
"UNITED ST0",1992,22693,6112606
"UNITED ST9",1992,1468,6618830
"UNITED ST9",1992,1468,1926237
"UNITED ST9",1992,19687,405146
"UNITED ST0",1992,4108,808109
"UNITED ST0",1992,20149,5060616
"UNITED ST0",1992,12020,5528360
"UNITED ST0",1992,20455,5653473
"UNITED ST9",1992,18872,2137389
"UNITED ST9",1992,29776,4484188
"UNITED ST9",1992,7466,1989773
"UNITED ST0",1992,29404,1087142
"UNITED ST0",1992,18955,5558640
"UNITED ST0",1992,25774,6306410
"UNITED ST0",1992,19045,7720928
"UNITED ST9",1992,3770,4549730
"UNITED ST9",1992,7777,96710
"UNITED ST9",1992,7073,706302
"UNITED ST9",1992,7073,438994
"UNITED ST9",1992,28082,3510793
"UNITED ST0",1992,20875,3628139
"UNITED ST0",1992,17587,1529906
"UNITED ST0",1992,17132,299080
"UNITED ST9",1992,11200,406200
"UNITED ST9",1992,2684,4641831
"UNITED ST0",1992,19969,1888368
"UNITED ST0",1992,14881,5866979
"UNITED ST9",1992,17980,5764780
"UNITED ST9",1992,13814,7239719
"UNITED ST0",1992,10636,4621670
"UNITED ST0",1992,28640,3365544
"UNITED ST9",1992,3112,5407965
"UNITED ST0",1992,19474,3818707
"UNITED ST0",1992,23683,2557420
"UNITED ST9",1992,4739,837973
"UNITED ST0",1992,11113,1113297
"UNITED ST0",1992,9718,2976088
"UNITED ST0",1992,6445,1961335
"UNITED ST0",1992,17314,3489876
"UNITED ST0",1992,21485,3074967
"UNITED ST0",1992,4613,2738442
"UNITED ST9",1992,19265,6315693
"UNITED ST0",1992,17002,3016747
"UNITED ST9",1992,9970,1740058
"UNITED ST0",1992,23575,3305867
"UNITED ST9",1992,10598,1315244
"UNITED ST9",1992,26836,1268406
"UNITED ST9",1992,28513,801463
"UNITED ST0",1992,28513,6316062
"UNITED ST0",1992,28939,6550712
"UNITED ST0",1992,2368,2636013
"UNITED ST9",1992,799,5655550
"UNITED ST9",1992,29276,4475998
"UNITED ST0",1992,28705,4839296
"UNITED ST9",1992,21430,7316697
"UNITED ST0",1992,22642,3033889
"UNITED ST9",1992,2737,2941812
"UNITED ST0",1992,23599,4841090
"UNITED ST9",1992,12241,4159849
"UNITED ST9",1992,17144,7128734
"UNITED ST9",1992,18229,3465925
"UNITED ST9",1992,4810,2965196
"UNITED ST0",1992,21058,5047392
"UNITED ST0",1992,22685,1915675
"UNITED ST9",1992,18749,494346
"UNITED ST0",1992,8416,3617718
"UNITED ST9",1992,28867,2373179
"UNITED ST0",1992,17356,188934
"UNITED ST0",1992,9803,4312710
"UNITED ST9",1992,814,3796874
"UNITED ST9",1992,20800,5365466
"UNITED ST9",1992,9161,1954495
"UNITED ST0",1992,25270,1603023
"UNITED ST9",1992,9500,4977327
"UNITED ST0",1992,19528,4334677
"UNITED ST0",1992,7897,3404052
"UNITED ST0",1992,18674,8287990
"UNITED ST9",1992,24910,1860011
