"d_year","lo_partkey","lo_revenue"
1993,277723,3676935
1996,748381,3589097
1996,428899,7881775
1996,50654,3931392
1996,127943,5518632
1997,14001,3993975
1995,462133,315391
1993,372917,561151
1993,353119,5122077
1993,51472,4868267
1992,275161,1137286
1996,371527,3676573
1995,793642,2256293
1998,180956,4391664
1998,525317,6711450
1996,171965,5334798
1996,600380,4140651
1996,703939,5712126
1994,788529,5984713
1994,90671,5423690
1998,99325,964104
1998,584260,6586776
1997,140163,339291
1996,251021,3047251
1997,451322,127330
1992,734934,9450720
1992,534514,576038
1995,430196,4816629
1992,331633,8239869
1992,637702,6168438
1992,666188,2885375
1996,687163,103511
1998,567004,779673
1998,238475,6244666
1998,44709,5293493
1993,275433,3485839
1993,392594,1635982
1994,394097,3430310
1994,385139,1448133
1994,228015,3604146
1993,331974,6023897
1993,285082,931552
1993,165240,3618125
1994,648370,4482356
1993,137369,5247129
1993,745911,1068456
1993,180781,7188332
1997,34406,3415339
1995,152685,4736915
1995,497803,5704871
1995,189260,4788523
1993,341826,7284459
1993,526856,6574842
1998,425560,5419249
1996,608733,3171764
1996,670399,246484
1998,132588,7859813
1998,261418,6759060
1998,279832,4076595
1996,554609,1876518
1996,510699,1589993
1996,272508,2176320
1996,34117,1564051
1996,63221,4618458
1996,797698,3620050
1994,450147,4670439
1993,230230,1023314
1992,466203,968081
1995,119922,3534294
1992,794416,5679028
1992,544953,1690248
1992,474055,2595213
1992,149923,359071
1992,469619,1525046
1994,493122,2754297
1993,760749,5016516
1993,300678,2934297
1994,408397,4443479
1994,349176,4846732
1998,78316,4659516
1995,75728,834822
1997,333079,1943880
1994,400728,6514800
1992,344054,3096472
1997,125397,4999700
1996,412278,5090699
1996,367189,5401531
1997,281241,2811129
1994,256005,1902760
1996,696586,4804621
1996,382153,2809943
1996,327474,5445795
1995,108829,2389166
1995,285965,2107026
1995,712413,2565684
1995,716293,2052919
1995,330637,3793835
1995,685690,2805054
1993,401537,1852800
1993,606293,971400
