"d_yearmonthnum","lo_partkey","lo_revenue"
199311,743238,4473950
199308,733253,127335
199308,603812,7983524
199301,716965,4855728
199307,411540,2560481
199308,622533,427917
199308,197853,3406184
199301,756102,4717977
199305,796338,4730321
199305,107891,5210554
199311,450415,794656
199304,569104,2958507
199304,453186,2567666
199303,186205,1917432
199301,645318,1347919
199303,92502,4882531
199310,290863,8631525
199309,775717,5564478
199309,755619,6334936
199310,181721,1589999
199301,175464,2389241
199310,604258,2029236
199308,566933,4751786
199303,375072,111264
199305,113961,3639851
199306,222716,5722340
199306,448560,4779054
199306,421307,5715186
199311,263050,1103200
199312,360693,4687586
199302,88845,5158591
199311,656344,5535419
199303,213426,6106370
199305,218987,4437098
199306,56419,5203176
199308,42990,5437500
199305,552910,1748934
199312,67138,4931090
199306,227078,4874541
199308,348135,4131455
199308,474503,2340328
199306,198919,2397277
199301,334696,1007255
199311,349230,4094783
199307,774453,1663360
199307,713074,1399020
199302,369670,3616753
199308,129807,1818432
199310,525115,2370247
199310,696265,1248617
199305,715609,1432870
199310,112402,1371968
199305,628683,3474717
199309,639097,4410507
199312,529082,1524374
199304,167435,3092000
199303,249840,8068553
199303,648903,5133383
199301,431925,4683101
199303,19831,8407485
199307,662808,1374117
199303,248512,2146935
199307,578892,5352882
199311,361518,3250611
199304,106570,7647941
199304,719991,7412398
199309,160645,6247759
199312,566016,535585
199301,414118,613061
199306,363512,155974
199302,62345,647133
199309,296040,2538273
199308,180613,8383369
199302,723196,2483428
199309,396983,1008785
199309,436156,3351746
199303,198472,5540618
199303,506589,473881
199308,468480,5479524
199305,472464,5573387
199303,83337,3364200
199308,186363,2152299
199304,473129,3709668
199304,671415,1647019
199303,380847,2267128
199301,317717,4465117
199301,656466,140820
199311,612243,571828
199312,122875,1656840
199303,252244,351691
199306,3884,2774789
199303,567282,4140878
199307,275658,1940764
199303,777041,3763221
199311,115055,3919593
199301,69906,1637660
199306,183946,6166957
199304,642717,8215416
199307,656030,2995468
199307,368838,1664653
199306,566925,966071
199310,757620,3288076
199309,199901,2941323
199302,671012,2043615
199311,268691,4668679
199304,580564,2392805
199308,126823,2930114
199310,692245,3960309
199310,225390,5285196
199306,96670,6105012
199301,17727,7414397
199308,359515,7252147
199312,774607,3460671
199308,786327,3701406
199312,250119,1152489
199309,460997,3038769
199309,2909,7354502
199311,84947,9466506
199311,56808,1556553
199305,225508,2412563
199307,325149,5114510
199306,640979,752616
199308,779032,979902
199303,321430,3378905
199303,512414,6087832
199307,73005,2845980
199303,504742,7189499
199301,27375,4770581
199308,125277,4512365
199310,660796,5217577
199307,780109,1980990
199305,789267,5773471
199302,421675,4694151
199302,679654,4962937
199303,150321,3059414
199306,274768,1521420
199309,532341,2960877
199304,649303,121470
199309,742964,1180074
199304,306650,5463598
199308,389265,6703537
