"lo_orderdate","lo_partkey","lo_revenue","lo_suppkey"
19930305,633826,4355480,8253
19930305,712014,2288961,38841
19930912,452229,4812208,20889
19930930,436913,1087735,42501
19930930,785826,7868927,12823
19930930,694964,3839502,13826
19931118,743238,4473950,9541
19931118,389562,3684608,32271
19930920,723507,5492856,43204
19930920,689096,2578102,37582
19930507,18348,3008823,11457
19930624,490286,5812088,15713
19930522,503787,347407,33750
19930522,744171,2977093,40376
19930306,725614,5194189,27463
19930306,421168,646949,26523
19930306,157605,493792,23066
19931012,767609,8050889,2716
19930325,434354,2874264,16575
19930325,175407,5136516,49021
19930814,20481,686725,30372
19930814,211251,4602470,49534
19930814,91564,4620013,14753
19931126,291764,6257493,1179
19931126,464072,2132190,1196
19931126,443361,2556506,56207
19930829,508969,193838,12530
19930829,640729,4210958,40271
19930829,733253,127335,23952
19930209,499476,1144949,45114
19930916,500754,2893549,45079
19930413,467969,563649,8017
19931211,268438,5513166,49655
19931211,426265,3152021,55338
19930829,603812,7983524,41440
19930829,267472,5501616,55364
19930829,187363,4406193,21817
19930911,147319,2164235,9350
19930831,288524,5780813,5298
19930324,446526,2020270,3335
19930523,462881,4198469,41414
19930523,271650,3531931,51103
19930523,9135,1841845,43739
19930523,731464,1595623,54716
19930806,61955,5447971,3678
19930623,421863,173129,29589
19930623,370352,6484448,24019
19930124,716965,4855728,27690
19930902,678824,5945601,2853
19931219,333131,5247852,50503
19931013,650716,990007,32320
19930704,411540,2560481,4219
19930704,279741,340704,17681
19930704,10771,7504057,15375
19930525,322081,1310447,16987
19930829,230006,3335868,54476
19930829,224657,2608124,34861
19930919,117565,2016181,38133
19930506,456265,5385668,15956
19930821,415486,5573606,57978
19930805,622533,427917,54404
19930805,467441,4508352,18439
19930805,266235,4194660,1432
19930805,197853,3406184,51385
19930318,449077,3284386,53260
19931226,434150,1367087,22762
19930622,752652,6613925,13955
19930622,220741,3223756,55867
19931007,710678,3009156,44796
19930914,114687,7075585,57176
19930121,756102,4717977,14847
19930121,604126,2098293,50481
19930121,579844,8761076,50038
19930111,167726,5149770,27013
19930812,424993,1302301,24223
19930505,769755,5722321,20271
19930505,796338,4730321,33211
19930505,597806,3358267,46526
19930321,123929,2841498,25892
19931218,105238,3167750,54382
19931218,730082,3775409,10044
19930509,107891,5210554,36584
19931124,213620,4402994,44012
19931124,450415,794656,15128
19930714,131184,4451204,37268
19930714,707098,5141844,1918
19930429,647384,5008538,43346
19930429,569104,2958507,47314
19930429,789127,5898036,57006
19930429,453186,2567666,51761
19930906,2254,4349812,36841
19930615,252043,193035,23203
19930615,204864,1040083,30336
19930615,4291,4173952,40213
19930307,186205,1917432,18916
19930307,735905,2259172,26201
19931118,191037,3015224,39256
19930209,404601,6409254,43630
19930209,123824,1267604,19345
19930830,494807,4459405,31029
19930120,372334,3062964,25855
19931122,225682,3274823,21157
19930706,549381,3784732,23889
19930706,794728,8931181,28471
19931215,62478,978079,27293
19930922,372441,6822542,53394
19930922,128430,2572670,18095
19930101,322627,3266227,6998
19930101,645318,1347919,11835
19930316,185150,4599698,19417
19930316,92502,4882531,21170
19930701,427071,2323460,12248
19930701,172025,4945366,49787
19930502,459753,6612850,1535
19930310,580857,2110296,57675
19930124,700844,5785324,3333
19931031,731201,6037633,29388
19931031,290863,8631525,11608
19931031,527961,5016106,21449
19930917,126927,5361556,12660
19930307,712795,8769443,21045
19930530,246667,782620,12975
19930919,775717,5564478,6562
19930919,483445,1555549,46119
19930927,755619,6334936,35926
19930927,484618,4508085,21770
19931005,419391,5136650,51729
19931005,72870,5362751,57966
19931019,181721,1589999,27845
19930430,324649,3936377,48039
19930430,572945,9887808,31482
19930815,156500,6780114,54627
19930815,611629,3170534,23534
19930815,682042,2979869,10292
19930214,39571,6217506,50769
19931105,397094,3301673,1722
19931105,347707,8597981,19892
19931221,639898,2674086,15136
19931028,175031,2059427,56452
19930823,246688,4281200,55722
19930823,71999,9176929,56045
19930221,665824,1052396,53747
19930105,218214,219646,13534
19930105,326256,4353204,39192
19930105,175464,2389241,17879
19930827,621875,3873987,35925
19931224,238160,5219506,45968
19931003,604258,2029236,53475
19930809,698459,3607114,15112
19930805,566933,4751786,14927
19930805,430954,5302308,1601
19930308,832,6555295,52227
19930308,375072,111264,23290
19930502,769435,5545218,41269
19930502,680866,6807415,4110
19930502,113961,3639851,8189
19930426,149535,7686555,32866
19930426,184145,1338533,36886
19930426,510589,5643247,17119
19930917,236210,3517687,5143
19931208,736018,4854631,31594
19931208,184379,5650071,59372
19930821,689466,3247064,18500
19930602,552117,2083318,32886
19930602,227133,1246701,45407
19930602,222716,5722340,28244
19930722,764868,7197858,3686
19930722,471412,547822,31492
19931013,248246,4054410,47338
19930405,344471,297030,2928
19930405,723658,6524685,55856
19930509,652662,5854648,43413
19931219,430902,8083000,48304
19931219,392519,6475007,15360
19930606,787324,4702418,9750
19930606,448560,4779054,52595
19930720,56683,4382864,45546
19930524,763152,4932172,50088
19930810,305023,4586980,47258
19930810,110376,403433,40841
19930810,264360,2336153,20995
19930819,34473,5155562,57423
19930613,421307,5715186,57134
19931217,463541,3794399,35690
19931217,115847,922105,47256
19931105,263050,1103200,36063
19931007,456660,6586191,24101
19931007,684240,5158820,50180
19930210,38679,3012101,41915
19931225,661137,4519779,1613
19930407,714969,1178454,14541
19930407,475215,1731726,58879
19931203,360693,4687586,14847
19930727,728270,127227,35175
19930727,300012,5009400,48044
19931129,401588,1327197,46463
19930630,264385,5366444,7247
19930924,241985,9538501,38402
19930924,627339,2606045,47848
19930216,88845,5158591,34612
19930331,658647,1589553,58790
19931129,656344,5535419,57238
19931129,759324,3286697,9933
19931129,346022,4440785,14114
19931026,216299,4597404,13972
19930930,46562,6584864,58436
19930930,702866,6105467,2157
19930522,499608,1403417,35657
19930522,108893,9414355,4352
19930302,667676,7812220,31958
19930320,213426,6106370,18506
19930525,218987,4437098,8824
19930610,56419,5203176,31533
19930806,42990,5437500,47026
19931113,569311,1217415,45768
19931113,408136,607672,13687
19931113,533020,3199014,15791
19931113,56616,462347,3902
19930711,619094,595679,23966
19930512,552910,1748934,20355
19930512,751890,6920789,33624
19931208,67138,4931090,44984
19930621,227078,4874541,31526
19930511,334589,7637273,26297
19930124,778536,6577473,25747
19930124,95856,8249991,46999
19930124,320727,7628754,59714
19930724,494242,3717313,3126
19931013,270979,386092,30455
19931013,28725,2430968,29731
19931013,367002,3704050,54733
19931218,652254,238831,7053
19930807,267481,573594,54062
19930807,348135,4131455,37510
19930825,795814,9077184,49459
19930809,516004,2374513,19769
19930809,474503,2340328,22932
19930809,775834,187160,33909
19930623,608691,5226089,28213
19930623,198919,2397277,1480
19930125,208362,377293,50401
19930125,334696,1007255,2040
19930724,517331,4577512,7175
19930405,146215,5809133,16700
19931114,349230,4094783,31290
19931122,698244,1807415,37776
19931122,185171,1949575,39995
19930701,774453,1663360,12601
19930416,296068,3406024,12792
19930317,531578,473207,5686
19930411,268163,4367370,30707
19931002,171046,5309291,49121
19930509,630312,3895790,37139
19930509,38635,6563610,4513
19930509,581612,1314225,11543
19930714,694373,2652639,16673
19930714,713074,1399020,11873
19930218,147271,3915261,11811
19930620,302449,1436915,15245
