"lo_discount","lo_extendedprice","lo_orderdate"
5,4980672,19960525
4,4220720,19960525
4,4979334,19971028
4,5275270,19970531
5,5849097,19980716
5,6232835,19950213
6,3078297,19980210
5,5349184,19950422
4,3016362,19960705
4,4720662,19960705
6,4843456,19960427
4,3503341,19941223
4,3364946,19950131
6,5171180,19931207
5,4691155,19961102
6,3500276,19980106
6,3583554,19941222
4,4769659,19940802
5,5065770,19931008
4,3352734,19920808
5,5594942,19920808
6,3280172,19930218
6,5509647,19941227
6,3309277,19930318
5,6248452,19960214
4,6609603,19950102
6,5259801,19920406
4,6415150,19940824
6,3149458,19931229
5,4614376,19931229
5,3320703,19951231
5,2909478,19951230
4,6054652,19951230
5,4256960,19920504
6,5195916,19960705
4,5696550,19960705
4,5342540,19940416
4,6867201,19961001
5,3481156,19961001
6,4327209,19941224
4,3922022,19980612
4,3950516,19971219
6,3658502,19971219
4,4960592,19921118
4,4434550,19921118
6,4789930,19980128
5,5493425,19960602
5,4383192,19960729
6,5191632,19920817
5,4046210,19950407
5,5185153,19930708
5,5183649,19971011
4,3506738,19960923
5,3709472,19930808
6,4127526,19960221
6,5599392,19920615
4,5505920,19931021
5,4131120,19980615
4,4615584,19920413
5,4831830,19961120
5,3661929,19961120
6,5259956,19920228
5,3472279,19980522
4,4465364,19950903
5,5728211,19941130
6,4486119,19941130
6,3776203,19941014
5,4546750,19941013
4,4670435,19980112
4,5390926,19980302
4,4496334,19950821
5,3534270,19921217
4,3422384,19920705
4,4015706,19980216
6,5271849,19970204
4,2784652,19960805
5,6397055,19960805
4,4986319,19960805
4,6197350,19930510
6,6057975,19940928
4,3686592,19971224
6,5324839,19940916
5,4672530,19980717
4,6473328,19930628
4,3286656,19950112
4,4291596,19960318
5,3547222,19960318
6,5023830,19930316
5,5120588,19950407
6,5265381,19970204
5,4943446,19960812
4,2935946,19920404
4,2795970,19920404
6,4363392,19950102
5,4679744,19950102
5,3335164,19950102
6,5440036,19950510
4,3724000,19950510
5,4226432,19970329
4,3346530,19970329
6,3962528,19960830
4,6614370,19951013
6,5615882,19951214
4,4941618,19951214
4,5021148,19920508
4,5612635,19920508
5,3846518,19960105
5,4291758,19970916
5,4277455,19920629
6,4986350,19930604
4,4117120,19931223
5,4705904,19931216
4,4724448,19920719
4,4882890,19971108
4,2887052,19960430
6,6489504,19951123
6,3773000,19950807
4,3210360,19951128
6,5231963,19970829
5,5746272,19931128
4,5008230,19920704
