"d_year","lo_partkey","lo_revenue"
1995,91110,828034
1995,19532,1126387
1995,238539,5221555
1992,250951,3360727
1994,362765,5841489
1998,68483,2299144
1998,327069,3889881
1996,324041,3664768
1993,29130,4299008
1993,581768,3144558
1993,167633,6292331
1993,395402,287498
1998,77918,4273381
1998,81499,2072686
1998,550538,895919
1992,85272,2833886
1992,317279,5247260
1993,125911,8820688
1994,407641,929172
1998,375668,7611032
1998,88219,4154009
1998,82797,1957769
1992,65085,3391758
1995,439750,168973
1996,530166,3782194
1992,32344,371414
1994,522397,2725190
1997,175247,1851136
1997,578310,6130688
1992,358520,718222
1993,331211,2360180
1997,505333,1383812
1993,294459,5001287
1993,168267,2670520
1994,574439,995823
1993,206694,5070954
1992,340725,2295423
1992,156402,1801124
1993,349855,3680150
1993,371805,6125842
1992,286702,6525098
1998,346854,4425155
1997,248056,2832396
1998,525184,5864426
1993,374324,3473402
1995,47177,4186409
1997,576558,5866328
1994,384518,145827
1994,588423,3754317
1994,496574,1710328
1996,285766,7816308
1996,459897,7798854
1992,190538,5048443
1998,242562,5660117
1996,521775,5390250
1993,351136,5133106
1992,284642,2927934
1996,153257,2334865
1996,578703,8373896
1993,411541,1189613
1993,564152,2845744
1995,407665,622765
1995,209524,4916939
1994,158550,2388696
1994,258478,6823185
1994,262786,3217736
1995,177035,1901571
1996,583086,673378
1996,87624,7574614
1996,390506,4794259
1996,261535,7033644
1994,409771,3932955
1993,352922,5924730
1995,497046,3765302
1992,129190,1794647
1997,306009,4923716
1994,268175,877946
1998,598468,2396653
1997,168982,1476705
1994,565489,6794544
1994,162486,1601128
1997,396862,8562133
1997,296552,6336625
1994,561081,1440137
1994,486652,6262843
1992,64605,6713179
1992,401436,6419568
1992,511070,1422661
1996,303412,3680040
1996,394664,2532456
1994,586133,224316
1994,326612,4276746
1994,19631,3647081
1994,537998,1514761
1993,234887,3481593
1994,60006,2677752
1998,192590,2660174
1998,379129,3258272
1996,307947,8322137
1996,437892,4710085
1993,80859,677064
1992,513119,760764
1998,545775,4369800
1997,47603,6447394
1992,48136,4585869
1992,221669,2290536
1997,157807,693705
1997,172640,4651530
1997,225297,344682
1998,109347,637479
1993,260926,1811433
1993,64525,990530
1993,158177,3285552
1992,472337,388865
1992,564216,5588029
1995,24052,1669045
1995,439226,3180996
1995,381015,3156480
1992,265387,2120516
1992,311901,2461889
1995,322242,1860946
1995,319917,2002754
1994,564189,5830953
1996,196901,5340386
1996,261718,5044139
1996,87108,2573485
1997,137487,887247
1994,68858,5370939
1994,548326,1697260
1994,448852,2982174
1992,260791,1128146
1992,454210,1548372
1995,179214,3328722
1995,366934,8824057
1993,275236,2422440
1998,576105,1273204
1995,412300,2978571
1997,129127,1304103
1992,157388,4006593
1998,354525,290629
1996,337579,7678660
1996,532396,4242258
1996,167212,4190691
1992,16535,2393572
1992,522590,928840
1995,292521,4979447
1993,592611,5734283
1997,447780,3410598
1997,49208,680433
1997,231342,1991488
1996,360090,2750991
1992,133093,2787072
1995,455978,2653379
1995,416364,5230188
1997,146138,5342794
1997,337613,2673972
1998,403097,2700189
1998,241933,8547760
1997,75134,3979558
1997,364941,2118262
1994,561191,2854947
1994,573499,1849224
1992,470720,5974933
1992,388308,3557746
1996,464385,4892779
1993,456560,873527
1994,454880,7750448
1995,220768,3343725
1996,542650,2180107
1996,578177,3852055
1996,417470,5404117
1998,389594,306411
1992,70,4325542
1996,597961,5672379
1996,48617,601194
1996,334326,3963943
1996,158475,4706219
1995,143575,6458094
1994,395750,3401698
1994,260064,1433670
1993,317023,2444023
1993,182726,4250492
1997,96856,6900013
1995,535754,4250608
1995,565137,5250816
1995,147436,6687302
1996,321707,3422806
1996,580830,8988450
1997,99681,5566412
1993,23541,5667769
1993,174169,4724008
1994,457412,5888377
1998,55839,1012284
1994,565010,3676465
1996,540649,4242635
1996,190012,3563900
1995,466829,6222447
1998,152777,7825926
1998,64793,5456180
1998,201900,3812799
1998,330139,4945377
1997,563262,2740596
1992,191172,5578158
1992,16071,1074919
1996,50673,4676169
1997,297632,7271364
1992,308903,5393441
1994,208283,5603734
1995,261282,2267724
1997,484661,7023591
1997,386061,5285606
