"lo_custkey","lo_orderdate","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
841564,19920718,356777,726168,14161,110025
841564,19920718,337294,5058864,28955,79876
841564,19920718,405661,2506624,51307,93998
276520,19921222,420763,1000141,54491,101024
474940,19920616,582461,6482448,9839,92606
609262,19920715,103611,3164635,14433,96876
609262,19920715,576277,5142350,41425,81195
199694,19920314,217173,2991399,41716,65409
148636,19920201,100557,5705305,8542,93453
894041,19920705,730472,7211712,44,90146
241498,19921224,43179,1777517,13784,67330
241498,19921224,688559,5821770,6604,92851
285383,19920326,386510,7822850,52533,95790
324652,19921014,414950,6396709,15200,111895
612362,19920309,8153,2334530,51312,63669
612362,19920309,723990,9969102,40740,120837
518608,19921229,691788,355950,26138,106785
301192,19920501,199034,4885625,45370,67981
644689,19920103,184467,5430110,8803,93087
441145,19920921,724891,1689788,58925,114951
560315,19920803,480162,228428,42709,68528
785207,19920803,700942,4662984,30948,116574
785207,19920803,785838,4524777,4773,115428
575572,19920124,698789,3539745,4761,107265
575572,19920124,537424,716086,19353,87684
167194,19921217,437686,4179300,42993,97419
96275,19920226,142373,6227628,46447,84922
96275,19920226,330608,7386763,45776,98315
96275,19920226,184592,5700406,50024,100595
96275,19920226,37101,2260981,16925,62286
778691,19920924,431620,153608,26653,93096
778691,19920924,630662,1114841,50361,95557
778691,19920924,329800,3476601,49061,109787
254023,19920318,711096,2656944,350,66423
254023,19920318,296541,5876439,44259,92251
254023,19920318,480536,2675123,2403,90990
112594,19920628,770173,2436554,54144,74588
116059,19920628,633666,1583633,41103,95977
245677,19920112,448694,4065608,24943,98560
511739,19920806,387087,1394795,11751,70444
511739,19920806,133155,4890425,28729,71289
647278,19921206,712947,2716435,26134,117594
205330,19920504,135380,2972298,27572,84922
381074,19920708,445832,4048073,7165,106668
381074,19920708,96945,4186822,40212,116516
751883,19920725,11141,315642,55035,63128
751883,19920725,707127,4715546,39018,68045
623647,19920114,104638,4715990,177,98557
623647,19920114,275102,1172951,18510,64625
623647,19920114,540055,4708629,15763,65701
623647,19920114,654671,3088716,59868,97538
208354,19921225,581967,4868281,37133,122936
823787,19920109,382372,143981,22996,87261
679195,19920820,511855,2378341,14890,112009
679195,19920820,335023,2010219,42778,63480
357854,19920419,370898,192950,54024,118132
357854,19920419,69149,894512,51489,67088
487678,19921127,639222,5632932,44259,69671
487678,19921127,200813,685520,40637,102828
487678,19921127,717744,3625599,57015,105702
487678,19921127,214235,4596880,21517,68953
86380,19920517,642593,7063576,8341,92133
86380,19920517,234552,4013658,38531,89192
163696,19920728,273142,4084721,32659,66907
163696,19920728,42802,3140640,46412,104688
