"d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_suppkey","lo_supplycost"
199207,841564,356777,726168,14161,110025
199207,841564,337294,5058864,28955,79876
199207,841564,405661,2506624,51307,93998
199212,276520,420763,1000141,54491,101024
199206,474940,582461,6482448,9839,92606
199207,609262,103611,3164635,14433,96876
199207,609262,576277,5142350,41425,81195
199203,199694,217173,2991399,41716,65409
199202,148636,100557,5705305,8542,93453
199207,894041,730472,7211712,44,90146
199212,241498,43179,1777517,13784,67330
199212,241498,688559,5821770,6604,92851
199203,285383,386510,7822850,52533,95790
199210,324652,414950,6396709,15200,111895
199203,612362,8153,2334530,51312,63669
199203,612362,723990,9969102,40740,120837
199212,518608,691788,355950,26138,106785
199205,301192,199034,4885625,45370,67981
199201,644689,184467,5430110,8803,93087
199209,441145,724891,1689788,58925,114951
199208,560315,480162,228428,42709,68528
199208,785207,700942,4662984,30948,116574
199208,785207,785838,4524777,4773,115428
199201,575572,698789,3539745,4761,107265
199201,575572,537424,716086,19353,87684
199212,167194,437686,4179300,42993,97419
199202,96275,142373,6227628,46447,84922
199202,96275,330608,7386763,45776,98315
199202,96275,184592,5700406,50024,100595
199202,96275,37101,2260981,16925,62286
199209,778691,431620,153608,26653,93096
199209,778691,630662,1114841,50361,95557
199209,778691,329800,3476601,49061,109787
199203,254023,711096,2656944,350,66423
199203,254023,296541,5876439,44259,92251
199203,254023,480536,2675123,2403,90990
199206,112594,770173,2436554,54144,74588
199206,116059,633666,1583633,41103,95977
199201,245677,448694,4065608,24943,98560
199208,511739,387087,1394795,11751,70444
199208,511739,133155,4890425,28729,71289
199212,647278,712947,2716435,26134,117594
199205,205330,135380,2972298,27572,84922
199207,381074,445832,4048073,7165,106668
199207,381074,96945,4186822,40212,116516
199207,751883,11141,315642,55035,63128
199207,751883,707127,4715546,39018,68045
199201,623647,104638,4715990,177,98557
199201,623647,275102,1172951,18510,64625
199201,623647,540055,4708629,15763,65701
199201,623647,654671,3088716,59868,97538
199212,208354,581967,4868281,37133,122936
199201,823787,382372,143981,22996,87261
199208,679195,511855,2378341,14890,112009
199208,679195,335023,2010219,42778,63480
199204,357854,370898,192950,54024,118132
199204,357854,69149,894512,51489,67088
199211,487678,639222,5632932,44259,69671
199211,487678,200813,685520,40637,102828
199211,487678,717744,3625599,57015,105702
199211,487678,214235,4596880,21517,68953
199205,86380,642593,7063576,8341,92133
199205,86380,234552,4013658,38531,89192
199207,163696,273142,4084721,32659,66907
199207,163696,42802,3140640,46412,104688
199207,535573,597521,5447871,38451,97110
199207,535573,130524,3385744,38327,93271
199207,535573,563751,3379027,33576,108883
199207,535573,562958,4001441,4928,121255
199201,450184,522826,1281218,32102,110928
199206,192151,518365,3971569,7097,83000
199201,269857,322030,2812049,34452,63121
199201,269857,756925,5101384,23575,118913
199205,803383,377419,3851733,23228,89784
199205,803383,747577,643317,18276,97472
199204,640696,739739,6339286,56660,106722
199204,270028,738368,421899,58557,84379
199206,660394,568740,2713080,53360,108523
199208,414016,77471,3331481,41937,86908
199206,687635,183026,4129990,9988,66541
199202,468898,171746,4726124,50368,109064
199212,511966,264464,1119904,4854,85707
199212,511966,44921,1828601,29731,111955
199201,579206,56590,2273487,4919,92795
199201,579206,12357,5846626,24415,76161
199203,803260,34646,1394124,42247,94838
199203,803260,686169,5717893,305,69307
199203,803260,425790,4461002,15296,102946
199211,552607,184542,7491843,41467,97592
199203,712538,126323,5289334,26249,80959
199205,282818,419452,5779206,4383,82285
199212,834830,14012,641724,21122,55560
199208,710081,330825,8184122,14216,111348
199208,710081,695593,3891972,59228,95313
199205,604759,240294,3421424,28683,74056
199208,390955,639345,5721601,1484,77058
199212,769642,366657,1706403,26639,103418
199208,587777,34094,2921831,38693,61685
199208,587777,352644,1017978,47051,101797
199204,897409,673190,3256848,2510,69789
199206,605962,122347,2054010,2796,82160
199206,605962,273243,3612203,59064,72973
199202,92353,307434,3282113,36099,86485
199202,92353,642904,8410645,47666,110812
199207,81949,438700,4014766,31291,98320
199202,675319,85462,4342380,41221,86847
199207,700429,134907,4567348,55109,116514
199207,700429,510515,5381928,3621,91529
199203,830435,255333,892805,52509,77299
199208,893327,159148,5138794,8315,72428
199208,893327,430414,1464040,23563,80663
199209,340327,163656,1011154,13231,103179
199211,352735,613246,347763,15344,69552
199211,352735,197465,2165569,19604,93747
199211,59279,18645,3830918,36342,93818
199211,59279,558315,1631468,49192,82397
199211,59279,489102,2160338,31489,65464
199202,513053,82705,6284994,40918,101262
199210,694588,294499,5914180,11888,89608
199211,864467,538630,3170359,53171,100116
199211,864467,741982,400742,55121,121437
199211,864467,131123,1615768,11843,69247
199211,864467,579648,7354478,23858,103657
199202,810368,581434,4752325,34694,90924
199202,810368,151080,1773533,12066,67864
199212,322967,558442,7202016,30198,90025
199207,77119,47455,5497604,12812,84147
199207,77119,421644,3989199,19139,93937
199210,124379,53291,1119861,7759,74657
199210,124379,445867,8705257,12944,108770
199210,124379,74203,2214313,37166,70632
199208,729128,168466,1519115,59038,92067
199208,729128,202258,3944816,17404,69614
199208,729128,139679,4124808,7627,103120
199208,729128,384062,687630,21441,68763
199202,320656,515713,7530173,7745,103721
199202,320656,785779,8492025,20313,111884
199202,320656,175377,6974280,54796,87142
199202,359551,728680,5582159,41416,102519
199211,371845,666584,2325825,31034,93033
199205,357514,539115,3845427,12917,69245
199205,357514,375926,5405157,20005,120114
199205,410374,83067,3430546,25911,63003
199205,410374,302334,4276224,10355,80179
199203,295786,41344,3470418,43577,77120
199209,480304,18717,6639346,42451,98142
199212,601349,764258,4231104,26402,79333
199212,601349,527553,4109378,42695,94831
199211,278047,366616,2019120,53038,100956
199201,660950,125333,5782410,55788,81499
199203,685906,759652,1341910,2142,102697
199202,605261,59240,2493219,16888,71954
199208,848093,189676,4767309,53791,105940
199203,777250,395757,7966782,20647,111164
199203,777250,744276,1681985,58830,79214
199206,64144,730543,6784975,29055,94410
199205,852527,531604,1472022,10873,98134
199205,852527,255325,3712899,42183,76818
199205,852527,458787,1539760,51304,104745
199208,336007,651833,3887294,30531,107088
199203,711199,176717,703134,54132,107622
199203,711199,470939,2268973,8237,114594
199211,847469,553741,5025216,20588,107683
199201,437978,722091,4297524,41472,66783
199201,437978,734507,2114896,1209,92488
199207,268025,25965,189096,26704,113457
199207,268025,385509,2812680,12848,95669
199211,863038,384555,1803494,56180,98372
199211,863038,12822,7459726,50749,104089
199211,863038,624125,3219657,6232,62945
199204,163981,140999,2039990,3017,122399
