"s_nation","d_yearmonthnum","lo_custkey","lo_partkey","lo_revenue","lo_supplycost"
"EGYPT",199207,841564,356777,726168,110025
"SAUDI ARABIA",199207,841564,337294,5058864,79876
"IRAN",199203,285383,386510,7822850,95790
"JORDAN",199208,785207,700942,4662984,116574
"EGYPT",199201,575572,698789,3539745,107265
"EGYPT",199201,575572,537424,716086,87684
"JORDAN",199202,96275,330608,7386763,98315
"IRAQ",199206,112594,770173,2436554,74588
"SAUDI ARABIA",199206,116059,633666,1583633,95977
"IRAQ",199207,381074,96945,4186822,116516
"JORDAN",199201,623647,540055,4708629,65701
"SAUDI ARABIA",199211,487678,200813,685520,102828
"JORDAN",199205,86380,642593,7063576,92133
"IRAN",199207,163696,273142,4084721,66907
"EGYPT",199201,269857,756925,5101384,118913
"EGYPT",199212,511966,44921,1828601,111955
"JORDAN",199203,803260,34646,1394124,94838
"EGYPT",199208,710081,695593,3891972,95313
"SAUDI ARABIA",199206,605962,122347,2054010,82160
"SAUDI ARABIA",199202,92353,307434,3282113,86485
"SAUDI ARABIA",199202,675319,85462,4342380,86847
"IRAQ",199211,59279,18645,3830918,93818
"EGYPT",199208,729128,202258,3944816,69614
"IRAQ",199202,320656,515713,7530173,103721
"IRAN",199205,357514,375926,5405157,120114
"IRAN",199205,410374,83067,3430546,63003
"IRAQ",199212,601349,527553,4109378,94831
"IRAN",199203,777250,744276,1681985,79214
"IRAN",199203,711199,470939,2268973,114594
"EGYPT",199211,863038,624125,3219657,62945
"EGYPT",199204,163981,140999,2039990,122399
"IRAQ",199201,154504,343164,1892811,72429
"EGYPT",199201,154504,252233,2726006,71113
"EGYPT",199203,441989,566394,867459,87622
"IRAN",199205,4606,764114,3265637,70684
"SAUDI ARABIA",199211,302768,461301,2721475,75736
"EGYPT",199205,807805,464527,6644632,89490
"SAUDI ARABIA",199203,646877,438428,4509120,81984
"IRAQ",199212,244522,744858,8752972,114169
"EGYPT",199204,277456,739812,1996218,111106
"SAUDI ARABIA",199212,882659,765052,3538719,67021
"JORDAN",199205,823589,696156,4147632,69127
"IRAN",199204,745123,695439,4402173,86064
"IRAN",199206,794237,636809,8383187,104746
"SAUDI ARABIA",199201,691288,434647,316324,94897
"IRAQ",199209,153826,200702,314127,96161
"EGYPT",199212,705847,147322,3354834,82159
"EGYPT",199208,571952,377823,372558,114048
"JORDAN",199211,386977,55355,2568286,78621
"EGYPT",199204,874319,628459,4532701,83245
"JORDAN",199202,518224,13522,430656,86131
"IRAQ",199203,129475,177371,7097013,86902
"IRAQ",199206,447184,547961,6890664,120536
