"s_nation","d_yearmonthnum","lo_partkey","lo_revenue","lo_supplycost"
"IRAN",199203,386510,7822850,95790
"JORDAN",199202,330608,7386763,98315
"IRAN",199207,273142,4084721,66907
"EGYPT",199212,44921,1828601,111955
"EGYPT",199208,695593,3891972,95313
"SAUDI ARABIA",199202,307434,3282113,86485
"SAUDI ARABIA",199202,85462,4342380,86847
"EGYPT",199203,566394,867459,87622
"EGYPT",199204,739812,1996218,111106
"JORDAN",199202,13522,430656,86131
"IRAQ",199206,547961,6890664,120536
"IRAQ",199211,506196,5712711,72130
"IRAN",199211,373901,6714626,118493
"IRAN",199211,592142,1466134,74047
"EGYPT",199203,448408,2924355,81382
"JORDAN",199206,83323,2432367,78379
"SAUDI ARABIA",199206,463990,1340423,117238
"SAUDI ARABIA",199201,124174,2490995,71890
"IRAN",199201,582201,2694678,76990
"SAUDI ARABIA",199211,330348,1215687,82699
"IRAN",199203,84296,640145,76817
"SAUDI ARABIA",199201,162642,2868909,102278
"IRAN",199201,364965,1623960,121797
"JORDAN",199212,131847,4603158,112730
"JORDAN",199205,523804,6762786,109666
"JORDAN",199202,713088,4855630,66063
"SAUDI ARABIA",199210,179083,2531010,69724
"SAUDI ARABIA",199210,127116,4115196,68586
"IRAN",199210,402109,1189030,60664
"EGYPT",199203,748086,336812,68043
"EGYPT",199211,680523,2062788,90209
"IRAN",199209,464776,6440775,104445
"IRAQ",199206,592963,9066695,123356
"JORDAN",199212,86175,1393404,69670
"JORDAN",199212,340495,7373374,92128
"IRAQ",199207,311228,3803135,74352
"IRAQ",199208,474761,3645054,104144
"IRAN",199206,153885,5950422,116332
"EGYPT",199207,675885,6140805,111651
"IRAN",199211,657380,2250760,80241
"IRAN",199205,360736,5929176,107803
"IRAN",199205,473322,1904091,77718
"JORDAN",199206,147586,4204834,98014
"SAUDI ARABIA",199205,488392,3787735,82822
"JORDAN",199209,421109,100947,61804
"EGYPT",199207,281446,1271840,85645
"EGYPT",199211,214312,2820490,73578
"JORDAN",199202,1509,5667389,84630
"IRAQ",199204,538181,2747986,73149
"SAUDI ARABIA",199212,168473,7477670,92488
"JORDAN",199203,735203,1238170,74290
"IRAN",199207,740109,568789,68944
"IRAQ",199210,723213,1607034,74170
"EGYPT",199210,439447,970494,83185
"JORDAN",199209,343631,1492086,100477
"SAUDI ARABIA",199201,781729,8872381,108641
"JORDAN",199209,677741,6737343,103122
"IRAN",199209,788597,6236572,101133
"JORDAN",199212,719095,2620269,66843
"EGYPT",199207,253587,4621710,92434
"EGYPT",199202,616009,90647,55498
"IRAN",199208,350720,1753002,106242
"EGYPT",199210,113688,2358528,102100
"JORDAN",199203,687526,2224830,90809
"JORDAN",199203,44277,3908064,73276
"EGYPT",199203,112285,6226944,77836
"EGYPT",199203,660251,2757947,72673
"SAUDI ARABIA",199202,674709,4377542,101020
"JORDAN",199210,676806,3176896,106966
"EGYPT",199212,245066,3765150,60663
"EGYPT",199204,589099,475228,71284
"JORDAN",199207,275642,4691127,97057
"EGYPT",199207,69724,6097392,101623
"IRAQ",199204,344457,5945702,90086
"IRAN",199206,566798,6830652,111886
"IRAQ",199212,76478,145447,87268
"JORDAN",199205,279105,3112422,65045
"IRAQ",199202,191022,2754724,66781
"JORDAN",199202,640927,4438106,112073
"JORDAN",199212,674870,5604623,110690
"EGYPT",199209,206566,3534120,88353
"IRAN",199204,608988,5880545,113817
"SAUDI ARABIA",199210,298898,929471,113812
"EGYPT",199203,77417,2596391,83664
"IRAN",199203,265269,5009820,74055
"EGYPT",199206,593163,369305,75368
"IRAN",199202,1464,2027708,81927
"EGYPT",199203,431640,4774581,94297
"SAUDI ARABIA",199203,615810,7004941,103546
"IRAN",199204,10796,1505388,102407
"IRAN",199212,255059,3776284,60842
"JORDAN",199211,63969,5740891,115977
"IRAN",199209,627146,5043617,64386
"IRAQ",199209,569993,808684,123778
"SAUDI ARABIA",199203,665983,3508110,116937
"EGYPT",199207,612764,1509057,100603
"IRAQ",199207,694804,4808112,107926
"IRAQ",199203,559537,4741634,95790
"JORDAN",199211,51797,7963989,104927
"IRAN",199207,362668,8395383,103839
"SAUDI ARABIA",199203,74222,4737031,71773
"SAUDI ARABIA",199203,235117,4536655,63126
"JORDAN",199204,384234,4521494,79093
"SAUDI ARABIA",199201,215374,1531759,77361
"IRAN",199207,740358,3045540,83899
"SAUDI ARABIA",199211,225705,7191342,97841
"JORDAN",199210,129401,6150720,85824
"EGYPT",199204,501725,3215115,103602
"JORDAN",199211,159533,3468530,95551
"IRAQ",199211,712959,386496,118315
"EGYPT",199203,328911,193990,116394
"JORDAN",199212,641846,1787810,107268
"SAUDI ARABIA",199206,156526,5583130,94951
"EGYPT",199204,607720,322282,97661
"IRAQ",199203,623844,6894459,106068
"SAUDI ARABIA",199211,441825,7272148,106008
"IRAN",199209,623896,6005538,109191
"SAUDI ARABIA",199212,150606,7951680,99396
"EGYPT",199212,297821,9094050,109128
"SAUDI ARABIA",199212,252248,3999166,72013
"IRAN",199212,715541,3965987,93390
"IRAQ",199205,561673,2209944,104079
"JORDAN",199210,333184,1095453,73030
"EGYPT",199208,696194,4477381,71409
"JORDAN",199206,189248,5504079,80234
"EGYPT",199206,757458,4009801,90925
"IRAN",199211,512590,4166682,96154
"IRAQ",199205,336009,626994,62699
"EGYPT",199203,505596,1569538,96094
"EGYPT",199206,291723,7561871,102882
"SAUDI ARABIA",199204,472210,4170766,70931
"IRAN",199211,323749,8073012,106363
"EGYPT",199211,217178,4662096,65709
"IRAN",199202,99301,4891728,78018
"JORDAN",199207,528068,3974241,65762
"IRAN",199212,9421,3059966,79825
"SAUDI ARABIA",199209,119971,3121840,119458
"JORDAN",199203,429299,122827,73696
"SAUDI ARABIA",199210,223430,4774865,81205
"IRAN",199208,553536,311543,95370
"JORDAN",199208,233962,1858031,113757
"IRAQ",199203,276878,7975898,111291
"IRAN",199207,762633,7630200,101736
"SAUDI ARABIA",199207,759281,1707478,80415
"JORDAN",199212,380896,193734,118612
"IRAQ",199212,372495,313496,94048
"EGYPT",199204,195740,4137757,110144
"IRAN",199212,636476,2824880,84746
"IRAN",199209,799707,6142678,108400
"SAUDI ARABIA",199209,433227,1608037,69612
"SAUDI ARABIA",199208,163495,6634491,93509
"IRAN",199204,60346,905293,78380
"JORDAN",199204,626944,5741822,112254
"SAUDI ARABIA",199202,352241,3750367,77593
"IRAQ",199212,638594,4399979,91953
"SAUDI ARABIA",199205,775895,6503838,118251
"JORDAN",199210,197719,5215774,109002
"JORDAN",199211,131110,1453774,68466
"IRAN",199211,681399,270550,82821
"JORDAN",199204,448661,4732341,96578
"JORDAN",199205,409503,5649920,84748
"JORDAN",199210,736671,5976740,102458
"JORDAN",199207,597041,4731887,68281
"SAUDI ARABIA",199208,380433,7415758,90805
"EGYPT",199212,246534,740260,88831
"IRAQ",199212,777770,7390960,110864
"SAUDI ARABIA",199212,777547,4935261,97470
"EGYPT",199210,374902,9489072,118613
"JORDAN",199205,604956,5895394,111655
"IRAQ",199209,134833,3143557,112069
"SAUDI ARABIA",199210,480709,5406976,101380
"EGYPT",199211,716238,5899756,75252
"EGYPT",199204,722775,6292090,107864
"IRAN",199204,153977,1206396,121858
"IRAN",199202,490797,1251439,107266
"JORDAN",199206,436953,4913818,113395
"EGYPT",199201,438924,5111797,111774
"JORDAN",199206,121775,5692167,107806
"IRAN",199209,453941,2084412,113695
"EGYPT",199202,479685,6159242,99879
"IRAN",199208,346137,585644,70987
"IRAQ",199201,487659,2608261,98797
"IRAQ",199201,297417,2495001,84864
"SAUDI ARABIA",199211,206850,7919834,105410
"EGYPT",199208,88870,6922431,111532
"IRAN",199208,642337,4939377,76758
"IRAQ",199208,557257,2081740,78853
"EGYPT",199203,28152,211709,64809
"EGYPT",199204,248502,4882349,87029
"EGYPT",199204,559518,4792414,94649
"SAUDI ARABIA",199201,322766,6661305,107325
"IRAQ",199206,598,2397744,89915
"IRAQ",199201,581075,3583755,69363
"JORDAN",199208,123224,2222546,74833
"IRAN",199206,265107,2101296,64325
"IRAN",199207,508144,3917208,69127
"IRAN",199210,595601,1995178,101794
"IRAN",199209,112287,6106616,77956
"SAUDI ARABIA",199208,784155,495648,74347
"IRAQ",199207,580150,5183767,73807
"EGYPT",199204,782202,125848,77050
"SAUDI ARABIA",199209,47689,5833127,98200
"SAUDI ARABIA",199203,457861,5221889,109130
"SAUDI ARABIA",199202,774284,2262844,81495
"IRAN",199210,754969,4047860,121435
"JORDAN",199204,523515,7077054,92309
"IRAQ",199212,622931,8175699,111234
"EGYPT",199201,295239,4936880,74053
"IRAN",199204,378438,6984630,90985
"IRAQ",199204,19769,2482477,101325
"IRAQ",199207,721399,4315053,85221
"IRAQ",199203,182536,6729847,97111
"SAUDI ARABIA",199210,30319,4997240,74958
"IRAQ",199201,528198,600823,73570
"EGYPT",199202,676352,3124208,79699
"SAUDI ARABIA",199212,79209,815105,71292
"EGYPT",199212,572537,473195,96570
"EGYPT",199202,387933,4648116,121255
"JORDAN",199202,788973,204132,123716
"EGYPT",199210,226406,2089187,79943
"IRAQ",199206,459397,4162699,81382
"IRAQ",199208,294943,8736188,116275
"EGYPT",199211,4651,462028,93339
"EGYPT",199210,726185,3391220,72669
"JORDAN",199202,52904,8272489,111414
"SAUDI ARABIA",199201,128559,1270040,95253
"SAUDI ARABIA",199205,165858,1904611,115431
"SAUDI ARABIA",199211,435424,4171998,81564
"SAUDI ARABIA",199208,104250,4056244,75255
"EGYPT",199208,53578,6003754,91894
"IRAQ",199204,543293,1737151,80176
"SAUDI ARABIA",199209,387436,2090132,91405
"JORDAN",199209,371028,4505941,65940
"IRAN",199210,789974,4699591,123836
"JORDAN",199209,778922,1200534,120053
"SAUDI ARABIA",199210,511965,4305775,118616
"SAUDI ARABIA",199204,330272,520904,78135
"EGYPT",199207,104687,6134031,101500
"IRAN",199201,728859,2429624,113269
"JORDAN",199201,584239,5689803,79392
"IRAN",199204,466210,5175236,70571
"IRAQ",199206,59819,5926994,106728
"IRAQ",199202,448353,4208501,78079
"JORDAN",199210,385309,3904012,83657
"IRAQ",199204,131054,434020,65103
"IRAQ",199201,126822,2745497,110929
"SAUDI ARABIA",199205,285493,1034936,88708
"IRAN",199202,585564,1616549,98972
"JORDAN",199208,732985,4594872,121077
"IRAQ",199206,131556,1571674,95253
"IRAQ",199208,691535,1511235,91590
"IRAN",199210,248606,6463985,93275
"JORDAN",199204,499439,3702467,86304
"JORDAN",199203,254801,5909989,105347
"IRAQ",199207,782085,5018315,70023
"SAUDI ARABIA",199202,542166,4784234,72488
"JORDAN",199212,159445,1203552,90266
"IRAQ",199207,286018,1706800,60240
"IRAQ",199204,733476,6508705,90566
"IRAQ",199209,277887,6396504,111892
"IRAN",199209,680281,5297250,75675
"SAUDI ARABIA",199206,563054,558515,67021
"IRAQ",199209,603028,4470613,55859
"IRAQ",199203,236007,1026916,56579
"SAUDI ARABIA",199209,52332,4027658,77059
"EGYPT",199207,566460,2594948,91586
"IRAQ",199211,247775,1181813,103365
"EGYPT",199212,390732,7217971,109363
"IRAQ",199205,687986,8705119,118437
"EGYPT",199208,295389,5756210,83062
"IRAN",199206,379957,9166230,122216
"IRAQ",199210,4873,6578119,106672
"IRAN",199206,628525,575582,87209
"IRAN",199206,409144,1042588,63187
"IRAQ",199209,203902,4469577,108353
"JORDAN",199207,69951,6531230,115257
"IRAN",199207,260504,1291680,87869
"IRAN",199210,131846,6878527,112670
"SAUDI ARABIA",199208,598142,2480240,74407
"IRAQ",199208,166662,2053648,103719
"IRAN",199202,252927,563973,112794
"IRAN",199205,20725,7241168,98743
"JORDAN",199205,793572,6828714,99932
"SAUDI ARABIA",199209,712955,6690928,118075
"SAUDI ARABIA",199207,421819,6312104,104447
"EGYPT",199208,739286,3445650,79515
