"d_yearmonthnum","lo_partkey","lo_revenue","lo_suppkey"
199308,470503,2143913,8848
199308,342825,2898841,15423
199304,221082,4620140,1868
199301,22830,520590,8782
199301,290349,1181289,4285
199305,171974,7144527,5891
199305,163585,2558596,1534
199305,26870,5870374,16338
199302,468991,7984917,12012
199302,309214,2757092,19622
199302,114981,8606665,10637
199309,96275,3576082,3340
199307,324239,5502586,16885
199303,199533,5919553,12507
199312,508891,8006052,10443
199312,240685,6372626,2565
199304,112652,2120764,3854
199304,328109,2138866,4310
199310,447105,927934,13168
199312,586027,4858245,13240
199304,412681,4259853,6234
199301,443981,7734489,18510
199309,594790,3731844,13467
199306,344291,6476108,12915
199309,101733,4293456,7940
199308,257758,3567023,3359
199308,122379,6659310,2308
199306,63114,2111135,15304
199306,294094,4691800,14231
199303,37755,3981348,3659
199303,326261,5607261,6508
199310,340770,4436362,10301
199305,496304,4792832,14626
199305,388122,4343084,3130
199311,472082,3652317,7754
199311,300849,8701600,11987
199307,558360,4169919,18950
199307,345218,3466220,2383
199305,496872,6410155,2921
199305,147995,2629328,8261
199308,43245,1844148,13635
199309,441609,6016250,12823
199309,116516,3754649,3194
199309,235583,5208695,3124
199309,322022,3410780,19987
199309,234647,1252650,12581
199303,62322,4734003,12673
199303,435428,4496493,13308
199306,461619,6745958,5620
199311,253070,2083973,15706
199312,163297,266616,505
199310,242353,1282386,9591
199311,18482,2195952,12707
199311,255995,3595656,7371
199301,17369,4866299,4037
199308,444872,2158417,8802
199303,566352,1528959,1246
199301,15150,2847145,2489
199310,188274,2002536,191
199310,515251,2481810,407
199310,124924,2291929,12657
199310,190935,6878032,18885
199312,261295,2736177,18988
199312,373991,4856832,9419
199312,54253,4449923,14411
199310,468608,6881771,3418
199302,308246,4793667,12011
199301,376203,2005769,3483
199306,130738,5026730,1193
199306,339995,8259983,15122
199306,436520,847683,8490
199304,274786,1394529,13772
199309,523895,4137083,14722
199309,90530,3834776,5107
199309,530639,2915139,19271
199306,440974,5308241,7145
199306,234222,3701028,11018
199304,322570,2028921,8251
199308,140302,5979946,8825
199308,45211,1144647,17629
199308,577254,1054334,17648
199308,431853,4594152,5399
199302,428815,5179056,4910
199303,506055,3327390,15684
199311,506739,5357583,3195
199311,347627,4642018,16760
199311,197813,8896731,12516
199311,32214,778276,13602
199311,358642,3166573,12063
199311,224644,3535692,17690
199302,373583,1124811,14087
199307,52073,3380680,12592
199311,395905,594264,13632
199302,258522,5026331,8969
199308,228062,1960299,10364
199304,198591,6356237,11750
199305,75972,7558123,13262
199305,48823,6359061,6953
199301,289997,7516745,4985
199310,372884,1328714,3348
199310,347543,787312,13103
199310,99168,231097,13563
199303,149066,2207818,13202
199304,50705,4543240,7353
199311,401195,4082137,9576
199308,151776,1950230,747
199311,489449,2232427,17446
199311,154388,1554885,12435
199306,323174,3367611,13658
199307,568532,4705499,10790
199312,28564,6353827,18847
199312,208003,2705640,19030
199309,210691,3139292,93
199309,471063,1433179,8393
199312,20069,3453797,8494
199312,91138,4471354,5718
199312,544539,1410907,12849
199312,260789,7977201,18686
199310,72274,2538651,16155
199310,296210,358241,7832
199304,337772,8062480,7504
199304,407703,315693,14990
199312,191420,888714,9180
199302,130474,5012894,14827
199302,462236,939396,7305
199302,454627,6199872,17685
199303,375458,7590528,16424
199311,494970,2096601,12380
199305,459148,4773901,3128
199305,294930,8866181,12123
199303,17029,3986528,3759
199303,5469,2585359,3938
199312,5237,904646,461
199312,293295,5739287,3838
199303,211565,6077479,12114
199307,285929,4691529,7218
199308,408631,5792012,12287
199308,260650,631370,5707
199306,187556,7322015,4008
199301,197878,1549082,11743
199301,259412,3122677,12537
199312,464164,1326692,4804
199309,462949,1514240,361
199309,129911,4565020,1165
199309,11965,1471536,19835
199304,120066,1383640,4181
199304,179792,6420239,6054
199305,265446,2934362,19573
199305,345159,3218666,10451
199305,140896,2277782,9418
199305,68339,4945629,17450
199305,172492,613280,11176
199303,153200,1473763,10472
199303,176994,2029570,17181
199309,364532,3911474,9291
199308,331105,4676146,13946
199305,133955,2144088,2434
199303,96879,8088751,1798
199303,443118,1680766,9165
199304,333015,4565088,1467
199311,199814,7239943,19456
199311,58539,4696254,14819
199304,96215,4391847,3737
199310,579558,3530514,12587
199312,577021,4304160,3036
199312,500113,4518032,3738
199308,395744,364266,11814
199303,418656,6391423,8965
199303,135166,4002265,10987
199307,109026,4970166,15634
199307,598618,7647408,14017
199304,380407,1472516,7679
199301,190981,8325215,686
199305,592953,2381462,11574
199312,289591,6415574,6375
199307,293026,4493834,19631
199307,362687,1028805,7889
199306,516230,3541728,9633
199301,251650,7301876,16092
199301,591076,2943300,2684
199307,56142,2023872,11244
199307,367818,5974214,7267
199311,167020,2797989,4690
199311,296028,4271145,18313
199311,135648,4000328,15189
199306,72527,3859764,16693
199303,124284,3077074,10148
199311,264552,4560235,7065
199311,315093,3290997,8004
199301,477650,4511790,19671
199302,12983,2815530,5977
199311,314673,6384417,13584
199311,170630,4882508,17095
199307,535182,4604516,18532
199305,557729,2653249,18459
199305,321043,2085498,5166
199305,564038,320684,12259
199310,381211,5013736,9137
199310,576664,7766735,7969
199304,474547,6346259,5961
199312,187613,4377370,14049
199306,6514,5098210,12119
199306,283837,5298586,6239
199312,375847,3236122,5487
199302,476470,3260298,18284
199302,419056,4826398,5244
199308,489078,207007,3349
199308,526935,1553832,12385
199310,416810,2369155,18325
199303,464070,1433193,13524
199303,223834,2436338,14479
199308,481463,5719982,8100
199303,441954,5255517,1124
199303,117391,6830691,2663
199303,105430,1266049,9422
199303,251764,5212448,1362
199303,457996,758140,3823
199303,39844,4671876,12730
199303,56804,4313960,10032
199303,102874,7725196,14605
199312,412001,3276685,2732
199312,547966,3749956,14387
199310,444701,3671512,6164
199310,118286,511277,10916
199301,289641,790855,3688
199301,191632,334384,9688
199310,120872,4773818,5283
199310,493422,1922113,1747
199311,257230,4537554,13146
199311,256840,880446,13281
199312,376897,4449125,11282
199312,378112,2565855,14823
199312,323993,2934705,113
199302,462026,195624,167
199302,62855,5113612,12273
199308,553703,347822,18549
199308,232516,562018,4720
199301,277978,2108524,16511
199304,407473,1205132,581
199304,588364,6831807,859
199304,30453,5558702,6158
199304,577633,4190994,5202
199312,52208,3183588,4968
199303,554320,1088445,14801
199303,566847,2970248,12499
199303,181784,6515303,5550
199309,58254,2586941,11881
199301,48964,7686273,4390
199304,24045,3549593,14733
199303,479290,4186052,3065
199312,113340,3183055,19195
199305,565477,5497291,1160
199305,85958,8862468,1360
199312,534388,4277036,13562
199312,45663,4618462,9797
199304,164840,369538,1258
199304,260210,3859319,10611
199310,476622,7519814,8044
199310,62147,2854926,1628
199301,165232,2696941,9733
199301,572496,3689041,19239
199311,165329,1352490,8279
199302,539039,731968,602
199310,498304,128925,15062
199310,511334,3862385,532
199306,188824,5302337,17779
199306,463474,4126918,14681
199306,405041,278129,729
199311,531608,6817373,8881
199311,129226,4139715,997
199306,299631,1917609,15121
199306,418709,5683858,17681
199307,562169,3224355,18162
199304,215404,2456704,5489
199301,485522,4825507,9400
199303,44532,5209197,18546
199302,513789,3147618,312
199302,511850,8668680,7521
199304,501816,2879379,1311
199304,517404,562866,3664
199312,305422,423940,12080
199308,360827,4211704,8654
199308,203745,8078777,15652
199301,507508,1764018,3170
199303,217655,1372914,13283
199304,539976,9579794,5524
199304,371237,5000016,16921
199304,291433,5112243,14587
199304,310613,7796527,1317
199307,233181,2316359,1244
199307,471556,4490938,10243
199307,535610,6842363,9882
199309,297763,4706484,1356
199309,492887,3163804,17615
199309,338017,1125685,12034
199307,528461,3833818,14799
199307,85475,2124983,8306
199303,255437,3002057,855
199306,553934,4435027,5793
199306,292171,2279793,4588
199306,210626,1355290,2145
199303,538296,3830689,17503
199303,563006,1762748,15777
199305,774,3150242,15130
199303,485569,609379,1049
199309,303449,3099485,8347
199309,50813,1901387,2472
199305,231689,5876549,493
199301,72169,442770,12389
199301,340166,5910135,1421
199308,507541,5614933,2358
199304,513723,3094799,10771
199306,375613,491382,9706
199306,272205,1615104,17148
199309,43997,1521736,9153
199308,575955,9155432,2942
199305,239423,4005485,18230
199305,370043,5399308,5635
199305,293254,5444202,12268
199305,306835,4466413,5413
199304,258274,1912467,10241
199311,530825,6910999,14937
199311,107406,4798493,1779
199308,236230,5257319,19881
199308,124958,8637730,8422
199302,493544,5631935,7645
199311,262786,1696306,19320
199303,475429,6812744,7843
199303,323500,2836738,7507
199303,109489,7120776,5831
199309,401288,233094,10717
199309,445730,6014123,13306
199312,394413,3363009,14107
199305,569265,1046044,13769
199305,128459,4123211,9194
199311,97095,1377125,5814
199307,265906,2178879,3189
199307,277431,3825268,17502
199305,307272,4638596,854
199305,528769,7223319,2096
199312,523775,1762775,6399
199308,198144,5783403,3589
199311,578073,5076130,16493
199311,179587,7274621,17335
199304,173212,377851,8626
199304,573179,4129590,4751
199303,564499,2881475,8124
199303,332258,4598415,11128
199303,377893,8780270,3315
199303,53412,2943823,9645
199307,386029,2513232,16322
199307,206709,6425599,17749
199307,274928,6154010,7467
199302,538986,1984460,19224
199303,277439,1249282,532
199303,323707,7218707,6027
199302,111317,4076583,10583
199312,153887,960735,2054
199311,49073,2478519,3541
199303,39045,1753559,2507
199303,370470,1056755,6862
199309,429024,1848820,9539
199308,45660,1748563,10041
199308,2579,3339458,11112
199308,142955,5232631,10373
199308,231154,107428,16191
199311,158282,5385245,783
199311,122690,4485535,7797
199304,90215,1789736,1883
199304,38044,2213518,4506
199306,29998,755772,4988
199306,521817,8561406,18649
199306,305799,7074737,5867
199306,551298,1068621,52
199305,123554,2601379,3913
199305,214600,293830,849
199308,292930,4103511,474
199308,196510,1259503,12783
199308,328352,6087299,9962
199302,551003,1962510,10792
199307,397744,4108899,16200
199306,9415,4195730,445
199310,376137,4471560,2137
199311,126300,656518,2718
199301,298562,2119226,11971
199303,541056,1397616,14395
199301,117748,865212,4845
199303,386082,226605,15513
199303,253818,3472728,12706
199303,512908,5835633,17516
199310,75970,7513390,6651
199312,72201,3449208,13714
199312,276133,4841308,9116
199302,578514,7335008,4577
199302,149124,348416,1767
199304,570324,6487677,19224
199302,259137,4571916,11793
199311,283664,7104666,16710
199305,561802,7123367,6728
199305,47349,381123,8438
199305,319348,1607980,372
199305,273652,1576870,4278
199312,382515,4648725,9694
199310,481423,1390356,7942
199310,82480,4872983,14743
199305,516735,6763352,13366
199305,351796,3259483,19318
199307,582174,1846540,13612
199307,503308,254388,14358
199302,237715,5072136,11545
199302,329615,3062245,8470
199302,373622,5756595,6798
199308,589049,3345778,2997
199312,216070,1932677,16640
199312,275419,2323070,2271
199312,73377,5108449,13124
199307,462407,2982509,4512
199307,469787,7919474,19158
199307,347547,7735065,1985
199307,193991,5925541,18585
199301,283757,3274331,13531
199301,294357,6091840,13706
199307,146803,7142077,10855
199309,106083,3989300,13140
199309,323846,1295792,17703
199309,276549,3887050,13085
199309,64776,6078768,18724
199305,325818,4745941,11427
199306,558012,1349257,6238
199306,217656,5647793,17142
199305,202040,2307973,3858
199305,272880,4539531,18332
199305,483714,3493846,13375
199308,461418,1351802,7338
199308,47316,371413,14226
199306,56353,2203636,2952
199308,169675,5642262,16643
199309,561300,2830101,5265
199307,416923,4507755,18730
199307,392132,5332266,14716
199307,157360,5911808,18736
199306,397086,3098460,13629
199301,283075,628487,8299
199304,276240,5426818,7376
199308,406856,6282726,15129
199301,422611,6247845,13100
199301,21340,1623344,1054
199301,461338,6175620,8982
199312,35105,1235638,4620
199312,4757,1316106,19830
199312,514122,2361951,3753
199302,442023,4776750,276
199305,151337,4625915,11859
199308,323443,5892115,2064
199309,401903,4824444,17006
199309,581782,922561,10387
199309,264851,3736998,3758
199311,314607,5879885,7349
199311,327648,2112969,4471
199305,302094,2255732,5439
199312,401149,4219382,14663
199307,375472,3983162,10459
199307,100823,7685577,18203
199302,551033,210297,10169
199302,265952,8354546,13110
199302,260831,7901926,12607
199310,130519,607407,7951
199310,382679,1569639,1006
199301,142639,5438391,16123
199301,321645,1649963,7160
199306,91200,4390763,9852
199310,199078,4844820,3942
199309,517317,130760,8765
199305,517658,650144,10041
199305,444686,3835312,12910
199308,100355,2281054,7414
199308,51259,3474627,2233
199308,192726,6416444,6088
199308,575495,1371020,14969
199312,23888,8611865,16939
199304,369230,1764340,3294
199304,393584,6671695,16617
199301,344628,1135702,9004
199302,419396,3515984,16829
199306,541482,1194392,16572
199304,561849,3783423,3986
199304,288417,5452952,5796
199312,522532,153896,12366
199312,456363,6269503,7783
199312,289878,543547,910
199312,576042,1424357,11125
199312,420527,3009352,4840
199306,566390,4379304,17836
199306,237310,2177785,6283
199306,313077,2326188,10230
199306,483146,2213075,7203
199308,508943,7842814,14230
199308,195020,2595766,7530
199308,237722,6180760,3833
199308,154777,3590269,1440
199308,356360,5135685,18070
199311,58108,4749475,18494
199308,506825,4264430,13233
199308,6586,2047819,1274
199308,367497,4646505,14060
199302,467997,3658774,2199
199302,210495,681657,2801
199307,435902,1426194,7874
199307,43616,2779225,10122
199304,451164,4305555,7448
199304,506326,3101594,13553
199302,529506,7072420,6005
199302,194860,1341033,11927
199302,195751,5732312,7044
199302,172228,5921201,18474
199305,330790,4415391,4693
199305,571123,347483,7765
199310,339733,6949062,14236
199306,380912,1546490,2571
199306,444963,3886473,1952
199312,302074,313133,1809
199304,211930,8570453,12793
199306,177807,6344236,10107
199306,1564,6750369,5458
199305,6190,4232389,10177
199305,228555,1762445,15911
199308,421624,2574969,276
199308,154926,2113641,17161
199308,435932,8878176,19971
199308,205926,5863943,3467
199308,24545,6336656,19348
